ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averagecurrent	Averageformer	Averagenever	Mediancurrent	Medianformer	Mediannever
has-miR-548o	0.33500521171989	0.12280851732874	1.26954178122411	0.0967345219708534	0.922937223812547	NA	never_vs_current	NA	0.576702846333009	0.383400869700912	0.190568879973626	0	0	0
has-miR-548x	1.34253497827163	1.02342019079148	0.914512451805316	1.11908830631138	0.263102468043793	NA	never_vs_current	NA	0.848661668336822	1.45852765376221	1.81938214116606	0	0	0
hsa-let-7a-2-3p	0.651958530811686	0.727936216170865	0.771302340516149	0.943775453454136	0.345284406744368	NA	never_vs_current	NA	0.512198191105364	0.574889315007422	0.87461211398531	0.522366179117236	0	0
hsa-let-7a-3p	107.079579117193	0.207385808359839	0.482689435930255	0.429646461932937	0.66745283394094	0.889207292871445	never_vs_current	FALSE	21.4123906494851	37.7224540463467	309.598678609749	21.219997861349	11.6057045343519	17.3580892990923
hsa-let-7a-5p	8.88540308861354	-0.547234210069616	0.430411078613685	-1.27142222229086	0.203578481066804	0.64916607483037	never_vs_current	FALSE	15.5177029860905	6.72924776490599	9.54129599493411	6.12000428752752	3.26349427535184	3.91042512271001
hsa-let-7b-3p	0.306565999064634	0.648025990657978	1.53623555288266	0.421827231795276	0.67315112737248	NA	never_vs_current	NA	0.294334751520246	0.351632766882405	0.255071613928847	0	0	0
hsa-let-7b-5p	59.8544926669154	0.0975761330794282	0.511169349553628	0.190888074890709	0.848613283240085	0.971773199245565	never_vs_current	FALSE	16.041528252994	33.6798902491937	153.000561226537	11.3056337556227	8.1168569283345	9.12432528632336
hsa-let-7c-3p	2.47103870395693	0.0387859806582866	0.620714843387687	0.0624859886491575	0.950175819573368	NA	never_vs_current	NA	2.51490001761107	2.03552306670106	2.72289684900832	0.538363512172509	0.644695687817174	0.329720097088103
hsa-let-7c-5p	5.84057718586428	-0.438197542952031	0.500451502607546	-0.875604410554973	0.381245126846466	0.7798372207525	never_vs_current	FALSE	4.03546003999393	4.07645392203004	10.8990620309386	3.06000214376376	3.78170482431889	2.66452799221761
hsa-let-7d-3p	3.14167103099851	1.67971285832168	0.778561291820532	2.15745744871796	0.0309700391609585	NA	never_vs_current	NA	1.96220306509894	2.18695700696499	6.02910836478271	0	1.07449281302862	0.881942487028445
hsa-let-7d-5p	11.7133277948065	-0.905475573273036	0.527961056398853	-1.7150423545425	0.0863374618586707	0.495054253776781	never_vs_current	FALSE	6.50848214204959	6.10665974385485	28.1007547706581	4.810265940455	3.24721200410464	2.39601418693035
hsa-let-7e-3p	0.0608586128850125	0.840028733103067	4.47706726094418	0.187629241229204	0.851167302145087	NA	never_vs_current	NA	0.00991436285689135	0.0712610887020446	0.081689375258348	0	0	0
hsa-let-7e-5p	4.1603212682273	0.889508793488813	0.545742127877294	1.62990677840581	0.103121200829519	0.526140712975482	never_vs_current	FALSE	1.94989094105123	5.87127560452474	4.72753977299552	1.74325886996708	2.49795843660763	1.95459559372379
hsa-let-7f-1-3p	0.0894118093577484	-0.113191425948086	4.4764007724687	-0.0252862582466363	0.979826634758435	NA	never_vs_current	NA	0.204920866586323	0.0918510849303915	0.0609401089689278	0	0	0
hsa-let-7f-2-3p	0.572280003248808	0.286146370115014	0.860581926255326	0.332503346148728	0.739509213442013	NA	never_vs_current	NA	0.27428790881216	0.815631271792572	0.381377367578272	0	0	0
hsa-let-7f-5p	1.70744674594843	-0.0483888340100204	0.607552173387617	-0.0796455615329491	0.936519157426647	NA	never_vs_current	NA	1.63441405160257	1.80894366279068	1.70437476200063	0	0.885614916840024	0.61240340838379
hsa-let-7g-3p	3.30512279180099	0.119469758652796	0.612879214920127	0.19493197965339	0.845446198252286	NA	never_vs_current	NA	4.51684699921883	2.75632225723982	3.71648065999553	0.678988493411034	0	0
hsa-let-7g-5p	58.7401199969797	0.53925594978285	0.565945639881244	0.952840541179901	0.340670869803172	0.750971212951848	never_vs_current	FALSE	7.23171535878827	26.9616217599572	164.598355561473	4.33872992806906	3.88185170349034	6.73643749222169
hsa-let-7i-3p	0.319245396108944	-0.0905657335693759	1.03094731368483	-0.0878471017550587	0.929998200657803	NA	never_vs_current	NA	0.59787682608754	0.228584845186149	0.293548261694328	0	0	0
hsa-let-7i-5p	56.5348814994354	0.690271362476366	0.546165208264802	1.26385084957974	0.206283565944953	0.652005447713523	never_vs_current	FALSE	9.0664622162747	39.8386929081819	135.686496238533	9.59212434412168	4.88312112375762	6.78870686296933
hsa-miR-1-2-5p:Novel	7.00675042297127	-0.693488777659446	0.444314311897671	-1.56080675118825	0.118569354051265	0.544895928544417	never_vs_current	FALSE	8.35379416840805	6.23566408284443	7.74101717227473	3.48651773993416	4.18553239179224	3.29720097088103
hsa-miR-1-3p	1.57424954783031	0.387034532296817	0.487239774927808	0.794341004599146	0.426996938868492	NA	never_vs_current	NA	1.49889942851658	1.53328619026567	1.82204965716438	0.734881812941981	1.45893673136812	1.08757365539863
hsa-miR-1-5p	11.0494412944013	-0.492086205062871	0.413113915394555	-1.19116347023288	0.233589417068883	0.661180517814321	never_vs_current	FALSE	10.8480105294734	10.6723685319701	11.8325007600228	4.59000321564564	7.72466653267138	6.35847495057915
hsa-miR-100-3p	0.195254021014139	-0.214431846872449	1.62166837890201	-0.132229159587878	0.894803037603299	NA	never_vs_current	NA	0.355390893872088	0.212259549102312	0.153668496022677	0	0	0
