ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averagec.drinker	Averagec.no_drinker	Medianc.drinker	Medianc.no_drinker
has-miR-548o	0.547419712096707	0.771936977103271	0.822825610507903	0.938153804700828	0.348165374526713	NA	c.no_drinker_vs_c.drinker	NA	0.304066247780106	1.1450258194821	0	0
has-miR-548x	1.42652213207004	0.737618100403899	0.662990450471786	1.11256217925765	0.265896511356797	NA	c.no_drinker_vs_c.drinker	NA	1.12210636177976	3.22236698927605	0	0.364360688239181
hsa-let-7a-2-3p	0.482209274524469	-0.374025314058835	0.818211234729628	-0.457125615223836	0.647580759820165	NA	c.no_drinker_vs_c.drinker	NA	0.476070087141018	0.505857986509935	0	0
hsa-let-7a-3p	317.00347251487	0.596573245535555	0.409987811357281	1.45509995421711	0.145641591861169	0.553483405227604	c.no_drinker_vs_c.drinker	FALSE	86.0148380513556	2299.61241220079	15.0692681448269	28.5180089663819
hsa-let-7a-5p	17.6439699956773	0.155510029721503	0.410638593765573	0.378702908305499	0.704908493438914	0.891632677405214	c.no_drinker_vs_c.drinker	FALSE	13.3706070515274	26.7497241794372	5.80246774144331	9.2577218088521
hsa-let-7b-3p	0.505538675299228	-0.0597789413776147	1.16642752547474	-0.0512495976578437	0.959126630526474	NA	c.no_drinker_vs_c.drinker	NA	0.508612277595445	0.792652843675961	0	0
hsa-let-7b-5p	199.399532649692	0.294362440948994	0.443010835164325	0.664458784263837	0.506396719867742	0.822559198349758	c.no_drinker_vs_c.drinker	FALSE	59.6036012792923	1375.69396811806	11.3637104042957	17.3060533324557
hsa-let-7c-3p	4.7249905275718	0.176239694151492	0.500731052679202	0.351964778714058	0.724864676984605	0.903445601573599	c.no_drinker_vs_c.drinker	FALSE	3.19734556729369	9.61372740207775	0.197953459473891	0.962687572363338
hsa-let-7c-5p	15.8108760380756	0.518895733371531	0.445342936632938	1.16515990417339	0.24395427235632	0.65247495444039	c.no_drinker_vs_c.drinker	FALSE	7.88146587614117	92.9352307599571	2.35828998763951	3.99828211800739
hsa-let-7d-3p	2.77430868041043	-0.163193803575348	0.474782089885747	-0.343723588256288	0.731054169993021	0.904240974332081	c.no_drinker_vs_c.drinker	FALSE	2.8669357448447	11.4440555812418	1.58193103036999	1.15101354408652
