ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	18_37.x	37_53.x	53_81.x	18_37.y	37_53.y	53_81.y
hsa-miR-6718-5p	1.77700998904905	-0.171349289043089	0.382269775187251	-0.44824179196264	0.653978704383665	NA	53_81_vs_37_53	NA	3.44	1.021	0.837	0.749	0	0
hsa-miR-6719-3p	0.492827695526749	0.00805937753461164	0.470173373512796	0.0171412887003741	0.986323900124209	NA	53_81_vs_37_53	NA	0.567	0.369	0.554	0	0	0
hsa-miR-6719-5p:Novel	0.936261569949722	-0.0608592755668009	0.352949864060908	-0.172430369760104	0.863099198118426	NA	53_81_vs_37_53	NA	1.161	0.68	0.984	0.283	0	0.493
hsa-miR-6720-3p	11.1203085575026	-0.128418118722025	0.202367512607895	-0.63457872791492	0.525703205441394	0.926973349135089	53_81_vs_37_53	FALSE	12.154	10.945	10.2	7.762	7.464	7.059
hsa-miR-6720-5p	6.94436697072328	0.302223657364667	0.255780646784853	1.181573591136	0.23737493738373	0.829921214302238	53_81_vs_37_53	FALSE	7.072	5.998	7.884	4.229	4.181	6.211
hsa-miR-6721-3p:Novel	26.4017996704283	0.0703833977224519	0.191889592383244	0.366791115913579	0.713774834960146	0.963937502549137	53_81_vs_37_53	FALSE	30.037	29.367	19.087	19.227	13.126	14.81
hsa-miR-6721-5p	0.868735445331563	-0.0301326013269461	0.348752628617584	-0.0864010730080755	0.93114759398485	NA	53_81_vs_37_53	NA	1.149	0.74	0.712	0.139	0	0.162
hsa-miR-6722-3p	4.79721849821976	0.022478145403565	0.228952624667826	0.0981781512056361	0.921790831447629	0.99334401669653	53_81_vs_37_53	FALSE	4.462	4.671	5.304	4.066	3.409	3.944
hsa-miR-6722-5p	3.84623812906837	-0.394798364536984	0.448281361651913	-0.880693239357878	0.37848387697982	0.900293797242876	53_81_vs_37_53	FALSE	2.922	5.168	3.343	0.88	0.72	0.381
hsa-miR-6724-3p:Novel	18.0147998134782	0.209464588701098	0.207051344968974	1.01165529126355	0.311702899287529	0.871764855914574	53_81_vs_37_53	FALSE	18.255	17.239	18.638	12.96	12.056	10.848
hsa-miR-6724-5p	25.5871620008065	-0.26355746001522	0.244000419637833	-1.08015166697834	0.280074647342153	0.847413877042821	53_81_vs_37_53	FALSE	32.554	25.648	17.971	17.287	13.546	12.019
hsa-miR-6726-3p	1.34368507096712	-0.0839955088012341	0.332752290324624	-0.252426538429804	0.800711389453807	NA	53_81_vs_37_53	NA	2.032	0.985	1.007	0.888	0.345	0.366
hsa-miR-6726-5p	3.67404186569498	-0.676811725885007	0.26553402533576	-2.54887005546351	0.0108072560594106	0.243540258641137	53_81_vs_37_53	FALSE	5.145	3.618	2.145	2.621	1.72	1.529
hsa-miR-6727-3p	0.268837738547277	-0.192762432960629	0.840337961495635	-0.229386796495008	0.818568297469922	NA	53_81_vs_37_53	NA	0.47	0.203	0.127	0	0	0
hsa-miR-6727-5p	1.95174736440954	0.20763183735659	0.279069707690301	0.744014243161821	0.456867858318054	NA	53_81_vs_37_53	NA	2.086	1.805	1.973	1.25	0.611	1.149
hsa-miR-6728-3p	0.259729886794984	-0.738938530551922	0.838535730808334	-0.881224858289101	0.378196127235269	NA	53_81_vs_37_53	NA	0.381	0.29	0.095	0	0	0
hsa-miR-6728-5p	258.209877290551	-0.304490603993928	0.268673396763467	-1.13331132766373	0.257083536441065	0.846223390500178	53_81_vs_37_53	FALSE	340.57	214.146	219.17	138.885	92.572	105.451
hsa-miR-6729-3p	0.899097584173899	0.344446817482159	0.531651771648937	0.647880503461588	0.517062241685944	NA	53_81_vs_37_53	NA	1.468	0.536	0.697	0	0	0
hsa-miR-6729-5p	3.51562436218177	-0.106241257615095	0.229448750114935	-0.463028269109668	0.643344104291824	0.960303958186017	53_81_vs_37_53	FALSE	3.025	3.899	3.61	2.269	2.352	2.974
hsa-miR-6730-3p	0.146374451605415	-0.747005150809368	0.950786932995913	-0.785670400891573	0.432060608200144	NA	53_81_vs_37_53	NA	0.172	0.197	0.061	0	0	0
hsa-miR-6730-5p	3.98224584684339	0.0847162685292795	0.246758676879734	0.343316269970798	0.731360542154963	0.966112389368489	53_81_vs_37_53	FALSE	4.089	3.918	3.941	2.62	2.366	2.283
hsa-miR-6731-3p	0.0984521057044957	-0.243754426380772	1.11203323530599	-0.219197069513574	0.826496538169083	NA	53_81_vs_37_53	NA	0.12	0.074	0.103	0	0	0
hsa-miR-6731-5p	38.2677525122232	-0.0623687765620411	0.23424455163424	-0.26625497210892	0.790042848791195	0.979592476620176	53_81_vs_37_53	FALSE	45.149	36.311	33.042	27.463	17.501	19.334
hsa-miR-6732-3p	1.03347797452659	0.243787856188518	0.571754289878796	0.426385705370392	0.669826815775703	NA	53_81_vs_37_53	NA	2.016	0.496	0.582	0	0	0
hsa-miR-6732-5p	3.48788341855696	0.2338733991297	0.388469118918573	0.602038586183532	0.547148452854315	0.937554112848509	53_81_vs_37_53	FALSE	2.074	1.762	6.985	0.764	0.651	0.948
hsa-miR-6733-3p	1.36745729138935	0.0527610125523491	0.387639516747384	0.136108446824662	0.891735550072578	NA	53_81_vs_37_53	NA	1.894	1.247	0.933	0	0	0
hsa-miR-6733-5p	0.502398435398619	-0.648500235760746	0.442956041195547	-1.46402842595945	0.143186181668051	NA	53_81_vs_37_53	NA	0.373	0.597	0.535	0	0	0
hsa-miR-6734-3p	1.08723713922979	-0.126938862859338	0.5617293174296	-0.225978703479807	0.821217984080771	NA	53_81_vs_37_53	NA	1.952	0.486	0.835	0	0	0
hsa-miR-6734-5p	4.83476657538062	0.0529449452518228	0.271924875225314	0.194704310181087	0.845624437455201	0.993239896353621	53_81_vs_37_53	FALSE	4.688	4.425	5.46	2.637	2.288	2.869
hsa-miR-6735-3p	0.68002277397384	0.126146735372468	0.435231980817379	0.289837927662303	0.771940230576917	NA	53_81_vs_37_53	NA	0.612	0.574	0.875	0	0	0.073
