ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	_40.x	40_60.x	60_.x	_40.y	40_60.y	60_.y
hsa-miR-497-5p	0.73805947035891	0.0674502906254898	0.496578428232701	0.135830086025972	0.891955606264755	NA	60__vs_40_60	NA	0.86	0.645	0.71	0	0	0
hsa-miR-498-3p	2.17718201625905	-0.239727388911783	0.319684969141706	-0.749886332020571	0.453323167038673	0.871526507209472	60__vs_40_60	FALSE	2.024	2.413	1.939	1.333	1.39	1.561
hsa-miR-498-5p	4.75718907279906	0.171964828932775	0.469911378703761	0.365951617105198	0.714401178928187	0.958290661938412	60__vs_40_60	FALSE	4.555	3.512	8.016	1.502	1.165	0.68
hsa-miR-4999-3p	0.91828599091403	-0.0162263519678295	0.671165027568715	-0.0241763967151405	0.980711905319415	NA	60__vs_40_60	NA	0.837	0.743	1.482	0	0	0
hsa-miR-4999-5p	0.514674484216523	-0.176745395307734	0.560428127711845	-0.315375668293743	0.752476438799108	NA	60__vs_40_60	NA	0.655	0.461	0.36	0	0	0
hsa-miR-499a-3p	1.09165027069812	0.973411884151149	0.505218414321883	1.92671497427046	0.0540151606749319	NA	60__vs_40_60	NA	0.966	0.63	2.398	0	0	0.073
hsa-miR-499a-5p	1.26966191615803	-0.133337066755426	0.382457305177108	-0.348632553099438	0.727365185449837	NA	60__vs_40_60	NA	1.51	1.156	1.056	0.667	0.545	0
hsa-miR-499b-3p	2.30699439918023	0.38584324067214	0.377575616801151	1.02189660429091	0.306829839816738	0.820176267736275	60__vs_40_60	FALSE	2.252	2.33	2.364	1.18	1.006	0.55
hsa-miR-499b-5p	10.9885328313779	0.485421508528272	0.326307755042897	1.48761866987948	0.136851486947325	0.697878475960823	60__vs_40_60	FALSE	13.499	6.762	15.728	5.333	2.926	4.666
hsa-miR-5000-3p	0.678792324170721	0.250371942027491	0.589196524110344	0.424937914230807	0.670881934853621	NA	60__vs_40_60	NA	1	0.473	0.515	0	0	0
hsa-miR-5000-5p	0.839877336442202	0.313891058820684	0.436330919880334	0.719387612747613	0.471902127046095	NA	60__vs_40_60	NA	1.145	0.674	0.616	0.247	0	0
hsa-miR-5001-3p	2.15691689686839	-0.467716837602893	0.596268603279642	-0.784406281045692	0.432801754030774	0.862198599157459	60__vs_40_60	FALSE	3.058	1.723	1.37	0	0	0
hsa-miR-5001-5p	49.1334765775395	0.277191627049695	0.219367585798064	1.26359428190481	0.206375687021121	0.776110505994271	60__vs_40_60	FALSE	51.063	44.356	56.285	31.825	35.259	40.856
hsa-miR-5002-3p	6.33169164097057	-0.0770449689217932	0.346459196975773	-0.222378189392331	0.824019489111553	0.977434296759365	60__vs_40_60	FALSE	6.913	6.139	5.625	4.438	2.79	2.316
hsa-miR-5002-5p	0.538865067003991	-0.234890600206909	0.450504219645832	-0.521394894794928	0.602091707137452	NA	60__vs_40_60	NA	0.527	0.619	0.378	0	0	0
