ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average18_37	Average37_53	Average53_81	Median18_37	Median37_53	Median53_81
has-miR-548o	0.287925216163174	-0.80862501136996	2.0084214014389	-0.402617205129677	0.687229850650902	NA	53_81_vs_37_53	NA	0.510551748501567	0.143063346878554	0.379807297384646	0	0	0
has-miR-548x	1.36713054679273	0.00451284692602924	1.1467558258203	0.00393531632839196	0.99686007996421	NA	53_81_vs_37_53	NA	2.69587856378808	0.63619055015135	1.38571021670455	0	0	0
hsa-let-7a-2-3p	0.638897923688425	-1.13801194897491	0.985866134508246	-1.15432705226512	0.248366109669849	NA	53_81_vs_37_53	NA	0.885098021007401	0.546575057258882	0.65305549513748	0	0	0
hsa-let-7a-3p	137.524839917561	0.683287268298308	0.615751878625109	1.10967955115946	0.267137137680874	0.715914510312784	53_81_vs_37_53	FALSE	23.9218662493507	21.5805698290143	483.728547958177	19.0678666671714	15.1425560022341	12.648660302785
hsa-let-7a-5p	8.92447060168507	1.69654276142381	0.523598131223096	3.24016198732563	0.00119461813268595	0.0744429039283174	53_81_vs_37_53	FALSE	10.0742471971845	9.25498652236981	9.19899112466933	7.96124430898927	3.18772568073507	4.77765000305586
hsa-let-7b-3p	0.294680240946625	-2.28671829763438	2.07958872544343	-1.09960121905681	0.271505910595633	NA	53_81_vs_37_53	NA	0.224218853481362	0.519243129390769	0.0450597469957369	0	0	0
hsa-let-7b-5p	73.1459732231244	1.14584195569143	0.652520442514554	1.75602461016517	0.0790842064860141	0.468558502279524	53_81_vs_37_53	FALSE	16.6186508810377	13.9743552067359	253.800597681264	9.43111016059956	8.87128488907259	11.6265103993731
hsa-let-7c-3p	2.40175442813894	-0.407808201325985	0.749645220062702	-0.544001602907406	0.586440369819506	0.873735891246576	53_81_vs_37_53	FALSE	3.99156840576738	2.24061830240345	0.778173771419945	0.399335697821725	0.76931164342829	0
hsa-let-7c-5p	6.4291207821317	1.65815954486769	0.613770319661023	2.70159617001922	0.00690075203492195	0.172230752698502	53_81_vs_37_53	FALSE	3.54423613254553	3.77881560410864	15.7747960229589	2.8924866187127	2.28435761710109	4.23175756435091
hsa-let-7d-3p	2.77160257766232	-0.136337738393791	1.00234187682763	-0.136019198185448	0.891806104055977	0.972301451495225	53_81_vs_37_53	FALSE	6.5650491823845	1.86512066328953	3.66308605162154	1.68245882357395	0.226692859143579	0.715251463685969
hsa-let-7d-5p	14.2466789840754	1.25781889637646	0.680354943434656	1.84876865893938	0.0644912247173972	0.426110336251582	53_81_vs_37_53	FALSE	4.5710401056834	4.33125555305791	44.8444241595826	2.83627861823916	3.25562296802527	3.86172769961729
hsa-let-7e-3p	0.0485034830290293	0.226742826891049	5.50877640975501	0.041160288605929	0.967168111927909	NA	53_81_vs_37_53	NA	0.110278573375488	0.0384124897228878	0.0486682936820049	0	0	0
hsa-let-7e-5p	4.19330498161414	1.77730911416655	0.622204780067242	2.85646972042624	0.00428380862232246	0.138325562288541	53_81_vs_37_53	FALSE	4.15129811207083	1.86544134346225	9.02674065184624	1.95459559372379	1.74532174478539	3.79491170598385
hsa-let-7f-1-3p	0.0924076546196397	-0.218010252960535	5.51257124047011	-0.039547834114148	0.968453617215796	NA	53_81_vs_37_53	NA	0.128536495783418	0.0752260453028541	0.0896034420948486	0	0	0
hsa-let-7f-2-3p	0.586428844638111	-0.508560059595607	1.15620488074746	-0.439852891182084	0.660043657238097	NA	53_81_vs_37_53	NA	0.423187721195171	0.673163973723958	0.399825000213891	0	0	0
hsa-let-7f-5p	1.71469356427272	0.386498490557684	0.761837607208035	0.507323984666647	0.611927512328734	0.889205783131826	53_81_vs_37_53	FALSE	1.88594284285359	1.56744085512763	1.67293595831998	1.12614655600792	0.0412150121360129	0.721251169376236
hsa-let-7g-3p	2.59430250875676	-0.615428763182357	0.795779910183182	-0.773365544049347	0.439306075599548	0.803427648027875	53_81_vs_37_53	FALSE	6.99621433281555	2.72453026532083	0.496738424443899	1.57662615003764	0	0
hsa-let-7g-5p	73.6452310998158	1.47642972556191	0.722559742817223	2.04333238910514	0.041019545414168	0.358507969902612	53_81_vs_37_53	FALSE	14.179370666919	10.2747992384631	265.114922284361	9.59212434412168	4.6250343636006	6.61467336094042
hsa-let-7i-3p	0.318675899686391	-1.34823640536763	1.47729171800232	-0.912640603706081	0.361431591980298	NA	53_81_vs_37_53	NA	0.272134215929012	0.329509015782554	0.343842830111794	0	0	0
hsa-let-7i-5p	69.8407741425435	0.669238770219804	0.726202622459066	0.921559285965711	NA	NA	53_81_vs_37_53	NA	14.632464071645	17.7111409099978	233.359836031968	7.64058680858008	5.63949232343092	8.22586452900027
hsa-miR-1-2-5p:Novel	6.95114167052812	0.0558087267301741	0.549938138930194	0.101481826371853	0.919167983528887	0.983033659088002	53_81_vs_37_53	FALSE	8.15436286507599	5.96961276201339	8.60338824140323	3.33018411262269	3.58577660728171	4.31559449767028
hsa-miR-1-3p	1.50732516730025	-0.0429350486732588	0.579883973824466	-0.07404075748135	0.940977954463337	0.991650300508966	53_81_vs_37_53	FALSE	2.09286823929546	1.41072490740948	1.44452295708161	1.5015287413439	0.665472312370672	1.0483785812919
hsa-miR-1-5p	12.4579438851916	-0.753355320282023	0.583151347246135	-1.29186929574913	0.196402412493573	0.664552259729857	53_81_vs_37_53	FALSE	14.1420051780396	13.1483295971499	10.9769304255874	8.28088607351389	5.79669552394405	6.83903063587587
