ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averageabstemious.28	Averageheavy.28	Averagelight.28	Medianabstemious.28	Medianheavy.28	Medianlight.28
has-miR-548o	0.287925216163174	-0.330027760874261	2.73502920400274	-0.120666997043857	0.90395480048187	NA	light.28_vs_abstemious.28	NA	0.819544209917442	0.364885941835411	0.263037463529591	1.30347504090334	0	0
has-miR-548x	1.36713054679273	2.77371181215277	1.5267575446534	1.81673365353007	0.0692579060847726	NA	light.28_vs_abstemious.28	NA	0.295243993802183	0.93566086562828	1.89289696748308	0.146758758346356	0	0
hsa-let-7a-2-3p	0.638897923688425	2.87182677723121	1.39871993287509	2.05318213441638	0.0400549164482996	NA	light.28_vs_abstemious.28	NA	0.117407006677085	0.551304615329799	0.800106679773202	0	0	0
hsa-let-7a-3p	137.524839917561	0.370703956353179	0.846168702370403	0.438096983869425	0.66131598073793	0.864654169327375	light.28_vs_abstemious.28	FALSE	25.8561155565589	36.5396009758887	226.460861962824	18.7851210683336	21.219997861349	13.7586767277156
hsa-let-7a-5p	8.92447060168507	0.328488540389246	0.743824757234374	0.441620875339784	0.658763575356505	0.863952229975745	light.28_vs_abstemious.28	FALSE	7.71202519428746	13.5402846557546	7.45382550634282	7.31958632117258	4.35224684351315	3.45036919729746
hsa-let-7b-3p	0.294680240946625	0.852308073368804	2.95764270400714	0.288171411717196	0.773215531129682	NA	light.28_vs_abstemious.28	NA	0.0587035033385424	0.15355254752847	0.387236573185268	0	0	0
hsa-let-7b-5p	73.1459732231244	0.0399031552779692	0.904893054247443	0.0440970953315083	0.964827008123924	0.995792356860457	light.28_vs_abstemious.28	FALSE	13.6428759588243	29.3413953374219	117.116208110294	9.12432528632336	10.5965128357126	8.95350147642299
hsa-let-7c-3p	2.40175442813894	-0.755174367481	0.967710132761094	-0.780372491632715	0.435171654702492	NA	light.28_vs_abstemious.28	NA	10.8660711284322	2.12372416817324	1.81539287020995	1.32665842522031	0.624489609151907	0
hsa-let-7c-5p	6.4291207821317	-0.0152659023573497	0.86496108424328	-0.0176492360586433	0.985918678087452	0.998033772910796	light.28_vs_abstemious.28	FALSE	4.41994397788905	5.00900712818456	8.44788979994379	4.18262075495576	3.36917616263829	2.43505707850035
hsa-let-7d-3p	2.77160257766232	1.03727774900787	1.30550790463533	0.794539615826855	0.426881355713472	NA	light.28_vs_abstemious.28	NA	2.50610861117754	1.83474282120952	5.04279843401806	2.60695008180667	0	1.19800709346518
hsa-let-7d-5p	14.2466789840754	0.37167458485106	0.9206716879986	0.403699374810823	0.68643379939789	0.879827566762904	light.28_vs_abstemious.28	FALSE	6.32935409935656	7.38442276638778	21.2338298373645	4.64330448827109	4.33872992806906	2.83627861823916
hsa-let-7e-3p	0.0485034830290293	-0.937841867395527	7.57768440299693	-0.123763648301929	0.901502414920094	NA	light.28_vs_abstemious.28	NA	0.521390016361334	0.0130241553094379	0.0537885308136664	0	0	0
hsa-let-7e-5p	4.19330498161414	0.583973094562973	0.861000926724594	0.678249089445832	0.497613772320158	NA	light.28_vs_abstemious.28	NA	18.1222660765872	3.41584145343196	4.14299237898672	2.09131037747788	2.35777754014989	2.09774884319636
hsa-let-7f-1-3p	0.0924076546196397	2.04053429548753	7.59173087127283	0.268783803073016	0.788096058104574	NA	light.28_vs_abstemious.28	NA	0.0293517516692712	0.185348708051615	0.0531033350164954	0	0	0
hsa-let-7f-2-3p	0.586428844638111	-0.0279437680175012	1.57427994379835	-0.0177501899376802	0.985838141162335	NA	light.28_vs_abstemious.28	NA	0.856805658053612	0.376534484030433	0.566078886044676	1.30347504090334	0	0
hsa-let-7f-5p	1.71469356427272	0.856714063629735	1.05793992325402	0.809794625194447	0.418058222223513	NA	light.28_vs_abstemious.28	NA	2.10233548994653	1.18294670568556	1.94188771195361	1.98998763783047	0.504595849319647	0.615156600840658
hsa-let-7g-3p	2.59430250875676	0.13601220745017	0.998593245676597	0.136203812752624	0.891660161118507	NA	light.28_vs_abstemious.28	NA	7.44686901902927	3.34461690545779	3.15025947277527	0.666131998054403	0	0
hsa-let-7g-5p	73.6452310998158	-0.396803402662469	0.997993853612716	-0.397601048569637	0.69092428746742	0.882366250813581	light.28_vs_abstemious.28	FALSE	9.01368063426674	20.902218457419	123.588994621458	7.33793791731781	4.86410953426954	6.35847495057915
hsa-let-7i-3p	0.318675899686391	2.14376245407069	2.05593604354862	1.04271845459282	0.297078708154779	NA	light.28_vs_abstemious.28	NA	0	0.261444956692732	0.370761262251994	0	0	0
hsa-let-7i-5p	69.8407741425435	0.456509209623197	1.00063839116338	0.456217964106337	0.648233248722662	0.863952229975745	light.28_vs_abstemious.28	FALSE	5.45360035568173	38.4819865297022	104.900883184548	4.32985798735362	6.71710364256269	7.16512008145835
hsa-miR-1-2-5p:Novel	6.95114167052812	-0.640889869005384	0.736598498261289	-0.870066760274666	0.384263921520401	0.691922173798793	light.28_vs_abstemious.28	FALSE	5.23676950992028	10.567867136075	5.86133060683782	3.99679198832642	4.28089437374607	3.65656325382065
hsa-miR-1-3p	1.50732516730025	0.594228898585635	0.710040613939941	0.836894238046921	0.402652019443347	NA	light.28_vs_abstemious.28	NA	2.5617371141327	1.47222644976851	1.64528518196392	2.60695008180667	1.05110197384487	1.08240400136821
hsa-miR-1-5p	12.4579438851916	0.0918093632567307	0.795717444082641	0.115379352230458	0.908144444186465	0.985264349263128	light.28_vs_abstemious.28	FALSE	8.17163077353613	15.3608796507015	11.8675772783745	7.31958632117258	7.56478531165729	6.35809514030493
