ID	Average_underweight	Average_normal	Average_overweight	Average_obese	Median_underweight	Median_normal	Median_overweight	Median_obese	log2FoldChange	pvalue	padj	comparison	treshold
hsa-miR-4669-5p:Novel	7.52816887802509	6.57071772846211	5.66998157490752	4.30793454217451	5.45950239896418	4.10195799771343	3.56667624541158	3.32277561210309	-0.183982600063163	0.539675075011645	0.81544942547136	normal_vs_underweight	FALSE
hsa-miR-4670-3p	8.01986721673704	6.69397554055273	7.38416262363917	3.99564960681573	3.08178700010914	3.47447302583365	3.99594727933363	3.41474422229566	-0.0380065734080634	0.918254019796552	0.977893671953426	normal_vs_underweight	FALSE
hsa-miR-4670-5p	0.436134436272877	0.548624454543132	0.307233328514175	0.173129724621293	0	0	0	0	-0.0193385682052101	0.972003035791845	NA	normal_vs_underweight	NA
hsa-miR-4671-3p	0.480643325038874	0.892213132422677	0.788821044222927	0.367065976225191	0	0	0	0	-0.180196666980813	0.804249666332382	NA	normal_vs_underweight	NA
hsa-miR-4671-5p	2.76213489130747	4.89889436524328	3.15468973679263	1.58932614759183	0.975222959688194	2.04873895734227	1.13923625148295	1.04784050323164	0.744172487939223	0.0945959706979447	0.402764287610837	normal_vs_underweight	FALSE
hsa-miR-4672	16.3108853817001	22.199943710176	15.203727761013	10.6978673371978	7.27933653195224	11.9704394090148	8.09825667401494	4.71079630837592	0.392712513935852	0.272269738102313	0.623265088586889	normal_vs_underweight	FALSE
hsa-miR-4672-5p:Novel	2.76919335451036	4.12179502772612	2.90907313745322	1.5291950436866	0.807414720880627	2.27213876990949	1.86748022522608	1.16699067547115	0.515262818968813	0.149776056236318	0.490045097792073	normal_vs_underweight	FALSE
hsa-miR-4673	1.06031074471224	1.97903353673541	1.30431955985315	2.3077354023803	0.397548710543478	1.19396907223928	1.12279703437386	0.197478191736218	0.335486720594993	0.343555317905709	NA	normal_vs_underweight	NA
hsa-miR-4673-3p:Novel	7.17730454364551	8.6846077591308	8.03183541701856	7.2980971459909	4.29300355358316	5.87804717733288	5.76958148885554	5.12852798678967	0.183860287157367	0.528863281738897	0.813787389560971	normal_vs_underweight	FALSE
hsa-miR-4674	107.952204219425	82.2964543347812	63.6864115684081	83.9203486488033	36.5732101356473	45.6053926384655	25.6557972500592	36.8660771660069	-0.212076707434474	0.485781129300688	0.789620051098791	normal_vs_underweight	FALSE
hsa-miR-4674-5p:Novel	27.1853014130912	28.3815488593381	19.0297434426521	21.4464275805922	15.1729033755318	19.7865391865539	15.6286765222927	10.7849541771598	0.188534253227389	0.478741687721783	0.786476996933558	normal_vs_underweight	FALSE
hsa-miR-4675	33.0220621923716	47.2653973291583	65.4525684229681	51.5227508384287	18.4907220006548	26.8969219647991	27.4451477143105	20.1136330821281	0.387942824034202	0.237468106231506	0.599476331745794	normal_vs_underweight	FALSE
hsa-miR-4675-5p:Novel	4.64845481199038	5.04832483156589	3.71965031267682	2.5085122433701	2.42224416264188	2.46441020056167	1.86143354643147	1.5136154792399	0.0701589994714706	0.853140734713283	0.959028642995606	normal_vs_underweight	FALSE
hsa-miR-4676-3p	0.204234926039669	0.248374576403572	0.1756875052828	0.127123578380135	0	0	0	0	-0.316623895293269	0.741144680080173	NA	normal_vs_underweight	NA
hsa-miR-4676-5p	3.95108672726393	3.4863479685314	2.7550900432331	1.58516637282037	0.825674109776845	2.16327676793671	1.59543024216506	1.02699778715172	-0.140964279637339	0.672934322635023	0.882314259752609	normal_vs_underweight	FALSE
hsa-miR-4677-3p	2.12451378442235	4.70589084998325	4.3173583571884	3.15082928390783	0.623374540256912	0.960526061811306	1.10870062386425	0	-0.635210951092393	0.207228590896081	0.55531110628146	normal_vs_underweight	FALSE
hsa-miR-4677-5p	0.41567122657583	0.573436419065206	0.306409546306415	0.426362120548661	0	0	0	0	-0.285286690233206	0.645828307392639	NA	normal_vs_underweight	NA
hsa-miR-4678	0.530800963644095	0.526230054720704	0.35968819870373	0.454583354474443	0	0	0	0	-0.297625635133027	0.608989594192271	NA	normal_vs_underweight	NA
hsa-miR-4678-3p:Novel	1.23780912836768	1.7127217799869	0.959542054100022	1.72713433589203	0.397548710543478	0.812131747968333	0.296353201220303	0	0.121102599591195	0.763789927705639	NA	normal_vs_underweight	NA
