ID	Average_underweight	Average_normal	Average_overweight	Average_obese	Median_underweight	Median_normal	Median_overweight	Median_obese	log2FoldChange	pvalue	padj	comparison	treshold	samples_sex
hsa-let-7a-2-3p	0.62315813263451	0.891255372664574	1.62034682099604	2.06820638492066	0.62315813263451	0	0.341503705656076	0	0.324404508702487	0.860606497891249	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-let-7a-3p	32.2105675845873	42.0416822489633	448.296958948317	33.4604732935469	32.2105675845873	24.1998981653253	15.866572638943	21.6821823693238	0.105668313244616	NA	NA	underweight_vs_normal	NA	male
hsa-let-7a-5p	4.98526506107608	13.6719666416076	13.9429901293075	11.4184226228827	4.98526506107608	9.40309291550117	6.89178255877295	6.09238528042514	-1.23321513511889	0.310388743009745	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-let-7b-3p	0	0.497055734904109	0.192080294849793	0.641994645839299	0	0	0	0	0.701018135710254	0.833586494838992	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-let-7b-5p	27.2253025235112	31.9284224244579	217.058154763091	31.9510004911619	27.2253025235112	13.1770219438565	8.88220495637851	21.0827929404424	-0.0100436648161622	0.994018289916202	0.999216788243687	underweight_vs_normal	FALSE	male
hsa-let-7c-3p	1.86947439790353	8.8319041877686	6.26328036121441	1.39176303395826	1.86947439790353	0.937523636152145	1.34862510910006	0.494623154963669	-0.328612352426221	0.807146289217387	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-let-7c-5p	1.86947439790353	5.69340704808007	15.3373445597131	5.24303613620363	1.86947439790353	4.22155783921882	3.18224276746769	4.15910378708611	0.167214214743074	0.908946627591875	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-let-7d-3p	1.24631626526902	4.34912720582557	4.04872923799948	3.24930113888495	1.24631626526902	1.44460429313296	1.13160039559062	1.48386946489101	-0.336866920812661	0.857064256952388	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-let-7d-5p	3.11579066317255	8.3719856217473	41.7579911896645	3.60607476019294	3.11579066317255	5.23971562871718	4.0305449006593	2.70554843874878	-0.235388504746442	0.869819337474607	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-let-7e-3p	0	0.201960653145438	0.0642778592350445	0	0	0	0	0	1.6524827252154	0.839566282123175	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-let-7e-5p	8.24422333099106	6.12752232171035	4.64920895439391	4.61321518748078	8.24422333099106	2.99691895680185	2.02448031322698	4.05221111644272	-0.875643368165872	0.535592906593716	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-let-7f-1-3p	0	0.132560720496084	0.0901835747297099	0.303570687129555	0	0	0	0	1.4891322690107	0.841446584419432	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-let-7f-2-3p	0	0.50162035227757	1.15487638077486	1.02763698583535	0	0	0	0	0.609016125311179	0.785528069238229	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-let-7f-5p	0	2.04465940811712	2.98040711584751	2.04346955335465	0	0.892882534521466	1.03866213553581	0	-1.65430928866982	0.344385816555625	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-let-7g-3p	1.86947439790353	6.50773050546919	4.0070619328929	2.04594210080063	1.86947439790353	1.13348508978728	1.33040469776244	0	-1.3994630255581	0.283482103828658	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-let-7g-5p	18.3579210598856	25.0058245842644	233.932818342399	20.3799270833892	18.3579210598856	8.27236105178572	7.0054170938392	5.72102087253278	-0.136393455089629	0.929505382722522	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-let-7i-3p	0.62315813263451	0.401698874299267	0.664404762566223	0.101899232427623	0.62315813263451	0	0	0	1.40877343525197	0.598184855067499	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-let-7i-5p	44.3369073181278	34.9591056970868	192.374202651846	26.0027922564004	44.3369073181278	9.5891140396033	6.26905155772925	12.5041108736859	0.39734676732097	0.770130922491683	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-1-2-5p:Novel	0.62315813263451	10.4257665260386	5.0155479533444	11.6928798354919	0.62315813263451	4.80247758814198	2.5125875303072	3.88704535189924	-3.09612384469857	0.0385257780809212	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-1-3p	0.62315813263451	2.23436718556901	2.26555968928961	2.7698031629129	0.62315813263451	1.23071605515509	1.74760027321737	1.72534358441331	-0.284893016825551	0.834119952871487	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-1-5p	12.6063302594326	18.8485873198169	14.5562850807012	13.7283020047258	12.6063302594326	9.18848501286275	4.95712893976191	7.79708123420373	-0.737681212763836	0.558821736506684	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-100-3p	0.62315813263451	0.27825634892461	0.412582894303635	0	0.62315813263451	0	0	0	2.55708869156478	0.477496560984585	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-100-5p	3.73894879580706	5.41026517392024	6.99709866926616	1.81370613458659	3.73894879580706	0.531477963573892	0.862097276073927	1.06565167862664	1.58796418257307	0.470843071613834	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-101-2-5p	0	0.81748715531363	2.185926195638	1.34815877220306	0	0.261822912338501	0.319165128756662	0	-0.647040493175165	0.702656035578603	0.997970109999829	underweight_vs_normal	FALSE	male
hsa-miR-101-3p	0	2.70368094089088	5.1060078254703	3.72101333592914	0	2.21519539116137	2.37222686804661	2.76667398761877	-1.80984244798482	0.245997228226566	0.997970109999829	underweight_vs_normal	FALSE	male
