ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_modAct	Average_inactive	Average_modInact	Median_modAct	Median_inactive	Median_modInact
hsa-miR-3173-5p	0.100134448273833	-0.422463956241276	2.13755412824883	-0.197638951294008	0.843327557144898	1	inactive_vs_modAct	FALSE	0.146028100168535	0.0747973226429325	0.111215861928797	0	0	0
hsa-miR-3174	1.18340927556348	0.085854479399376	0.49412224965564	0.173751494613345	0.862060766125139	1	inactive_vs_modAct	FALSE	1.29774849703737	1.29382797030716	1.33936495236167	0	1.13381611519371	0.845837466338997
hsa-miR-3174-3p:Novel	10.2716860249694	-0.271896337128356	0.386704718934865	-0.703110988346002	0.481986584794557	1	inactive_vs_modAct	FALSE	11.5733449061144	11.9356460130694	10.0909878137735	7.99358397665284	7.35841494368471	6.01935353056633
hsa-miR-3175	1.75884313396908	0.691652411180483	0.421246124316457	1.64191994004172	0.100606596872289	1	inactive_vs_modAct	FALSE	1.57098240220877	2.80423961786177	1.86718861902969	1.19418668024306	1.78947576861808	1.22125957422362
hsa-miR-3175-3p:Novel	3.31704002126593	0.181394046671229	0.335579729738526	0.540539343102059	0.588825136187484	1	inactive_vs_modAct	FALSE	3.89673940199215	3.5295350284687	3.73241977633948	2.60695008180667	1.90643914448282	3.12062725860426
hsa-miR-3176	3.79086705053453	-0.00439013818204779	0.364201320476901	-0.0120541522921969	0.99038241090315	1	inactive_vs_modAct	FALSE	3.72349730236729	3.73414828581422	5.09566931712374	3.57447585243087	3.00649033753662	3.70014044743351
hsa-miR-3176-5p:Novel	21.1147515163134	0.740711003971149	0.414967847413803	1.78498408632734	0.0742638981706149	1	inactive_vs_modAct	FALSE	16.5253984272904	27.4366194712087	24.1194705742242	8.71629434983539	16.9928173112454	12.4673350212453
hsa-miR-3177-3p	2.09468315004583	0.0818824819844712	0.513800189150891	0.159366391280997	0.873380216340233	1	inactive_vs_modAct	FALSE	1.55316406436416	1.71309617742926	3.61381076273065	0.828179071701083	1.09358369236475	1.17625150434272
hsa-miR-3177-5p	1.46981883384392	0.458685259990414	0.743588188625165	0.616853880961298	0.537331108818777	1	inactive_vs_modAct	FALSE	1.22234202708351	2.09631385687144	1.82240128802772	0	0	0
hsa-miR-3178	4.42261817864517	-0.65895636650934	0.426117834782216	-1.54641817995279	0.122003606323678	1	inactive_vs_modAct	FALSE	4.81848196205406	4.83226007625786	3.96134524009511	2.89301488318206	3.93203204845969	3.55046534182074
hsa-miR-3178-3p:Novel	11.7421893815963	-0.45304685093656	0.29792889849957	-1.52065426757255	0.128346620793766	1	inactive_vs_modAct	FALSE	16.2601330234258	13.8696420089772	9.3275991956843	10.7234275572926	9.39106098169255	8.68958660907721
hsa-miR-3179	1.58349751252897	0.538268035603287	0.624557498407539	0.861839041202342	0.38877609768502	1	inactive_vs_modAct	FALSE	0.68760752638048	1.49950875450596	2.32694510165135	0	1.11766306108564	0.2022768639186
hsa-miR-3179-5p:Novel	1.40904556108124	-0.890509655957342	0.644376448153972	-1.38197114203739	0.166980562043178	1	inactive_vs_modAct	FALSE	1.08007625888453	0.349519932538354	2.31502020412257	0	0	0.786094604259912
hsa-miR-3180	48.907246988738	-0.131416296366255	0.29873640253988	-0.439907206650891	0.660004316110255	1	inactive_vs_modAct	FALSE	40.4615937686893	34.7822127603224	92.8788416603183	31.8821370062408	27.9866311235152	28.7956750258775
hsa-miR-3180-3p	71.4179353278202	-0.238833273567039	0.235426972327933	-1.01446861081984	0.310359199935627	1	inactive_vs_modAct	FALSE	59.0422870883189	96.500251845557	87.2178483096958	34.7098394245525	25.9406454553191	28.8883236667153
hsa-miR-3180-4-3p:Novel, hsa-miR-3180-5-3p:Novel	18.1829729412307	-0.175420313253898	0.314340674246962	-0.558057953124065	0.576804811253771	1	inactive_vs_modAct	FALSE	15.8790448996245	16.8036530873736	25.6431639357055	12.1305503874118	12.7737596457946	13.1234217570046
hsa-miR-3180-5p	31.9403121894114	-0.47705567049473	0.263901778895049	-1.80770160963731	0.0706529539485877	1	inactive_vs_modAct	FALSE	39.1420610222483	34.5560367610101	36.8248594262162	26.7435800139413	24.6348915285318	29.0835795634307
hsa-miR-3181	5.34250273562039	-0.645278188475393	0.436337846640945	-1.47884991742736	0.139180431192909	1	inactive_vs_modAct	FALSE	8.1683440809497	3.91531566241025	5.47111610927914	3.40034617056311	3.02114195140692	3.22136587532071
hsa-miR-3181-3p:Novel	3.43307972941947	-0.0832876867631293	0.577467065783671	-0.144229327866691	0.885319382770439	1	inactive_vs_modAct	FALSE	3.74173416418762	5.28615063958547	3.32826613243362	0.885614916840024	1.57186234369467	1.2865800826524
hsa-miR-3182	0.785111615136255	0.341747739589356	0.760454783280997	0.449399158375833	0.653143738335744	1	inactive_vs_modAct	FALSE	0.506718044081508	1.34531602213743	1.04429998252318	0	0	0
hsa-miR-3182-3p:Novel	5.46344783134593	-0.261381389598029	0.443775666644195	-0.588994415972782	0.555865019501775	1	inactive_vs_modAct	FALSE	5.33532990503694	9.65801287718699	5.9977721176745	3.2337891191043	2.70532111828991	3.32921837120351
hsa-miR-3183	6.60633268190666	-0.04552627016073	0.363739328476461	-0.125161802963179	0.900395456214342	1	inactive_vs_modAct	FALSE	5.4921387640352	5.98847017110679	9.33528333963571	4.08307268950877	4.4037490795064	5.27227612211376
hsa-miR-3183-3p:Novel	8.96168371074655	-0.235094610212621	0.582079607684531	-0.403887384318116	0.686295533775961	1	inactive_vs_modAct	FALSE	11.4483831638986	1.50747200679576	2.23546752643848	1.19418668024306	1.15594082598398	1.53533444182585
hsa-miR-3184-3p	0.444700257685539	0.44617180653294	0.825838402075145	0.540265269103266	0.589014106411438	1	inactive_vs_modAct	FALSE	0.261640393357277	0.57502011194708	0.743087841162746	0	0	0
hsa-miR-3184-5p	3.26257737490849	-0.26569038338672	0.333530783411396	-0.796599284387499	0.425683793161429	1	inactive_vs_modAct	FALSE	3.68264826245239	2.72298865843161	3.7195646299304	2.8924866187127	2.47839315972301	2.56701277138551
hsa-miR-3185	4.4436435078375	0.0168312552835296	0.4619034792693	0.0364389012833494	0.970932396025099	1	inactive_vs_modAct	FALSE	5.18786237649568	6.14202498087271	2.64744734324747	2.17514731079725	3.13523429338855	2.28696291465445
