ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	no_coffee.x	light_drinker.x	heavy_drinker.x	no_coffee.y	light_drinker.y	heavy_drinker.y
hsa-miR-6719-3p	0.478689117963069	0.195298068879013	0.433837170040903	0.450164445016548	0.652591871238893	NA	heavy_drinker_vs_light_drinker	NA	0.612	0.41	0.462	0	0	0
hsa-miR-6719-5p:Novel	0.886956514324839	0.218731817285146	0.322447438285142	0.678348751810273	0.497550594578388	NA	heavy_drinker_vs_light_drinker	NA	1.131	0.768	0.923	0.377	0.167	0.283
hsa-miR-6720-3p	11.3035227578425	0.035414188682262	0.186234792876515	0.19015882121309	0.849184678209402	0.95656314120743	heavy_drinker_vs_light_drinker	FALSE	11.696	10.11	11.648	7.938	7.311	7.056
hsa-miR-6720-5p	7.05216878844621	0.0858341398891127	0.235064462305294	0.365151495242331	0.71499832317209	0.898209710137016	heavy_drinker_vs_light_drinker	FALSE	6.316	6.619	7.951	5.044	4.838	4.564
hsa-miR-6721-3p:Novel	24.9898509566534	-0.112028198916733	0.170994547590125	-0.655156556133391	0.512366962007856	0.798141652067109	heavy_drinker_vs_light_drinker	FALSE	37.827	21.881	19.677	19.393	17.081	10.469
hsa-miR-6721-5p	0.866300683209401	-0.224697780119211	0.321389319382285	-0.699145138211449	0.484461332059027	NA	heavy_drinker_vs_light_drinker	NA	1.007	0.881	0.713	0	0	0
hsa-miR-6722-3p	4.81407814648842	-0.30191581418266	0.198537234303975	-1.5207012187971	0.128334832729278	0.481368197149468	heavy_drinker_vs_light_drinker	FALSE	5.934	4.357	4.117	4.488	3.425	3.475
hsa-miR-6722-5p	3.61263866927645	-0.906939077039097	0.40457734113236	-2.24169518367166	0.0249810793814206	0.291855452008072	heavy_drinker_vs_light_drinker	FALSE	3.852	5.247	2.289	0.814	0.793	0.343
hsa-miR-6724-3p:Novel	17.8940733142437	-0.243640459685649	0.179038397439567	-1.3608279741662	0.173568059309646	0.52849785524874	heavy_drinker_vs_light_drinker	FALSE	16.438	20.515	16.863	11.856	12.813	11.513
hsa-miR-6724-5p	24.2640526568236	-0.38569694762719	0.209737620149248	-1.83894976663095	0.0659225749333911	0.382995829368452	heavy_drinker_vs_light_drinker	FALSE	32.621	26.072	17.825	14.139	17.604	12.57
hsa-miR-6726-3p	1.3298017690073	-0.262461513716775	0.304509514988855	-0.861915640719405	0.388733941426989	NA	heavy_drinker_vs_light_drinker	NA	1.673	1.247	1.112	0.657	0.383	0.442
hsa-miR-6726-5p	3.56461200630219	-0.00128675133186949	0.248604574181815	-0.00517589564111735	0.99587025121889	0.998035343567109	heavy_drinker_vs_light_drinker	FALSE	5.1	3.154	2.786	2.557	1.554	1.413
hsa-miR-6727-3p	0.287410464642475	-0.906537399969895	0.764412059845426	-1.18592765288555	0.23565087157827	NA	heavy_drinker_vs_light_drinker	NA	0.563	0.209	0.032	0	0	0
hsa-miR-6727-5p	1.879902347216	-0.168508925797755	0.253549466583386	-0.664599804008409	0.506306494649579	0.794583454589943	heavy_drinker_vs_light_drinker	FALSE	2.669	1.581	1.627	1.748	0.74	0.749
hsa-miR-6728-3p	0.236411468972675	-0.0644449671031259	0.77542266767381	-0.0831094702150691	0.933764495757201	NA	heavy_drinker_vs_light_drinker	NA	0.569	0.127	0.088	0	0	0
hsa-miR-6728-5p	265.147683864665	-0.186612131151556	0.244268721071834	-0.763962452223581	0.444889618603258	0.759670453720162	heavy_drinker_vs_light_drinker	FALSE	399.681	193.689	184.411	150.64	131.476	93.065
hsa-miR-6729-3p	0.846756778088026	-0.422906309737772	0.462649613687582	-0.914096320900318	0.360666235560225	NA	heavy_drinker_vs_light_drinker	NA	1.441	0.681	0.584	0	0	0
hsa-miR-6729-5p	3.42225082517981	-0.390653655964127	0.207452599132064	-1.88309839258961	0.059687035029895	0.369748276777882	heavy_drinker_vs_light_drinker	FALSE	3.928	3.581	3.019	2.93	2.594	2.101
hsa-miR-6730-3p	0.141569040816266	-0.420819463058137	0.932648902046483	-0.451208876282109	0.651839012847516	NA	heavy_drinker_vs_light_drinker	NA	0.154	0.181	0.101	0	0	0
hsa-miR-6730-5p	3.88932599542771	0.245666327299519	0.218224044958071	1.12575278928003	0.260270172407673	0.625246301306909	heavy_drinker_vs_light_drinker	FALSE	4.126	3.572	4.289	2.834	2.101	2.191
hsa-miR-6731-3p	0.088363814331795	-0.376097792489017	1.07792597945871	-0.348908737386474	0.727157825429213	NA	heavy_drinker_vs_light_drinker	NA	0.184	0.087	0.024	0	0	0
hsa-miR-6731-5p	41.3183315311111	-0.280506047744017	0.225200379590232	-1.24558425813676	0.212917064489304	0.580126585673387	heavy_drinker_vs_light_drinker	FALSE	39.014	38.756	36.961	18.761	23.293	20.684
hsa-miR-6732-3p	0.853776259066189	-0.337762263526236	0.506464103268391	-0.666902671574426	0.50483430436228	NA	heavy_drinker_vs_light_drinker	NA	2.255	0.517	0.352	0	0	0
hsa-miR-6732-5p	3.07985219997303	-0.705340429159884	0.362173532882052	-1.94752063616308	NA	NA	heavy_drinker_vs_light_drinker	NA	6.713	2.154	1.654	1.189	0.867	0.494
hsa-miR-6733-3p	1.32347794570497	-0.44249455002154	0.364304622862308	-1.21462787527894	0.22450805222519	NA	heavy_drinker_vs_light_drinker	NA	2.643	0.852	0.629	0.366	0	0
hsa-miR-6733-5p	0.530920578926421	-0.115516388807922	0.410073366451067	-0.281696882213165	0.77817594535261	NA	heavy_drinker_vs_light_drinker	NA	0.633	0.356	0.53	0	0	0
