ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_abstemious	Average_moderate	Average_heavy	Median_abstemious	Median_moderate	Median_heavy
hsa-let-7a-2-3p	0.569890448135439	0.419275207890519	0.683215935242612	0.613678906276729	0.539427529971098	0.999730796209676	heavy_vs_abstemious	FALSE	0.273753093925284	0.595166291813157	0.598404358835011	0	0	0
hsa-let-7a-3p	534.428735832435	-0.430760043729718	0.513018712854755	-0.839657565964215	0.401100412658569	0.999730796209676	heavy_vs_abstemious	FALSE	3128.44297188685	399.661611146555	125.249972120665	33.1664606305078	15.406763336234	15.9437196035047
hsa-let-7a-5p	14.2545033059458	1.1561412471873	0.424476212048014	2.72368913586264	0.00645572393641309	0.551413298178504	heavy_vs_abstemious	FALSE	9.82914959343421	15.1057764575538	13.8092503141567	7.31958632117258	5.77056409610289	6.31107320594666
hsa-let-7b-3p	0.470368105074011	-0.0131600512664666	1.05696583101446	-0.0124507821164244	0.990065969845544	0.999730796209676	heavy_vs_abstemious	FALSE	0.595008579991925	0.589574013387687	0.219453646797641	0	0	0
hsa-let-7b-5p	319.033725136674	-0.453725123288743	0.540251144669433	-0.839841114203223	NA	NA	heavy_vs_abstemious	NA	1680.05730426498	241.430249797137	117.031479715587	17.3509189977537	11.9611947144992	10.4925851548197
hsa-let-7c-3p	4.06344818730709	0.302900786334584	0.559472812415721	0.541403942448433	0.588229190411862	0.999730796209676	heavy_vs_abstemious	FALSE	9.5312386120837	3.27132391192737	4.13578327972902	0.819850232120077	0	0.644695687817174
hsa-let-7c-5p	23.6780984884947	-0.326161244853359	0.525705687921801	-0.620425558153511	0.534977650067529	0.999730796209676	heavy_vs_abstemious	FALSE	137.064272177492	16.5755500225199	8.02229033134261	4.18262075495576	2.91223327821556	2.42370466479807
hsa-let-7d-3p	4.91113572196864	-0.0560355302828329	0.6040463628242	-0.0927669360027937	0.926088718953873	0.999730796209676	heavy_vs_abstemious	FALSE	16.4959023035451	4.3669970964087	2.97754325899956	1.58193103036999	1.31463357061933	0.646253243733447
hsa-let-7d-5p	61.4386930829004	-0.133099626151441	0.538808041837253	-0.247026057179087	0.804888058149829	0.999730796209676	heavy_vs_abstemious	FALSE	359.980912955097	41.0486790689491	23.3256231676143	6.03832375935978	2.94625695294641	3.94742227895745
hsa-let-7e-3p	0.077571363360395	-0.708032205782699	2.21047716981983	-0.320307404866981	0.748735310361317	0.999730796209676	heavy_vs_abstemious	FALSE	0.272477138399385	0.0535348199701305	0.0724224735219373	0	0	0
hsa-let-7e-5p	6.95094202924967	-0.220588201881866	0.501834176347723	-0.439563928242741	0.660252971201935	0.999730796209676	heavy_vs_abstemious	FALSE	32.3988193151099	4.5683812045033	4.88805836769839	2.65211808195127	2.04113862942958	2.49795843660763
hsa-let-7f-1-3p	0.123785377612623	0.511170474156507	2.1127913905224	0.241940816518623	0.80882602245011	0.999730796209676	heavy_vs_abstemious	FALSE	0.0508741573929702	0.0812088941649421	0.220596949612002	0	0	0
hsa-let-7f-2-3p	0.533337450852841	-0.616668295341781	0.616901145680816	-0.999622548376406	0.317493206822081	0.999730796209676	heavy_vs_abstemious	FALSE	1.46890508273533	0.469008545864886	0.414692169287114	0.333065999027202	0	0
hsa-let-7f-5p	1.94152510180154	0.363992842569627	0.53633775711866	0.67866346856706	0.497351118080592	0.999730796209676	heavy_vs_abstemious	FALSE	2.09564001184911	1.96093680309063	1.86676512755089	1.00638729322663	0.688012014792039	0.68610225332903
hsa-let-7g-3p	3.10102160605074	-0.211908409671168	0.515473171694663	-0.411094934338679	0.681002924292439	0.999730796209676	heavy_vs_abstemious	FALSE	3.64595607152303	2.82020489479062	3.47967429018304	0.666131998054403	0	0.377277105977878
hsa-let-7g-5p	355.953910745183	-0.682617892419288	0.599344578866292	-1.13894063029737	0.254727917578541	0.999730796209676	heavy_vs_abstemious	FALSE	1957.15540141395	260.312682359557	126.296060005314	11.73127536813	6.99646980651131	5.3617137786463
hsa-let-7i-3p	0.310021668201733	0.171099600137535	0.841985022566763	0.203209790615923	0.838971060682252	0.999730796209676	heavy_vs_abstemious	FALSE	0.292533424660586	0.378294878197226	0.188829316840451	0	0	0
hsa-let-7i-5p	389.310207941621	-0.113743516932347	0.583009551906763	-0.195097175612892	NA	NA	heavy_vs_abstemious	NA	2085.45763863236	291.552854559878	139.493055722374	9.9609389725201	7.31509798142782	8.00452628883868
hsa-miR-1-2-5p:Novel	8.51897987372947	0.750300396441226	0.456242010367553	1.64452281769664	0.100068255015647	0.999730796209676	heavy_vs_abstemious	FALSE	7.98483297073345	8.43410803535543	8.81046127176337	3.80399894904697	3.74078755078331	4.15030714321328
hsa-miR-1-3p	1.77994078240622	-0.0400344814443939	0.439506265336685	-0.0910896717563863	0.927421339269233	0.999730796209676	heavy_vs_abstemious	FALSE	2.00779950915958	1.88099961976772	1.53626831088356	1.36855426032298	1.08498882838342	1.02041786027268
hsa-miR-1-5p	11.8979326528047	0.281337090025997	0.413990393880852	0.679573956749747	0.496774264522232	0.999730796209676	heavy_vs_abstemious	FALSE	8.02795034445458	11.7873358755767	13.0818262410194	5.73895162484054	6.41654836685052	7.07486996291854
hsa-miR-100-3p	0.232401788571646	-0.32372981303502	0.991751032249007	-0.326422461392244	0.744104745666381	0.999730796209676	heavy_vs_abstemious	FALSE	0.289910614418115	0.237607043344086	0.208255217242585	0	0	0
