ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averageabstemious	Averageheavy	Averagelight	Medianabstemious	Medianheavy	Medianlight
has-miR-548o	0.33500521171989	-0.076168221245872	2.03165931874383	-0.0374906464598438	0.970093797949158	NA	heavy_vs_abstemious	NA	0.819544209917442	0.385829706805434	0.225408705161567	1.30347504090334	0	0
has-miR-548x	1.34253497827163	0.740001407662599	1.50213739120353	0.492632306469451	0.622272416557596	NA	heavy_vs_abstemious	NA	0.295243993802183	0.835728257620125	2.16484722557913	0.146758758346356	0	0.168544168567153
hsa-let-7a-2-3p	0.651958530811686	2.54273513178874	1.26182612857881	2.01512322038585	0.0438917397943187	NA	heavy_vs_abstemious	NA	0.117407006677085	0.574730768071551	0.829139936175922	0	0	0
hsa-let-7a-3p	107.079579117193	0.420807539214124	0.778159666878522	0.540772745138712	0.588664230787821	0.898207109697839	heavy_vs_abstemious	FALSE	25.8561155565589	37.6568266767768	262.758350290887	18.7851210683336	21.219997861349	13.7586767277156
hsa-let-7a-5p	8.88540308861354	-0.0561177717426562	0.687688441171113	-0.081603482599023	0.934962031820285	0.987214434273452	heavy_vs_abstemious	FALSE	7.71202519428746	12.5641290215471	7.08343532549587	7.31958632117258	4.35224684351315	3.39494246705517
hsa-let-7b-3p	0.306565999064634	0.651481078051196	2.53749097208681	0.256742224984321	0.797377772994236	NA	heavy_vs_abstemious	NA	0.0587035033385424	0.124415774846722	0.457623268908468	0	0	0
hsa-let-7b-5p	59.8544926669154	-0.504510183676125	0.821491401805229	-0.614139335563907	0.539123256849381	0.871995734493722	heavy_vs_abstemious	FALSE	13.6428759588243	31.1443993808419	132.806775833072	9.12432528632336	9.59212434412168	9.06352512859902
hsa-let-7c-3p	2.47103870395693	-0.723030106501063	0.861264866071956	-0.839497969769333	0.401189928004727	NA	heavy_vs_abstemious	NA	10.8660711284322	2.99049419582646	1.02412965121542	1.32665842522031	0.624489609151907	0
hsa-let-7c-5p	5.84057718586428	-0.0104865044513646	0.769745296582499	-0.0136233433291796	0.989130480914446	0.995241227950629	heavy_vs_abstemious	FALSE	4.41994397788905	4.72972286216022	9.35765548928965	4.18262075495576	2.96016365566461	2.84958301143871
hsa-let-7d-3p	3.14167103099851	-0.228999229497793	1.2242270761583	-0.187056171160997	0.851616591885716	0.975002416251533	heavy_vs_abstemious	FALSE	2.50610861117754	2.026545795771	5.51011271287967	2.60695008180667	0	1.19800709346518
hsa-let-7d-5p	11.7133277948065	0.859366230136371	0.830864661970416	1.03430350268883	0.300994299894083	0.718475101406054	heavy_vs_abstemious	FALSE	6.32935409935656	7.13447176990036	24.1601428483199	4.64330448827109	4.33872992806906	2.36687824854565
hsa-let-7e-3p	0.0608586128850125	-1.36990039534117	7.35139108702816	-0.186345737714651	0.852173642037754	NA	heavy_vs_abstemious	NA	0.521390016361334	0.0132818430278188	0.0615642795029194	0	0	0
hsa-let-7e-5p	4.1603212682273	-0.614234500146209	0.789246843233923	-0.778253984050662	0.436419297342304	0.826165256443006	heavy_vs_abstemious	FALSE	18.1222660765872	3.80251342266758	3.95955344915173	2.09131037747788	1.91087538856163	2.20704758076325
hsa-let-7f-1-3p	0.0894118093577484	1.38883669957838	7.36621339717615	0.188541469639041	0.850452210312563	NA	heavy_vs_abstemious	NA	0.0293517516692712	0.142244357341937	0.0635157536471808	0	0	0
hsa-let-7f-2-3p	0.572280003248808	0.418581337425699	1.31629399680035	0.317999883341555	0.750485025399993	NA	heavy_vs_abstemious	NA	0.856805658053612	0.379070073704074	0.601106604950085	1.30347504090334	0	0
hsa-let-7f-5p	1.70744674594843	0.541038060040832	0.953740982564624	0.567279869410637	0.570524051644632	NA	heavy_vs_abstemious	NA	2.10233548994653	1.10159814599672	2.15928767527322	1.98998763783047	0.504595849319647	0.615156600840658
hsa-let-7g-3p	3.30512279180099	0.0396444134635249	0.973096752653554	0.0407404642502587	0.967502802552478	0.99123491068546	heavy_vs_abstemious	FALSE	7.44686901902927	3.8089125683887	2.72068520154282	0.666131998054403	0	0
hsa-let-7g-5p	58.7401199969797	-0.573745126508416	0.904114761859559	-0.634593251556199	0.525693730631254	0.866546762427647	heavy_vs_abstemious	FALSE	9.01368063426674	24.6024237839613	140.603875652813	7.33793791731781	4.86410953426954	6.35847495057915
hsa-let-7i-3p	0.319245396108944	1.98652421319843	1.70378562587012	1.1659472782463	0.24363576214979	NA	heavy_vs_abstemious	NA	0	0.315298318495723	0.34679005633168	0	0	0
hsa-let-7i-5p	56.5348814994354	0.0442317477066755	0.892550940993476	0.0495565526573109	0.960475770019145	0.988857861275587	heavy_vs_abstemious	FALSE	5.45360035568173	38.3296565148878	118.052631364655	4.32985798735362	8.00452628883868	6.84512316931625
hsa-miR-1-2-5p:Novel	7.00675042297127	0.145696927613302	0.705753023765933	0.206441804295582	0.836445818934231	0.970366166949906	heavy_vs_abstemious	FALSE	5.23676950992028	10.1107222704322	5.32391617409799	3.99679198832642	4.16784826470215	3.70797170847736
hsa-miR-1-3p	1.57424954783031	-0.170212804574486	0.670790991990353	-0.253749389313407	0.799689175325879	NA	heavy_vs_abstemious	NA	2.5617371141327	1.42294935852605	1.72076561814784	2.60695008180667	1.02041786027268	1.08757365539863
hsa-miR-1-5p	11.0494412944013	0.165050775387628	0.678314420113967	0.243324880753525	0.807753731439171	0.965902082914391	heavy_vs_abstemious	FALSE	8.17163077353613	15.4353287782186	11.1198451958939	7.31958632117258	7.56478531165729	6.35809514030493
