ID	Average_inactive	Average_modInact	Average_modAct	Average_active	Median_inactive	Median_modInact	Median_modAct	Median_active	log2FoldChange	pvalue	padj	comparison	treshold	samples_sex
hsa-let-7a-2-3p	0.921790060233175	1.08142599882532	0.78172173006539	0.311218137514136	0	0	0	0	1.22619607760366	0.0955115319276788	NA	modInact_vs_active	NA	female
hsa-let-7a-3p	38.2506904182343	1810.79009534635	65.5762548597829	25.7231421600106	22.444860395944	44.5353632498446	22.7611172604875	18.3839545179228	0.868922888248471	NA	NA	modInact_vs_active	NA	female
hsa-let-7a-5p	17.8062602085707	27.5173674223581	17.4183482735084	8.94677197476491	10.2765352299774	12.6582933555436	10.0659491253646	8.83854429228406	0.766022002535092	0.0775281504701199	0.366799851686589	modInact_vs_active	FALSE	female
hsa-let-7b-3p	0.251818458483044	1.1624078898623	0.584743639011956	0.466647626379743	0	0	0	0	0.505486871220884	0.651648994640032	NA	modInact_vs_active	NA	female
hsa-let-7b-5p	25.8548502770816	1086.31040455322	42.7917987899882	22.877767074891	15.0216761198507	22.758090721679	12.222599141878	19.7431329025	0.655955554160844	0.197810328126778	0.50750002332596	modInact_vs_active	FALSE	female
hsa-let-7c-3p	10.6308584498907	9.78752154406353	9.11362725002376	16.9402562302163	2.81695722712358	3.13986655514345	2.84714486218364	1.60303928094384	-0.62219208782533	0.254591604639064	0.548173089399066	modInact_vs_active	FALSE	female
hsa-let-7c-5p	6.56033689513014	75.6538384416511	6.89886149440438	4.93173468693633	3.77948511644577	5.88400220287224	3.68047815736285	3.04521115006175	0.621872629704344	0.209524946753966	0.518964854671104	modInact_vs_active	FALSE	female
hsa-let-7d-3p	3.21024253417772	11.1817036251181	4.40549220518593	3.0398957341875	1.56413696252222	2.97485978773645	2.36878774971943	1.12535068576221	0.377900141079681	0.505339366950656	NA	modInact_vs_active	NA	female
hsa-let-7d-5p	7.97739415571654	210.075991327356	10.1990694360345	4.71150780073154	4.63914909214468	8.10397876640164	5.91416087510228	2.81122300774633	1.28555836078884	0.00996560203152607	0.173086772126506	modInact_vs_active	FALSE	female
hsa-let-7e-3p	0.0788803278379207	0.171847275928115	0.193963819854973	0.0387452932980131	0	0	0	0	0.300261942297459	0.865721796412402	NA	modInact_vs_active	NA	female
hsa-let-7e-5p	4.08055763813638	15.8856044633564	5.80496896585686	2.3108660006516	3.22049930827334	3.81536011529725	2.93112227852473	2.19700553274892	1.14470144782974	0.0250964024478529	0.233276303290431	modInact_vs_active	FALSE	female
hsa-let-7f-1-3p	0.0985696834775442	0.135532082472343	0.149045309617561	0.241950466740504	0	0	0	0	-0.290264003568822	0.902883544017674	NA	modInact_vs_active	NA	female
hsa-let-7f-2-3p	0.491177079056422	0.694405049046357	0.565952927393919	0.549431293222912	0	0	0	0.227213876990949	-0.166799648481298	0.822617793674136	NA	modInact_vs_active	NA	female
hsa-let-7f-5p	2.78961040049002	3.28071361237797	2.17590894424246	2.04064515562086	0.855962409507187	1.63013427635299	0.7175291143981	1.86542155673527	-0.011949162652195	0.983697036834995	NA	modInact_vs_active	NA	female
hsa-let-7g-3p	6.4628626443514	7.56311199512682	6.52316589307036	6.0331549617728	2.41014495213692	2.41238606671063	2.14650177679158	0.842346693820757	0.858063572121546	0.0792175862873322	0.367319759067826	modInact_vs_active	FALSE	female
hsa-let-7g-5p	13.505902233065	1225.25890093121	45.6756549156724	14.0285255801974	6.54788513559224	12.0684892629771	7.55797793758351	10.4834856215638	1.20204070849792	0.0375032283174325	0.282608114333328	modInact_vs_active	FALSE	female
hsa-let-7i-3p	0.352393503508081	0.58766692870967	0.35930118405856	0.516903879888604	0	0	0	0	-0.52770894133278	0.54738546025869	NA	modInact_vs_active	NA	female
hsa-let-7i-5p	19.3849750252506	1391.46754172605	31.7443662695209	21.1638013434383	9.14371780792871	15.3795779488754	8.7970671749169	10.9963573133494	0.531705656342507	0.32744088859295	0.619229187596983	modInact_vs_active	FALSE	female
hsa-miR-1-2-5p:Novel	6.28117468090215	12.5950373764615	12.7344796475087	9.62902017272352	3.49165827075283	5.61928131074641	3.81139075953795	2.58247676052663	0.339605267100213	0.498590193199494	0.744501193465308	modInact_vs_active	FALSE	female
