ID	Average_inactive	Average_modInact	Average_modAct	Average_active	Median_inactive	Median_modInact	Median_modAct	Median_active	log2FoldChange	pvalue	padj	comparison	treshold	samples_sex
hsa-let-7a-2-3p	0.991446205243106	0.933246304634352	1.71483329101538	0.684796990716549	0.319423637051946	0.552727293952478	0	0	0.218466562422405	0.72354908737172	0.999228171934045	inactive_vs_modInact	FALSE	male
hsa-let-7a-3p	41.9109016241497	34.3587916013542	362.576398870932	28.1169032203748	24.4960104976148	21.1027442349235	22.6795412426072	24.9631947706868	0.684347648742017	NA	NA	inactive_vs_modInact	NA	male
hsa-let-7a-5p	8.00329589989612	12.9047043520042	15.5420678729507	21.4965712694201	5.01573430091321	9.40309291550117	6.11395394565738	18.4386506160804	-0.546367395658789	0.123119412722542	0.999228171934045	inactive_vs_modInact	FALSE	male
hsa-let-7b-3p	0.600134441908069	0.46387266236066	0.255092787140833	0.291850173642625	0	0	0	0	0.545116238660079	0.62455577637136	0.999228171934045	inactive_vs_modInact	FALSE	male
hsa-let-7b-5p	34.1308393655501	27.0615884231713	183.925545938605	16.0000285444831	11.7809164698202	16.5193840213181	11.0699932137888	18.033334253436	0.272960953381302	0.530034440519403	0.999228171934045	inactive_vs_modInact	FALSE	male
hsa-let-7c-3p	5.9162009004298	12.985024866095	3.45372533013382	1.37946605917849	1.93814479727318	1.74403398371143	0	0	-0.197451821720193	0.665275165227391	0.999228171934045	inactive_vs_modInact	FALSE	male
hsa-let-7c-5p	5.80533784913815	5.10427600755206	13.9311882264027	4.02947845532752	3.75669471872258	2.91374002528457	4.62008616747865	3.79649142177599	0.639901737828238	0.123113383005482	0.999228171934045	inactive_vs_modInact	FALSE	male
hsa-let-7d-3p	8.56680035918413	3.49711766040607	3.42451407528595	2.48992261130089	2.49263253053804	0.955646182046928	1.09075132278062	0.949122855443998	1.63810434357226	0.00488915226041874	0.828833295418103	inactive_vs_modInact	FALSE	male
hsa-let-7d-5p	6.69040880143805	7.13027945391841	34.3040458211403	14.1885043772382	5.44355788835885	4.20618329914731	4.67065435223865	12.0826506706396	0.457904620681445	0.285077725881496	0.999228171934045	inactive_vs_modInact	FALSE	male
hsa-let-7e-3p	0.134274660519073	0.134782330247397	0.197752008628563	0	0	0	0	0	0.931744087484168	0.723385874767367	0.999228171934045	inactive_vs_modInact	FALSE	male
hsa-let-7e-5p	7.88759954850536	4.3186021300402	5.61496573798127	2.0847826248388	2.10146369032803	2.63186148095012	3.6899977379296	1.51033133382995	-0.209830652566879	0.60981432541144	0.999228171934045	inactive_vs_modInact	FALSE	male
hsa-let-7f-1-3p	0.0672044183748006	0.13693819894401	0.11265140636186	0.392280272682833	0	0	0	0	0.208234258530269	0.937621822335031	0.999228171934045	inactive_vs_modInact	FALSE	male
hsa-let-7f-2-3p	0.460425406187553	0.516827710447123	1.16434853862496	0.44638913503959	0	0	0	0	0.282176763682972	0.695856051522603	0.999228171934045	inactive_vs_modInact	FALSE	male
hsa-let-7f-5p	1.34591223908524	2.27949048263719	2.95127276044796	1.86457267202543	0.937727409486617	0.701322645113028	1.27254320991072	1.64314753924075	-0.744919245045853	0.127724723981896	0.999228171934045	inactive_vs_modInact	FALSE	male
hsa-let-7g-3p	3.88626772828792	7.93732816275577	3.97799848784263	14.354948745101	0	1.95935440737827	0	0.949122855443998	-0.434652637052971	0.337588017210377	0.999228171934045	inactive_vs_modInact	FALSE	male
hsa-let-7g-5p	29.9893248291567	21.3779445155559	191.43871984495	10.3527261010868	8.90321678934604	7.13480156144371	7.37999547585919	7.6694524658132	0.624239006459199	0.208756739807781	0.999228171934045	inactive_vs_modInact	FALSE	male
hsa-let-7i-3p	0.572585206802979	0.307695070680973	0.552839870722184	0.128970823932267	0	0	0	0	1.1196200346603	0.218104435325907	0.999228171934045	inactive_vs_modInact	FALSE	male
hsa-let-7i-5p	29.1258512831948	28.9939362662603	168.625710475172	15.1670834024432	7.5318110121146	8.94546678702523	9.1741192330969	8.36667541725076	-0.059926257734803	0.89769570943494	0.999228171934045	inactive_vs_modInact	FALSE	male
hsa-miR-1-2-5p:Novel	9.55032303784578	6.7447542808103	10.8923473292462	4.05556891166845	4.68863704743308	4.07931294081837	4.1201336003667	4.09747791468454	0.920725775370573	0.0179169768015438	0.999228171934045	inactive_vs_modInact	FALSE	male
hsa-miR-1-3p	2.61335918607475	2.48036780136644	2.12884178151568	1.09393610806826	1.96348607830337	1.84710752828741	1.34560825666358	1.09543169282717	0.274872878456946	0.473602148033575	0.999228171934045	inactive_vs_modInact	FALSE	male
hsa-miR-1-5p	13.6416016685075	16.8068773225061	20.0539786891088	5.88594413860718	8.62443820040255	7.34864235074824	8.84228945253783	3.79649142177599	0.284673817429339	0.468286697226935	0.999228171934045	inactive_vs_modInact	FALSE	male
hsa-miR-100-3p	0.261310503991301	0.199116484666125	0.419094260107798	0.0931573411825916	0	0	0	0	0.50214909682151	0.688596857822546	0.999228171934045	inactive_vs_modInact	FALSE	male
hsa-miR-100-5p	2.33059693079057	5.08180671232446	8.27503280708718	2.08867754663255	0	1.5752023902286	0.74245151299617	0	-0.73498468280623	0.309151690743397	0.999228171934045	inactive_vs_modInact	FALSE	male
hsa-miR-101-2-5p	0.770770486994238	0.940725429471283	1.62718595323415	1.78857430281325	0.586224734200311	0.261822912338501	0	0	-0.155363734505998	0.782884155639156	0.999228171934045	inactive_vs_modInact	FALSE	male
