ID	Average_inactive	Average_modInact	Average_modAct	Average_active	Median_inactive	Median_modInact	Median_modAct	Median_active	log2FoldChange	pvalue	padj	comparison	treshold
hsa-miR-4770-5p:Novel	2.45566904652561	2.21023603535796	3.14425936631315	2.0878881725284	1.00736790467785	1.42657607694665	1.12368176038082	1.21322275532537	-0.138259680525078	0.754738873084163	NA	modInact_vs_active	NA
hsa-miR-4771	4.55734088187925	4.17905465772294	3.90284718486359	3.9610128936905	2.97947308124843	2.87579204690812	2.83155318607688	2.19086338565433	0.199101985426988	0.557736787050922	0.788648370472044	modInact_vs_active	FALSE
hsa-miR-4771-5p:Novel	34.7734979647008	22.124121089465	26.9878073168187	31.9662019090438	11.0419874978374	12.9053046013969	7.45997528892817	19.717770470889	-0.628606946216414	0.131264447874121	0.435515679404021	modInact_vs_active	FALSE
hsa-miR-4772-3p	0.352755729474764	0.369131107111293	0.460095265271677	0.0943589412995096	0	0	0	0	0.717567282653625	0.289552233817427	NA	modInact_vs_active	NA
hsa-miR-4772-5p	0.481099139248511	0.497382084120827	0.663061014974034	0.2991264328334	0	0	0	0	0.541106430799354	0.337360148735732	NA	modInact_vs_active	NA
hsa-miR-4773	2.94103665312544	3.47688451805845	2.81028570762875	2.043475085973	2.1742775707426	2.06769115945863	2.09785941005103	1.898245710888	0.528825251273911	0.109661162218063	NA	modInact_vs_active	NA
hsa-miR-4773-5p:Novel	1.98437480902171	2.52555509406577	1.96128006495929	1.25070759256732	1.64352427402456	1.56523576405528	1.28820004463578	0.887699802780711	0.805875633561178	0.0372638988764771	NA	modInact_vs_active	NA
hsa-miR-4774-3p	0.876952566359514	0.941961022613438	0.624273525061966	1.48723782837519	0	0	0	0	0.541940272456205	0.350775096859949	NA	modInact_vs_active	NA
hsa-miR-4774-5p	5.24980521406025	5.23904111656326	4.83092831524946	11.051770650249	1.62466615162181	1.80447038018583	1.61427184782525	1.32184589092415	-0.563889940374042	0.267968969468667	0.568483545898909	modInact_vs_active	FALSE
hsa-miR-4775	0.583007796115872	0.52968649390859	0.721470963247715	0.172495451416127	0	0	0	0	0.568360779500772	0.469912133845423	NA	modInact_vs_active	NA
hsa-miR-4775-3p:Novel	0.612600298819996	0.853602746809219	0.733484501239693	0.741209974107798	0	0	0	0	0.538052571506495	0.361999052377452	NA	modInact_vs_active	NA
hsa-miR-4776-3p	2.87718578880581	2.33215526856883	2.7397412273827	2.83656548644857	1.90328192222017	1.52718549565589	1.82436845182892	1.59785964500528	0.285095681995963	0.417526381503793	NA	modInact_vs_active	NA
hsa-miR-4776-5p	1.52306522674638	1.30581141299543	1.5562665860566	0.962939890649789	0.587650853991814	0.638942298002219	0.694562933178696	0.606611377662687	0.488897247348639	0.298192125795071	NA	modInact_vs_active	NA
hsa-miR-4777-3p	0.555806834689276	0.523586727962968	0.322136619661107	0.25398391921027	0	0	0	0	-0.255579824122699	0.795361346128375	NA	modInact_vs_active	NA
hsa-miR-4777-5p	0.235060932587129	0.195688723001055	0.212101528475888	0.0475232902396606	0	0	0	0	0.345801158690667	0.756485619631043	NA	modInact_vs_active	NA
hsa-miR-4778-3p	0.826590205398483	1.13130317672207	0.78622846695352	1.11349739878745	0	0	0	0.355079921112285	-0.320808399449852	0.583321745525949	NA	modInact_vs_active	NA
hsa-miR-4778-5p	8.07355253563841	7.93840674867791	8.29231362958887	4.99305245634005	5.86649663829284	5.35266488302372	5.11829870263263	2.72656652389139	0.492076652389028	0.121612105896938	0.426440949195828	modInact_vs_active	FALSE
hsa-miR-4779	1.94213817863113	1.99348145032848	1.58627967495844	0.866535024339844	1.46576872191929	1.33538410773429	0.997107641982212	0.474561427721999	0.87218621100486	0.0252571300868129	NA	modInact_vs_active	NA
hsa-miR-4779-5p:Novel	0.953816359277804	1.1673231780169	1.14462799049972	0.432104074696102	0.407971617418621	0.29877174148288	0	0	0.972389783433635	0.0862128654679131	NA	modInact_vs_active	NA
hsa-miR-4780	13.1181039549706	10.7113712974119	12.6803859883487	9.55048597161862	6.3214059034926	6.31639300537521	4.75594707185853	4.85289102130149	0.0232489135444577	0.954463300870883	0.98150137022569	modInact_vs_active	FALSE
hsa-miR-4780-5p:Novel	5.38037042656035	5.00507461599746	3.35340508833983	2.32958286949417	2.73678594253793	2.71577013075415	2.2069716141995	2.09166885431269	0.611880909053701	0.119483891488228	0.42521844286593	modInact_vs_active	FALSE
hsa-miR-4781-3p	1.31567487932926	1.43625749463164	1.50594651091005	4.77439105058114	0.570513161203683	0.45122569752997	0	0.949122855443998	0.0921647723981366	0.86322396566525	NA	modInact_vs_active	NA
hsa-miR-4781-5p	0.259436304706223	0.406982163537086	0.341927018809968	0.154310535324444	0	0	0	0	0.457517708830556	0.621490516653668	NA	modInact_vs_active	NA
hsa-miR-4782-3p	0.499015342366536	0.519360031128397	0.472054783105257	0.220210450023148	0	0	0	0	0.438160733288129	0.52170881681436	NA	modInact_vs_active	NA
hsa-miR-4782-5p	0.546363852052597	0.623253549016188	0.612111412751902	0.509477747277804	0	0	0	0	0.0254394548586938	0.961372535161771	NA	modInact_vs_active	NA
hsa-miR-4783-3p	2.58332903755794	3.17457847532059	3.79194349691954	3.69702054762448	1.58719330832944	1.45591968722615	1.42721219557104	1.07382464212809	-0.118211946755812	0.791841496872101	0.930787268964753	modInact_vs_active	FALSE
hsa-miR-4783-5p	1.07795435957502	1.25251261201899	1.22066679136386	1.87760767589072	0.550158323757025	0.612057911695462	0.734181936571311	0.697222951437564	0.234634471000429	0.609126844822508	NA	modInact_vs_active	NA
hsa-miR-4784	7.73294067715585	7.08658456961074	7.85594970514719	4.71453453400929	5.51070282957457	4.99681273480439	5.06498639673118	4.13697070228753	0.4011684284565	0.230671690981417	0.545728342334517	modInact_vs_active	FALSE
hsa-miR-4784-3p:Novel	42.0676188871131	29.5753650551072	57.8991363640307	32.8713475081594	9.65051405123309	12.3654585868503	8.30961847220875	8.36667541725076	-0.37455309464315	0.343379008988898	0.634792648664936	modInact_vs_active	FALSE
hsa-miR-4785	17.6133241493517	16.001013051315	18.5102996451629	13.6578066184185	10.9074305652904	11.7398762623601	12.841993371393	7.63421830391412	0.308040423933419	0.298991221431041	0.597475209369753	modInact_vs_active	FALSE
