ID	Average_inactive	Average_modInact	Average_modAct	Average_active	Median_inactive	Median_modInact	Median_modAct	Median_active	log2FoldChange	pvalue	padj	comparison	treshold	samples_sex
hsa-miR-130b-3p	8.0104620809371	4.77572738373172	6.2252557183127	4.92288147554947	4.74120956304061	3.54866446782955	4.56526578667786	4.18333770862538	-0.513035431218689	0.114955842896299	0.460878012345713	modInact_vs_modAct	FALSE	male
hsa-miR-130b-5p	1.60301676938386	0.435040147075859	1.14960202423456	0.0253628515080203	0	0	0	0	-0.547771594366102	0.674641920803345	NA	modInact_vs_modAct	NA	male
hsa-miR-132-3p	0.782318902706152	1.1279645085277	1.19634703103625	4.0972508750767	0	0.46790631908932	0	0.547715846413583	0.0340470911323014	0.944599083162239	NA	modInact_vs_modAct	NA	male
hsa-miR-132-5p	0.99631581357206	2.00311866742522	1.28751718040611	1.4956623029842	0	1.4133123064228	0	0.547715846413583	0.432714257909401	0.278555547342553	NA	modInact_vs_modAct	NA	male
hsa-miR-1321	0.712558485094591	0.668501780548559	0.32234919050265	0.351098989047125	0	0	0	0	0.11352274497596	0.861678387171164	NA	modInact_vs_modAct	NA	male
hsa-miR-1321-5p:Novel	3.36564120341429	1.71446338543947	1.54060871180559	0.545787127859707	0	0.13673552302553	0	0.547715846413583	-0.348852716165717	0.605124196089061	NA	modInact_vs_modAct	NA	male
hsa-miR-1322	1.0780033287059	0.727866696973372	1.55303121577787	0.590066893281544	0	0.129561125013266	0.181791887130103	0.474561427721999	-0.321325141404705	0.513605136279303	NA	modInact_vs_modAct	NA	male
hsa-miR-1322-5p:Novel	1.61329023835516	1.71378232079508	2.36419008391009	3.5472018805873	0.958270911155839	0.944817498240461	1.03805107995227	0.697222951437564	-0.257074616880625	0.513327391960661	NA	modInact_vs_modAct	NA	male
hsa-miR-1323	0.567830929571162	0.568753418406018	1.25895130509867	0.499579843584674	0	0	0.363583774260206	0.474561427721999	-0.860615445628158	0.0786049269167528	NA	modInact_vs_modAct	NA	male
hsa-miR-1323-3p:Novel	1.00562247128683	1.2649498187117	1.06058688151821	3.20871712443522	0.586224734200311	0.736059595357204	0	2.19086338565433	0.410467826054918	0.338380859600721	NA	modInact_vs_modAct	NA	male
hsa-miR-1324	28.4455434000233	55.6198528017176	30.026431370621	28.0233779063769	15.748661554164	15.689131446885	15.9608691953383	22.5361285307649	0.503753653224894	0.167542271577013	0.558900554802707	modInact_vs_modAct	FALSE	male
hsa-miR-1324-5p:Novel	6.02669745094493	12.3914401163278	4.29189497185505	0.618100036275286	0.948241912608122	1.51463893528174	1.41561797992872	0.887699802780711	1.29219321341622	0.0213670050353482	0.220568059853082	modInact_vs_modAct	FALSE	male
hsa-miR-133a-3p	2.39011716610351	2.72178716704265	2.56835841346232	1.89443483672514	1.27769454820779	1.58673660953093	1.85810534498729	0.697222951437564	-0.280206406047536	0.476817552082898	NA	modInact_vs_modAct	NA	male
hsa-miR-133a-5p	12.825503723193	10.9714547365415	17.8293168131276	28.351186478471	8.3050145633506	7.37848956069744	8.4082322735324	12.5500131258761	-0.580059962763434	0.0649006443352527	0.371549103596141	modInact_vs_modAct	FALSE	male
hsa-miR-133b	17.7469695606977	21.0126294261385	11.9105230507127	31.355490910313	7.85394431321348	9.21375416941737	10.1197510965171	18.6223387780618	0.320799914026321	0.369717246619087	0.741130443910739	modInact_vs_modAct	FALSE	male
hsa-miR-133b-5p:Novel	8.11380320964136	6.33024060673487	15.3540609907693	22.7452321363593	6.78508484966499	5.44754006317178	6.8668893339445	10.4066010818581	-0.580687217655347	0.0760735908990569	0.394404327014405	modInact_vs_modAct	FALSE	male
hsa-miR-134-3p	0.34946891889568	0.730649808641041	0.48959494113114	0.228574102709062	0	0	0	0	-0.170663695738937	0.83482674505393	NA	modInact_vs_modAct	NA	male
hsa-miR-134-5p	10.715312068098	11.2331511581502	19.5415157574692	16.0505495375816	5.25365922582008	5.1991785998287	8.07364953998146	13.5929820044695	-0.453633583186907	0.27182626074441	0.65387931713013	modInact_vs_modAct	FALSE	male
hsa-miR-1343-3p	0.194757023552476	0.262507952393235	0.247353138108738	0.0782451209162262	0	0	0	0	-0.364471153517723	0.754517787272921	NA	modInact_vs_modAct	NA	male
hsa-miR-1343-5p	3.63304352670305	4.44161358578107	4.50652422956796	4.90353748255475	2.5841930630309	2.46891138095128	2.84223897029897	2.30801948722985	-0.491459292150815	0.13917859609261	NA	modInact_vs_modAct	NA	male
hsa-miR-135a-2-3p	2.05899984477813	1.53134599366182	1.17750307087559	0.528742102783469	1.04671424963735	0.929988464808588	0	0	0.110619746733206	0.798209045144306	NA	modInact_vs_modAct	NA	male
hsa-miR-135a-3p	1.40042851863543	1.70334960323845	0.976523895553979	1.06244041413589	0.638847274103893	0.96320943292664	0	1.09543169282717	0.5051163791754	0.282743696573955	NA	modInact_vs_modAct	NA	male
hsa-miR-135a-5p	3.71044505735189	5.90981837129113	3.93997134258617	1.74818475618685	2.34489893680124	2.6318593778897	1.87463972563535	0.710159842224569	0.0588222944093332	0.869771448597619	NA	modInact_vs_modAct	NA	male
hsa-miR-135b-3p	0.793787949994436	1.22347876391968	0.716143868465399	1.00638027134365	0	0.428754782477845	0	0.474561427721999	0.400121360991595	0.444872294291602	NA	modInact_vs_modAct	NA	male
hsa-miR-135b-5p	0.658190109738573	0.751763246313959	0.785789082060556	0.319369591542811	0	0	0	0	-0.273638233512927	0.58388255527423	NA	modInact_vs_modAct	NA	male
hsa-miR-136-3p	0.368448766972399	0.164089906029631	0.273104532649657	0	0	0	0	0	-0.614796093117728	0.666950976598864	NA	modInact_vs_modAct	NA	male
hsa-miR-136-5p	3.2053575989152	2.24050235106444	1.66396135834814	1.65656912375701	1.1840890860204	1.00116864763153	0	1.42031968444914	0.479979599569511	0.266387874912318	NA	modInact_vs_modAct	NA	male
hsa-miR-137-3p	45.7040122858191	44.0444377088501	57.1181883555183	24.4623736680726	27.5525625074146	24.9319745463074	30.4035950923103	24.6472130886112	-0.317322240577956	0.342432678345682	0.724449708872415	modInact_vs_modAct	FALSE	male
hsa-miR-137-5p	7.45696796541437	9.29153585200061	13.6376628150051	11.9937768321497	4.20292738065606	3.29190507830328	4.43088246940716	3.2862950784815	-0.331336204983481	NA	NA	modInact_vs_modAct	NA	male
