ID	Average_inactive	Average_modInact	Average_modAct	Average_active	Median_inactive	Median_modInact	Median_modAct	Median_active	log2FoldChange	pvalue	padj	comparison	treshold
hsa-miR-7162-3p	3.84943970448144	4.37055127580358	3.09303087447924	2.25042072753217	2.02662089035755	2.46495465866296	1.58936801608689	2.16973642468873	0.257451100124962	0.535024205261861	0.805254137672787	modAct_vs_active	FALSE
hsa-miR-7162-5p	0.944683898794645	0.320069386019066	1.47950499888572	0.599736232705929	0	0	0	0	0.236821116237947	0.83610238944695	NA	modAct_vs_active	NA
hsa-miR-718	15.1810405053847	17.8913550579181	24.9254960092954	32.2717450935529	9.54081751917213	12.5792586914105	14.6081645063089	16.6442278089856	0.0433779553429732	0.895454952726356	0.958788627751401	modAct_vs_active	FALSE
hsa-miR-718-5p:Novel	10.1936132314113	11.6540148529823	13.0843106175828	7.92164562461359	8.29785572932829	9.53336373414538	6.49615714891202	7.93107534554491	0.429193366371825	0.140073719000539	0.457062112581988	modAct_vs_active	FALSE
hsa-miR-744-3p	0.203867670749837	0.106225057613533	0.141293174830853	0.0602902945154158	0	0	0	0	-0.0163902200595042	0.991713401314595	NA	modAct_vs_active	NA
hsa-miR-744-5p	2.39652563617637	6.72773415584041	2.80654778392909	1.26629305322243	0.72747206176217	1.20610513623559	0.724454051329106	0.542434106172183	0.104563915889359	0.835745057167551	0.936490048454304	modAct_vs_active	FALSE
hsa-miR-7515	1.85726456631453	2.4328312084621	3.45172656464477	1.13137120510672	0.867196523783699	0.919904457294683	1.35967033646458	0	1.15532738564656	0.025567888397937	0.22830376043631	modAct_vs_active	FALSE
hsa-miR-7515-5p:Novel	17.3407580153314	19.2190172473529	15.0401510228366	15.178661751	14.4167898288531	13.9449596487765	12.4285454429327	16.8662962528335	0.12934970824889	0.599360863213004	0.825414628355757	modAct_vs_active	FALSE
hsa-miR-758-3p	1.38828972833556	1.25735399423384	2.19011798085858	1.2929483516995	0.50967922099881	0.520070839952059	0	0.606611377662687	0.385864114978682	0.471464315138633	NA	modAct_vs_active	NA
hsa-miR-758-5p	0.814187141198015	1.21991453900825	1.08852107180117	0.443461842394871	0	0.251397579385909	0	0	0.937666183156611	0.100996046870927	NA	modAct_vs_active	NA
