ID	Average_inactive	Average_modInact	Average_modAct	Average_active	Median_inactive	Median_modInact	Median_modAct	Median_active	log2FoldChange	pvalue	padj	comparison	treshold	samples_sex
hsa-miR-3714	8.1206483526899	5.53504911671905	4.67862412806643	3.46652899253787	3.59669413481963	3.55579190949833	2.46441020056167	2.39684498847262	0.534631859146761	0.294099098419854	0.867079447471648	inactive_vs_active	FALSE	female
hsa-miR-3714-3p:Novel	104.35517389251	122.084080955095	117.513100429954	104.273729833485	66.5388414941631	70.8871194790793	78.2560892377876	73.2555177655307	-0.0362837951395824	0.919691515165518	0.996316412074309	inactive_vs_active	FALSE	female
hsa-miR-371a-3p	17.7682060848535	20.6130870571115	26.4371290168074	23.2647274913149	8.99173533704907	9.40683558848936	13.7251257072881	22.9552452146368	-0.225925306338925	0.654982708577422	0.98073645688514	inactive_vs_active	FALSE	female
hsa-miR-371a-5p	86.2941473723208	70.9362857985113	70.5980013010624	78.0522212620768	61.7233660888461	56.3398303401953	50.3303145356057	46.3766775504293	0.280413096078018	0.407737793329856	0.919560728391508	inactive_vs_active	FALSE	female
hsa-miR-371b-3p	0.336049702154502	0.332187515129361	0.193281867835793	0.17167538097886	0	0	0	0	0.139089290165081	0.904303024939152	NA	inactive_vs_active	NA	female
hsa-miR-371b-5p	0.623866380993914	0.742076738153038	0.493023662782649	0.534673824375204	0	0	0	0	-0.0153960356314993	0.983471020136901	NA	inactive_vs_active	NA	female
hsa-miR-372-3p	1.91377770139582	2.79991253081957	2.90319965330871	1.25585746847686	0.855962409507187	0.975281765765744	1.13955597298696	0.413697070228753	0.671843486892398	0.305398272485432	NA	inactive_vs_active	NA	female
hsa-miR-372-5p	2.42003925461147	1.30325279790226	1.74052874695966	1.20010891467874	0.773191515357446	0.670860721400352	0.886530591081733	1.00379962793551	0.663799578951058	0.311019430385357	NA	inactive_vs_active	NA	female
hsa-miR-373-3p	12.6041485243255	2.27010277369973	2.07223732923267	1.45602412967065	1.17641192161033	1.55126182216729	1.01850780040014	0.991340075045944	0.497051266127258	0.44613202592797	0.93343361346014	inactive_vs_active	FALSE	female
hsa-miR-373-5p	1.39239986686012	1.81638181341571	1.44925300113338	1.06975400341773	0.375711175201218	0.863835649260337	0.362956180073226	0.271217053086091	-0.485655834242475	0.459649896744222	NA	inactive_vs_active	NA	female
hsa-miR-374a-3p	0.555126621400028	1.93877798212207	0.640073659512002	0.103380296950221	0	0	0	0	0.116946524970718	0.914557420056722	NA	inactive_vs_active	NA	female
hsa-miR-374a-5p	0.369997878173271	4.55666353381165	0.457025570175743	0.142125590248234	0	0	0	0	0.100273810548293	0.919487402597235	NA	inactive_vs_active	NA	female
hsa-miR-374b-3p	0.33111089837661	0.27899355686055	0.267788742759342	0.14416411020888	0	0	0	0	-0.0528198840408028	0.973147204563405	NA	inactive_vs_active	NA	female
hsa-miR-374b-5p	0.253144760556659	3.20127232773562	0.358379563640082	0.161469927582163	0	0	0	0	0.226438985425722	0.813304359715553	NA	inactive_vs_active	NA	female
hsa-miR-374c-3p	0.233971238469983	0.174331863951165	0.351155639643887	0.294750024733654	0	0	0	0	-0.120580719745439	0.931243501197576	NA	inactive_vs_active	NA	female
hsa-miR-374c-5p	1.14798591491413	1.0703913477105	1.54530381242201	0.484105437936042	0	0	0	0	0.762907908788586	0.355062584937954	NA	inactive_vs_active	NA	female
hsa-miR-375-3p	11.4835462202327	329.067460038956	40.4659424445985	11.744067578836	6.52051930153977	11.5563237058696	8.3607420825919	6.18189559520607	-0.0306351631198531	NA	NA	inactive_vs_active	NA	female
hsa-miR-375-5p	0.620518790949632	0.478324507051033	0.662909443192712	0.850340496786785	0	0	0	0	-0.953468989187174	0.350883622636824	NA	inactive_vs_active	NA	female
hsa-miR-376a-2-5p	0.586810513675686	0.228370370173221	0.334471848237195	0.209031883115694	0	0	0	0	0.335894354242137	0.720831296046722	NA	inactive_vs_active	NA	female
hsa-miR-376a-3p	2.92597049766207	3.03631403491316	2.57005948663399	1.27726812525258	1.74166053484356	1.7988751028803	1.18283217502046	0.640910947219702	0.555481869421403	0.277292303742981	NA	inactive_vs_active	NA	female
