ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_abstemious	Average_moderate	Average_heavy	Median_abstemious	Median_moderate	Median_heavy
hsa-let-7a-2-3p	0.663880742435495	-0.253786142094412	0.609968096363075	-0.416064616506351	0.677362720864506	NA	heavy_vs_moderate	NA	0.117407006677085	0.777635372102501	0.612820096275842	0	0	0
hsa-let-7a-3p	128.887601362996	-0.0607541527125113	0.407238061131711	-0.14918584118507	0.88140699206164	0.970588242630506	heavy_vs_moderate	FALSE	25.8561155565589	239.7278568516	36.633285713389	18.7851210683336	13.6821691560665	21.7612342175658
hsa-let-7a-5p	8.74016079189347	-0.0432025425189344	0.360828132885589	-0.119731635594592	0.904695739040439	0.975567234732969	heavy_vs_moderate	FALSE	7.71202519428746	6.70881740857424	14.0300042496779	7.31958632117258	3.39494246705517	4.83294029086618
hsa-let-7b-3p	0.285110343632983	-0.274183585719984	1.27737537487454	-0.214646055586373	0.830043283561488	NA	heavy_vs_moderate	NA	0.0587035033385424	0.40945239849705	0.144591305902947	0	0	0
hsa-let-7b-5p	70.0875408174253	-0.566476071128286	0.427502544523947	-1.32508233783519	0.185143843515033	0.547967315833032	heavy_vs_moderate	FALSE	13.6428759588243	124.573830734483	27.3417942972258	9.12432528632336	8.95350147642299	9.60543154660642
hsa-let-7c-3p	2.39493565663843	0.649147934959918	0.512863146896921	1.26573324460451	0.205608601868704	NA	heavy_vs_moderate	NA	10.8660711284322	1.39214368997165	2.74242357578756	1.32665842522031	0	0.644695687817174
hsa-let-7c-5p	6.30124930181692	-0.330030838561341	0.424799459943177	-0.776909741376524	0.437212023554974	0.751288650897815	heavy_vs_moderate	FALSE	4.41994397788905	8.92870050282309	4.64006984772285	4.18262075495576	2.83529573544645	3.06125358081804
hsa-let-7d-3p	3.09409472461533	-1.85642590865173	0.661580078753072	-2.80604868295108	0.00501531144258585	0.104133378432623	heavy_vs_moderate	FALSE	2.50610861117754	5.32739064195531	1.74313381036657	2.60695008180667	1.19800709346518	0
hsa-let-7d-5p	13.614477886714	0.0757837500435947	0.455104980793544	0.166519271908328	0.867748318106129	0.970588242630506	heavy_vs_moderate	FALSE	6.32935409935656	22.4661508196176	6.98321553113049	4.64330448827109	2.64582746108534	4.33872992806906
hsa-let-7e-3p	0.0588535158974728	-0.559631939368735	3.80330821997314	-0.147143462217923	0.883018785319875	NA	heavy_vs_moderate	NA	0.521390016361334	0.0550838290289279	0.0154356554107084	0	0	0
hsa-let-7e-5p	4.10975449120145	-0.168737262758444	0.436890137436393	-0.386223556678505	0.699331109003269	0.89269454928067	heavy_vs_moderate	FALSE	18.1222660765872	3.74362716321339	4.10969066968327	2.09131037747788	2.06075060680065	2.47753292064852
hsa-let-7f-1-3p	0.0846013670984306	-0.508704492883044	3.80301042044105	-0.133763633712065	0.893589484795154	NA	heavy_vs_moderate	NA	0.0293517516692712	0.0568298848422144	0.165311009883873	0	0	0
hsa-let-7f-2-3p	0.579795096191228	0.166005812269656	0.737538686623542	0.225080819868083	0.821916401698709	NA	heavy_vs_moderate	NA	0.856805658053612	0.573572358314445	0.38548177291368	1.30347504090334	0	0
hsa-let-7f-5p	1.67550399057244	-0.0538998117636585	0.531194308034123	-0.101469106405026	0.919178080474486	NA	heavy_vs_moderate	NA	2.10233548994653	2.00909893510862	1.16145276798924	1.98998763783047	0.615156600840658	0.504595849319647
hsa-let-7g-3p	3.21759274080255	-0.255232701559381	0.52491771816166	-0.486233732885305	0.626801457016188	0.852478168453217	heavy_vs_moderate	FALSE	7.44686901902927	2.58737611329806	4.19074992598402	0.666131998054403	0	0
hsa-let-7g-5p	70.2171683969702	-0.329356120818279	0.481232842358138	-0.684400755368997	NA	NA	heavy_vs_moderate	NA	9.01368063426674	131.053534210163	20.5040657033648	7.33793791731781	6.3017532384341	4.94266693993167
hsa-let-7i-3p	0.317522672257028	0.0515118862343713	0.85838084960046	0.0600105259318726	0.952147251319568	NA	heavy_vs_moderate	NA	0	0.386862254340923	0.248458704616194	0	0	0
hsa-let-7i-5p	66.665425614267	-0.674605873900773	0.471439596264895	-1.43094869256956	0.152444920323163	0.513713417634015	heavy_vs_moderate	FALSE	5.45360035568173	110.383960842471	37.2155043707225	4.32985798735362	6.84512316931625	8.00452628883868
hsa-miR-1-2-5p:Novel	6.90883185977335	1.20268329614598	0.35596459239243	3.37865990564615	0.00072840057338387	0.0420347830890275	heavy_vs_moderate	TRUE	5.23676950992028	5.08727403147864	11.2515179111702	3.99679198832642	3.65656325382065	4.28089437374607
hsa-miR-1-3p	1.52891739840967	-0.58052894813596	0.407740897826647	-1.42376923980477	0.154513282819469	NA	heavy_vs_moderate	NA	2.5617371141327	1.64222849277281	1.49564445551649	2.60695008180667	1.08240400136821	1.05110197384487
hsa-miR-1-5p	12.0767450168724	0.730973302973231	0.3773686994537	1.93702684942187	0.0527420614011221	0.34291064339421	heavy_vs_moderate	FALSE	8.17163077353613	10.3543780344718	17.314370121327	7.31958632117258	5.23529590758316	8.05536112413134
hsa-miR-100-3p	0.187442090181106	0.115228366017301	1.401663978209	0.0822082666093311	0.934481099895006	NA	heavy_vs_moderate	NA	0.125316703143983	0.211802265921091	0.210910301847676	0	0	0
hsa-miR-100-5p	4.68564968919436	1.00887251999627	0.712178088555593	1.41660145995564	0.156599481449283	0.515848705988034	heavy_vs_moderate	FALSE	2.60226962447827	4.09221477491795	4.91344188780123	1.30347504090334	0	0.463248527073289
hsa-miR-101-2-5p	0.895118659549653	-1.34420179812791	0.586338117953585	-2.29253694578034	0.0218746781498365	NA	heavy_vs_moderate	NA	0.205462261684898	0.83473272993775	1.27839045286321	0	0	0
hsa-miR-101-3p	2.60814646014202	-0.867213715378647	0.384985984777019	-2.25258515808291	0.0242853177973186	NA	heavy_vs_moderate	NA	2.44240589310688	2.60582214243304	2.87897741141451	1.98998763783047	1.52874185863507	1.77122983368005
hsa-miR-101-5p	5.97779026540503	0.0939271916507644	0.478744674396264	0.196194749882522	0.844457737191355	0.959888607374162	heavy_vs_moderate	FALSE	3.03054423804617	10.0371177841928	2.51466370222838	2.66452799221761	1.19353993014344	1.62136984475651
hsa-miR-10226	2.07950331250788	-0.623528645810323	0.488856477269747	-1.27548406291498	0.202137961515408	NA	heavy_vs_moderate	NA	1.64583219628116	2.55303333936556	2.13932494674371	1.32665842522031	1.25786779769642	0.644695687817174
hsa-miR-10226-3p:Novel	7.01834225182851	0.299462824873014	0.339593998008072	0.881826023514987	0.3778708964927	0.709147956154999	heavy_vs_moderate	FALSE	13.325134927806	6.84267926953642	9.10850552918953	9.99197997081605	4.76557336648321	5.83574692547248
hsa-miR-10392-3p	1.11780905746673	-0.944033915665753	0.612888205425908	-1.54030361052506	0.123486364117313	NA	heavy_vs_moderate	NA	1.82601910805218	1.73144210838002	0.689997064393468	1.04565518873894	0.168544168567153	0
hsa-miR-10392-5p	117.584807414948	0.207923495288018	0.279404366952531	0.744166948984529	0.456775480527987	0.762209687387063	heavy_vs_moderate	FALSE	113.255873140308	123.211913576355	137.45834940956	105.469344805015	84.0588349624725	103.149581601789
hsa-miR-10393-3p	0.322562651420991	-0.297844153797481	1.2801552580741	-0.232662524267226	0.816023471943572	NA	heavy_vs_moderate	NA	0.162017594191302	0.255601130863057	0.422767422520824	0	0	0
hsa-miR-10393-5p	0.216083052171773	-0.57392067914432	3.80343305293572	-0.150895433456186	0.880058202814543	NA	heavy_vs_moderate	NA	0.0293517516692712	0.117619668536908	0.370864810467147	0	0	0
hsa-miR-10394-3p	1.92829285545909	-1.04864551656138	0.503160065416555	-2.08411912756475	0.0371493325920802	NA	heavy_vs_moderate	NA	0.786512094933012	2.41801781299041	1.65640772892233	0.663329212610155	1.04887442159818	0.231624263536645
