ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_abstemious	Average_moderate	Average_heavy	Median_abstemious	Median_moderate	Median_heavy
hsa-let-7a-2-3p	0.663880742435495	2.40201399288957	1.27004763368657	1.89127866481452	0.0585871551791977	NA	heavy_vs_abstemious	NA	0.117407006677085	0.777635372102501	0.612820096275842	0	0	0
hsa-let-7a-3p	128.887601362996	0.59373539771168	0.792862391532238	0.748850499220001	0.453947318544671	0.860546764089763	heavy_vs_abstemious	FALSE	25.8561155565589	239.7278568516	36.633285713389	18.7851210683336	13.6821691560665	21.7612342175658
hsa-let-7a-5p	8.74016079189347	0.333007074439497	0.670031970954976	0.497001768385578	0.619187804289327	0.926086859714805	heavy_vs_abstemious	FALSE	7.71202519428746	6.70881740857424	14.0300042496779	7.31958632117258	3.39494246705517	4.83294029086618
hsa-let-7b-3p	0.285110343632983	0.267411704634065	2.56347615333077	0.104316049239082	0.916918541947883	NA	heavy_vs_abstemious	NA	0.0587035033385424	0.40945239849705	0.144591305902947	0	0	0
hsa-let-7b-5p	70.0875408174253	-0.38659886830505	0.830985304101924	-0.465229488893141	0.641767123173824	0.931550775335708	heavy_vs_abstemious	FALSE	13.6428759588243	124.573830734483	27.3417942972258	9.12432528632336	8.95350147642299	9.60543154660642
hsa-let-7c-3p	2.39493565663843	-0.773923514997351	0.919687669668646	-0.841506894700662	0.400064024140839	0.842660812507691	heavy_vs_abstemious	FALSE	10.8660711284322	1.39214368997165	2.74242357578756	1.32665842522031	0	0.644695687817174
hsa-let-7c-5p	6.30124930181692	0.107641431518653	0.779226749869919	0.138138778650274	0.890130738616509	0.977292347116088	heavy_vs_abstemious	FALSE	4.41994397788905	8.92870050282309	4.64006984772285	4.18262075495576	2.83529573544645	3.06125358081804
hsa-let-7d-3p	3.09409472461533	-0.539700152866783	1.22591001925224	-0.440244507664584	0.659760027339827	0.93691770688693	heavy_vs_abstemious	FALSE	2.50610861117754	5.32739064195531	1.74313381036657	2.60695008180667	1.19800709346518	0
hsa-let-7d-5p	13.614477886714	1.03778305515094	0.847951635476361	1.22387057437295	0.221001055645451	0.702368375627715	heavy_vs_abstemious	FALSE	6.32935409935656	22.4661508196176	6.98321553113049	4.64330448827109	2.64582746108534	4.33872992806906
hsa-let-7e-3p	0.0588535158974728	-1.63643807860956	7.53923881989118	-0.217056140242176	0.828164594093716	NA	heavy_vs_abstemious	NA	0.521390016361334	0.0550838290289279	0.0154356554107084	0	0	0
hsa-let-7e-5p	4.10975449120145	-0.157549290634999	0.778312619617951	-0.202424175920898	0.839585129940781	0.970276932079655	heavy_vs_abstemious	FALSE	18.1222660765872	3.74362716321339	4.10969066968327	2.09131037747788	2.06075060680065	2.47753292064852
hsa-let-7f-1-3p	0.0846013670984306	1.21260043392332	7.55419047365542	0.160520235510629	0.872471282674503	NA	heavy_vs_abstemious	NA	0.0293517516692712	0.0568298848422144	0.165311009883873	0	0	0
hsa-let-7f-2-3p	0.579795096191228	0.0516360794632609	1.38953710862866	0.0371606336690215	0.970356926698838	NA	heavy_vs_abstemious	NA	0.856805658053612	0.573572358314445	0.38548177291368	1.30347504090334	0	0
hsa-let-7f-5p	1.67550399057244	0.474592129877012	1.01592894237446	0.467150909952205	0.640391912518653	0.931550775335708	heavy_vs_abstemious	FALSE	2.10233548994653	2.00909893510862	1.16145276798924	1.98998763783047	0.615156600840658	0.504595849319647
hsa-let-7g-3p	3.21759274080255	-0.0381368580762976	0.967758026104934	-0.0394074314524594	0.968565555071117	0.989610932051892	heavy_vs_abstemious	FALSE	7.44686901902927	2.58737611329806	4.19074992598402	0.666131998054403	0	0
hsa-let-7g-5p	70.2171683969702	-0.603224101920877	0.932035142791941	-0.647211756537313	NA	NA	heavy_vs_abstemious	NA	9.01368063426674	131.053534210163	20.5040657033648	7.33793791731781	6.3017532384341	4.94266693993167
hsa-let-7i-3p	0.317522672257028	1.7377242118699	1.75714298494112	0.988948666535594	0.322688257952206	NA	heavy_vs_abstemious	NA	0	0.386862254340923	0.248458704616194	0	0	0
hsa-let-7i-5p	66.665425614267	-0.134429194714986	0.929466391016747	-0.144630506292899	0.885002609931118	0.977042881363955	heavy_vs_abstemious	FALSE	5.45360035568173	110.383960842471	37.2155043707225	4.32985798735362	6.84512316931625	8.00452628883868
hsa-miR-1-2-5p:Novel	6.90883185977335	0.363653627080565	0.699385533863706	0.519961608401573	0.603090333730234	0.920646899544175	heavy_vs_abstemious	FALSE	5.23676950992028	5.08727403147864	11.2515179111702	3.99679198832642	3.65656325382065	4.28089437374607
hsa-miR-1-3p	1.52891739840967	-0.326691842839647	0.692279682148309	-0.471907310389125	0.636992949837408	NA	heavy_vs_abstemious	NA	2.5617371141327	1.64222849277281	1.49564445551649	2.60695008180667	1.08240400136821	1.05110197384487
hsa-miR-1-5p	12.0767450168724	0.102453663326639	0.729129741370542	0.140514996870183	0.888253104254325	0.977292347116088	heavy_vs_abstemious	FALSE	8.17163077353613	10.3543780344718	17.314370121327	7.31958632117258	5.23529590758316	8.05536112413134
hsa-miR-100-3p	0.187442090181106	0.657130821836194	2.77379117118865	0.236907099806866	0.812728861915976	NA	heavy_vs_abstemious	NA	0.125316703143983	0.211802265921091	0.210910301847676	0	0	0
hsa-miR-100-5p	4.68564968919436	1.44337161005502	1.4108346195232	1.02306222861388	0.3062784242699	0.773053723763034	heavy_vs_abstemious	FALSE	2.60226962447827	4.09221477491795	4.91344188780123	1.30347504090334	0	0.463248527073289
