miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-551a	-0.1578	0.0908	0.51545205479452	-0.1144	0.2216	0.810624590163934	0.1876
hsa-miR-557	0.2087	0.0245	0.350376666666667	0.043	0.6466	0.899535275080906	0.1556
hsa-miR-5572	-0.0318	0.7345	0.956851592356688	-0.0916	0.3282	0.825865384615385	0.1309
hsa-miR-5572-5p:Novel	-0.0587	0.5313	0.846805058365759	-0.0756	0.42	0.825865384615385	0.1387
hsa-miR-5691-3p:Novel	-0.0516	0.5823	0.885355762081784	0.0762	0.4162	0.825865384615385	0.1371
hsa-miR-5698	0.0196	0.8349	0.972860683760684	0.1181	0.2069	0.808443925233645	0.1718
hsa-miR-5706-3p:Novel	0.1273	0.1732	0.656834523809524	0.106	0.2572	0.812772180451128	0.1534
hsa-miR-572	-0.1338	0.1521	0.603969902912621	0.0113	0.9044	0.962902857142857	0.1996
hsa-miR-584-5p	0.0491	0.6008	0.900099633699634	-0.0296	0.7524	0.93178446866485	0.1572
hsa-miR-595-5p:Novel	-0.0625	0.505	0.82618	-0.0546	0.5605	0.869589772727273	0.1074
hsa-miR-598-5p	0.0105	0.9105	0.981495128205128	0.0501	0.5931	0.885373454545455	0.1704
hsa-miR-599	-0.1109	0.2358	0.656834523809524	-0.0214	0.8198	0.93178446866485	0.1706
hsa-miR-6068-3p:Novel	-0.1198	0.2	0.656834523809524	-0.0954	0.3081	0.822826708074534	0.1591
hsa-miR-6069-3p:Novel	0.1391	0.1363	0.583984536082474	0.093	0.3207	0.822826708074534	0.1723
hsa-miR-607	-0.2251	0.0151	0.3323125	-0.1826	0.0498	0.710813793103448	0.2463
hsa-miR-607-5p:Novel	-0.1137	0.2241	0.656834523809524	-0.1702	0.0678	0.75457536231884	0.2294
hsa-miR-6070-3p:Novel	-0.196	0.035	0.418348571428571	-0.2086	0.0247	0.529655	0.209
hsa-miR-6071	-0.094	0.3157	0.697952972972973	-0.0379	0.6865	0.900062179487179	0.1441
hsa-miR-6075	0.028	0.765	0.968008615384615	0.1225	0.1902	0.79899595959596	0.1845
hsa-miR-6076-3p:Novel	-0.0634	0.4992	0.823277419354839	-0.1537	0.0995	0.75457536231884	0.1745
hsa-miR-6077	-0.2248	0.0153	0.3323125	-0.187	0.0444	0.710813793103448	0.2385
hsa-miR-608-3p:Novel	-0.0842	0.3686	0.743856157635468	0.0837	0.3717	0.825865384615385	0.1774
hsa-miR-6081	-0.1951	0.0358	0.418348571428571	-0.1011	0.2803	0.816847887323944	0.1811
hsa-miR-6083	-0.1553	0.096	0.52121282051282	-0.0578	0.5375	0.869589772727273	0.1682
hsa-miR-6084-5p:Novel	-0.1222	0.1911	0.656834523809524	-0.0143	0.8787	0.948685751978892	0.1548
hsa-miR-6085	0.0395	0.6738	0.935570169491525	0.0282	0.7636	0.93178446866485	0.1675
hsa-miR-6085-5p:Novel	0.0439	0.6395	0.934126785714286	0.0333	0.7227	0.9274075	0.1277
hsa-miR-6089	-0.0579	0.5367	0.847530115830116	-0.0447	0.6339	0.899535275080906	0.1839
hsa-miR-6124-3p:Novel	0.1083	0.2471	0.656834523809524	0.0767	0.413	0.825865384615385	0.1479
hsa-miR-6125	0.0774	0.4088	0.77407037037037	0.0525	0.5759	0.878892164179104	0.1678
