miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-30c-5p	-0.0876	0.203	0.626136363636364	-0.0835	0.2247	0.717566666666667	0.128
hsa-miR-3125	-0.0802	0.2437	0.676944444444444	0.1143	0.0962	0.701538461538462	0.1441
hsa-miR-3127-5p	-0.0062	0.9278	0.983716517857143	-0.1025	0.136	0.701538461538462	0.1374
hsa-miR-3130-3p	-0.0173	0.8019	0.948345771144279	-0.0302	0.6612	0.882388579387187	0.1232
hsa-miR-3136-5p	0.1081	0.1157	0.540769230769231	0.1592	0.0201	0.6175	0.1527
hsa-miR-3137	0.0295	0.6686	0.91025787965616	-0.0936	0.1736	0.70172268907563	0.1238
hsa-miR-3137-3p:Novel	0.0027	0.9683	0.991255387931035	0.0654	0.3419	0.766497641509434	0.1124
hsa-miR-3138-5p:Novel	0.1324	0.0536	0.462909090909091	0.1066	0.1208	0.701538461538462	0.1454
hsa-miR-3141-3p:Novel	0.1027	0.1353	0.552136752136752	0.0172	0.8034	0.910775656324582	0.1393
hsa-miR-3154	-0.0204	0.7677	0.946857506361323	-0.0483	0.4833	0.800033444816054	0.0954
hsa-miR-3154-5p:Novel	-0.091	0.1856	0.60708904109589	-0.0469	0.4963	0.800033444816054	0.1141
hsa-miR-3155a	0.0787	0.2529	0.68578125	0.0565	0.4124	0.776830708661417	0.0999
hsa-miR-3155b	0.0464	0.501	0.846886120996441	0.0179	0.7952	0.903636363636364	0.0814
hsa-miR-3156-3p	-0.0153	0.8246	0.948389830508475	0.0491	0.4756	0.800033444816054	0.1128
hsa-miR-3160-3p	-0.0175	0.7993	0.948345771144279	-0.1141	0.0967	0.701538461538462	0.1407
hsa-miR-3160-5p	-0.0685	0.32	0.734299516908213	-0.1204	0.0794	0.701538461538462	0.1402
hsa-miR-3168-3p:Novel	0.0175	0.8	0.948345771144279	-0.0735	0.2855	0.7184375	0.1202
hsa-miR-3169	0.1879	0.0059	0.4085	0.1198	0.0812	0.701538461538462	0.1725
hsa-miR-3170	0.134	0.0509	0.462909090909091	0.1309	0.0565	0.701538461538462	0.1512
hsa-miR-3170-3p:Novel	-0.034	0.6215	0.892687125748503	0.0281	0.6839	0.890047297297297	0.0862
hsa-miR-3176-5p:Novel	-0.0758	0.2706	0.698559782608696	-0.0918	0.182	0.708606557377049	0.1075
hsa-miR-3178-3p:Novel	0.0725	0.2922	0.709124365482233	0.0841	0.2218	0.717566666666667	0.1204
hsa-miR-3180	-0.0153	0.8246	0.948389830508475	0.0602	0.3816	0.774351063829787	0.1147
hsa-miR-3180-3p	-0.0928	0.1773	0.605625	-0.1033	0.1329	0.701538461538462	0.1732
hsa-miR-3180-4-3p:Novel, hsa-miR-3180-5-3p:Novel	-0.1746	0.0107	0.413928571428571	0.0131	0.8493	0.933836805555556	0.1668
hsa-miR-3180-5p	-0.0644	0.3495	0.772151162790698	0.0275	0.6896	0.890047297297297	0.1131
hsa-miR-3185-3p:Novel	-0.0654	0.3425	0.762663551401869	-0.0342	0.6191	0.862201166180758	0.1201
hsa-miR-3190-3p	-0.0762	0.2685	0.698559782608696	-0.117	0.0885	0.701538461538462	0.1318
hsa-miR-3195	-0.0831	0.2272	0.658048780487805	0.0314	0.6486	0.879424715909091	0.1101
hsa-miR-3195-3p:Novel	0.071	0.3023	0.7179625	-0.0051	0.9409	0.972304347826087	0.1058
hsa-miR-3196-3p:Novel	-0.0614	0.3725	0.794622222222222	-0.074	0.2821	0.7184375	0.112
hsa-miR-3197	-0.1094	0.1115	0.540433673469388	-0.0954	0.1653	0.70172268907563	0.1671
hsa-miR-320a-3p	-0.0465	0.5	0.846886120996441	-0.0379	0.5821	0.842980182926829	0.0809
hsa-miR-320c	0.0256	0.7099	0.915630081300813	0.0244	0.7235	0.891751824817518	0.1155
hsa-miR-320d	-0.0263	0.7031	0.915630081300813	-0.0167	0.8088	0.911504739336493	0.1164
hsa-miR-320d-1-5p:Novel	0.0825	0.2308	0.661566265060241	-0.0464	0.5008	0.800033444816054	0.1144
hsa-miR-320e-5p:Novel	-0.0558	0.4176	0.81859631147541	-0.0759	0.2699	0.7184375	0.1507
hsa-miR-323a-5p	-0.0728	0.29	0.709124365482233	-0.1415	0.0391	0.68787037037037	0.1603
hsa-miR-326-5p:Novel	-0.0969	0.1589	0.600962962962963	-0.0749	0.2765	0.7184375	0.1225
hsa-miR-338-3p	0.0057	0.9343	0.985309734513274	-0.0084	0.9033	0.957934065934066	0.1047
hsa-miR-345-3p	-0.1576	0.0214	0.418306451612903	-0.1527	0.0259	0.6175	0.1889
hsa-miR-3605-5p	-0.0733	0.287	0.709124365482233	-0.0247	0.72	0.891751824817518	0.1104
hsa-miR-3615-5p:Novel	-0.1465	0.0326	0.423369565217391	-0.0839	0.2227	0.717566666666667	0.1292
hsa-miR-3619-3p	-0.1837	0.0072	0.4085	0.0036	0.9589	0.983752699784017	0.1503
hsa-miR-3621-3p:Novel	-0.0785	0.2541	0.68578125	0.0279	0.686	0.890047297297297	0.1149
hsa-miR-3622a-5p	-0.0581	0.3989	0.815450643776824	-0.0601	0.3831	0.774351063829787	0.1016
hsa-miR-3648	0.0503	0.4652	0.824677121771218	0.0228	0.7407	0.891751824817518	0.1013
hsa-miR-3648-3p:Novel	0.0355	0.6062	0.888075153374233	0.011	0.8728	0.948695652173913	0.0879
hsa-miR-3652-3p:Novel	-0.0508	0.461	0.824677121771218	-0.0811	0.2386	0.7184375	0.1114
hsa-miR-3665-3p:Novel	-0.0338	0.624	0.892687125748503	0.0369	0.5924	0.85012084592145	0.1047
hsa-miR-3668-3p:Novel	0.1408	0.0401	0.423369565217391	0.1383	0.0438	0.701538461538462	0.1591
hsa-miR-3682-3p	-0.0202	0.7694	0.946857506361323	-0.0875	0.2033	0.717566666666667	0.1205
hsa-miR-3689d-3p:Novel	0.0476	0.4892	0.844981818181818	0.0166	0.8098	0.911504739336493	0.0936
hsa-miR-3714-3p:Novel	0.0777	0.2592	0.695593220338983	0.0489	0.4775	0.800033444816054	0.1113
hsa-miR-371a-3p	0.1456	0.0337	0.423369565217391	0.1333	0.0521	0.701538461538462	0.1617
hsa-miR-371a-5p	0.0196	0.7765	0.946857506361323	0.0188	0.7854	0.898951807228916	0.0853
hsa-miR-378a-3p	-0.004	0.9536	0.990462962962963	-0.0739	0.2832	0.7184375	0.0893
hsa-miR-378h	-0.0667	0.3328	0.746332547169811	-0.0724	0.2931	0.721360103626943	0.1076
hsa-miR-378h-3p:Novel	-0.0097	0.8883	0.97534064665127	0.0844	0.2197	0.717566666666667	0.1196
hsa-miR-378i	-0.1177	0.0866	0.520696202531646	-0.0429	0.5336	0.812371794871795	0.1318
hsa-miR-378i-3p:Novel	-0.0856	0.2136	0.642269938650307	-0.0654	0.3421	0.766497641509434	0.132
hsa-miR-378j-3p:Novel	-0.104	0.1305	0.552136752136752	-0.0805	0.242	0.7184375	0.1306
hsa-miR-3907	-0.0426	0.5361	0.87714527027027	-0.0768	0.2644	0.7184375	0.1019
hsa-miR-3907-5p:Novel	-0.1011	0.1414	0.560895833333333	-0.1099	0.1098	0.701538461538462	0.1391
hsa-miR-3911-3p:Novel	0.0148	0.8297	0.951950483091787	-0.0353	0.6086	0.856264792899408	0.1075
hsa-miR-3916-3p:Novel	-0.153	0.0255	0.418306451612903	-0.0958	0.1635	0.70172268907563	0.1664
hsa-miR-3920	0.0285	0.6791	0.910528169014085	0.09	0.1907	0.717566666666667	0.109
hsa-miR-3920-5p:Novel	-0.1462	0.0329	0.423369565217391	0.0255	0.7114	0.891751824817518	0.1262
hsa-miR-3928-3p	-0.0416	0.5462	0.87714527027027	-0.0511	0.4583	0.800033444816054	0.1198
hsa-miR-3934-3p	0.0136	0.8432	0.957482100238664	-0.0104	0.8805	0.952482954545455	0.0937
hsa-miR-3935	-0.0926	0.1782	0.605625	-0.0315	0.6474	0.879424715909091	0.1186
hsa-miR-3943-3p:Novel	-0.076	0.2693	0.698559782608696	-0.0858	0.2123	0.717566666666667	0.101
hsa-miR-3960	0.0166	0.8099	0.948389830508475	0.0303	0.6605	0.882388579387187	0.0895
hsa-miR-3960-5p:Novel	0.0191	0.7812	0.946857506361323	0.0511	0.4577	0.800033444816054	0.1071
hsa-miR-3972	-0.0079	0.9083	0.979420045045045	-0.0495	0.472	0.800033444816054	0.0882
hsa-miR-3972-5p:Novel	-0.1191	0.0829	0.511396103896104	-0.1706	0.0126	0.6175	0.1896
hsa-miR-3976	-0.0376	0.5856	0.885859872611465	-0.0642	0.3509	0.766756465517241	0.1168
hsa-miR-3976-3p:Novel	0.0405	0.5563	0.879455445544555	-0.08	0.2451	0.7184375	0.104
hsa-miR-422a	0.0177	0.7972	0.948345771144279	0.0309	0.6536	0.879490084985836	0.095
hsa-miR-423-5p	-0.0697	0.3112	0.731782178217822	-0.0225	0.7436	0.891751824817518	0.0754
hsa-miR-425-3p	-0.1105	0.1077	0.540433673469388	-0.1117	0.1039	0.701538461538462	0.1433
hsa-miR-4252	-0.0562	0.4142	0.81859631147541	-0.0562	0.4147	0.776830708661417	0.0981
hsa-miR-4254	-0.059	0.3918	0.812685589519651	0.0761	0.2688	0.7184375	0.1292
hsa-miR-4254-5p:Novel	-0.0315	0.6473	0.9016642228739	-0.0501	0.467	0.800033444816054	0.0959
hsa-miR-4258-3p:Novel	-0.0317	0.6457	0.9016642228739	0.0314	0.649	0.879424715909091	0.1113
hsa-miR-4259	-0.0746	0.2785	0.703656914893617	0.0474	0.491	0.800033444816054	0.1366
hsa-miR-4259-5p:Novel	-0.088	0.2006	0.626136363636364	-0.0576	0.4031	0.776830708661417	0.134
