miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-378i-3p:Novel	-0.0201	0.7733	0.97922181372549	-0.0702	0.3135	0.739408866995074	0.1029
hsa-miR-378j-3p:Novel	0.0154	0.8258	0.97922181372549	-0.0255	0.7148	0.920248655913979	0.108
hsa-miR-3907	0.0401	0.565	0.969370567375887	-0.0558	0.4234	0.819655511811024	0.1201
hsa-miR-3907-5p:Novel	-0.0082	0.9067	0.993162100456621	-0.0166	0.8118	0.949068627450981	0.1001
hsa-miR-3911-3p:Novel	-0.0392	0.5738	0.969370567375887	0.0417	0.55	0.884097682119205	0.1298
hsa-miR-3916-3p:Novel	-0.0327	0.6396	0.97922181372549	-0.0209	0.7648	0.937390463917526	0.1098
hsa-miR-3920	-0.0317	0.6499	0.97922181372549	-0.0531	0.4461	0.827724609375	0.1033
hsa-miR-3920-5p:Novel	-0.0221	0.7509	0.97922181372549	-0.0051	0.9415	0.9796875	0.1219
hsa-miR-3928-3p	0.0609	0.3819	0.969370567375887	-0.0076	0.9127	0.9796875	0.1126
hsa-miR-3934-3p	-0.044	0.5281	0.969370567375887	-0.0358	0.6081	0.899705882352941	0.1549
hsa-miR-3935	-0.0133	0.8492	0.981435523114355	-0.0694	0.3192	0.739609756097561	0.1096
hsa-miR-3943-3p:Novel	0.0056	0.9356	0.995847826086956	-0.0699	0.316	0.739408866995074	0.1076
hsa-miR-3960	0.0039	0.955	0.995847826086956	-0.1282	0.0649	0.60525390625	0.1673
hsa-miR-3960-5p:Novel	-0.0101	0.885	0.989656976744186	-0.0684	0.3259	0.747838164251208	0.1255
hsa-miR-3972	0.0172	0.8054	0.97922181372549	-0.068	0.3288	0.750865384615385	0.1124
hsa-miR-3972-5p:Novel	0.0391	0.5755	0.969370567375887	-0.0039	0.9559	0.9796875	0.1136
hsa-miR-3976	0.0782	0.2617	0.969370567375887	0.0163	0.8152	0.949068627450981	0.1234
hsa-miR-3976-3p:Novel	-0.0554	0.4266	0.969370567375887	-0.1221	0.079	0.60525390625	0.1466
hsa-miR-422a	-0.0691	0.3212	0.969370567375887	-0.0606	0.3846	0.78263829787234	0.1202
hsa-miR-423-5p	-0.0506	0.4681	0.969370567375887	-0.1004	0.1491	0.60525390625	0.1495
hsa-miR-425-3p	-0.0987	0.1559	0.969370567375887	0.0135	0.8466	0.966477272727273	0.1392
hsa-miR-4252	-0.029	0.6771	0.97922181372549	0.023	0.7417	0.936988031914894	0.1318
hsa-miR-4254	0.0269	0.6997	0.97922181372549	0.0603	0.3872	0.78263829787234	0.1395
hsa-miR-4254-5p:Novel	0.0502	0.4714	0.969370567375887	0.0863	0.215	0.640077160493827	0.1202
hsa-miR-4258-3p:Novel	-0.0535	0.4427	0.969370567375887	-0.0768	0.2703	0.694013513513513	0.1076
hsa-miR-4259	0.0051	0.9422	0.995847826086956	-0.0869	0.212	0.640077160493827	0.1327
hsa-miR-4259-5p:Novel	0.0459	0.5105	0.969370567375887	0.026	0.7092	0.920248655913979	0.1135
hsa-miR-4274	-0.06	0.3895	0.969370567375887	-0.0777	0.2645	0.690315934065934	0.1161
hsa-miR-4276-3p:Novel	-0.0917	0.1879	0.969370567375887	-0.0065	0.9256	0.9796875	0.1322
hsa-miR-4277	-0.0155	0.8244	0.97922181372549	0.0545	0.4341	0.819655511811024	0.1267
hsa-miR-4281	0.0549	0.4308	0.969370567375887	0.0226	0.7457	0.937390463917526	0.1322
hsa-miR-4283	0.1205	0.0831	0.925170454545454	0.0436	0.5313	0.876276041666667	0.13
hsa-miR-4283-3p:Novel	0.109	0.1169	0.969370567375887	0.1238	0.0749	0.60525390625	0.1446
hsa-miR-4284-3p:Novel	-0.0403	0.5631	0.969370567375887	0.0273	0.6952	0.920248655913979	0.1218
