miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-3141-3p:Novel	0.022	0.8101	0.980268934911243	-0.0394	0.6668	0.918253198653199	0.1412
hsa-miR-3154	-0.0845	0.3546	0.863525595238095	-0.0432	0.6366	0.90078724137931	0.1436
hsa-miR-3154-5p:Novel	-0.0168	0.854	0.986683615819209	-0.0251	0.7841	0.957304179104478	0.1396
hsa-miR-3155a	0.0104	0.9093	0.991420316622691	0.0114	0.9009	0.977368965517241	0.1267
hsa-miR-3155b	0.103	0.2591	0.849161904761905	0.0068	0.9403	0.986109487179487	0.1648
hsa-miR-3156-3p	0.0579	0.5262	0.913433333333333	0.0286	0.7549	0.950925	0.1273
hsa-miR-3160-3p	-0.0698	0.4446	0.909207	0.016	0.8611	0.97652884097035	0.1453
hsa-miR-3160-5p	-0.0107	0.9066	0.991420316622691	0.0139	0.8793	0.97652884097035	0.1651
hsa-miR-3168-3p:Novel	0.0984	0.2807	0.849175524475524	0.167	0.066	0.389289156626506	0.2056
hsa-miR-3169	0.1206	0.1859	0.849161904761905	0.1083	0.2352	0.692063309352518	0.1443
hsa-miR-3169-3p:Novel	0.1446	0.112	0.826404109589041	0.2294	0.011	0.276676470588235	0.2131
hsa-miR-3170	0.1013	0.2667	0.849175524475524	0.0358	0.6955	0.922036893203883	0.1396
hsa-miR-3170-3p:Novel	0.0236	0.7961	0.974274626865672	0.0922	0.3127	0.743571511627907	0.1634
hsa-miR-3174-3p:Novel	0.042	0.6463	0.946625441696113	-0.0425	0.6419	0.902189347079038	0.1587
hsa-miR-3176-5p:Novel	-0.0712	0.4359	0.909207	0.0235	0.797	0.964417159763314	0.1458
hsa-miR-3178-3p:Novel	0.0563	0.5377	0.913433333333333	0.018	0.8439	0.97652884097035	0.1289
hsa-miR-3180	0.0888	0.3305	0.857613836477987	0.0816	0.3718	0.771909644670051	0.1283
hsa-miR-3180-3p	-0.1095	0.23	0.849161904761905	-0.0363	0.6914	0.922036893203883	0.1826
