miRNA	SC	SC.p	SC.fdr	PC	PC.p	PC.fdr	DC
hsa-miR-646-5p:Novel	-0.074	0.1842	0.426895384615385	-0.0833	0.1346	0.404998	0.1257
hsa-miR-647-3p:Novel	0.0778	0.1625	0.400892857142857	-0.0183	0.7432	0.880748947368421	0.1461
hsa-miR-650	0.0894	0.1081	0.326788741721854	0.0819	0.1412	0.407266025641026	0.112
hsa-miR-6509-5p	-0.1338	0.0159	0.125247368421053	-0.0931	0.0944	0.397949315068493	0.1495
hsa-miR-6511a-3p	0.0097	0.8613	0.929624278846154	0.0756	0.1747	0.438464804469274	0.1372
hsa-miR-6511b-5p	-0.0811	0.1454	0.38165	-0.1277	0.0215	0.276709302325581	0.1271
hsa-miR-654-5p	-0.0388	0.4869	0.698460383386582	-0.0513	0.3571	0.662553305785124	0.1083
hsa-miR-655-5p	-0.0325	0.56	0.757619879518072	0.0238	0.6692	0.850317464788732	0.1077
hsa-miR-657	-0.0129	0.8171	0.906033578431373	-0.0431	0.4395	0.713089247311828	0.0803
hsa-miR-657-5p:Novel	-0.0631	0.2575	0.503075217391304	-0.0045	0.9363	0.979815473441108	0.0939
hsa-miR-663a-3p:Novel	-0.0701	0.2085	0.452253623188406	-0.0119	0.8314	0.940869346733668	0.1105
hsa-miR-6717-3p:Novel	-0.1184	0.0331	0.183980487804878	-0.1031	0.0637	0.391203191489362	0.1397
hsa-miR-6717-5p	-0.1398	0.0118	0.109042857142857	-0.1021	0.0663	0.391203191489362	0.1475
hsa-miR-6720-3p	-0.0459	0.4099	0.645772280701754	-0.033	0.5541	0.777007788161994	0.1101
hsa-miR-6721-3p:Novel	-0.1283	0.0209	0.1466265625	-0.058	0.2982	0.589831718061674	0.1574
hsa-miR-6724-3p:Novel	-0.0141	0.7998	0.906033578431373	-0.0233	0.6763	0.852973876404494	0.0939
hsa-miR-6724-5p	-0.2325	0	0	-0.0844	0.1294	0.397949315068493	0.2078
hsa-miR-6728-5p	-0.0816	0.1429	0.378480588235294	-0.0589	0.2904	0.584897333333333	0.1075
hsa-miR-6731-5p	-0.1036	0.0625	0.255521818181818	-0.0685	0.2191	0.494351256281407	0.1231
hsa-miR-6738-5p	-0.039	0.4841	0.696669551282051	0.0144	0.7966	0.918564885496183	0.0985
hsa-miR-6745-5p:Novel	-0.1734	0.0017	0.0401736842105263	-0.0464	0.4053	0.69595	0.1669
hsa-miR-6746-5p	-0.0361	0.5172	0.727971159874608	0.0074	0.8946	0.960966904761905	0.0958
hsa-miR-6756-5p	-0.0508	0.3622	0.618698098859316	-0.0879	0.1143	0.397949315068493	0.1049
hsa-miR-6757-5p	0.1087	0.0507	0.244777419354839	0.1586	0.0042	0.12572	0.1563
hsa-miR-6760-5p	-0.088	0.114	0.33675	-0.0692	0.2143	0.491620812182741	0.1158
hsa-miR-6768-5p	-0.0308	0.5812	0.766986803519062	-0.0093	0.8677	0.954097555012225	0.0879
hsa-miR-6772-5p	0.0622	0.2643	0.504464705882353	0.0979	0.0784	0.391203191489362	0.1263
hsa-miR-6773-5p	0.0341	0.5413	0.746221472392638	0.0371	0.5055	0.748825657894737	0.1014
hsa-miR-6777-5p	-0.0029	0.9586	0.975989569160998	-0.0138	0.804	0.918564885496183	0.0726
