ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_40	Average40_60	Average60_	Median_40	Median40_60	Median60_
has-miR-548o	0.581102944228438	-0.348254243141712	0.954722907111707	-0.364769966811914	0.715283125640072	NA	60__vs__40	NA	0.659381313530952	0.550260951966736	0.489735988025926	0	0	0
has-miR-548x	1.91458455148291	1.16031620516168	0.755392920619916	1.53604326104812	0.124527770525212	NA	60__vs__40	NA	1.236050759533	1.23678376192912	4.09600433672033	0	0.339934266415633	0.407643929732835
hsa-let-7a-2-3p	0.510410667426444	0.136096973847081	0.846854786126603	0.160708749689625	0.872322797760705	NA	60__vs__40	NA	0.542924919755699	0.492535696028897	0.359192122284347	0	0	0
hsa-let-7a-3p	721.349463558236	-0.190976843282414	0.508043564626817	-0.375906431218543	0.706986459173147	0.876138973984298	60__vs__40	FALSE	1072.95732832385	867.734889428056	213.939138654015	22.6631230566824	16.2581190544851	13.4904666276253
hsa-let-7a-5p	17.9512808805938	-0.265915264370004	0.445549807632678	-0.59682500096427	0.550624224272301	0.808665555313276	60__vs__40	FALSE	14.2058269996081	25.4123103920215	10.3117441895266	7.18211345138122	7.80745339763977	5.86290334649813
hsa-let-7b-3p	0.606591480187684	-0.622061055493064	1.14502880106944	-0.543271099305159	0.586943159801939	NA	60__vs__40	NA	0.599797153624725	0.784017860936596	0.25871269493699	0	0	0
hsa-let-7b-5p	438.698457124774	-0.442315497166841	0.55724221554981	-0.793758054978704	0.42733629567571	0.735147464272347	60__vs__40	FALSE	587.914222427801	585.312530879702	135.245759044656	16.8703732987633	13.0070507323804	11.3657922536218
hsa-let-7c-3p	5.50667541683246	-0.234301970025332	0.607891065719346	-0.385434139829102	0.699915792800036	NA	60__vs__40	NA	6.83132822829577	5.45268793924433	2.04208385229194	0.398203372957625	0.0487612183383278	0.499138694257841
hsa-let-7c-5p	32.6764061115394	-0.845312926255458	0.531683074896353	-1.58988120210568	0.111861585612913	0.470098513552229	60__vs__40	FALSE	52.1583255035249	31.3419358471488	12.7507546360221	4.00985146186384	1.84606303663741	3.64947802752796
hsa-let-7d-3p	5.58240542391933	-0.398777159467873	0.555829063951065	-0.717445677693065	0.473099143604829	NA	60__vs__40	NA	8.19565876661493	4.27705538815035	3.47123234388131	1.53373277157152	1.63945592233768	0.832277254105627
hsa-let-7d-5p	84.7263620575351	0.132475014200122	0.521121815653075	0.254211223212951	0.799332380484459	0.917593677418879	60__vs__40	FALSE	122.908229771835	102.107899324561	27.2787141040671	2.94625695294641	4.20727325598	4.92554249592795
hsa-let-7e-3p	0.0926959525265536	-0.558900176982978	2.22899081246285	-0.250741355172047	0.802014084995788	NA	60__vs__40	NA	0.0929606342593631	0.110244468764525	0.034300818044405	0	0	0
hsa-let-7e-5p	8.28688404330971	-0.141434691953892	0.518225645813325	-0.272921058802326	0.784913898244476	NA	60__vs__40	NA	12.2834831136075	6.97250535315012	4.84013151196038	2.02828194062839	2.22419718550946	3.08132883720205
hsa-let-7f-1-3p	0.148231312069842	-1.10563314783924	2.41907466649443	-0.457047962658156	0.647636571829734	NA	60__vs__40	NA	0.105982771878246	0.138731121935595	0.232538889777647	0	0	0
hsa-let-7f-2-3p	0.575557015736163	-0.144056867962826	0.721744882854584	-0.19959527443141	0.841797123877599	NA	60__vs__40	NA	0.748849303849792	0.408302137003873	0.400897657547084	0	0	0
hsa-let-7f-5p	2.21317899747824	-1.11285875993001	0.575067223418392	-1.93518029651353	0.0529681747466453	NA	60__vs__40	NA	3.03863284886796	1.80854393110289	0.899973933155954	1.14460039262269	1.19370682556493	0.499138694257841
hsa-let-7g-3p	2.96451879005013	-0.402696035207236	0.554614391307862	-0.726082917281717	0.467787940689103	NA	60__vs__40	NA	4.44498026087552	2.06678308020758	1.19121583448721	0.509827382148574	0.137942038942478	0
hsa-let-7g-5p	494.25023297281	-0.185230144517601	0.604325960283833	-0.306507012259749	0.75921864159029	0.906596323972009	60__vs__40	FALSE	672.731013678369	651.060313278167	152.775036281877	9.19429357435391	8.58317580062974	6.31872034084558
hsa-let-7i-3p	0.309460606375863	-1.00363625214482	1.10408743699821	-0.909018813648945	0.36334019499715	NA	60__vs__40	NA	0.235858957791204	0.42107982812072	0.224013765613628	0	0	0
hsa-let-7i-5p	547.749131005243	-0.632741234893225	0.574809775723678	-1.10078370552521	0.270990805159707	0.616236535002299	60__vs__40	FALSE	708.610159671538	775.598934957163	149.175835959427	10.2086537613585	6.22653948001687	9.43315995055805
hsa-miR-1-2-5p:Novel	9.96620767359249	-0.512570102730768	0.486995296290225	-1.05251551018123	0.292563098273054	NA	60__vs__40	NA	13.6507306778973	7.25106001593191	4.80533789678313	3.45020682290327	4.04135568949694	4.18823810931113
hsa-miR-1-3p	1.95760720065832	0.355937844244128	0.475708792474532	0.748226330635215	0.454323651496114	NA	60__vs__40	NA	1.67586034230496	2.22398358478509	1.6684482263751	0.645140160522901	1.37693288334445	1.24511737156501
hsa-miR-1-5p	12.2163827187717	-0.388209899879807	0.422793190942437	-0.918202819242331	0.358512692980737	0.693339862701484	60__vs__40	FALSE	15.3554608794078	8.90228927875899	7.27840922761197	7.33352110838691	5.65872406099073	4.88627779419632
hsa-miR-100-3p	0.264208039986053	-0.413881519109408	1.14615371983607	-0.361104720899569	0.71802116426607	NA	60__vs__40	NA	0.251759261799512	0.261068747487162	0.23124615187147	0	0	0
