ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	abstemious.x	light.x	heavy.x	abstemious.y	light.y	heavy.y
hsa-miR-4508-3p:Novel	119.488500805027	0.991445879332537	0.254240791265627	3.8996333924114	9.63384494163654e-05	0.0347589125494246	heavy_vs_light	TRUE	189.441	72.122	191.435	67.232	31.979	75.323
hsa-miR-4509	6.70495083301309	-0.266724795150557	0.253685036471529	-1.0514013710087	0.293074286419786	0.633940063190999	heavy_vs_light	FALSE	8.914	6.363	6.352	3.019	4.182	3.513
hsa-miR-4509-3p:Novel	5.98336556679148	-0.176329686552612	0.216994140326267	-0.812601143457086	0.416446775769979	0.717545351947508	heavy_vs_light	FALSE	6.225	6.108	5.323	4.334	4.446	3.78
hsa-miR-450a-1-3p	0.328908451343668	-0.242491438841375	0.502603005417891	-0.482471127763661	0.629471303906909	NA	heavy_vs_light	NA	0.629	0.313	0.255	0	0	0
hsa-miR-450a-2-3p	1.89571714721644	-0.561559410797989	0.5377397023601	-1.04429598248622	0.296348471055242	NA	heavy_vs_light	NA	0.571	2.487	0.902	0	0	0
hsa-miR-450a-5p	3.15861053512855	-0.597051288309058	0.326083601489572	-1.8309761226314	0.0671041070695864	0.351494813137906	heavy_vs_light	FALSE	2.63	3.772	1.827	1.327	1.051	0.538
hsa-miR-450b-3p	0.183312504609181	-0.605297080670808	0.856423503263646	-0.706773084068981	0.479707503742238	NA	heavy_vs_light	NA	0.306	0.192	0.118	0	0	0
hsa-miR-450b-5p	0.15901779980958	-0.302498503684164	0.789719978685134	-0.383045271550325	0.701686197384465	NA	heavy_vs_light	NA	0.173	0.2	0.058	0	0	0
hsa-miR-4510	1.06396368970222	-0.601312614586229	0.298635031667426	-2.01353676167463	0.0440581916141607	NA	heavy_vs_light	NA	1.866	1.107	0.712	0	0.605	0
hsa-miR-4510-3p:Novel	5.79641899393201	0.181626729813849	0.279657925527691	0.649460334339299	0.516040876926092	0.77597034227708	heavy_vs_light	FALSE	9.269	4.627	6.946	2.653	2.655	2.205
