ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	never.x	former.x	_16.x	16_.x	never.y	former.y	_16.y	16_.y
hsa-miR-4656-3p:Novel	7.85072546203848	0.456704306510555	0.207098178555557	2.20525506161339	0.0274362013446974	0.304765679315542	former_vs_never	FALSE	6.83	9.482	5.906	10.637	5.187	4.831	4.866	5.051
hsa-miR-4657	0.512705539345743	-0.084341909156319	0.397072461668852	-0.212409364280361	0.831787680819859	NA	former_vs_never	NA	0.527	0.437	0.565	0.557	0	0	0	0
hsa-miR-4657-3p:Novel	1.01350606692256	0.402916578760136	0.445584911064042	0.904241972193323	0.365867108726227	NA	former_vs_never	NA	0.886	0.821	0.62	3.635	0	0	0	0
hsa-miR-4658	9.06387579321036	-0.21979280923287	0.251630412649392	-0.873474739872233	0.382404368712084	0.766444691942723	former_vs_never	FALSE	10.155	8.763	5.485	7.021	4.961	5.591	3.837	4.227
hsa-miR-4658-5p:Novel	2.74697868100397	-0.360150223936123	0.298662359222015	-1.20587751625038	0.227864721071812	0.658697540496666	former_vs_never	FALSE	3.405	1.737	2.978	1.252	0.453	0.34	0.58	0.656
hsa-miR-4659a-3p	0.174176396791663	-0.76892407150204	0.738194865498505	-1.04162749897046	0.297584414271593	NA	former_vs_never	NA	0.199	0.071	0.363	0.053	0	0	0	0
hsa-miR-4659a-5p	2.45204873105139	-0.165820579351808	0.304574269078179	-0.544433972881814	0.586142872925235	0.868325489218885	former_vs_never	FALSE	2.595	2.312	2.412	1.535	1.32	0.989	1.013	0.858
hsa-miR-4659b-3p	0.222330108657186	-0.0592770194647482	0.664181860968516	-0.0892481757606417	0.928884679383421	NA	former_vs_never	NA	0.194	0.138	0.235	0.803	0	0	0	0
hsa-miR-4659b-5p	73.7138883746264	-0.513539555337243	0.48833248438482	-1.05161866506624	0.292974540761523	0.705699600754619	former_vs_never	FALSE	91.915	43.292	96.666	9.382	2.94	3.823	4.866	0.763
hsa-miR-466	1.04074302030857	0.0979914478646493	0.592007307689187	0.165524051125559	0.868531520866707	NA	former_vs_never	NA	1.374	0.764	0.714	0.098	0	0	0	0
hsa-miR-466-5p:Novel	0.395336214662701	-0.12116795231022	0.443255930473758	-0.273358897151617	0.784577345226809	NA	former_vs_never	NA	0.472	0.266	0.217	0.695	0	0	0	0
hsa-miR-4660	2.82135093537128	0.360481773482645	0.214567820938847	1.68003651202379	0.0929502120002523	0.479461347873376	former_vs_never	FALSE	2.108	2.72	2.873	8.603	1.685	1.781	2.252	2.621
