ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_16	Average16_	Averageformer	Averagenever	Median_16	Median16_	Medianformer	Mediannever
has-miR-548o	0.581102944228438	2.71361567113879	1.70384715302783	1.59264031771661	0.111240903405993	NA	16__vs__16	NA	0.286227182917278	5.81908359570496	0.330074889156607	0.275387285433927	0	0.195044873353311	0	0
has-miR-548x	1.91458455148291	0.448614379755792	1.34856296359231	0.332661056151779	0.73939014944852	0.965423856742043	16__vs__16	FALSE	0.842325235805088	0.7387674204809	0.624545555276811	2.70089268890199	0	0	0	0.341764003808895
hsa-let-7a-2-3p	0.510410667426444	0.659916090312468	1.56699995532156	0.42113344551886	0.673657640249524	NA	16__vs__16	NA	0.485570656143632	0.345151700142799	0.466709179140522	0.507901106521918	0	0	0	0
hsa-let-7a-3p	721.349463558236	5.37608477212992	0.859416991947806	6.25550207000843	3.96239086196994e-10	1.03242295236883e-07	16__vs__16	TRUE	287.093913313612	13536.253666145	175.382100684774	38.4067214166732	15.299270427373	42.6173048276985	12.7248838236511	22.4354893332542
hsa-let-7a-5p	17.9512808805938	1.52022039353434	0.778661191576458	1.95235156186036	0.0508964796651254	0.40321704329297	16__vs__16	FALSE	12.4158796483478	88.463976949701	9.69974640405309	16.1044690294717	8.72237816077132	7.86256856241561	4.69374038525239	7.85502265793449
hsa-let-7b-3p	0.606591480187684	2.58135057298735	2.0971104724754	1.23090824583045	0.218357183228175	NA	16__vs__16	NA	0.408803324599533	2.67598893984485	0.281621262835796	0.59933149199798	0	0	0	0
hsa-let-7b-5p	436.16149112855	5.14445031977387	0.911639076658042	5.64307789287928	1.6703672860726e-08	2.44813205365016e-06	16__vs__16	TRUE	195.443774866578	7731.59088760603	179.636440463499	28.009251892552	11.8530413965532	23.8040366066389	9.76934490570414	15.3430319834603
hsa-let-7c-3p	5.50667541683246	1.18868890555334	1.12980056425724	1.05212277561113	0.292743223956456	0.798395052470784	16__vs__16	FALSE	2.6058805586427	15.2714645622958	5.36156667521845	5.05708213983876	0.277223932012761	0.898265532325996	1.02710961240068	0
hsa-let-7c-5p	32.6764061115394	2.8802911652717	0.899371890810224	3.20255857971824	0.00136212593609252	0.0293044524783207	16__vs__16	TRUE	21.3144071616599	535.08248863337	5.80877669922124	6.05891660588174	1.74509921221297	3.14392936314098	2.34349154898124	3.14879232027516
hsa-let-7d-3p	5.58240542391933	-0.260731669305478	1.00959758274297	-0.258253064153639	0.796211607189055	0.978781458016978	16__vs__16	FALSE	5.36998862358724	45.5970713888489	3.73725185345768	2.8940152990759	2.02522602158328	0.68265705673659	0.974210764596153	1.64407326393734
hsa-let-7d-5p	84.7263620575351	5.12669032082736	0.873222949185295	5.87099815185857	4.33179100527441e-09	7.8138845441296e-07	16__vs__16	TRUE	32.7717043116654	1464.65062688628	39.7922043904754	6.68676943722659	4.36118908038566	6.63152569401259	2.67827605597856	4.09366505559171
hsa-let-7e-3p	0.0926959525265536	0.822519212826423	4.40745395130249	0.186620035493134	0.851958556669733	NA	16__vs__16	NA	0.0052093015651024	0	0.0495699711557782	0.134377336960571	0	0	0	0
hsa-let-7e-5p	8.28688404330971	1.64211730889294	0.904929270106871	1.81463608608771	0.0695798530689843	0.478489018905479	16__vs__16	FALSE	4.07943746653623	87.7106135679492	4.76184861798541	4.16131494713772	2.80251528006729	3.18814469486804	2.10490282203767	2.14593758549772
hsa-let-7f-1-3p	0.148231312069842	1.42471465358178	4.8248799497544	0.295284995361243	0.767776177740608	NA	16__vs__16	NA	0.181372372657072	0.083590660008562	0.0297926753734462	0.191909054840604	0	0	0	0
hsa-let-7f-2-3p	0.575557015736163	1.22073508305986	1.29743318910968	0.940884735573589	0.346763930837976	NA	16__vs__16	NA	0.351077961017187	2.85976551856286	0.323887234932579	0.474549887078645	0	0.195044873353311	0	0
hsa-let-7f-5p	2.21317899747824	-0.0455683619228893	1.04024951584007	-0.0438052229095149	0.965059663802781	0.996260539341799	16__vs__16	FALSE	1.52984943681414	4.42635460243853	1.99102087013628	2.11722221919453	1.10889572805104	2.35828998763951	0.617044838653955	0.913118762673353
hsa-let-7g-3p	2.96451879005013	0.867681583397175	1.00116590078315	0.86667113084699	0.386122227592135	0.855438913063923	16__vs__16	FALSE	2.31192330688444	0.577209229831865	4.84386718322821	2.32229536896039	0.0989767297369456	0	0.567607791803404	0.309727252397514
hsa-let-7g-5p	494.25023297281	6.51407320302234	1.03651778041046	6.28457449175913	3.28752872324857e-10	9.84750603177984e-08	16__vs__16	TRUE	200.564003404803	8792.56865280744	211.978166641848	26.3994712862561	6.86773573408729	13.1042809373594	5.60451767092717	8.67872943238204
hsa-let-7i-3p	0.309460606375863	0.740693614767586	2.04390645813123	0.362391151425204	0.717059750926597	NA	16__vs__16	NA	0.454089866120884	1.29894766971959	0.220892012489985	0.21177201213604	0	0	0	0
hsa-let-7i-5p	547.749131005243	6.42774359334595	0.962788622627648	6.67617319345062	2.45262106533583e-11	1.1502792796425e-08	16__vs__16	TRUE	204.796813854285	9856.31940277393	241.979860393029	23.6909477746105	9.55909140619494	9.43315995055805	7.49470368201408	8.95286515725696
hsa-miR-1-2-5p:Novel	9.96620767359249	0.612289643807063	0.872841075223082	0.701490410096217	0.482997017323543	0.890241983042768	16__vs__16	FALSE	9.44108066182403	19.7053743400141	11.3473432016713	7.46159759511013	4.50461185246457	3.31576284700629	4.18686210244463	3.45341515695331
