ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_16	Average16_	Averageformer	Averagenever	Median_16	Median16_	Medianformer	Mediannever
has-miR-548o	0.581102944228438	0.209096114052471	0.949368200133232	0.220247648934446	0.825678289107626	NA	never_vs__16	NA	0.286227182917278	5.81908359570496	0.330074889156607	0.275387285433927	0	0.195044873353311	0	0
has-miR-548x	1.91458455148291	1.55233697805107	0.71619045767212	2.16749184720603	0.0301973706770157	NA	never_vs__16	NA	0.842325235805088	0.7387674204809	0.624545555276811	2.70089268890199	0	0	0	0.341764003808895
hsa-let-7a-2-3p	0.510410667426444	-0.165515802865178	0.829470959522738	-0.199543818822075	0.841837370018724	NA	never_vs__16	NA	0.485570656143632	0.345151700142799	0.466709179140522	0.507901106521918	0	0	0	0
hsa-let-7a-3p	721.349463558236	0.0214682614469024	0.456233678830349	0.0470554070053328	0.962469067994778	0.994147734935619	never_vs__16	FALSE	287.093913313612	13536.253666145	175.382100684774	38.4067214166732	15.299270427373	42.6173048276985	12.7248838236511	22.4354893332542
hsa-let-7a-5p	17.9512808805938	0.0418876821414935	0.417325957192976	0.100371619400909	0.920049300398853	0.981234845006658	never_vs__16	FALSE	12.4158796483478	88.463976949701	9.69974640405309	16.1044690294717	8.72237816077132	7.86256856241561	4.69374038525239	7.85502265793449
hsa-let-7b-3p	0.606591480187684	0.677646467903988	1.12450639892807	0.602616817965598	0.546763629617594	NA	never_vs__16	NA	0.408803324599533	2.67598893984485	0.281621262835796	0.59933149199798	0	0	0	0
hsa-let-7b-5p	436.16149112855	0.0048910059544599	0.486427815480332	0.0100549471037757	0.991977448129057	0.997231873951865	never_vs__16	FALSE	195.443774866578	7731.59088760603	179.636440463499	28.009251892552	11.8530413965532	23.8040366066389	9.76934490570414	15.3430319834603
hsa-let-7c-3p	5.50667541683246	0.177499150344054	0.58937900293891	0.301163002853789	0.763290200325225	0.95860083782973	never_vs__16	FALSE	2.6058805586427	15.2714645622958	5.36156667521845	5.05708213983876	0.277223932012761	0.898265532325996	1.02710961240068	0
hsa-let-7c-5p	32.6764061115394	-0.320029170625751	0.485354649347389	-0.659371803805866	0.509657043739365	0.865667990307152	never_vs__16	FALSE	21.3144071616599	535.08248863337	5.80877669922124	6.05891660588174	1.74509921221297	3.14392936314098	2.34349154898124	3.14879232027516
hsa-let-7d-3p	5.58240542391933	-0.534654353434916	0.520439279773232	-1.02731360643623	0.304272817433438	0.740169269374599	never_vs__16	FALSE	5.36998862358724	45.5970713888489	3.73725185345768	2.8940152990759	2.02522602158328	0.68265705673659	0.974210764596153	1.64407326393734
hsa-let-7d-5p	84.7263620575351	-0.106825087079037	0.473129552995618	-0.225784008635002	0.821369415203595	0.971439738999469	never_vs__16	FALSE	32.7717043116654	1464.65062688628	39.7922043904754	6.68676943722659	4.36118908038566	6.63152569401259	2.67827605597856	4.09366505559171
hsa-let-7e-3p	0.0926959525265536	0.954600451604681	2.33779705690797	0.40833332764447	0.683028974514505	NA	never_vs__16	NA	0.0052093015651024	0	0.0495699711557782	0.134377336960571	0	0	0	0
hsa-let-7e-5p	8.28688404330971	0.107407122029117	0.498753079480993	0.215351295957682	0.829493439282398	0.971808928049552	never_vs__16	FALSE	4.07943746653623	87.7106135679492	4.76184861798541	4.16131494713772	2.80251528006729	3.18814469486804	2.10490282203767	2.14593758549772
hsa-let-7f-1-3p	0.148231312069842	0.906544518298909	2.56403948319736	0.353561060287748	0.723667861072379	NA	never_vs__16	NA	0.181372372657072	0.083590660008562	0.0297926753734462	0.191909054840604	0	0	0	0
hsa-let-7f-2-3p	0.575557015736163	0.567359582182328	0.702198926472081	0.807975576141651	0.419104642326102	NA	never_vs__16	NA	0.351077961017187	2.85976551856286	0.323887234932579	0.474549887078645	0	0.195044873353311	0	0
hsa-let-7f-5p	2.21317899747824	-0.0798639695596556	0.527583428497187	-0.151376948641368	0.879678372226727	NA	never_vs__16	NA	1.52984943681414	4.42635460243853	1.99102087013628	2.11722221919453	1.10889572805104	2.35828998763951	0.617044838653955	0.913118762673353
hsa-let-7g-3p	2.96451879005013	0.231051153137532	0.512577100924314	0.450763705052147	0.652159862717245	0.913868027691156	never_vs__16	FALSE	2.31192330688444	0.577209229831865	4.84386718322821	2.32229536896039	0.0989767297369456	0	0.567607791803404	0.309727252397514
hsa-let-7g-5p	494.25023297281	0.347467655049159	0.553954619335784	0.627249314151018	0.530495822322999	0.876599001223688	never_vs__16	FALSE	200.564003404803	8792.56865280744	211.978166641848	26.3994712862561	6.86773573408729	13.1042809373594	5.60451767092717	8.67872943238204
hsa-let-7i-3p	0.309460606375863	-0.0028242479724897	1.09187517412272	-0.00258660334022053	0.997936191431241	NA	never_vs__16	NA	0.454089866120884	1.29894766971959	0.220892012489985	0.21177201213604	0	0	0	0
hsa-let-7i-5p	547.749131005243	-0.558197664222463	0.514554511385295	-1.08481735534622	0.27800255720027	0.719660426921616	never_vs__16	FALSE	204.796813854285	9856.31940277393	241.979860393029	23.6909477746105	9.55909140619494	9.43315995055805	7.49470368201408	8.95286515725696
