ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averageabstemious	Averageheavy	Averagelight	Medianabstemious	Medianheavy	Medianlight
has-miR-548o	0.581102944228438	0.46437645959211	0.80970708270706	0.573511667996751	0.56629830114557	0.914460288438262	light_vs_heavy	FALSE	1.20037687898266	0.678535349886603	0.462320824804654	0	0	0
has-miR-548x	1.91458455148291	-0.942549063836473	0.629861835125652	-1.49643780790186	0.13453960330123	0.703421239349568	light_vs_heavy	FALSE	2.10335383147435	1.84308970165159	1.76649814884906	0	0.699693110857488	0
hsa-let-7a-2-3p	0.510410667426444	0.777350569601469	0.708022176399179	1.09791839226686	0.272240125953008	0.808184034926598	light_vs_heavy	FALSE	0.329590982228212	0.581391415545608	0.482769232329107	0	0	0
hsa-let-7a-3p	721.349463558236	0.598070469675087	0.421508900502738	1.41887981241147	0.155934058758673	0.737224885588828	light_vs_heavy	FALSE	4236.50970629053	299.887524266647	448.710271015108	44.4134993683841	12.5062714354323	15.9724382162509
hsa-let-7a-5p	17.9512808805938	0.66064576076115	0.365819239585181	1.80593497900845	0.0709284965306261	0.625421924300584	light_vs_heavy	FALSE	10.5852654502723	11.3001357464578	20.6986521050479	6.48239738112973	5.3158305847192	7.65815266376447
hsa-let-7b-3p	0.606591480187684	0.0900541353661583	0.961096546784437	0.0936993641975455	0.925347975353587	0.984288849299051	light_vs_heavy	FALSE	0.786546107368133	0.354293273519773	0.644300507667408	0	0	0
hsa-let-7b-5p	436.16149112855	0.325466408694914	0.445791172630485	0.730087154428005	0.465336912732323	0.894557036883392	light_vs_heavy	FALSE	2275.20531437432	291.060940255676	284.030067345843	25.3362465757159	11.5108381773581	13.7759993765427
hsa-let-7c-3p	5.50667541683246	-0.0105359421216016	0.506461905114891	-0.0208030298334315	0.98340278080545	0.995912096317285	light_vs_heavy	FALSE	9.0545127133878	4.29415829333327	5.04469319963941	0.523971304420287	0.662509141308717	0.197953459473891
hsa-let-7c-5p	32.6764061115394	0.787871045647685	0.441096082706763	1.78616649872054	0.0740723036544747	0.625421924300584	light_vs_heavy	FALSE	184.437246534493	15.1197439582116	19.5200626023471	4.54735461940635	2.05582816485699	2.93145167324906
hsa-let-7d-3p	5.58240542391933	0.422161177344319	0.46459076325006	0.908673203899012	0.363522652696323	0.848132477443742	light_vs_heavy	FALSE	21.4922571936763	4.76156336006802	3.59143525583422	0.905011703545244	0.628307739024284	1.64844606363454
hsa-let-7d-5p	84.7263620575351	0.543721522836965	0.436738056157791	1.24496025746042	0.213146359311921	0.768741424576451	light_vs_heavy	FALSE	486.285041117862	55.9784549909137	47.5241940640028	6.87225697252386	4.35698050121275	2.93390747956161
hsa-let-7e-3p	0.0926959525265536	0.434880409360391	1.95869247609129	0.222025874234339	0.824293741245786	0.966022416394126	light_vs_heavy	FALSE	0.183579681984403	0.0975009116614212	0.070683542601949	0	0	0
hsa-let-7e-5p	8.28688404330971	-0.106183740641101	0.421030287101935	-0.252199767793411	0.800886657549325	0.966022416394126	light_vs_heavy	FALSE	37.4975883288681	7.16976225460038	4.78690174298688	2.69461330129862	3.1350363789515	1.98624274090477
hsa-let-7f-1-3p	0.148231312069842	-0.0788263856301899	2.13338086280473	-0.0369490450601295	0.970525634120232	0.992628115714795	light_vs_heavy	FALSE	0.0585607308657198	0.348218648046322	0.100452720051057	0	0	0
hsa-let-7f-2-3p	0.575557015736163	0.170188944944878	0.584057975356183	0.291390499104288	0.770752680060645	0.95641042800299	light_vs_heavy	FALSE	1.68751202012165	0.477503072097043	0.391973786340163	0	0.193533693320702	0
hsa-let-7f-5p	2.21317899747824	-0.0496263232779533	0.455167661880869	-0.109028666651942	0.91317975316472	0.981850422141195	light_vs_heavy	FALSE	2.09324876967146	3.20991009647821	1.82437214158707	0.913118762673353	1.19370682556493	0.66956901399464
hsa-let-7g-3p	2.96451879005013	0.465807105771354	0.45473909618586	1.02433925228406	0.305675064025094	0.82941886079001	light_vs_heavy	FALSE	2.28848716169938	2.29816968109201	3.09541128835531	0.503193646613315	0.451733853234059	0.277161881536096
hsa-let-7g-5p	494.25023297281	0.875373989056088	0.500474351061489	1.74908861403077	0.080275703060299	0.636744228611203	light_vs_heavy	FALSE	2652.9203016924	329.201995477258	307.606461318333	17.0798176670212	7.76657255996318	8.12386610499567
hsa-let-7i-3p	0.309460606375863	0.815786503709154	0.938337126796979	0.869395956327388	0.384630594079166	0.855174249984016	light_vs_heavy	FALSE	0.397009647753652	0.136639305799193	0.339463972421938	0	0	0
hsa-let-7i-5p	545.492827463399	0.67468369898305	0.464499570543495	1.45249585095122	0.146363781997104	0.715630663325187	light_vs_heavy	FALSE	2828.31622373117	344.817113859751	366.259878691938	16.6954155302456	7.15971887237719	8.18028245806141
hsa-miR-1-2-5p:Novel	9.96620767359249	0.470948219801838	0.399504186177083	1.17883175219868	0.238465178018372	0.788381103825581	light_vs_heavy	FALSE	8.96628420673815	8.24134488194657	9.72188983680765	3.09357258478815	4.15578712055176	3.63568109247174
hsa-miR-1-3p	1.95760720065832	0.463052883062215	0.394721050324178	1.17311423518436	0.240749998713147	0.788381103825581	light_vs_heavy	FALSE	1.80996465024061	1.76298187743445	1.93564164611566	1.3240022859899	0.719979329732848	1.13183131793363
hsa-miR-1-5p	12.2163827187717	-0.00248318330308404	0.349417207789797	-0.00710664285480147	0.994329767115647	0.999906046666319	light_vs_heavy	FALSE	7.97663590549689	10.6972414017848	11.8153741936092	5.20374789479001	6.97354842461958	6.13217283058492
hsa-miR-100-3p	0.264208039986053	0.734759904413199	0.961844753476539	0.763906962903782	0.444922687762225	0.884921329218633	light_vs_heavy	FALSE	0.348694154158877	0.17957378510302	0.256597683184225	0	0	0
hsa-miR-100-5p	10.4468909442435	-0.163306912208698	0.726361044011159	-0.224828841738089	0.822112427953818	0.966022416394126	light_vs_heavy	FALSE	51.6864446160645	5.91520441835154	5.71295366683507	1.79735280841163	0.886237937152876	0.343570426910072
