ID	Average_never	Average_former	Average__16	Average_16_	Median_never	Median_former	Median__16	Median_16_	log2FoldChange	pvalue	padj	comparison	treshold	samples_sex
hsa-miR-1197-5p:Novel	4.68680435638448	2.96261606832848	2.1152025343626	2.1031166357635	1.64336105183678	1.21825217004136	1.3733778667889	1.85810534498729	-0.208144464340661	0.666406262552364	NA	former_vs_never	NA	male
hsa-miR-1199-3p	5.23757959948	4.437576602437	5.89890860648686	2.51508620598999	3.84660521536007	2.84348235406167	3.72368409885722	1.85810534498729	0.358715467641162	0.20487675597407	NA	former_vs_never	NA	male
hsa-miR-1199-5p	3.65149819437445	3.29114976681265	1.58952205952869	1.62132983364747	1.93086589459568	2.08388550710861	1.3733778667889	1.14687163607432	0.327176217242749	0.370092397565844	NA	former_vs_never	NA	male
hsa-miR-1200	5.54587282102702	5.60871518525409	2.85389309406384	1.58192176057138	3.74515388157597	2.63398279059475	1.46836863152444	0.764581090716214	0.25132776222453	0.478288657528389	NA	former_vs_never	NA	male
hsa-miR-1200-3p:Novel	10.1141957616044	7.44496788549885	9.30988727047781	5.74893873584446	5.58764233612869	5.26372296190024	6.68764573455095	2.10259799946959	0.283032252626127	0.398833901042947	0.739728220850275	former_vs_never	FALSE	male
hsa-miR-1202	31.5543925198424	41.9463171893508	14.5193505092844	38.4881670507005	20.4245239007352	17.9104472972858	11.7244946840062	22.5361285307649	0.291745323933153	0.401921450139921	0.739836665525556	former_vs_never	FALSE	male
hsa-miR-1202-3p:Novel	28.519450063016	23.5589845326359	27.558093013119	20.6583660125957	11.9857465587348	11.4067900411719	14.8772624153804	18.9233819952263	-0.0914894971140627	0.761891357178573	0.921110871290876	former_vs_never	FALSE	male
hsa-miR-1203	325.56467115193	142.610120119194	237.718458340357	35.2039133235008	99.4661412555749	75.5126410367227	157.159674761947	20.3879929231202	-0.726519732156153	0.0267694552399189	0.28263797659598	former_vs_never	FALSE	male
hsa-miR-1203-3p:Novel	1.83264628743048	5.60744888502743	1.8476974756935	0.877568007416516	0.970006975153762	1.40021284855082	0.489456210508145	0.955726363395268	1.22862284302105	0.00754182968327996	NA	former_vs_never	NA	male
hsa-miR-1204	17.3136872192439	20.1164584937507	46.8936014256215	3.40555286746035	5.93672674611785	4.89991328151254	12.9434249234275	4.09747791468454	-0.226896882807997	0.627453166995794	0.854356520771388	former_vs_never	FALSE	male
hsa-miR-1204-3p:Novel	1.57053078992914	1.95283342437347	0.774680717418144	2.505637509641	0.88448329432542	1.12528642880692	0	0	0.177438053401529	0.666398373478906	NA	former_vs_never	NA	male
hsa-miR-1205	1.44955313258421	0.88996964702964	0.626699095358869	0.932046322218361	0.15539681232297	0.508225273684404	0	0	-0.116608633498914	0.812449093643183	NA	former_vs_never	NA	male
hsa-miR-1205-3p:Novel	1.72384668471063	1.73110562515158	1.49392800323093	3.95603107440047	1.13193947748336	1.38090056656521	0.708441067399065	2.10259799946959	-0.113855060034226	0.725773035542257	NA	former_vs_never	NA	male
hsa-miR-1206	0.1246871432619	0.137516102485999	0.175433654988362	0	0	0	0	0	-0.198327164686526	0.919718557150965	NA	former_vs_never	NA	male
hsa-miR-1206-3p:Novel	1.21999443552505	0.979036428866153	0.467894139988071	0.247004589312287	0.593281560258738	0.272936054173176	0	0	0.0370657490459475	0.938835868814596	NA	former_vs_never	NA	male
hsa-miR-1207-3p	0.367668054942656	0.256584940811576	0.40295377910529	0	0	0	0	0	-0.130710154959395	0.904038173850978	NA	former_vs_never	NA	male
hsa-miR-1207-5p	5.95697753072981	4.69073994766248	5.74195329154282	3.63456787351826	4.21756919931545	3.58364191856296	6.85238694711403	2.8671790901858	-0.27798216300829	0.286924058541652	NA	former_vs_never	NA	male
hsa-miR-1208	3.87848284500785	2.25258468549942	3.00995987141807	6.04402205514832	2.10159831713298	1.87615496221905	3.14956401662822	3.71621068997459	-0.203265758955984	0.549203422816779	NA	former_vs_never	NA	male
hsa-miR-1208-3p:Novel	10.2399286234279	9.24212915403668	7.4273788195133	8.24201692901197	6.84738571113387	8.7544127181541	6.44847207620342	6.1462168720268	-0.0576940332182553	0.799901236532234	0.941225040418405	former_vs_never	FALSE	male
hsa-miR-12113	0.93178490018641	0.827273466209308	0.888927442217845	0.293688667574873	0	0.55370244666477	0	0	-0.465671875893784	0.300281697483183	NA	former_vs_never	NA	male
hsa-miR-12113-3p:Novel	3.11803142593726	2.56648534322884	1.84671483679464	0.786686172530612	1.51069169256658	0.880983429622985	1.06390974253064	0.764581090716214	-0.327288518384266	0.377762723151454	NA	former_vs_never	NA	male
hsa-miR-12114	2.27485514914118	7.00548263676437	2.90159845650231	0.905986236274857	1.16910570836008	1.05898912864435	0.907259648059808	0.191145272679053	0.548013453118028	0.258434477446197	NA	former_vs_never	NA	male
hsa-miR-12114-3p:Novel	43.0453226297018	31.5583987669417	20.4070116540416	0.677761663148665	3.72459297337139	2.39542275693184	4.34337072747291	0.57343581803716	-0.345129358030263	0.31115646188132	0.669748754612061	former_vs_never	FALSE	male
hsa-miR-12115	3.16150774788732	2.45739519761554	1.76374382520054	3.41905819338657	1.62598422835533	1.58003680236654	1.41688213479813	0	-0.105845283785009	0.806357859942373	NA	former_vs_never	NA	male
hsa-miR-12115-3p:Novel	12.0641781342215	8.45057228795507	16.2240119409435	5.16356377701246	4.19225004942649	3.36777440562895	9.37959574720498	5.09699823078004	-0.129026949746786	0.641045400788415	0.862384118803135	former_vs_never	FALSE	male
hsa-miR-12116	5.4197811161153	3.05841761353295	2.05687652333562	2.58932179312845	3.11156001493343	2.70348102933453	1.95782484203258	2.11961666019753	-0.442386308607402	0.140696699821041	NA	former_vs_never	NA	male
hsa-miR-12116-3p:Novel	2.88039348372416	2.69317297405427	3.14347395535493	0.8489317305398	1.98403030926343	2.07917064203211	2.17168536373645	0	0.301131340824786	0.338766725500752	NA	former_vs_never	NA	male
hsa-miR-12117	2.61238019476942	4.19230760344981	2.02212961660489	2.97886872269786	1.00450137815993	1.29456231529401	1.41688213479813	3.84121615857235	0.058296569063583	0.895669717500267	NA	former_vs_never	NA	male
hsa-miR-12117-3p:Novel	31.5216969671043	20.1891800966416	10.9951294711365	26.9835458148983	9.95235026675071	11.3832700070521	10.0314686018264	12.0111610744527	-0.281250566378452	0.452522538795796	0.776688467455592	former_vs_never	FALSE	male
