ID	Average_never	Average_former	Average__16	Average_16_	Median_never	Median_former	Median__16	Median_16_	log2FoldChange	pvalue	padj	comparison	treshold	samples_sex
hsa-miR-6861-5p	24.9602676240518	26.3147758288234	31.4061271162543	91.3245709434477	17.5759022060634	16.1257831610942	22.2603418571036	17.1633727342486	0.19760666080329	0.662481841257357	0.967797598620076	16__vs__16	FALSE	female
hsa-miR-6862-3p	9.43616784900851	8.27872554715761	12.9001343336331	7.90255448221292	3.36507876776679	2.00405249518241	3.92354262772066	1.74496722278196	-1.00784540126961	0.240355787374336	0.808048278042321	16__vs__16	FALSE	female
hsa-miR-6862-5p	4.32635899405056	2.66319955666366	2.70406612573277	13.4221889516967	2.26396861800487	1.84391731834916	1.75127748018757	3.21352660284923	0.428072456843662	0.52218948629529	0.938402137796559	16__vs__16	FALSE	female
hsa-miR-6863	2.04136191884028	2.5183043612468	2.00995862885497	1.79620025806451	1.03387660035667	0.808653453701188	0.74692078435777	0.228623963441542	-0.6680835808154	0.457413626358128	0.907577439178665	16__vs__16	FALSE	female
hsa-miR-6863-5p:Novel	8.62255022239155	5.98873019302352	8.84232615992647	1.71320248588309	2.88157818543392	1.75904340104911	3.40057409416709	1.02880783548694	-0.749341213557553	0.339226363825364	0.856946678774682	16__vs__16	FALSE	female
hsa-miR-6864-3p	6.14949855687626	5.90090310349729	8.37653290831323	1.33415192434637	1.05105253408756	0.539843848680118	1.84654633662792	0	-1.32184529071139	0.234151154370544	0.80131064690838	16__vs__16	FALSE	female
hsa-miR-6864-5p	2.39057175235269	1.88680870586462	1.33496207870064	3.55833884712262	1.16835088008672	0.418918345210168	0.536251452651342	0	-1.11820427955112	0.211146091994051	0.786062109755891	16__vs__16	FALSE	female
hsa-miR-6865-3p	0.849857187710399	0.596035790211757	0.863167644080683	0.229749583798437	0	0	0.328629739843445	0	0.965607474039434	0.397843790865874	NA	16__vs__16	NA	female
hsa-miR-6865-5p	3.78255159806278	3.12715776637634	3.1511558410258	3.05791088797457	2.56140283149682	2.57724874458594	2.06367126084454	1.35769309971285	0.289776615182303	0.619832989382713	0.959357731882269	16__vs__16	FALSE	female
hsa-miR-6866-3p	1.43912190936173	1.17660903414441	1.00131125683898	2.92871582654231	0.535099014888236	0.484029460333377	0.457509873796658	0.457247926883085	0.421418958739108	0.631406425708395	0.960515449469081	16__vs__16	FALSE	female
hsa-miR-6866-5p	2.13283019682944	6.73483550255434	2.01399174599177	0.66847371678353	0.897542505092966	1.12317093739954	1.5340510726883	0	-1.40599868599787	0.11283354901484	0.610347604852449	16__vs__16	FALSE	female
hsa-miR-6867-3p	5.02003177199396	0.632137606882481	1.40745776967863	1.88764645975519	0	0	0.167760220748312	0.446805879564233	0.635036484034375	NA	NA	16__vs__16	NA	female
hsa-miR-6867-5p	38.3541465496813	37.289231792436	37.8441790849217	34.1380982231943	28.3407173064592	26.5359961566501	25.7079489624046	30.9785409831201	0.270259260274691	0.530489416682794	0.941052655577132	16__vs__16	FALSE	female
hsa-miR-6868-3p	0.231341190550151	0.16568381623976	0.277858127851537	0.0254026626046158	0	0	0	0	-0.482279299648593	0.784408746185442	NA	16__vs__16	NA	female
hsa-miR-6868-5p	1.4292913145049	0.826922097369178	1.08040504354147	2.39268879452635	0.751422350402435	0.549927811194901	0.61785962152106	1.19148234550462	0.848599102475706	0.264681181366641	0.809851832314192	16__vs__16	FALSE	female
hsa-miR-6869-3p	6.45356836761784	6.168117787241	5.26799218260494	3.51437560743662	1.86810544452892	0.525677872505253	0.600171411056231	0	-0.228821520679754	0.751807896194147	0.983471762793221	16__vs__16	FALSE	female
hsa-miR-6869-5p	73.6047183153703	69.9138917395057	67.106201380451	63.9264152706741	53.1763240638635	41.2386691920609	50.4276498306222	41.8381853098022	-0.114018401946946	0.823361522410659	0.993170210633178	16__vs__16	FALSE	female
hsa-miR-6870-3p	0.0769708605911483	0.0744382428255025	0.0621778675894482	0.201443534616718	0	0	0	0	0.778452114368236	0.871114655968165	NA	16__vs__16	NA	female
hsa-miR-6870-5p	15.9778178830941	10.055640813302	13.0897988443182	18.2025055901165	7.93794243104997	7.58256317373656	6.48276384483088	8.82500514813355	-0.235189341870982	0.674545995484303	0.971784516686064	16__vs__16	FALSE	female
hsa-miR-6871-3p	14.1793883288503	15.0319648358367	15.8225084541265	11.8110187067873	6.84463667185039	5.97281394103116	10.4690433064292	11.7850102838148	0.134183892172141	0.845262383412337	0.993779413345215	16__vs__16	FALSE	female
hsa-miR-6871-5p	31.2144497128519	31.2563862081996	27.9640175577543	37.3133984520598	19.9882809402289	18.9960363859841	18.1758378392271	26.7300964904532	0.319556715490346	0.549596269861872	0.941119771892999	16__vs__16	FALSE	female
hsa-miR-6872-3p	0.896528372877221	1.48583036797332	0.705966856976452	0.421015539595434	0	0	0	0	0.527371351257909	0.644664800774433	NA	16__vs__16	NA	female
hsa-miR-6872-5p	1.03177831104696	1.15514352006827	0.345306079122679	0.337894075951985	0	0	0	0	0.961406015462197	0.38653985498512	NA	16__vs__16	NA	female
hsa-miR-6873-3p	1.93007340134665	3.58614533771754	0.853680910696888	0.289572260347518	0	0	0	0	-1.15455623521633	0.451105864744934	0.905183744300716	16__vs__16	FALSE	female
hsa-miR-6873-5p	3.50786689863515	2.63970704927322	2.43807714416419	0.84756302582884	1.20892096545	1.21534627604024	0.820136896031962	0.571559908603856	-0.187075483598922	0.827752087062239	0.993170210633178	16__vs__16	FALSE	female
hsa-miR-6874-3p	0.465960133642082	0.385598405096145	0.180088249077617	2.41895503536287	0	0	0	0.581655740927319	1.72571804888459	0.0827186689821858	NA	16__vs__16	NA	female
hsa-miR-6874-5p	14.5376816125268	11.5878792105877	15.1532626907671	9.07877523706534	10.1103403781602	9.46369263408932	10.7646414516154	8.34477466561629	-0.659928063795894	0.237739630310533	0.805434888753796	16__vs__16	FALSE	female
hsa-miR-6875-3p	1.62507876161544	2.04989804387505	1.04904357312182	1.77486160470081	0.382135610630855	0.171082126045408	0.0629107865379433	0	1.25099203059226	0.178646474813338	0.739975791680744	16__vs__16	FALSE	female
hsa-miR-6875-5p	4.93926827522268	3.77597978480148	3.83376141099933	45.838228655244	2.53528207460009	1.77068503579325	3.23640726780721	6.05766096502892	3.43602227050948	1.88399561337255e-07	1.87941727206521e-05	16__vs__16	TRUE	female
