ID	Average_never	Average_former	Average__16	Average_16_	Median_never	Median_former	Median__16	Median_16_	log2FoldChange	pvalue	padj	comparison	treshold	samples_sex
hsa-let-7i-5p	27.8132426637888	198.378670343796	169.252386476939	9507.60545034852	12.6233970376426	8.99851342254319	9.20787310233818	10.0961016083815	-0.674732219228495	0.0314136829647999	0.320589700359247	former_vs_never	FALSE	female
hsa-miR-1-2-5p:Novel	9.07204999156076	12.3610606769368	10.572102779648	21.2841150656846	4.10195799771343	4.98338997182693	4.67070330930115	3.88660737850622	0.56119632888742	0.0465164113050291	NA	former_vs_never	NA	female
hsa-miR-1-3p	2.55675527251608	2.58014717849096	2.25625338251128	3.87298757230468	1.8192942192875	1.52634023045704	1.90883764203503	0.581655740927319	0.0599537923464517	0.814197220247175	NA	former_vs_never	NA	female
hsa-miR-1-5p	12.0297758164194	14.7124705617233	13.576367284457	10.4630363064777	7.40294764044874	6.31823356120435	6.3665318410248	5.43077239885142	0.155335291813856	0.550175079189823	0.851486921751319	former_vs_never	FALSE	female
hsa-miR-100-3p	0.339142349309036	0.318636002674407	0.321676847457015	0.251618190993678	0	0	0	0	0.276137590560091	0.655899322678075	NA	former_vs_never	NA	female
hsa-miR-100-5p	6.00457801383265	5.99618160640634	3.93641232210978	95.0297650354166	1.31169910495216	0.451369689258876	0.843540942830487	1.93615881144501	-0.196513914305665	0.662339026569656	NA	former_vs_never	NA	female
hsa-miR-101-2-5p	1.55706013079747	1.40122792035239	1.63630110003433	3.11498748251992	0.888229892263476	0.640257258348794	0.425957355677858	0.803381650712306	0.498035121736381	0.140030480925125	NA	former_vs_never	NA	female
hsa-miR-101-3p	3.83635265243755	3.29596730735175	4.26939074797919	6.04353244351749	2.87851131392044	2.66620364626327	2.06749127813933	4.01690825356153	0.161757597740293	0.485484735753131	NA	former_vs_never	NA	female
hsa-miR-101-5p	3.30892364494051	23.4484511452094	7.39394710868571	240.800600468188	2.44622538518919	1.80216709759626	2.06367126084454	2.62917557957774	-0.19502230361253	0.526342744808062	0.849994494721095	former_vs_never	FALSE	female
hsa-miR-10226	4.26852147877245	5.18069745373157	4.68020901565526	4.19782935828643	2.47331739831923	2.10501660864068	2.1685631161102	2.97211152474005	0.0805857302306482	0.7720055671425	NA	former_vs_never	NA	female
hsa-miR-10226-3p:Novel	14.2587654539913	14.7714387907	20.6046657060663	44.32639997912	7.18034004074373	5.93700744717604	7.95563508915386	18.2866050678236	0.173248166983829	0.547653130224226	0.851486921751319	former_vs_never	FALSE	female
hsa-miR-10392-3p	1.9024249966534	1.2071905246503	0.66891101171714	0.308789429195995	0.955219050380483	0.464092651962892	0	0	-0.655323540696139	0.061704251726801	NA	former_vs_never	NA	female
hsa-miR-10392-5p	114.995015895812	124.287590872506	142.588439394713	566.161186998313	79.6820359497075	70.0316701478552	73.8874994093377	121.56604985381	-0.0535605923567154	0.791570047885598	0.958733908929761	former_vs_never	FALSE	female
hsa-miR-10393-3p	0.280502814843951	0.0867765363018908	0.154052220034127	1.41141154624976	0	0	0	0	-0.149390640265275	0.855589179373783	NA	former_vs_never	NA	female
hsa-miR-10393-5p	0.117189537706869	0.0311654916456603	0.12012226078294	0.0892646278569229	0	0	0	0	0.00717004234588248	0.996142095724126	NA	former_vs_never	NA	female
hsa-miR-10394-3p	3.0758003557293	2.0237030502633	3.11791848798081	5.26557353676631	1.13198430900244	0.931810490488392	0.865076199071757	1.71467972581157	-0.410295201120072	0.253446793791957	NA	former_vs_never	NA	female
hsa-miR-10394-5p	0.891188224965044	1.04495031536133	0.619881589713707	0.106579444172993	0	0.106339160502815	0	0	0.948366664407547	0.0521854196767869	NA	former_vs_never	NA	female
hsa-miR-10395-3p	1.37403968825932	0.643552524120823	1.02193808471032	12.308633593283	0.397548710543478	0	0	1.3404176386927	-0.74752259630327	0.0827346598375125	NA	former_vs_never	NA	female
hsa-miR-10395-5p	8.8677711907473	8.60040361886127	4.63601685246555	1.02243658753837	3.74081006599067	2.27436285486752	2.79675113566895	0.893611759128465	0.1530618613059	0.596845674541614	NA	former_vs_never	NA	female
hsa-miR-10396a-3p	1.47872436289263	1.25453525196168	1.4958131949936	2.31114781707566	0.897542505092966	0.429541457430991	0.82257948698468	0.803381650712306	-0.468236146917748	0.119348391016582	NA	former_vs_never	NA	female
hsa-miR-10396a-5p	5.18706880392189	8.10133145794019	6.68585984678962	7.23855325053335	3.43430361659398	2.72058070174518	2.53309690478674	5.02972719571393	0.392862768249467	0.154238221876409	NA	former_vs_never	NA	female
hsa-miR-10396b-3p	1.59255925753916	2.04490882597045	0.827150223018742	2.64413978485504	1.0647492643761	0.85696236576962	0.326095580816252	0	-0.336542492308142	0.225065341383092	NA	former_vs_never	NA	female
hsa-miR-10396b-5p	3.83830898644764	7.19242818340234	5.17025121431446	4.93300489604449	2.12268732258126	1.84075579239256	1.36614589985998	3.39423274928214	0.516675021318037	0.101494647053867	NA	former_vs_never	NA	female
hsa-miR-10397-3p	21.7116407775579	21.3481226446951	14.8790038719693	166.279231230933	14.5670905183024	14.1395246840396	11.6651737785038	14.541393523183	0.193422053970838	0.412617511850549	0.808649554434127	former_vs_never	FALSE	female
hsa-miR-10397-5p	4.01927329574561	3.52302223986664	3.0225444023979	4.28527860066122	1.62426349593667	1.06402006734393	1.26654845239337	2.74348756129851	0.179582381436545	0.595501289718351	NA	former_vs_never	NA	female
hsa-miR-10398-3p	2.00010888207492	2.04952974968667	2.62339151961869	5.999344682551	1.57953153965778	1.13799690045431	2.03332683894062	2.41014495213692	-0.143316325815716	0.557078367644665	NA	former_vs_never	NA	female
hsa-miR-10398-5p	0.796076208071648	0.838225716644553	0.760943831058796	0.342120744653981	0	0	0.0629107865379433	0	0.327866583784173	0.42105792998761	NA	former_vs_never	NA	female
hsa-miR-10399-3p	0.552167201984777	0.294458987666476	0.182864965176971	2.18694779029126	0	0	0	0	-0.184067079657356	0.716089493445229	NA	former_vs_never	NA	female
hsa-miR-10399-5p	0.342858921351237	0.578328323690655	1.0870645454699	1.48570303855213	0	0	0	0	0.188462736203086	0.716315233403574	NA	former_vs_never	NA	female
hsa-miR-103a-1-5p	0.702759808519212	0.596211485591787	0.432738926051399	0.326250769328241	0	0	0	0	0.144310022455424	0.783187198758078	NA	former_vs_never	NA	female
