ID	Average_never	Average_former	Average__16	Average_16_	Median_never	Median_former	Median__16	Median_16_	log2FoldChange	pvalue	padj	comparison	treshold	samples_sex
hsa-miR-718	19.2895755973846	15.3969143357896	13.1227717075851	29.5915634601373	11.6193056603063	8.87459626558585	8.15401836659388	27.337819823584	-0.523874268956751	0.0960482721020038	0.627389704824949	_16_vs_former	FALSE	female
hsa-miR-718-5p:Novel	10.7693142863129	12.8726146091117	15.9732323803995	12.1652747116797	8.99173533704907	6.22865880510645	10.6096574315859	8.01902894713597	0.250769725549784	0.360967001318129	0.870811476823965	_16_vs_former	FALSE	female
hsa-miR-744-3p	0.122215703734138	0.0204813182042679	0.259242974423355	0.0127013313023079	0	0	0	0	-0.378614127725809	0.839674331762443	NA	_16_vs_former	NA	female
hsa-miR-744-5p	2.1251826471608	3.31269786388163	2.90337596130276	55.8953176230227	0.978747910956142	0.800096792029081	2.02506912489002	2.40055161613619	-0.0924080944722093	0.827926268772229	0.974286647346766	_16_vs_former	FALSE	female
hsa-miR-7515	2.13666953613112	2.12049928461204	4.13180075813272	8.31283374805979	0.723662078651549	0.75615645733132	1.68754778751454	0.803381650712306	-0.406693812795634	0.427599924361282	NA	_16_vs_former	NA	female
hsa-miR-7515-5p:Novel	18.4630062469288	15.8398123404898	18.4749273338335	17.4872924345837	14.3686994124594	12.7679027801667	16.4001490124071	16.8296881302528	0.176055456905835	0.497962865372321	0.903610568932429	_16_vs_former	FALSE	female
hsa-miR-758-3p	2.02617878417864	1.48663271763125	1.39058004699097	0.729023461913488	0.403707360440314	0.445539903367623	1.13936432848665	0	0.150181890147634	0.77593480546218	NA	_16_vs_former	NA	female
hsa-miR-758-5p	1.0734154776141	1.26793187723621	0.97526611282829	3.69342586345517	0.307568290898594	0	0.28599963580885	0.446805879564233	0.0941988463234195	0.861563649275507	NA	_16_vs_former	NA	female
hsa-miR-759	0.724458018909239	0.562616987353203	0.332088193506064	2.80362328824297	0.201853680220157	0	0	0	-1.31264271481475	0.0140144314435453	NA	_16_vs_former	NA	female
hsa-miR-759-3p:Novel	2.16461195012387	2.71578453732493	1.71315322264698	3.82952631584734	1.22227419400418	1.03426958167868	0.898741232366665	0.803381650712306	-0.62028579899176	0.1828902058921	NA	_16_vs_former	NA	female
hsa-miR-760	26.8951543272424	23.9119237170483	73.1562475765709	75.3326515061405	16.9344789845869	16.1397581885758	9.97432517921543	15.0424646119958	-0.590990114053906	0.0719634095668254	0.589938426357378	_16_vs_former	FALSE	female
hsa-miR-760-5p:Novel	10.6372957915433	11.8492524297957	9.83253580088471	23.5079190315583	8.11716284785897	6.99347895899505	7.7507166844721	3.72338232970194	-0.259148601824141	0.339162392414012	0.86484983933535	_16_vs_former	FALSE	female
hsa-miR-761	3.53890557228408	2.5374264201648	23.3749763180568	44.0888640560955	2.44167408440588	1.4778620113444	1.72463525505624	2.90827870463659	0.179578851691899	0.674188005315768	0.951534493279367	_16_vs_former	FALSE	female
hsa-miR-761-3p:Novel	4.63855772698394	4.83683565484067	4.56791145434613	6.9885325297245	3.43430361659398	2.49867055194987	2.90902315640832	4.01690825356153	-0.289261902220121	0.377543572044481	0.874906361564156	_16_vs_former	FALSE	female
hsa-miR-762	35.8827462140979	4.63678847449171	5.59761654114617	7.79404202786522	3.65015333737556	2.59363932076071	3.82781753382022	4.03844064335262	-0.380288085395901	NA	NA	_16_vs_former	NA	female
hsa-miR-762-5p:Novel	10.3570364025565	6.17096721493979	9.93480121512117	18.0200857211732	6.38776834040723	5.28178742269992	6.52219226530657	9.08505288447273	0.334408181220265	0.301549719040572	0.834591720531972	_16_vs_former	FALSE	female
hsa-miR-764	9.18710903524363	6.04953533069829	5.80935634184841	11.3509005796742	3.31930408960784	1.55716470127661	2.66883398958194	2.53189998419732	0.300803602603236	0.554812321025865	0.914980992302869	_16_vs_former	FALSE	female
hsa-miR-764-3p:Novel	9.43638885891237	8.91694509558631	9.62870274189662	6.80228576891061	5.63391445424716	4.79043114855302	7.68608262570631	7.31596683012935	0.0541971592191633	0.867204788056926	0.976005428916999	_16_vs_former	FALSE	female
hsa-miR-765	7.37065598045103	6.41794035934428	9.6529746383973	40.0313564382322	5.63992089936498	4.39327405470755	7.74421216547626	7.2978293662158	0.381546876680979	0.197101253971029	0.741591195759205	_16_vs_former	FALSE	female
hsa-miR-765-5p:Novel	23.5246149235579	21.714932556166	29.1920982134874	23.0716361987659	15.4979612326226	16.6688517208955	14.5305698460189	12.8980844472721	0.0497063337247672	0.864075134797516	0.976005428916999	_16_vs_former	FALSE	female
hsa-miR-766-3p	1.82698108074588	1.56419431089274	2.65847927220807	3.22154343910998	0.978747910956142	0.801691363784383	1.39234016522822	1.02880783548694	-0.124769265564913	0.764081902021426	NA	_16_vs_former	NA	female
hsa-miR-766-5p	19.639560862962	23.372250282725	30.917185544712	31.6347146209825	5.96677516789401	9.08832923309802	8.14010392820924	18.2866050678236	-0.0691222919097811	0.871379774130962	0.977815720874524	_16_vs_former	FALSE	female
hsa-miR-767-3p	0.91965427838419	0.494731853421309	0.929295301625008	6.97975533161567	0	0	0.185741197172286	1.14311981720771	0.38391040114999	0.523221730754625	NA	_16_vs_former	NA	female
hsa-miR-767-5p	13.1360095200021	11.4891150205744	10.7059071675547	7.9287128615151	5.80729888117161	1.80794973777608	2.74664968668633	5.34601929809065	0.202778982166781	0.549689055094896	0.914980992302869	_16_vs_former	FALSE	female
hsa-miR-769-3p	137.948945580925	64.9804271020626	252.237945019536	194.021603731243	11.1935255448704	3.65444363475892	4.98682609028989	5.34601929809065	0.735392542760995	0.101552484220893	0.639616042643857	_16_vs_former	FALSE	female
hsa-miR-769-5p	15.099797460835	8.12909205819687	5.15905738630389	34.1635719021142	2.7525761084264	1.53769868435903	3.61181714362535	3.57444703651386	0.0868835191490098	0.863638243159022	0.976005428916999	_16_vs_former	FALSE	female
hsa-miR-770-3p:Novel	13.3532391087795	14.3754715426305	31.5213234222686	53.4155759978685	10.3029108497819	10.180441929708	13.3326896822839	21.2018133776012	0.508509554089822	0.0666171452959969	0.589938426357378	_16_vs_former	FALSE	female
hsa-miR-770-5p	0.741644187651121	0.46795213608349	0.64508655160811	0.3665223732139	0	0	0	0.446805879564233	-0.543693887389314	0.34020922263219	NA	_16_vs_former	NA	female
