ID	Average_never	Average_former	Average__16	Average_16_	Median_never	Median_former	Median__16	Median_16_	log2FoldChange	pvalue	padj	comparison	treshold
hsa-let-7a-2-3p	0.936234943697598	1.153712829119	1.16380254863508	0.740250172241014	0	0	0.440784958833148	0.114311981720771	0.351514028289892	0.604195028353985	NA	16__vs__16	NA
hsa-let-7a-3p	124.764026650347	101.472566703432	172.617269915038	7317.4287271752	29.3547046222703	20.9576173705287	21.4237545617436	53.3975470852354	4.02590506241348	8.67112144414671e-16	7.57856014218422e-13	16__vs__16	TRUE
hsa-let-7a-5p	17.1634714310026	11.4180465131151	20.2445532354056	56.5033013363813	10.654577822862	7.38326022538575	11.9704394090148	9.68151333876037	0.951513922575166	0.0252630105302469	0.202567625719594	16__vs__16	FALSE
hsa-let-7b-3p	0.584875303731844	0.381353081628233	0.555760966209685	1.72765225662334	0	0	0	0	0.508913710475432	0.642440276600638	NA	16__vs__16	NA
hsa-let-7b-5p	67.3100679542131	97.0132300003377	116.477566850961	4196.01731194958	16.9017433627415	12.3636744913689	13.6330531735639	20.3766947094065	3.46554451129934	3.09203915823505e-10	6.75610556074359e-08	16__vs__16	TRUE
hsa-let-7c-3p	9.73373765532042	7.63534977625421	9.41118860640241	11.9366249896542	2.49514350935203	1.49192229402377	2.60912268756382	1.51070841342097	1.52907956548222	0.00724016931229828	0.089970255624863	16__vs__16	FALSE
hsa-let-7c-5p	8.58311408158391	6.01753679227788	14.3153923318135	291.820608314962	4.26758233092013	3.60155707092876	3.68047815736285	8.67087361972509	2.80431641768391	1.62153269429279e-08	1.542148771014e-06	16__vs__16	TRUE
hsa-let-7d-3p	4.68651002199227	3.90422248888526	6.66002613696342	23.9134313893363	2.53528207460009	1.57917094308972	2.9498104894896	0.0955726363395267	-1.44180481830703	0.0248648825282558	0.199986877267137	16__vs__16	FALSE
hsa-let-7d-5p	15.051238251881	21.9183867188478	23.1795870924615	793.277810827599	5.71645923098798	4.78897708893344	5.7402329151848	9.23262667659687	3.79075411721141	5.28352015668071e-14	2.77067797016337e-11	16__vs__16	TRUE
hsa-let-7e-3p	0.20557411429556	0.0912022737657549	0.0565038945410588	0.0119465795424408	0	0	0	0	0.203399734149602	0.905123461078904	NA	16__vs__16	NA
hsa-let-7e-5p	5.04213752064895	6.65765398026277	4.11914829330781	47.2361158291907	3.03584281220704	2.93122913505931	3.05552340120042	2.29031947076979	1.18253400660399	0.0176161637132158	0.163094331377712	16__vs__16	FALSE
hsa-let-7f-1-3p	0.159512135298594	0.0692257321589699	0.141997279313765	0.182859757521622	0	0	0	0	0.457067771868264	0.82474721885278	NA	16__vs__16	NA
hsa-let-7f-2-3p	0.489673897364879	0.774495363024035	0.68514604767102	1.57941001186348	0	0	0	0	-0.294532084248064	0.687468746714779	NA	16__vs__16	NA
hsa-let-7f-5p	2.6665988620179	2.37482704761075	2.08224501937517	4.07084375018595	1.13198430900244	0.942984661047369	1.26022085657315	1.82455335071653	0.508592542064174	0.385524609278041	0.757581133849994	16__vs__16	FALSE
hsa-let-7g-3p	6.01574301909894	7.17121002387535	8.8750129154128	2.30329850793341	2.17555537252158	0.988239316342351	2.17168536373645	0.28671790901858	0.181874518098573	0.732657296221791	0.927665851799706	16__vs__16	FALSE
hsa-let-7g-5p	64.6820354898199	105.938811942173	115.125831250867	4753.77205078596	9.78490154075677	6.17045806976895	6.08795293764891	7.90869422981877	4.15699064049256	3.66424190860556e-11	9.60764228436378e-09	16__vs__16	TRUE
hsa-let-7i-3p	0.432236918538604	0.312572579233121	0.494695012349222	1.34361621589863	0	0	0	0.0744676465940388	0.878457391812586	0.295948452362349	NA	16__vs__16	NA
hsa-let-7i-5p	59.4849742266858	125.276302583263	119.586392023052	5352.95706407326	12.2343488869518	7.90033815724393	9.33511120821007	9.84957100240621	4.16379149870614	NA	NA	16__vs__16	NA
hsa-miR-1-2-5p:Novel	9.40529902117815	9.54010324750966	8.37654197794865	20.3621033481219	4.08589448532661	4.84023399955851	3.69812140669356	4.34330742530346	1.03397328811973	0.0414421301806888	0.26502747642382	16__vs__16	FALSE
hsa-miR-1-3p	2.55782100887707	2.46204919163641	2.199205258896	2.49122772505276	1.96348607830337	1.62305300585498	1.29723357092376	0.610929217011355	-0.24452578562832	0.611649309048158	0.878185239066695	16__vs__16	FALSE
hsa-miR-1-5p	13.2813251013546	14.5439386103557	11.4141424642157	15.3441481476904	7.1962782848011	7.12159673363059	4.99307204955413	6.72490067299369	0.421027150570517	0.370766788203679	0.751856549628805	16__vs__16	FALSE
hsa-miR-100-3p	0.303861905318521	0.331223068705936	0.358818860538504	0.230011356179488	0	0	0	0	0.552973241637994	0.598438237346923	NA	16__vs__16	NA
hsa-miR-100-5p	5.24865459999254	7.61032379548758	3.48285000522608	54.2333741239834	1.03964312889668	0.761735202742852	0.629107865379433	0.983346566283472	1.47197564212857	0.0803379447143794	0.385344829021198	16__vs__16	FALSE
hsa-miR-101-2-5p	1.58816878283262	1.16791733842861	1.28087211293926	2.20471077544287	0.744191307457511	0.331164514798635	0.335520441496625	0.774029058326347	0.544932734315055	0.360118074487533	0.742370557053572	16__vs__16	FALSE
hsa-miR-101-3p	3.73901488439938	3.50263045479545	3.54787784268097	5.20896039931434	2.78691402753063	2.60596215379776	1.8724020185828	3.46259347909906	0.650748893958505	0.120053874752882	0.470344997792297	16__vs__16	FALSE
