ID	Average_never	Average_former	Average__16	Average_16_	Median_never	Median_former	Median__16	Median_16_	log2FoldChange	pvalue	padj	comparison	treshold
hsa-miR-6512-5p	5.06584634085744	6.57540649394315	4.12223593623374	8.25769337860513	3.06442086399496	2.9757509454418	2.36217301247117	2.54308938482183	-0.414588722102756	0.184715327029777	0.854332555436831	_16_vs_former	FALSE
hsa-miR-6513-3p	0.8949165292401	0.442338228845924	0.734901973621398	1.80122559427271	0	0	0	0	0.620773962857023	0.325301429169036	0.948075344646301	_16_vs_former	FALSE
hsa-miR-6513-5p	0.402789239827394	0.490328134187759	0.2336855630074	0.0621148943140153	0	0	0	0	-0.450201996971277	0.454247290387943	0.988982415489963	_16_vs_former	FALSE
hsa-miR-6514-3p	0.639817218594064	0.680969188330012	0.845181369790981	0.443312747319497	0	0	0.160869519095132	0	0.0685348943993726	0.879799253736755	0.999380400204387	_16_vs_former	FALSE
hsa-miR-6514-5p	2.66193399909036	2.24191728763463	3.21621403750328	10.3241400249714	1.4273349034343	1.16798713936461	1.93105776211292	2.02239677975323	0.531685072399626	0.109374785379205	0.786467462900883	_16_vs_former	FALSE
hsa-miR-6515-3p	1.80875665853455	2.31103230720024	1.79511315867248	1.04877308607068	0.721092255978903	0.875811858706291	0.487611479844097	0	-0.423687917595798	0.292271238551658	0.927118452376398	_16_vs_former	FALSE
hsa-miR-6515-5p	17.9634594485308	19.3658691833049	13.8754866422772	30.5851169273317	7.58176173594891	9.27055048693734	9.18497483453972	20.2937215088768	-0.30951535146838	0.279059029061432	0.915119788751502	_16_vs_former	FALSE
hsa-miR-6516-3p	0.509038423157137	0.669911720884962	0.335389968817168	0.0750472145948255	0	0	0	0	-0.370311232571332	0.516411019873102	0.989024720075891	_16_vs_former	FALSE
hsa-miR-6516-5p	14.1901068558721	23.0387258141575	26.1426560295202	4.11438085030711	1.09543169282717	0.881742480251715	1.26450651447153	1.47526750005578	1.12798476452153	0.039689006588504	0.70694783816782	_16_vs_former	FALSE
hsa-miR-652-3p	0.729925881312169	1.21184092364141	1.47885555689506	18.1109026987938	0	0	0.708441067399065	0.191145272679053	0.471806184540394	0.26854327721366	0.911675066506762	_16_vs_former	FALSE
hsa-miR-652-5p	0.717511311810412	0.220810671379193	0.297627634680257	0.256113478906754	0	0	0	0	0.00554960632332687	0.993935899281074	0.999380400204387	_16_vs_former	FALSE
hsa-miR-6529-3p	2.56276130293184	1.7705832225628	2.14905272333592	1.21122721706858	1.10103044337056	0.848558732597206	1.19996363439332	0.800075322930488	0.33687476533709	0.34221433208226	0.950894529120982	_16_vs_former	FALSE
hsa-miR-6529-5p	2.11948229862181	3.00060867067375	2.67292523937377	2.34824107761242	0.927596055679354	0.6307047516369	1.24826801238853	0.975126643393314	0.0400169854354836	0.907436459456537	0.999380400204387	_16_vs_former	FALSE
hsa-miR-653-3p	0.673293598870623	0.413952457455656	0.956654365991843	0.513574322672168	0	0	0	0	0.785468111757535	0.112546176857268	0.791431933050408	_16_vs_former	FALSE
hsa-miR-653-5p	0.388897263372247	0.892889760043777	0.424276707869368	2.04252660332789	0	0	0	0	-0.768597988320467	0.240249531066712	0.89021711141826	_16_vs_former	FALSE
hsa-miR-654-3p	0.746015884212789	0.562254389421338	0.55574607527144	2.04002526771659	0	0	0	0	0.250892159020705	0.709268610524505	0.999380400204387	_16_vs_former	FALSE
hsa-miR-654-5p	21.8260911823226	21.2980096521653	17.2095836705784	27.7097786630085	15.7665838822016	10.9525270381516	11.8585461176911	8.23905779723652	-0.16498870787528	0.502957862381118	0.989024720075891	_16_vs_former	FALSE
hsa-miR-655-3p	1.17299936446823	2.7027254800486	1.19789179346672	0.420602234467849	0	0	0.335520441496625	0	-0.6858877323529	0.173243643628316	0.847229671745668	_16_vs_former	FALSE
hsa-miR-655-5p	58.3337936898898	60.1283860201784	55.6303349591833	78.4290515560616	43.7674427484323	45.0524056668376	43.214905111343	53.6019449829816	-0.13330906835078	0.521625301983323	0.989024720075891	_16_vs_former	FALSE
hsa-miR-656-3p	0.317505506852828	0.224896613614752	0.135792592581387	0.0142889977150964	0	0	0	0	-0.529508383794022	0.495737204601693	0.989024720075891	_16_vs_former	FALSE
hsa-miR-656-5p	1.33329076494217	1.2618469995218	1.8667574557148	0.971643871044637	0.303458067510637	0	0	0.285779954301928	0.256668973591619	0.612049833031804	0.999380400204387	_16_vs_former	FALSE
hsa-miR-657	16.1959904494157	18.7487480115505	11.3059246331034	14.786061198124	9.30471411127808	11.4344579112165	10.1380540531624	7.42242163156275	-0.59310144568824	0.0385168474287142	0.700330695617282	_16_vs_former	FALSE
hsa-miR-657-5p:Novel	266.11926349437	239.303234859305	288.324947118181	218.105182443542	175.332126278798	179.376441842878	223.683592464855	149.661366302996	0.481129004456199	0.0165840612079321	0.587812836147816	_16_vs_former	FALSE
hsa-miR-658	14.8679058277384	15.0727637782552	24.3476231676927	34.4053317138986	9.7674062686787	8.86218521854907	12.7016350728373	10.9135556400532	0.323662913490513	0.20220724539719	0.865299053778951	_16_vs_former	FALSE
hsa-miR-658-5p:Novel	7.2306160974378	6.33672785523241	7.30630778274573	27.4868908818518	4.56526578667786	4.71079493246898	4.91321642537372	7.47182013668897	0.103609171420804	0.685194144615487	0.999380400204387	_16_vs_former	FALSE
hsa-miR-659-3p	0.383537528254476	0.416646482616517	0.487562095649405	1.02276765088531	0	0	0	0.0571559908603856	-0.0380771012375374	0.946789070146415	0.999380400204387	_16_vs_former	FALSE
hsa-miR-659-5p	1.04408753100757	1.1041026433322	0.67508026811399	0.980742426796568	0	0	0	0	-0.952898432760276	0.0263449936330206	0.670049344529332	_16_vs_former	FALSE
hsa-miR-660-3p	4.58978326659135	2.55706490210537	2.07487995880169	3.51569148414655	1.50433137657579	0.849535655225865	0.787391004157056	2.34213044595867	-0.503304915545418	0.198322279476911	0.865299053778951	_16_vs_former	FALSE
hsa-miR-660-5p	3.26586807619367	2.67573006498107	4.06436214385254	6.89366715074486	0.674631736046009	0.413029046790411	0.624134006194266	0.754960268722408	-0.00419591389535647	0.992307665832348	0.999380400204387	_16_vs_former	FALSE
hsa-miR-661	12.1683177569086	9.68658948819594	12.40615863908	18.7045037360954	8.42416821150818	7.14429007301919	8.6573163034012	8.62984445012087	0.290348374285563	0.262364280299847	0.909618263389586	_16_vs_former	FALSE
