ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averagea.drinker	Averagea.no_drinker	Mediana.drinker	Mediana.no_drinker
hsa-miR-506-5p	0.558599443882854	-0.97547746662475	1.57835023757562	-0.618036126204221	0.536551525084782	NA	a.no_drinker_vs_a.drinker	NA	0.598273416863556	0.346598357762677	0	0
hsa-miR-507	10.9588670283872	-0.47726891892232	1.44093144521228	-0.331222502297468	0.740476424260674	0.92460314783625	a.no_drinker_vs_a.drinker	FALSE	12.8235880614179	1.68732297756907	0.856896994270554	1.33226399610881
hsa-miR-507-5p:Novel	0.450205541950176	-1.55555146794306	1.31315017816478	-1.18459525331448	0.236177514686739	NA	a.no_drinker_vs_a.drinker	NA	0.650178964241386	0.154668454813254	0	0
hsa-miR-508-3p	0.656335606513257	-1.01484236815178	1.50974743866945	-0.672193469025631	0.501460538199523	NA	a.no_drinker_vs_a.drinker	NA	0.69916249965212	0.951604689507703	0	0.666131998054403
hsa-miR-508-5p	0.211524392503457	0.239367334051832	2.68350871951799	0.089199387470158	0.928923452166778	NA	a.no_drinker_vs_a.drinker	NA	0.198329834107962	0.683407610552636	0	0.146758758346356
hsa-miR-5087	2.48395787076223	-0.678497249283355	1.09586082772808	-0.619145453615681	0.535820541862282	NA	a.no_drinker_vs_a.drinker	NA	2.38825719749452	3.60686383890175	0	1.30347504090334
hsa-miR-5087-3p:Novel	2.07321290280902	-1.49482537582619	0.819049329314743	-1.82507368277419	0.067989910977878	NA	a.no_drinker_vs_a.drinker	NA	2.14073964067167	1.48864929817337	0.827011689291961	1.46758758346356
hsa-miR-5088-3p	0.11999186828908	-0.358952789017359	3.53542457240605	-0.101530320239041	0.919129489842188	NA	a.no_drinker_vs_a.drinker	NA	0.169722377049467	0.26783454108633	0	0
hsa-miR-5088-5p	2.57682991736858	-0.599858292364569	0.803435497363109	-0.746616616185513	0.455295015479357	NA	a.no_drinker_vs_a.drinker	NA	2.97228021385255	2.11002371070793	1.37766730939611	1.98998763783047
hsa-miR-5089-3p	7.12258653590862	-1.50208123049846	2.65859624795288	-0.564990352203745	0.572080326396246	0.863483742654333	a.no_drinker_vs_a.drinker	FALSE	7.92320910334337	0.31939851151921	0	0
