ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_abstemious	Average_moderate	Average_heavy	Median_abstemious	Median_moderate	Median_heavy
hsa-let-7a-2-3p	0.510410667426444	-0.409736681025852	0.615055634479822	-0.666178241538073	0.505297178758123	0.918961518429312	heavy_vs_moderate	FALSE	0.329590982228212	0.466762124202137	0.58436798290578	0	0	0
hsa-let-7a-3p	721.349463558236	-0.682049661346751	0.359571069034544	-1.89684243278545	0.0578487371099061	0.635494493015957	heavy_vs_moderate	FALSE	4236.50970629053	512.207586391153	211.534640464592	44.4134993683841	16.5725185054655	13.8540189948806
hsa-let-7a-5p	17.9512808805938	-0.313319037523009	0.315645891298647	-0.992628277953929	0.320891138834826	0.844577733434045	heavy_vs_moderate	FALSE	10.5852654502723	21.014747640169	13.5943056927282	6.48239738112973	7.65815266376447	7.16065787749143
hsa-let-7b-3p	0.606591480187684	-0.110752049830673	0.832828428596944	-0.132983032312256	0.894206799559931	0.986032670163031	heavy_vs_moderate	FALSE	0.786546107368133	0.71632626090332	0.292345926089844	0	0	0
hsa-let-7b-5p	436.16149112855	-0.326696656396781	0.382605123344323	-0.853874233416295	0.393174677656046	0.88871357230597	heavy_vs_moderate	FALSE	2275.20531437432	323.662544693079	204.360910254517	25.3362465757159	14.3133391898561	10.8306100564914
hsa-let-7c-3p	5.50667541683246	0.314353739460734	0.436133189593307	0.720774632524226	0.471048185387547	0.905956927817373	heavy_vs_moderate	FALSE	9.0545127133878	4.59370999404436	5.49247562304044	0.523971304420287	0	0.702193359189279
hsa-let-7c-5p	32.6764061115394	-0.822937329219383	0.382359893801228	-2.15225849405428	0.0313770008986064	0.57939541341871	heavy_vs_moderate	FALSE	184.437246534493	21.9566663511954	11.3155050127618	4.54735461940635	2.98780896382574	1.74923277714372
hsa-let-7d-3p	5.58240542391933	-0.319359370014166	0.3957616344982	-0.806948784763063	0.419695990575421	0.894493610335948	heavy_vs_moderate	FALSE	21.4922571936763	3.69116460139441	4.17946824845801	0.905011703545244	1.41901947950851	1.79063483018875
hsa-let-7d-5p	84.7263620575351	-0.768158535231447	0.377315217198435	-2.03585357870012	0.0417650604204892	0.596843156603199	heavy_vs_moderate	FALSE	486.285041117862	54.1252730221824	39.2379674452432	6.87225697252386	2.98721606443592	3.54541788728213
hsa-let-7e-3p	0.0926959525265536	-0.216235701618515	1.68361140741419	-0.128435635839879	0.897804231355542	0.986032670163031	heavy_vs_moderate	FALSE	0.183579681984403	0.0524447765583842	0.127909638524976	0	0	0
hsa-let-7e-5p	8.28688404330971	-0.152023177779714	0.370675415706131	-0.410124792037022	0.68171440702513	0.953324396665544	heavy_vs_moderate	FALSE	37.4975883288681	5.14876367800361	5.64594270523942	2.69461330129862	2.03821964866418	2.6517599772283
hsa-let-7f-1-3p	0.148231312069842	-0.101722081432687	1.8323386664103	-0.0555148910501181	0.955728266902355	0.991417999861891	heavy_vs_moderate	FALSE	0.0585607308657198	0.0983644933179727	0.274427996189391	0	0	0
hsa-let-7f-2-3p	0.575557015736163	0.0580874824146558	0.508789150496264	0.114168083887005	0.909104551814941	0.986032670163031	heavy_vs_moderate	FALSE	1.68751202012165	0.395426603770752	0.443133871019141	0	0	0
hsa-let-7f-5p	2.21317899747824	0.0801824959193339	0.399604023985358	0.20065487609372	0.840968445673843	0.981480446155883	heavy_vs_moderate	FALSE	2.09324876967146	1.92704493241131	2.55351663554512	0.913118762673353	0.794189951034565	1.15026520445902
hsa-let-7g-3p	2.96451879005013	0.1956981360582	0.388939186785499	0.503158701172809	0.614852698247812	0.938391629677475	heavy_vs_moderate	FALSE	2.28848716169938	2.98404737065576	2.78731117111365	0.503193646613315	0	0.566322502660401
hsa-let-7g-5p	494.25023297281	-0.944326437604504	0.428779479272181	-2.20235921552828	0.0276399443960277	0.551283888509737	heavy_vs_moderate	FALSE	2652.9203016924	351.272823649871	229.304054457213	17.0798176670212	8.52511554175741	6.20908001634514
hsa-let-7i-3p	0.309460606375863	-0.751711932768227	0.812316262704577	-0.925393184011151	0.354761422982136	0.87261232141096	heavy_vs_moderate	FALSE	0.397009647753652	0.372265983873884	0.130769123479859	0	0	0
hsa-let-7i-5p	547.749131005243	-0.78944266253805	0.410032090176084	-1.92531921635458	NA	NA	heavy_vs_moderate	NA	2828.31622373117	419.042076064721	239.079092564772	16.6954155302456	8.18028245806141	7.90478006404849
hsa-miR-1-2-5p:Novel	9.96620767359249	-0.800115486210619	0.337427394390097	-2.37122266749218	0.0177293464835466	0.503052188842094	heavy_vs_moderate	FALSE	8.96628420673815	10.789287519565	6.4336429649725	3.09357258478815	3.95937524720149	3.40205536138676
hsa-miR-1-3p	1.95760720065832	-0.407516329790995	0.344590563088974	-1.18261024369891	0.236963650853256	0.804789617906939	heavy_vs_moderate	FALSE	1.80996465024061	2.04902374617154	1.57582311742518	1.3240022859899	1.14847321252266	0.817822492615383
hsa-miR-1-5p	12.2163827187717	-0.546917433907959	0.296556161159288	-1.84422886973572	0.0651497926853732	0.638687574359417	heavy_vs_moderate	FALSE	7.97663590549689	12.7957136156136	8.96066509440416	5.20374789479001	6.59378425453817	5.35973096223841
hsa-miR-100-3p	0.264208039986053	-0.526732195675894	0.829976045602602	-0.634635419258951	0.525666222117154	0.928931080710126	heavy_vs_moderate	FALSE	0.348694154158877	0.255765960789897	0.205670003284996	0	0	0
