ID	Average_underweight	Average_normal	Average_overweight	Average_obese	Median_underweight	Median_normal	Median_overweight	Median_obese	log2FoldChange	pvalue	padj	comparison	treshold
hsa-let-7a-2-3p	0.827270873975308	0.898654448861825	1.29296702840919	1.40455703846828	0	0	0.393065393346777	0	0.377389064161123	0.231945553729999	NA	overweight_vs_normal	NA
hsa-let-7a-3p	2978.16790862748	297.251796237067	244.027144397768	69.6429685269719	34.056709772042	27.8990039989643	17.3993613699777	24.6027309938891	-0.852368472250944	NA	NA	overweight_vs_normal	NA
hsa-let-7a-5p	16.7346043872451	19.7385716468288	14.108155441535	13.7627573775229	7.82190099475225	10.654577822862	7.76032624970511	6.51741208205103	-0.214594869152038	0.300592013159748	0.610368250578869	overweight_vs_normal	FALSE
hsa-let-7b-3p	0.494735396658854	0.645742115489531	0.397759020723691	0.439880553979861	0	0	0	0	-0.123324219205226	0.818302896602218	NA	overweight_vs_normal	NA
hsa-let-7b-5p	1746.2105315634	188.365410727908	119.007429458446	44.2130521460484	24.1742082840138	16.2769776159671	9.61431567877635	18.1603694651258	-1.15274000350548	NA	NA	overweight_vs_normal	NA
hsa-let-7c-3p	14.4134724661831	9.75103166076847	7.59065154068159	2.84512131333159	0.623374540256912	2.49514350935203	1.59116050036155	0.494623154963669	-0.189376630555874	0.477395049506567	0.738709449475056	overweight_vs_normal	FALSE
hsa-let-7c-5p	122.386274522588	16.0758830117501	9.98159943527791	6.92224290121903	3.73894879580706	4.7707803801268	2.96582504311515	3.69120433929216	-0.555616809307253	NA	NA	overweight_vs_normal	NA
hsa-let-7d-3p	19.2981432830558	4.62669954224863	3.33332100178432	5.17450183535987	2.14650177679158	2.18224930098261	1.30058336287295	0.394956383472435	-0.505656176562463	0.0914815668014535	0.320579174343404	overweight_vs_normal	FALSE
hsa-let-7d-5p	364.914014154422	34.3935910767623	24.4091251563328	11.5699541825115	5.71645923098798	5.87248746573685	4.4243168109417	4.63914966500327	-0.658327261642683	NA	NA	overweight_vs_normal	NA
hsa-let-7e-3p	0.101743879676781	0.164922833966137	0.0834240597763915	0	0	0	0	0	-0.33675112927426	0.697761907726082	NA	overweight_vs_normal	NA
hsa-let-7e-5p	27.2985698631651	6.53321226145042	3.86342157580012	3.31369838037932	4.14660356793227	3.00841033915897	2.3710952772972	3.26127851028376	-0.668183720182942	0.00661956493794908	0.0690189379775572	overweight_vs_normal	FALSE
hsa-let-7f-1-3p	0.212000781760509	0.107640547558859	0.109645995576008	0.168650381738642	0	0	0	0	-0.163284503704924	0.872740161144465	NA	overweight_vs_normal	NA
hsa-let-7f-2-3p	0.918928408591056	0.503926728706398	0.875135376655533	0.820481873704798	0	0	0	0	0.247497103324361	0.478129888537075	NA	overweight_vs_normal	NA
hsa-let-7f-5p	2.60655008349974	2.409199947072	3.02930160083895	1.84091157839016	0.303458067510637	1.12815387718461	1.18782426951852	0.276608674133987	0.345899113527124	0.208195070139332	0.495659120039526	overweight_vs_normal	FALSE
hsa-let-7g-3p	4.33200986530972	6.99791690818635	5.55430303019991	3.10929925125577	1.57657880113133	2.03869316291042	1.55507377101353	0	-0.0444053360197822	0.851051026608697	0.948843515509017	overweight_vs_normal	FALSE
hsa-let-7g-5p	2040.83766274326	195.188594544807	124.856986538629	46.4735002806645	15.2749710308716	9.48755876341946	6.90521977830896	5.72102087253278	-1.17723622569505	NA	NA	overweight_vs_normal	NA
hsa-let-7i-3p	0.33419444729597	0.484252979724415	0.487126024773289	0.110251178074038	0	0	0	0	0.0957049746513505	0.814739429136105	NA	overweight_vs_normal	NA
hsa-let-7i-5p	2144.61541251008	237.419924312899	106.823452021032	72.2782638007582	7.82190099475225	10.5774444610311	7.16291350263548	13.7939572044452	-0.983521962845518	NA	NA	overweight_vs_normal	NA
hsa-miR-1-2-5p:Novel	13.1074173657025	10.736091050695	6.61740125233933	9.40428411397566	3.1099526759492	4.57442976714538	3.24828488723696	3.90129586121064	-0.707470975581335	0.00398102161371462	0.0496534014457812	overweight_vs_normal	TRUE
hsa-miR-1-3p	0.983367883357993	2.52313118778935	2.37608616601074	3.25523912221831	0.303458067510637	1.83001339377978	1.59116050036155	1.83417746131714	-0.0389681288613399	0.847663391112928	0.946015682313838	overweight_vs_normal	FALSE
hsa-miR-1-5p	12.7362461111521	15.6518073362196	10.8434304550669	13.9374000495539	9.68897665056753	7.62877063563459	4.76726559938806	8.24012257280491	-0.564435799861414	0.0124638909091157	0.0995673434250312	overweight_vs_normal	FALSE
hsa-miR-100-3p	0.125025265507422	0.312270934404859	0.434402467397302	0.262109543869087	0	0	0	0	0.141566115255264	0.775210373619971	NA	overweight_vs_normal	NA
hsa-miR-100-5p	34.7353220201612	5.85914108244129	6.78788801858624	4.31834288857147	0.91037420253191	0.851094249078257	1.07252726050316	1.49803618417748	-0.127977068778139	0.751373614860591	0.898166459048731	overweight_vs_normal	FALSE
hsa-miR-101-2-5p	0.7494600592879	1.40458958117973	2.11443351791839	1.08138429271952	0.201853680220157	0.674631736046009	0.863447154393705	0	0.180746593075249	0.515603273216271	NA	overweight_vs_normal	NA
hsa-miR-101-3p	2.84313476802096	3.5975695092329	4.58439018866975	3.06915678339551	2.20392479416574	2.63114071575986	2.89154571905206	1.89005923272985	0.143159781286123	0.467048197715406	0.731302793664794	overweight_vs_normal	FALSE
hsa-miR-101-5p	66.1173769416021	11.1657336771871	10.5161036562988	4.55511763532063	2.92566887906458	2.33532717611932	1.86748022522608	1.30159553704284	-0.211016076125564	0.456828352459706	0.72365691562005	overweight_vs_normal	FALSE
