ID	Average_underweight	Average_normal	Average_overweight	Average_obese	Median_underweight	Median_normal	Median_overweight	Median_obese	log2FoldChange	pvalue	padj	comparison	treshold	samples_sex
hsa-miR-3144-5p	0	0.288422681593335	0.417923047863059	0.266183957468789	0	0	0	0	-0.0781521557557128	0.960894419906233	0.999783187701971	obese_vs_normal	FALSE	male
hsa-miR-3145-3p	241.575109129279	8.65304926643818	63.4686325523269	2.33680172018802	241.575109129279	1.42451561834812	0.918186245845659	1.33785778564612	-0.527067168271041	0.629307932259833	0.999783187701971	obese_vs_normal	FALSE	male
hsa-miR-3145-5p	1.24631626526902	0.491789910724479	0.447480435094276	0.14737149087563	1.24631626526902	0	0	0	-0.583584395439015	0.622484323341803	0.999783187701971	obese_vs_normal	FALSE	male
hsa-miR-3146	3.73894879580706	5.67001795256285	3.35432733741468	2.26101965290673	3.73894879580706	2.63682018752137	1.80838977379411	2.22773749548678	-0.815670260539282	0.226846040331509	0.999783187701971	obese_vs_normal	FALSE	male
hsa-miR-3146-5p:Novel	0	2.55123703422722	3.21227878057823	0.648791439990653	0	0.446339380593497	0.56408243248821	0	-1.20169053504368	0.225524063501603	0.999783187701971	obese_vs_normal	FALSE	male
hsa-miR-3147	4.98526506107608	8.42709897429429	7.36735287710188	2.45384516367065	4.98526506107608	4.08568463268855	3.63244225155623	2.09453249149457	-1.01794738881278	0.126480656288518	0.965276119779256	obese_vs_normal	FALSE	male
hsa-miR-3147-3p:Novel	9.97053012215217	10.8731415658086	7.25380796294946	11.5333264142649	9.97053012215217	6.31656666008318	4.58907045667088	9.44298585983286	0.264517371594119	0.613884501890879	0.999783187701971	obese_vs_normal	FALSE	male
hsa-miR-3148	2.49263253053804	4.31587165073674	1.99863352064252	1.00442482532722	2.49263253053804	0.746964945444783	0.521072466403519	0	-1.22222028704503	0.231799742924006	0.999783187701971	obese_vs_normal	FALSE	male
hsa-miR-3148-3p:Novel	0	4.4691157533239	2.7280064941412	2.26383658600705	0	1.31956081855947	0.652469080118375	1.7096587671725	-0.666621453309897	0.407957041830241	0.999783187701971	obese_vs_normal	FALSE	male
hsa-miR-3149	10.5936882547867	21.4500940908851	7.21571333735217	23.7563776377039	10.5936882547867	9.4873909440237	6.19818011283143	17.068174907454	0.581174403753636	0.32787426826312	0.999783187701971	obese_vs_normal	FALSE	male
