ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_normal	Average_obese	Average_overweight	Average_underweight	Median_normal	Median_obese	Median_overweight	Median_underweight
hsa-let-7a-2-3p	0.543289303699942	0.519553225995164	0.435251412186293	1.19368533093418	0.232601080728636	NA	overweight_vs_normal	NA	0.473880150078238	0.334010184063845	0.852725344921445	0.605124064758086	0	0	0	0
hsa-let-7a-3p	551.785317606359	-1.09886877567416	0.338130787890188	-3.24983354083401	NA	NA	overweight_vs_normal	NA	325.319922916661	63.1740862596951	286.399883775354	3503.73581844909	19.0478308731826	21.646945040897	9.96867399846004	27.1526716714026
hsa-let-7a-5p	14.3431122989646	-0.15772477951613	0.280119992366903	-0.563061487269861	0.57339301530464	0.810214096443235	overweight_vs_normal	FALSE	16.0322730471635	10.8841247096337	10.8048780439267	15.6486387626056	6.98381464410546	5.5820907600448	4.80355000571998	7.22920623593095
hsa-let-7b-3p	0.46642858175946	0.0417523910902563	0.724157750920814	0.0576564858101227	0.954022255294378	NA	overweight_vs_normal	NA	0.563303186399199	0.317049291286999	0.262494205961676	0.443418439822794	0	0	0	0
hsa-let-7b-5p	328.961407011101	-1.25889070989802	0.357946265659536	-3.51698238163888	NA	NA	overweight_vs_normal	NA	208.321699252985	40.7541733880309	140.59166179005	2049.70202073616	13.2719507923825	17.1627949323962	6.71191876640335	18.9477273964172
hsa-let-7c-3p	4.05906894253878	0.0326932144370016	0.374858396143434	0.0872148383852446	0.930500744973857	0.973672626384806	overweight_vs_normal	FALSE	4.34203201422416	2.17118648791691	3.11570458830549	6.76040966433454	0.147737948075273	0	0.607226352401894	0.124227710317512
hsa-let-7c-5p	24.1723732282617	-0.732333473405968	0.362345155297318	-2.02109359736039	NA	NA	overweight_vs_normal	NA	16.0620113230508	6.34382781320675	9.59480643929772	143.9818370322	3.32379946175436	3.51669098860905	1.65617603338945	2.96512840631963
hsa-let-7d-3p	4.73081634582292	-0.631629059611463	0.401598363758009	-1.57278793095896	0.115767931166549	0.411107658949249	overweight_vs_normal	FALSE	3.57514170027924	4.84830700908303	2.2557951392241	20.9295958806488	1.60265120801844	0.420980564407533	0.492524762018449	1.21765805088205
hsa-let-7d-5p	63.2055409525673	-0.782442211245845	0.365765326533991	-2.13919186561586	NA	NA	overweight_vs_normal	NA	35.4149165319887	10.2397289122657	26.5647002024021	429.689613925656	3.41967372259746	3.86172769961729	2.43927550354403	4.62666385282025
hsa-let-7e-3p	0.0638322911088615	0.0448501164512416	1.66834860207714	0.026882940648856	0.978553099990697	NA	overweight_vs_normal	NA	0.0760724789339442	0	0.0621570776939014	0.0407678270087092	0	0	0	0
hsa-let-7e-5p	6.81325203810909	-0.999672555245894	0.344186755297959	-2.90444806448315	0.00367901235406385	0.0775805589574394	overweight_vs_normal	FALSE	5.63249100390152	2.79902740580084	2.87010147943779	30.9995359798919	2.43322060432665	2.89399099033747	1.18472253904363	2.98244263327788
hsa-let-7f-1-3p	0.105175000192724	0.0746618721835845	1.51270063239842	0.0493566741392887	0.960635055081103	NA	overweight_vs_normal	NA	0.0866550957133164	0.14902070414606	0.0916762898149596	0.268517932238833	0	0	0	0
hsa-let-7f-2-3p	0.509993447484165	0.159009503355583	0.430730755347796	0.369162177024461	0.712006846177193	NA	overweight_vs_normal	NA	0.422882529411748	0.262531293707878	0.698775328708787	1.03228763423355	0	0	0	0
hsa-let-7f-5p	1.87508521118299	0.795189111464237	0.332862695698146	2.38894031004709	0.0168970473680485	0.163549337649903	overweight_vs_normal	FALSE	1.80421246241105	0.920165073325018	2.63058903475543	1.72495669344188	0.677835633661835	0	0.785280145866317	0.124227710317512
hsa-let-7g-3p	2.81679778345055	0.134237053618469	0.337924191091333	0.3972401418938	0.691190383292149	0.860758643653886	overweight_vs_normal	FALSE	3.19412822578869	1.79746278950009	2.7954693516311	1.38684339648114	0.439064526856523	0	0.3034409893121	0.349677195711012
hsa-let-7g-5p	367.417184633969	-1.18831342260466	0.39708389803036	-2.99260037613965	NA	NA	overweight_vs_normal	NA	219.181619318618	42.9751389657003	150.106720580607	2415.31482404491	7.95187941014571	5.79365031823568	5.08965075053042	15.3237280301225
hsa-let-7i-3p	0.309678724576388	-0.271533842630564	0.571963002522175	-0.474740221715715	0.634972145509479	NA	overweight_vs_normal	NA	0.369634163507656	0.110146926982719	0.250778662187692	0.213563526880427	0	0	0	0
hsa-let-7i-5p	402.525991091372	-1.28044120330226	0.38839438713777	-3.29675516873024	NA	NA	overweight_vs_normal	NA	264.311347572368	68.5147748949268	124.670723455837	2535.39208537446	8.29078731329811	13.1541867027751	5.04184379743718	9.52743308322373
hsa-miR-1-2-5p:Novel	8.54696021852827	-0.91173726765067	0.291423157802642	-3.12856834894404	0.00175660151392495	0.0510073164605958	overweight_vs_normal	FALSE	9.4258345417129	8.14161447945796	5.21247216912447	12.2384719906881	4.06150524811607	3.7968053302752	3.42948961553764	1.90491943098717
hsa-miR-1-3p	1.67889800431618	-0.0460687344595134	0.268536701364613	-0.171554704535386	0.863787619934116	0.953708350058035	overweight_vs_normal	FALSE	1.80715652024009	2.09927170053288	1.67965394450649	0.62116573370073	1.20371874764162	1.34568034046068	0.856909138848815	0
hsa-miR-1-5p	11.9304913696082	-0.526703546450224	0.270171797434276	-1.94951342609457	0.0512341410205653	0.280039787272408	overweight_vs_normal	FALSE	13.3939935114748	11.6305993438743	8.8196097763877	11.1589082899724	7.30661747279074	7.19722814204556	4.16102133189077	7.78784286696498
hsa-miR-100-3p	0.233300731183389	0.312425723372135	0.666794121150896	0.468549007050159	0.639392033623114	NA	overweight_vs_normal	NA	0.217055207257641	0.248252161793359	0.356925926153657	0.0806168509807783	0	0	0	0
hsa-miR-100-5p	8.07353888459935	-0.247559522434089	0.555568236484218	-0.445596969331276	0.655888400165194	0.846101144024922	overweight_vs_normal	FALSE	5.36959033552965	3.48297476234596	6.330873037816	39.1973868587909	0.42776022563136	1.49071230322925	0.452195017384028	0.582247950921222
hsa-miR-101-2-5p	1.14954753531106	-0.0496287961474179	0.365805926402121	-0.135669743340523	0.892082367836684	NA	overweight_vs_normal	NA	1.09669361140911	0.957232355509309	1.7163608830416	0.533597820208381	0.520512846735144	0	0.321500335726039	0
hsa-miR-101-3p	2.88741059959061	0.0679980376469822	0.251352693581405	0.270528382561215	0.786753784533271	0.914785582121352	overweight_vs_normal	FALSE	2.82180331162259	2.6454801963444	3.50309875084978	2.64217032800733	2.04176639078519	1.82779072313014	2.00440740926257	1.68492400136364
hsa-miR-101-5p	15.927072121201	-0.0483496057389463	0.39604531956558	-0.122080992629785	0.902834874956667	0.964256307478819	overweight_vs_normal	FALSE	11.2175813280423	4.09138497025484	11.6313422025389	76.3979980247602	1.50765814465142	1.119920934491	1.23451631232971	2.23816862412936
hsa-miR-10226	2.53580739675141	0.316642793896056	0.310378846479096	1.02018161832875	0.307642333706098	0.634119912332977	overweight_vs_normal	FALSE	2.31103057679827	3.07362264176569	2.52352891039679	4.36373785080364	1.42828009375512	0	1.21359311496538	2.25977746468237
hsa-miR-10226-3p:Novel	10.4462399973228	0.195481314401742	0.28192411816861	0.693382728911579	0.488069397971346	0.752438671849591	overweight_vs_normal	FALSE	9.80968280739193	12.7445414050986	11.5237863929486	12.6298664992666	5.41585579858388	9.35294454054332	4.51613561731301	8.4944371620632
hsa-miR-10392-3p	1.25559187767542	-0.0461415166148983	0.391274263537378	-0.117926275543268	0.906126073635463	0.965410252644821	overweight_vs_normal	FALSE	1.36216853552819	0.523575324715144	1.24112711902435	1.34451081881409	0.462333108404807	0	0.202014586881816	0.124227710317512
hsa-miR-10392-5p	131.409268701973	0.417684508560466	0.198339376299929	2.10590814770358	0.0352123317965215	0.23505243322793	overweight_vs_normal	FALSE	102.770066202736	178.84715125797	156.012785732652	278.4949090042	73.1118662563395	70.8601949041955	97.2498258096353	82.7347193818283
hsa-miR-10393-3p	0.28318753386833	0.0711351843718754	0.821448874507815	0.0865972144821518	0.93099168010537	NA	overweight_vs_normal	NA	0.339979702788959	0.136205570724215	0.203128852271229	0.2342433531117	0	0	0	0
hsa-miR-10393-5p	0.118404778634528	-0.133390157202314	2.07510571757479	-0.0642811380994164	0.94874637200581	NA	overweight_vs_normal	NA	0.172512062193779	0.0583857350014018	0.0310766528713624	0	0	0	0	0
hsa-miR-10394-3p	2.23739046273188	-0.1675956139015	0.387921891991538	-0.432034431057981	0.665716388845207	0.848576971662977	overweight_vs_normal	FALSE	2.27958223198949	1.14734736367866	1.9732344811256	3.98772836421351	0.712477826200736	0.790207887222617	0.58278717871006	0.201992227473156
hsa-miR-10394-5p	0.729760837960852	-0.195282682156292	0.561966939921875	-0.347498523994028	0.728216827185891	NA	overweight_vs_normal	NA	0.798541439522987	0.111955001272787	0.46005064892331	1.60808262263726	0	0	0	0
hsa-miR-10395-3p	1.19384436090328	0.0326498782434824	0.502217049651492	0.0650114890885116	0.948164852638103	0.979798466493912	overweight_vs_normal	FALSE	0.829446365406914	0.957131538683692	0.888452542711299	5.27727133220231	0	0	0	0.196717509532389
hsa-miR-10395-5p	2.53453486747436	-0.284413385414577	0.281655574541674	-1.00979143010889	0.312595226860278	0.637646488103937	overweight_vs_normal	FALSE	2.96128203550485	1.75217213366677	1.80279712139342	2.27442924697997	1.52629368017833	1.12672574176185	1.03708456986423	0.86070096954637
hsa-miR-10396a-3p	1.08762967222613	-0.306684930919322	0.329472818547544	-0.930835303110342	0.351938765030529	NA	overweight_vs_normal	NA	1.1099500909969	1.61938974341719	0.812134175804935	1.37045307468267	0.598555128159736	0.712636205911306	0	0.107671364345333
hsa-miR-10396a-5p	4.53440538799243	0.0357415760468417	0.293994966444216	0.121572067981727	0.90323793589062	0.964256307478819	overweight_vs_normal	FALSE	4.23126072023862	11.1591934547826	3.99600101945648	3.30485159452941	2.22278923900544	2.9503412666867	2.1016024254293	2.06116708248725
hsa-miR-10396b-3p	1.1779295202697	-0.275537087908228	0.310799616834016	-0.88654255984936	0.375325230717598	NA	overweight_vs_normal	NA	1.13644154458342	2.24445115914331	0.707428550631799	2.00612259349475	0.675175218036751	0.835070100258074	0	1.15623711620833
hsa-miR-10396b-5p	3.53884506006212	-0.127106007807503	0.353142133300327	-0.359928753387824	0.718900413975038	0.876196871821483	overweight_vs_normal	FALSE	3.23720544813593	9.89691111001503	2.92532420920138	2.52395107027511	1.42190549261394	1.25402953239381	0.97363261994174	1.0208379859785
hsa-miR-10397-3p	21.5246505495668	-0.0612227853343073	0.230810719860941	-0.265251048006751	0.790816072166746	0.916022973422825	overweight_vs_normal	FALSE	17.4818701589191	15.1646741588653	15.2337433526862	79.0011415282188	13.2140756312935	8.38342630095164	11.0639845845527	20.9391043463716
hsa-miR-10397-5p	2.61018856740189	-1.21632516937624	0.393402645729519	-3.09180729356993	0.0019894195243541	0.055027706024131	overweight_vs_normal	FALSE	3.36075830518952	1.58858725246264	1.06275759668936	2.09532384097935	1.29560834549794	0	0.158957514734252	0.636577518893135
hsa-miR-10398-3p	1.40512366019318	-0.126734667247187	0.306645843761295	-0.413293282219869	0.679391751101091	0.853870380091443	overweight_vs_normal	FALSE	1.42379542975295	1.11304044057672	1.2841853497423	2.10465210434236	0.812257851263145	0	0.313090861989345	0.768806835648384
hsa-miR-10398-5p	0.498460840468882	0.0864139724085878	0.413683652783882	0.208889019005381	0.834534876633271	NA	overweight_vs_normal	NA	0.522293258895283	0.4237582947665	0.503763923547404	0.47206137251624	0	0	0	0
hsa-miR-10399-3p	0.336922677319169	-0.0622120073442856	0.592930198798123	-0.104922986669241	0.916436918916404	NA	overweight_vs_normal	NA	0.288416363201946	0.161509274301323	0.282894551357301	1.07365320996412	0	0	0	0
hsa-miR-10399-5p	0.725555587132471	0.602002136003895	0.596924240496561	1.00850676712862	0.313211240673756	NA	overweight_vs_normal	NA	0.507507767578429	0.369748510729822	1.73257953741486	0.334826605002239	0	0	0	0
hsa-miR-103a-1-5p	0.658354389044797	0.350312202012855	0.593335375585433	0.590411791421013	0.554914607209767	NA	overweight_vs_normal	NA	0.508705947041339	0.845983855819187	1.15774037624715	0.536914167275596	0	0	0	0
hsa-miR-103a-2-5p	0.285727124385415	-0.0552209066248865	0.617345605539616	-0.0894489344856006	0.928725135202979	NA	overweight_vs_normal	NA	0.286476458599286	0.325941633360531	0.308521806832857	0.243350127950983	0	0	0	0
hsa-miR-103a-3p	1.69958294898666	0.498320773395514	0.282070010787912	1.76665634181934	0.0772857990884872	0.335565788312851	overweight_vs_normal	FALSE	1.4552799146324	1.79420284732463	2.60134137676794	1.5869580679822	0.890195082865802	1.119920934491	1.25119105042766	0.94089438751767
hsa-miR-103b-3p:Novel	17.169910494592	-0.344178185096743	0.440706476722533	-0.780969201216066	NA	NA	overweight_vs_normal	NA	9.47364281763661	3.6062892070588	7.24356014730257	117.142097723109	0.860302982975693	0.783316858665626	0.597911535022989	1.18645451855928
hsa-miR-103b-5p	0.231546201498253	-0.311568929942236	0.879851766817068	-0.354115251787651	0.723252512454556	NA	overweight_vs_normal	NA	0.257991408057647	0.205778859228871	0.0798566458238021	0.487364282274807	0	0	0	0
hsa-miR-10400-3p	3.90373000228121	0.221777171546901	0.358973337983703	0.617809592190296	0.536700859684144	0.79075187849962	overweight_vs_normal	FALSE	4.45110312966624	5.81136581061806	2.50699264560583	2.41555965638928	1.11810716699518	1.04343701254025	0.82338675203698	1.60194026801642
hsa-miR-10400-5p	84.7365681841718	-0.238894326934471	0.284706629863853	-0.839089441115969	0.401419120843066	0.705629574855142	overweight_vs_normal	FALSE	93.5851862832782	93.7073937997086	53.873807848449	103.056930350714	32.8317390852564	62.2311505070809	27.6491454925126	28.3867468532403
hsa-miR-10401-3p	1.00822148916169	-0.573278975044696	0.412760221680738	-1.38889104359508	0.16486588443645	NA	overweight_vs_normal	NA	1.06362451281904	0.474133226235565	0.641855898909642	2.18215125279364	0.086464732150277	0	0	0.326219937790667
hsa-miR-10401-5p	78.0452703026095	-0.293139576332683	0.275118409869415	-1.06550330990871	0.286648228562038	0.619426823208944	overweight_vs_normal	FALSE	87.8744397594075	59.8651575791832	66.0817269661801	63.9625738644776	45.5289681315182	27.7546167149065	27.3862116354674	42.9367712183957
hsa-miR-105-3p	7.78154474511989	-0.929974779819308	0.343559854702914	-2.70687848737008	0.00679191122073134	0.0962236618914245	overweight_vs_normal	FALSE	9.90537927677908	7.77656984157576	3.23118444592106	4.22995499189487	3.33224556651199	2.29337058139649	1.75449209313493	2.42605415385975
hsa-miR-105-5p	3.52135285680573	-0.21515519907553	0.33280432015769	-0.646491604957485	0.517961032190024	0.775028425931772	overweight_vs_normal	FALSE	3.46970144700732	3.13426480759794	3.63405358189307	4.7323262036632	1.77671736940891	0.828179071701085	1.27012393179984	2.76531318652378
hsa-miR-10522-3p:Novel	7.76676946686871	0.83998050217674	0.278709933224091	3.0138161652867	0.00257984077455968	0.0632365453192502	overweight_vs_normal	FALSE	6.31804263796879	11.9050783216906	11.143808740634	8.4625918665131	3.93706214275947	6.89069295064781	3.64945402676288	2.96836420054434
hsa-miR-10522-5p	0.768827044359854	-0.725688916724913	0.409571364793429	-1.77182532546171	0.0764235572246879	NA	overweight_vs_normal	NA	0.610884918870664	0.339108856977411	0.256571115775413	3.83179942181848	0	0	0	0
hsa-miR-10523-3p:Novel	13.8075001748558	0.156327703300972	0.25290001316158	0.618140352571247	0.536482824531622	0.79075187849962	overweight_vs_normal	FALSE	13.9509289433161	9.30921425332162	15.2386838189775	16.002505297012	9.00548615187274	4.81850922138533	9.28374360089802	11.8478383666046
hsa-miR-10523-5p	2.04534575495979	0.791669662138678	0.3873071554912	2.04403572439721	0.0409500180660239	0.252325973388259	overweight_vs_normal	FALSE	1.90670701162481	1.08518857505571	2.79039946506349	2.49352662897166	0.652579197619094	0	1.0640132544713	0.286900323182123
hsa-miR-10524-3p:Novel	3.88627938351591	-2.38357204904225	0.504779827798843	-4.72200337211595	2.33532809575606e-06	0.00303873862869954	overweight_vs_normal	TRUE	5.47087423050253	1.3434127021096	0.780969113797232	2.20321534900852	0.835454605860291	0	0	0
hsa-miR-10524-5p	2.91758994873745	-2.49537103623685	0.657196629974117	-3.79699304960697	0.000146461894246254	0.0137317823396435	overweight_vs_normal	TRUE	4.2643663188889	0.667795639625746	0.421933137052015	1.09372503779228	0	0	0	0
