ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	no.x	yes.x	no.y	yes.y
has-miR-548o	0.590526924218119	1.10880158811027	0.936682644368394	1.18375374496015	0.236510557143123	NA	yes_vs_no	NA	0.327	0.779	0	0
has-miR-548x	1.95399684612723	0.119664846284747	0.752222371289831	0.159081743447165	0.873604471663261	NA	yes_vs_no	NA	2.731	1.272	0.364	0
hsa-let-7a-2-3p	0.521997086861559	0.875057898987608	0.824926753554984	1.06077042018165	0.288794248047218	NA	yes_vs_no	NA	0.325	0.614	0	0
hsa-let-7a-3p	734.90774367092	1.38175121461108	0.484378904752078	2.8526246726585	0.00433598002521497	0.0837177681791506	yes_vs_no	FALSE	123.656	1327.541	14.535	22.502
hsa-let-7a-5p	18.2026981662667	0.625215987291059	0.432540523596274	1.44545066458241	0.148331341157108	0.396155430142397	yes_vs_no	FALSE	11.626	22.5	7.161	7.752
hsa-let-7b-3p	0.561002579815261	0.937784542814462	1.11795917143254	0.838836128168075	0.401561273999399	NA	yes_vs_no	NA	0.334	0.712	0	0
hsa-let-7b-5p	444.92697583632	1.37814914717238	0.518114521210425	2.65993152238377	0.00781565399360541	0.104258904508125	yes_vs_no	FALSE	78.72	797.833	11.004	16.814
hsa-let-7c-3p	5.52428008215547	0.0992720131285394	0.589502235000497	0.168399723079007	0.866268825944359	0.942962863120198	yes_vs_no	FALSE	4.637	5.836	0.288	0.248
hsa-let-7c-5p	32.91428857325	0.968151798620732	0.504455359382985	1.91920212683419	0.0549587584823188	0.255949697595405	yes_vs_no	FALSE	8.559	55.778	2.828	2.959
hsa-let-7d-3p	5.46722742579595	1.49555618888483	0.517882050386059	2.88783167474129	0.00387907396692599	0.0837177681791506	yes_vs_no	FALSE	2.461	7.842	0.692	2.025
hsa-let-7d-5p	86.3110398131264	1.29754679862357	0.497573106122101	2.60775106744849	0.00911392065622861	0.1094367411373	yes_vs_no	FALSE	16.657	153.17	3.959	3.78
hsa-let-7e-3p	0.0954216179557762	0.825095706744262	2.18954780950746	0.376833839006178	0.706297091510482	NA	yes_vs_no	NA	0.065	0.108	0	0
hsa-let-7e-5p	8.24986628466064	1.30208308893601	0.492744939609589	2.64250930708223	0.00822942035220166	0.105591892817804	yes_vs_no	FALSE	3.564	12.26	3.035	1.948
hsa-let-7f-1-3p	0.15270136638033	0.984048701980393	2.38515547807363	0.412572140905111	0.679920115943028	NA	yes_vs_no	NA	0.158	0.143	0	0
hsa-let-7f-2-3p	0.570591126837175	-0.00967412200070105	0.70748835779086	-0.0136738956820556	0.989090149729297	NA	yes_vs_no	NA	0.461	0.604	0	0
hsa-let-7f-5p	2.24495921175798	0.449722411652205	0.536555280693831	0.83816603402106	0.401937460424046	NA	yes_vs_no	NA	1.251	2.772	0.807	1.148
hsa-let-7g-3p	2.91376556288025	0.99437001046668	0.529003302097202	1.87970473251218	0.0601483302520209	NA	yes_vs_no	NA	1.505	3.699	0.277	0.099
hsa-let-7g-5p	502.607637147254	1.54591045853136	0.568696995006735	2.71833765978147	0.00656108435582482	0.0980257246019065	yes_vs_no	FALSE	87.16	903.426	6.713	9.873
hsa-let-7i-3p	0.317818999205325	1.02214411186143	1.04794380645848	0.975380650719966	0.329371477986918	NA	yes_vs_no	NA	0.213	0.384	0	0
hsa-let-7i-5p	557.546446689883	1.44494083501673	0.54441711210701	2.65410620438528	0.00795187947498291	0.104258904508125	yes_vs_no	FALSE	84.991	1013.415	6.548	10.135
hsa-miR-1-2-5p:Novel	9.91990563943058	0.669041158978024	0.473300017685621	1.41356673141394	0.157489155170372	0.4092109518402	yes_vs_no	FALSE	5.271	12.184	3.368	4.216
hsa-miR-1-3p	1.95848828440311	0.673028558190699	0.445648820800326	1.5102217862532	0.130986841364382	NA	yes_vs_no	NA	1.689	2.038	1.331	0.693
hsa-miR-1-5p	12.0041051666854	0.470350456364747	0.413249471622776	1.13817557834434	0.255047174163201	0.508877907114176	yes_vs_no	FALSE	7.745	13.373	4.954	7.396
hsa-miR-100-3p	0.263971285568161	0.450202392129897	1.15708082434198	0.389084653948804	0.69721352521319	NA	yes_vs_no	NA	0.261	0.246	0	0
hsa-miR-100-5p	10.4753957123294	-0.388559781352898	0.832025921814708	-0.467004417969841	NA	NA	yes_vs_no	NA	6.683	13.404	0.859	0.139
hsa-miR-101-2-5p	1.37680209790895	0.714531970966047	0.559687050304417	1.2766633971206	0.201721109230069	NA	yes_vs_no	NA	1.194	1.357	0.647	0.289
hsa-miR-101-3p	3.36982087563934	0.33551560674036	0.38218806714564	0.877880906241128	0.380008352033801	NA	yes_vs_no	NA	2.956	3.314	2.339	1.986
hsa-miR-101-5p	20.2058215005029	1.62999337598252	0.570828744603426	2.85548580269015	0.00429710440297606	0.0837177681791506	yes_vs_no	FALSE	4.157	35.001	1.418	1.224
hsa-miR-10226	2.86404085444955	0.666987910321135	0.45588681463535	1.4630559360543	0.143452073752709	NA	yes_vs_no	NA	1.85	3.271	1.346	1.755
hsa-miR-10226-3p:Novel	12.2451379764243	0.224837174127179	0.463249125526833	0.485348296926588	0.627429301375181	0.805136782439521	yes_vs_no	FALSE	8.694	14.261	6.099	5.164
hsa-miR-10392-3p	1.19418271657859	-0.464122005748961	0.581794387015903	-0.797742322901225	0.42502003800514	NA	yes_vs_no	NA	1.238	1.053	0.55	0.371
hsa-miR-10392-5p	134.716273720412	0.128755780903999	0.311886372472809	0.412829133517927	0.679731804900414	0.843781815183006	yes_vs_no	FALSE	114.313	144.613	72.615	71.966
hsa-miR-10393-3p	0.27561574072449	0.65344508760527	1.62436794163839	0.402276522981724	0.687480530551609	NA	yes_vs_no	NA	0.163	0.347	0	0
hsa-miR-10393-5p	0.0538682043882583	0.84472813577417	4.20734324064603	0.200774713984225	0.840874735632405	NA	yes_vs_no	NA	0.043	0.057	0	0
hsa-miR-10394-3p	2.69904337921952	0.914099541028882	0.617396769063245	1.48057065866382	0.138721018943309	NA	yes_vs_no	NA	2.416	2.825	0.881	0.597
hsa-miR-10394-5p	0.576880894237865	1.1192870882126	0.888995484239564	1.25904698961438	0.208013359867839	NA	yes_vs_no	NA	0.284	0.705	0	0
hsa-miR-10395-3p	1.30289074258824	0.226608192368353	0.728326228070063	0.311135564853713	0.75569756514832	NA	yes_vs_no	NA	0.735	1.785	0	0
hsa-miR-10395-5p	3.18464432921846	0.872772663240568	0.396925078072175	2.19883477123576	0.0278896730958394	NA	yes_vs_no	NA	1.97	3.725	1.069	2.252
hsa-miR-10396a-3p	1.2178517794472	0.677218612507595	0.563154796783107	1.20254433838804	0.229152698417697	NA	yes_vs_no	NA	1.117	1.186	0.489	0.371
hsa-miR-10396a-5p	4.84458177678122	-0.123788525158036	0.446169158722308	-0.27744751679504	0.78143649995656	NA	yes_vs_no	NA	4.722	4.585	2.079	2.27
hsa-miR-10396b-3p	1.44875021631609	0.078839860373005	0.480807434515697	0.163973879589483	0.869751706532689	NA	yes_vs_no	NA	1.491	1.383	0.657	0.687
hsa-miR-10396b-5p	3.70592938707925	-0.358508784864673	0.512822489040921	-0.69908943645423	0.484496139732025	NA	yes_vs_no	NA	3.682	3.443	1.202	1.263
hsa-miR-10397-3p	24.2573203387643	0.597352326730975	0.350962753958003	1.70203909102689	0.0887480405332544	0.319108952249488	yes_vs_no	FALSE	15.549	31.245	11.354	12.725
hsa-miR-10397-5p	3.36772405946232	-0.828437565296714	0.579723256015238	-1.42902248046944	0.152997772210619	NA	yes_vs_no	NA	3.454	2.898	1.15	1.016
hsa-miR-10398-3p	1.66592236911657	-0.0994268843660357	0.444812969185413	-0.223525147092983	0.823126813631812	NA	yes_vs_no	NA	1.65	1.643	1.135	0.742
hsa-miR-10398-5p	0.750912661728411	1.32634438336741	0.712911186441437	1.8604622968367	0.0628201479559807	NA	yes_vs_no	NA	0.373	0.94	0	0
hsa-miR-10399-3p	0.450500342066141	0.698538159684324	0.927538537138612	0.753109581666831	0.451384067079344	NA	yes_vs_no	NA	0.223	0.603	0	0
hsa-miR-10399-5p	0.609397981446589	0.0932937349477512	0.84277821883836	0.11069784774023	0.91185595274615	NA	yes_vs_no	NA	0.733	0.47	0	0
hsa-miR-103a-1-5p	0.648440285836752	1.93849484807097	0.995240954110491	1.94776434798498	0.0514431665471894	NA	yes_vs_no	NA	0.383	0.771	0	0
hsa-miR-103a-2-5p	0.302177832682749	1.63931979807265	1.118993648102	1.46499473062534	0.142922355407105	NA	yes_vs_no	NA	0.175	0.359	0	0
hsa-miR-103a-3p	1.69815256139484	0.964498847462222	0.489422097673529	1.97068921090194	0.0487594353736776	NA	yes_vs_no	NA	1.184	1.944	0.793	1.135
hsa-miR-103b-3p:Novel	23.303667491573	1.65343526220395	0.593324949908645	2.78672801886814	0.00532431453700574	0.0927552390668483	yes_vs_no	FALSE	4.319	41.285	0.684	1.016
hsa-miR-103b-5p	0.355042830097419	2.61149049894046	1.15969768670134	2.25187178424803	0.0243303756728414	NA	yes_vs_no	NA	0.159	0.442	0	0
hsa-miR-10400-3p	6.03378977943473	-0.486747949883987	0.532160029692427	-0.914664617268067	0.36036772482954	0.607062408941038	yes_vs_no	FALSE	9.179	2.512	1.361	1.224
hsa-miR-10400-5p	99.9712162505945	0.338941334947214	0.424105662794135	0.799190778812447	0.424179797994098	0.656406469152395	yes_vs_no	FALSE	75.031	116.263	33.588	39.049
hsa-miR-10401-3p	1.1075436330504	0.580798045369702	0.589938714302758	0.984505731338791	0.324866914842354	NA	yes_vs_no	NA	0.894	1.267	0.139	0.346
hsa-miR-10401-5p	78.667820397621	0.666919784872647	0.370193945608928	1.8015415778225	0.0716175601033847	0.291062414919388	yes_vs_no	FALSE	56.839	88.376	30.393	50.206
hsa-miR-105-3p	6.92369151389404	0.47311054005903	0.464684159905699	1.01813356443017	0.308614486375644	0.55808527435365	yes_vs_no	FALSE	4.569	7.867	2.372	4.195
hsa-miR-105-5p	4.09381500791347	1.30400310250226	0.493894290640147	2.64024737117757	0.00828455324353073	NA	yes_vs_no	NA	4.106	3.87	1.054	2.131
hsa-miR-10522-3p:Novel	7.56533317227934	-0.210777543878	0.425225689255353	-0.495683937268958	0.620117421639264	0.799021934453055	yes_vs_no	FALSE	8.075	6.916	3.497	3.636
hsa-miR-10522-5p	0.889397426740658	1.16278117941596	0.726037959941327	1.60154322992964	0.109256653146448	NA	yes_vs_no	NA	0.269	1.377	0	0
hsa-miR-10523-3p:Novel	16.0911610400114	-0.124295675964643	0.381157421716136	-0.326100631610452	0.744348219170252	0.878793052736281	yes_vs_no	FALSE	15.639	14.441	9.005	10.49
hsa-miR-10523-5p	2.30098451124731	0.682314536868734	0.691088940263474	0.987303510614141	0.323493870168105	NA	yes_vs_no	NA	1.274	2.739	0.175	0.666
hsa-miR-10524-3p:Novel	3.63395077184209	-0.306896452696981	0.677960140305937	-0.452676248132361	0.650781885182742	NA	yes_vs_no	NA	5.501	2.232	0.5	0.872
hsa-miR-10524-5p	2.72746932584212	-0.0465016915730118	0.897941400968134	-0.0517870002684753	0.958698413935245	NA	yes_vs_no	NA	4.647	1.354	0	0
hsa-miR-10525-3p	0.679268811524923	-0.0332511020094312	0.645949957227947	-0.0514762817728578	0.958946001192305	NA	yes_vs_no	NA	0.745	0.627	0	0
hsa-miR-10525-5p:Novel	0.540679550787542	0.51445281573009	0.698930944559384	0.736056715952687	0.461696182744516	NA	yes_vs_no	NA	0.352	0.62	0	0
hsa-miR-10526-3p	4.4877621169524	0.543902657142895	0.413933602589156	1.31398527140774	0.188851160784481	NA	yes_vs_no	NA	4.094	4.515	2.276	2.468
hsa-miR-10526-5p:Novel	4.15942453287391	0.462917347724177	0.423345317995579	1.09347458929264	0.274185479918625	NA	yes_vs_no	NA	3.781	4.198	2.206	1.998
hsa-miR-10527-3p:Novel	10.2144990419255	0.437202947267621	0.463094277309227	0.944090585199961	0.345123359999036	0.593328516162727	yes_vs_no	FALSE	9.754	9.761	5.461	4.191
hsa-miR-10527-5p	9.39666669384414	0.290143981428567	0.506309516724607	0.573056543170573	0.566606409965883	0.7688183698297	yes_vs_no	FALSE	9.318	8.787	5.17	2.849
hsa-miR-106a-3p	0.420785593034118	1.81870168384673	1.42835944989017	1.27328011446038	0.20291866053902	NA	yes_vs_no	NA	0.187	0.555	0	0
hsa-miR-106a-5p	1.59053298632587	0.268229162585935	0.815524715976972	0.328903781002646	0.742228416349	NA	yes_vs_no	NA	0.65	2.342	0	0
hsa-miR-106b-3p	8.93717044496991	0.855833703945178	0.714078928881872	1.19851415485018	0.230716915806423	0.490891151923052	yes_vs_no	FALSE	2.483	14.974	0.149	0.289
hsa-miR-106b-5p	33.7953581136937	0.341574978795199	0.562511115560196	0.607232407229908	0.543696688349139	0.751475048323975	yes_vs_no	FALSE	19.818	40.958	6.272	3.266
hsa-miR-107	18.0423394470605	0.537243536856057	0.495442529682574	1.08437105147244	0.278200313686678	0.528201805865023	yes_vs_no	FALSE	6.165	28.013	3.004	3.395
hsa-miR-107-5p:Novel	2.4619903242901	1.69857333297435	0.706393616548099	2.40457061499889	0.0161914777099188	NA	yes_vs_no	NA	1.661	3.256	0.287	0
hsa-miR-10a-3p	2.23943841947676	0.493742676893081	0.596302991261568	0.828006372814758	0.40766689080625	NA	yes_vs_no	NA	1.541	2.763	0.502	0.585
hsa-miR-10a-5p	76.6596658416987	1.36184880752836	0.531765512987294	2.56099497667292	0.0104372865320304	0.116953523193733	yes_vs_no	FALSE	20.438	130.335	4.881	6.169
hsa-miR-10b-3p	2.68778713024024	1.03791876610137	0.477523720217115	2.17354389354619	0.0297394059663851	NA	yes_vs_no	NA	2.053	2.917	1.17	1.14
hsa-miR-10b-5p	46.2674401131583	1.24845553343675	0.52667676713974	2.37043972950777	0.0177669403898101	0.1411234822102	yes_vs_no	FALSE	14.136	76.705	3.39	5.559
hsa-miR-11181-3p	1.50932336373909	0.999499827735343	0.537988880284978	1.8578447703341	0.0631910613090851	NA	yes_vs_no	NA	1.349	1.551	0.356	0.646
hsa-miR-11181-5p	0.184543011866016	0.846596538296815	3.03051829110246	0.279357013215332	0.779970856816448	NA	yes_vs_no	NA	0.223	0.145	0	0
hsa-miR-11399	4.14712419246798	-0.0552993842442769	0.489436622837901	-0.112985791548729	0.910041819778775	NA	yes_vs_no	NA	3.423	4.334	1.635	1.511
hsa-miR-11399-3p:Novel	214.61196680904	0.289485031167371	0.396947888255036	0.72927716643092	0.465832136658351	0.684201948780324	yes_vs_no	FALSE	209.501	198.663	105.776	124.662
hsa-miR-11400	3.12048415280381	-0.140943483578409	0.560338784159679	-0.251532621982927	0.801402344021307	NA	yes_vs_no	NA	1.429	3.972	0.988	0.787
hsa-miR-11400-3p:Novel	5.55417617116551	-0.236678685951163	0.422129710063741	-0.560677631326695	0.57501731879949	0.770282404802608	yes_vs_no	FALSE	5.879	4.771	2.056	3.353
hsa-miR-11401	1.80661987168449	1.10045108267418	0.552981603129738	1.99003199463763	0.0465874111535774	NA	yes_vs_no	NA	1.332	2.095	0.739	0.667
hsa-miR-11401-3p:Novel	5.67636096701833	0.188785091898323	0.372500262048202	0.506805259304472	0.612291465769476	0.793297432180818	yes_vs_no	FALSE	4.621	5.913	2.608	2.519
hsa-miR-1178-3p	0.243853161397504	0.72222209057399	1.01037894901522	0.714803184763416	0.474730666986336	NA	yes_vs_no	NA	0.188	0.257	0	0
hsa-miR-1178-5p	1.21126899395352	0.61595157632233	0.69681830396722	0.883948617330389	0.37672395086359	NA	yes_vs_no	NA	1.096	1.126	0.138	0
hsa-miR-1179	1.28306338294338	-0.534329984667087	0.612182856386795	-0.872827422546249	0.382757150206623	NA	yes_vs_no	NA	1.373	1.078	0.584	0
hsa-miR-1179-3p:Novel	5.96428471153081	0.83427003435291	0.31578991872666	2.64185138562018	0.00824542270609147	0.105591892817804	yes_vs_no	FALSE	3.634	7.053	3.246	5.011
hsa-miR-1180-3p	4.5229952140348	0.342279664214082	0.531342182219411	0.644179354976832	0.519459136693396	NA	yes_vs_no	NA	2.923	5.637	0.942	1.684
hsa-miR-1180-5p	1.07474507760296	-0.503283269231002	0.744877863732924	-0.675658780768191	0.499257311954982	NA	yes_vs_no	NA	1.204	0.902	0.296	0
hsa-miR-1181	8.28371515195071	1.09888054241028	0.481834650315255	2.28061751410219	0.0225710900008879	0.16003795452607	yes_vs_no	FALSE	3.957	10.67	2.368	4.78
hsa-miR-1181-3p:Novel	104.32120372794	0.427122715467072	0.36515259582293	1.16971019884025	0.242117612450392	0.496895176405672	yes_vs_no	FALSE	85.46	112.44	45.264	69.999
hsa-miR-1182	7.77877960866	0.37240342998806	0.31155765495932	1.19529539415966	0.231971638668576	0.490891151923052	yes_vs_no	FALSE	7.292	7.497	4.77	5.578
hsa-miR-1182-5p:Novel	9.17391876540494	-0.133186935221423	0.484812414143065	-0.274718491804379	0.783532523181897	0.902500264662059	yes_vs_no	FALSE	5.742	10.697	2.904	3.189
hsa-miR-1183	4.5599193057895	1.02263143277058	0.456062449796606	2.24230570446362	0.0249416213321198	NA	yes_vs_no	NA	2.597	5.394	1.702	2.536
hsa-miR-1183-5p:Novel	6.99002705697756	0.120800307716369	0.327364283685834	0.369008819032619	0.712121151323956	0.866840004763884	yes_vs_no	FALSE	5.33	7.571	4.712	5.508
hsa-miR-1184	31.8242398086656	0.50876230666564	0.350022729988531	1.45351219528604	0.146081596165134	0.393417174221552	yes_vs_no	FALSE	17.666	39.329	9.583	19.59
hsa-miR-1184-5p:Novel	6.23617825257637	0.97897129897613	0.454410351443335	2.15437719644071	0.03121060339022	0.204006808618365	yes_vs_no	FALSE	2.934	8.983	2.125	1.886
hsa-miR-1185-3p	0.685168075875635	1.45027124793299	0.654528966761057	2.21574799830429	0.026708765664787	NA	yes_vs_no	NA	0.53	0.748	0	0
hsa-miR-1185-5p	0.779761201213429	1.43387587334814	0.641406912200298	2.23551671501222	0.0253834455171249	NA	yes_vs_no	NA	0.649	0.815	0	0
hsa-miR-1193	4.07621695400577	0.0667043881829065	0.326111604577751	0.204544662767445	0.837927893831659	NA	yes_vs_no	NA	3.288	4.31	1.976	2.519
hsa-miR-1193-3p:Novel	21.5937527196448	0.159084525312009	0.504816787161803	0.315133191600896	0.752660528208673	0.883870957618428	yes_vs_no	FALSE	18.932	22.541	7.735	10.697
hsa-miR-1197	4.05707633513574	0.218080548938768	0.429427805234279	0.507839842414935	0.611565665866091	NA	yes_vs_no	NA	3.891	3.908	1.358	1.938
hsa-miR-1197-5p:Novel	2.94262380991078	-0.479775618953282	0.624365165508269	-0.768421503084204	0.442236809377236	NA	yes_vs_no	NA	2.476	3.186	0.986	0.574
hsa-miR-1199-3p	3.74424033558411	-0.257601429628309	0.454611858660388	-0.566640365228016	0.570958544677577	NA	yes_vs_no	NA	3.003	3.906	1.513	2.519
hsa-miR-1199-5p	4.44523440076533	1.18890414989838	0.467739250676208	2.54180966891187	0.0110280207975598	NA	yes_vs_no	NA	2.938	4.963	1.576	2.252
hsa-miR-1200	4.48236359292116	1.29203922039171	0.525066278534759	2.46071643373718	0.0138659910263507	NA	yes_vs_no	NA	2.48	5.426	1.657	2.024
hsa-miR-1200-3p:Novel	6.45811479907501	0.129871949953371	0.435096053527833	0.298490296338813	0.765328981164865	0.890990604231824	yes_vs_no	FALSE	6.225	5.939	2.462	4.062
hsa-miR-1202	33.4227092247393	0.247031238942761	0.383156251908436	0.644727151683786	0.519104017713631	0.731173448070266	yes_vs_no	FALSE	29.316	32.411	17.082	24.477
hsa-miR-1202-3p:Novel	30.1202954212723	1.35154354916925	0.416056983558023	3.24845778963056	0.00116032423065663	0.056237097509134	yes_vs_no	FALSE	19.985	36.18	12.823	13.458
hsa-miR-1203	222.535859724516	-0.0179029332042069	0.444926926640861	-0.0402379180315555	0.967903447878742	0.984355194874969	yes_vs_no	FALSE	171.046	237.283	88.752	80.336
hsa-miR-1203-3p:Novel	1.89367801796346	0.803019744622574	0.525226259378938	1.52890250683985	0.126288614709959	NA	yes_vs_no	NA	1.759	1.796	0.859	0.787
hsa-miR-1204	15.7521161252388	-0.350971981676577	0.583317380726605	-0.601682708715779	0.547385362068306	0.752928902219839	yes_vs_no	FALSE	15.329	15.044	3.269	4.505
hsa-miR-1204-3p:Novel	1.73963082711301	0.401841358069331	0.53980146018462	0.744424362860923	0.456619784457942	NA	yes_vs_no	NA	1.572	1.654	0.863	0.554
hsa-miR-1205	1.06720148297724	0.442773368532059	0.672539150519244	0.658360733631951	0.510306360628346	NA	yes_vs_no	NA	0.637	1.299	0	0
hsa-miR-1205-3p:Novel	1.9282882306222	0.383225602562186	0.483122053515011	0.793227300997715	0.427645404046282	NA	yes_vs_no	NA	1.547	2.018	0.726	0.994
hsa-miR-1206	0.155654960981716	1.13035516304192	4.59457243355039	0.246019663285284	0.805667011115308	NA	yes_vs_no	NA	0.119	0.168	0	0
hsa-miR-1206-3p:Novel	1.41073881681969	0.27598438458281	0.524293657515204	0.526392758384278	0.598615346125484	NA	yes_vs_no	NA	0.926	1.67	0.452	0.585
hsa-miR-1207-3p	0.230209487086152	0.461472300526074	1.16899937843319	0.394758379721796	0.693021213601242	NA	yes_vs_no	NA	0.168	0.256	0	0
hsa-miR-1207-5p	4.27379443324818	0.189003990468022	0.330043929072062	0.572663133054492	0.566872804139089	NA	yes_vs_no	NA	3.853	4.249	3.239	2.39
hsa-miR-1208	3.2225947032371	0.467204944833381	0.496589709602353	0.940826875384708	0.346793585916345	NA	yes_vs_no	NA	2.585	3.337	1.234	1.757
hsa-miR-1208-3p:Novel	9.73487070476536	0.4871427011756	0.383639815994185	1.26979182260629	0.204158794338685	0.458190967488645	yes_vs_no	FALSE	7.491	10.551	4.958	5.51
hsa-miR-12113	0.865271747246695	0.675966209221754	0.56588870763641	1.19452146703035	0.232274048543896	NA	yes_vs_no	NA	0.682	0.931	0	0
hsa-miR-12113-3p:Novel	2.30543635634366	0.656101528830262	0.458183591039347	1.43196208171043	0.152154673403739	NA	yes_vs_no	NA	1.42	2.723	0.87	0.699
hsa-miR-12114	1.91532051589633	0.662932840400364	0.602263465694093	1.10073560519955	0.27101174516976	NA	yes_vs_no	NA	1.586	1.979	0.566	0.436
hsa-miR-12114-3p:Novel	17.8668425260783	0.623247159653263	0.461015612602056	1.35190033182508	0.17640720139163	0.429006588398233	yes_vs_no	FALSE	14.66	18.637	2.085	1.856
hsa-miR-12115	2.3899918702661	0.300038216970786	0.504101912421597	0.595193570144313	0.551714087789745	NA	yes_vs_no	NA	2.314	2.274	0.958	1.276
hsa-miR-12115-3p:Novel	8.2546604120921	0.436029830060453	0.386098558566022	1.12932260529508	0.258761768284171	0.513026886566564	yes_vs_no	FALSE	5.875	9.031	3.071	2.571
hsa-miR-12116	3.43503185623318	0.872383433160742	0.418663078170378	2.08373625152997	0.0371841648053737	NA	yes_vs_no	NA	3.061	3.321	2.085	2.335
hsa-miR-12116-3p:Novel	2.72037445728562	1.18480023978551	0.410680998332137	2.88496483790882	0.00391457380953275	NA	yes_vs_no	NA	2.164	2.834	1.71	1.855
hsa-miR-12117	2.91214564220164	-0.378183308107031	0.525657754157736	-0.719447787302209	0.471865061890887	NA	yes_vs_no	NA	1.855	3.289	1.018	0.934
hsa-miR-12117-3p:Novel	21.6502288813422	0.380278789364986	0.468663927232341	0.811410410036662	0.417130022919213	0.651117137765686	yes_vs_no	FALSE	19.334	21.678	6.13	6.811
hsa-miR-12118	23.7180391754814	-0.166535086233383	0.596402360815739	-0.279232775010485	0.780066192727185	0.899800617529979	yes_vs_no	FALSE	25.093	20.38	3.118	3.022
hsa-miR-12118-3p:Novel	67.1275979507853	0.315147228679981	0.281841507234437	1.11817181142819	0.263493620945355	0.519127934515573	yes_vs_no	FALSE	57.664	65.395	41.074	53.386
hsa-miR-12119	13.8042024726684	0.710658843338889	0.396099675864904	1.79414144126003	0.0727905959728387	0.29170603436493	yes_vs_no	FALSE	12.609	13.672	7.031	8.242
hsa-miR-12119-3p:Novel	11.4042308254356	0.219337329182633	0.302740199989133	0.724506785654847	0.468754662792528	0.68564930280259	yes_vs_no	FALSE	8.806	12.324	2.488	2.552
hsa-miR-12120	2.40305877873045	-0.32181457817235	0.529860345650816	-0.607357355223614	0.543613782740863	NA	yes_vs_no	NA	2.044	2.422	0.66	0.619
hsa-miR-12120-3p:Novel	26.9203761121579	0.840184052806385	0.444465734544205	1.89032356716539	0.0587146987324978	0.260377904273091	yes_vs_no	FALSE	19.032	29.527	9.5	9.147
hsa-miR-12121	152.421750134814	1.27218355568742	0.486445722491629	2.61526311542253	0.00891587430615754	0.108635167516774	yes_vs_no	FALSE	106.34	173.696	42.256	39.622
hsa-miR-12121-3p:Novel	11.9102465257381	0.641668397886017	0.410446300890427	1.56334311332317	0.117971912719532	0.366289638054654	yes_vs_no	FALSE	9.675	12.618	5.907	6.873
hsa-miR-12122	2.51450579639436	0.308040897421094	0.418339721729815	0.736341498118704	0.461522897570609	NA	yes_vs_no	NA	2.225	2.561	1.358	1.718
hsa-miR-12122-3p:Novel	4.7317447347589	-0.0669541814788801	0.477190978144846	-0.140308984338252	0.888415866070817	NA	yes_vs_no	NA	4.008	4.931	1.907	2.025
hsa-miR-12123	25.1787661334604	0.430772784502306	0.398800784487048	1.08017035386824	0.280066327386321	0.529342230225652	yes_vs_no	FALSE	22.385	24.39	11.331	13.313
hsa-miR-12123-3p:Novel	1.04118153821475	0.541492010367368	0.697755066547872	0.776048840528509	0.437720148783045	NA	yes_vs_no	NA	0.862	1.06	0	0
hsa-miR-12124	6.76363197283958	-0.180916926917663	0.353857386954925	-0.511270736707012	0.609161492952758	0.793297432180818	yes_vs_no	FALSE	6.061	6.834	4.071	2.664
hsa-miR-12124-5p:Novel	9.85909007114624	1.39605786579421	0.428457982340238	3.25833085935041	0.00112069661028968	0.056237097509134	yes_vs_no	FALSE	6.179	11.603	3.259	3.497
hsa-miR-12125	5.24723308697213	0.204555844136296	0.435683900648189	0.469505170679861	0.638708589793833	0.81299749345186	yes_vs_no	FALSE	6.073	3.982	2.25	2.602
hsa-miR-12125-5p:Novel	2.28846000750601	0.410906757416869	0.533389628463666	0.770368855128311	0.441081122766258	NA	yes_vs_no	NA	1.559	2.566	0.987	0.504
hsa-miR-12126	5.9314740047759	0.912299374184255	0.382422773949205	2.38557804694296	0.0170523036583469	0.140846332299936	yes_vs_no	FALSE	4.091	7.075	2.92	3.107
hsa-miR-12126-5p:Novel	139.897510634132	1.95062848914762	0.517975466718069	3.76587042144475	0.000165969857405746	0.0260365213805263	yes_vs_no	TRUE	60.58	178.783	18.364	44.969
hsa-miR-12127	62.3346422774626	0.799757931519636	0.472344561281449	1.69316638123223	0.0904238017940541	0.319667242962079	yes_vs_no	FALSE	35.228	71.979	17.918	21.157
hsa-miR-12127-5p:Novel	5.89640492936146	0.609428840851953	0.481417439269589	1.26590520230547	0.205547023662237	0.458190967488645	yes_vs_no	FALSE	4.944	6.06	2.219	1.744
hsa-miR-12128	15.4518657819533	0.418666208168506	0.32077975436002	1.30515159537976	0.191841232793268	0.445127445353975	yes_vs_no	FALSE	12.333	16.081	10.056	10.903
hsa-miR-12128-5p:Novel	2.65772829978599	-0.152694782015975	0.408778025527579	-0.373539604578556	0.708746874679079	NA	yes_vs_no	NA	2.231	2.699	1.656	1.577
hsa-miR-12129	1.70864589430631	1.52262214157041	0.495486594819407	3.07298352264277	0.00211930189343429	NA	yes_vs_no	NA	1.039	2.043	0.567	0.597
hsa-miR-12129-5p:Novel	2.0165699270898	0.091709763562327	0.528730434539721	0.173452779661083	0.862295541586663	NA	yes_vs_no	NA	1.54	2.199	0.132	0.297
hsa-miR-12130	1.59217898720568	0.337138279306259	0.554894669651558	0.607571666741659	0.543471597214515	NA	yes_vs_no	NA	1.199	1.771	0.57	0.574
