ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	no.x	yes.x	no.y	yes.y
hsa-miR-548ai-3p:Novel	0.713362476464582	1.6642143611241	0.761590904621219	2.18518150758615	0.0288755408536287	NA	yes_vs_no	NA	0.282	1.038	0	0
hsa-miR-548aj-1-5p:Novel	0.15432119893791	1.29409208544509	2.12736236763884	0.608308253041728	0.54298304832828	NA	yes_vs_no	NA	0.127	0.15	0	0
hsa-miR-548aj-3p	0.432767989657245	0.380309046661616	0.809821586158352	0.469620782110458	0.638625974172371	NA	yes_vs_no	NA	0.397	0.422	0	0
hsa-miR-548aj-5p, hsa-miR-548g-5p, hsa-miR-548x-5p	0.828327658979022	0.293102284320345	0.831216404488704	0.352618503120903	0.72437446407898	NA	yes_vs_no	NA	0.722	0.813	0	0
hsa-miR-548ak	0.0500909856277645	1.48884523867468	4.28979018865867	0.347067146223347	0.728540874702441	NA	yes_vs_no	NA	0.012	0.068	0	0
hsa-miR-548ak-3p:Novel	0.865240328925581	-0.691813041443324	0.788925404937464	-0.876905518713981	0.38053795842332	NA	yes_vs_no	NA	0.845	0.888	0	0
hsa-miR-548al	0.369320407944144	0.651521114930213	1.30204365250434	0.500383465390797	0.616805093605556	NA	yes_vs_no	NA	0.233	0.433	0	0
hsa-miR-548al-5p:Novel	0.787464850537635	0.291323134380809	0.600481837137383	0.485148952663755	0.627570689508364	NA	yes_vs_no	NA	0.529	0.904	0	0
hsa-miR-548am-3p	0.15993080357539	1.26323228547267	4.59654188311234	0.274822315905307	0.783452752392523	NA	yes_vs_no	NA	0.174	0.165	0	0
hsa-miR-548an	0.712168519460731	0.586400207389809	0.683809289827761	0.857549343235031	0.39114135713941	NA	yes_vs_no	NA	0.554	0.836	0	0
hsa-miR-548an-3p:Novel	0.973998528584229	1.90903459086251	0.780470028761398	2.44600627892417	0.0144448484862588	NA	yes_vs_no	NA	0.479	1.158	0	0
hsa-miR-548ao-3p	0.756268820996037	0.267827778490911	0.614012713262169	0.436192561987808	0.662697024050558	NA	yes_vs_no	NA	0.625	0.789	0.33	0
hsa-miR-548ao-5p	1.31931029145016	1.14971882208607	0.743729739754348	1.54588254392762	0.122132937072319	NA	yes_vs_no	NA	1.742	0.838	0.277	0
hsa-miR-548ap-3p	0.638871661953447	0.28082900254673	0.883859918147976	0.317730215818785	0.750689589086573	NA	yes_vs_no	NA	0.821	0.463	0	0
hsa-miR-548ap-5p	0.432173802818263	0.844232362013925	0.942044082484872	0.896170760700556	0.370161569394576	NA	yes_vs_no	NA	0.176	0.613	0	0
hsa-miR-548aq-3p	0.48583887261655	0.641959092797314	0.728448265836898	0.881269299282059	0.378172078732283	NA	yes_vs_no	NA	0.378	0.559	0	0
hsa-miR-548aq-5p	0.0396535286742984	0.893915266193367	4.59646322496464	0.194478933571854	0.84580088939039	NA	yes_vs_no	NA	0.026	0.043	0	0
hsa-miR-548ar-3p	1.68867195518428	-0.050553096582416	0.53124535301689	-0.095159602423494	0.924188056920304	NA	yes_vs_no	NA	1.743	1.517	0.941	0.574
hsa-miR-548ar-5p	1.32279520440364	1.17519777761568	0.652287051568268	1.80165737582894	0.0715993281513596	NA	yes_vs_no	NA	0.756	1.737	0.279	0
hsa-miR-548as-3p	0.603087164433325	1.74644145700086	1.05509440177934	1.65524663390841	0.0978744791975418	NA	yes_vs_no	NA	0.383	0.719	0	0
hsa-miR-548as-5p	0.287916498207051	1.56625185600983	1.22204937239962	1.28166004695402	0.199961926033947	NA	yes_vs_no	NA	0.183	0.327	0	0
hsa-miR-548at-3p	0.19873249846372	1.33600106811044	2.72622888642573	0.490054622619021	0.624095247035425	NA	yes_vs_no	NA	0.065	0.251	0	0
hsa-miR-548at-5p	0.331010222813411	0.894572442031917	1.02123117669663	0.875974473209466	0.381043911159837	NA	yes_vs_no	NA	0.217	0.395	0	0
hsa-miR-548au-3p	0.344182479491773	0.896203755029811	1.10231153720707	0.813022203596386	0.416205328064614	NA	yes_vs_no	NA	0.2	0.397	0	0
hsa-miR-548au-5p	0.24619096383554	0.285979311728653	1.07345998923923	0.266408915651649	0.789924299572283	NA	yes_vs_no	NA	0.345	0.163	0	0
hsa-miR-548av-3p	1.42978992204082	0.0671439066039911	0.654112203022724	0.10264891297504	0.918241620904515	NA	yes_vs_no	NA	1.533	1.306	0.337	0
hsa-miR-548av-5p	3.15382845744807	2.03695598863341	0.621463408306106	3.27767646720415	0.00104665284784622	NA	yes_vs_no	NA	1.444	4.121	0.377	2.031
hsa-miR-548aw	1.38509129176278	0.562104296914903	0.716213080351539	0.784828303664889	0.432554242935754	NA	yes_vs_no	NA	0.778	1.686	0	0
hsa-miR-548aw-3p:Novel	0.762707103317379	1.0170406138177	0.598522790049159	1.69925127451566	0.0892718490530063	NA	yes_vs_no	NA	0.619	0.766	0.138	0
hsa-miR-548ax	0.0803241199020496	1.11271153920459	3.78098822100829	0.2942911943026	0.768535400817961	NA	yes_vs_no	NA	0.097	0.069	0	0
hsa-miR-548ax-3p:Novel	0.482908618319368	0.97406911909147	0.762906000268762	1.27678785951129	0.20167715283725	NA	yes_vs_no	NA	0.513	0.425	0	0
hsa-miR-548ay-3p	0.154033137745529	0.721400693696462	3.02961422526122	0.238116354115766	0.811790850748442	NA	yes_vs_no	NA	0.064	0.192	0	0
hsa-miR-548ay-5p	0.460426715495189	1.60976214923605	0.995507794152667	1.61702616362357	0.105872633409227	NA	yes_vs_no	NA	0.27	0.573	0	0
hsa-miR-548az-3p	0.0506310289352689	0.900045379492929	4.59715857619316	0.195782974325468	0.844780036698618	NA	yes_vs_no	NA	0.089	0.016	0	0
hsa-miR-548az-5p	0.974354360597286	1.31001731106491	0.570933547065953	2.29451801842287	0.0217607612875566	NA	yes_vs_no	NA	0.644	1.121	0.281	0.568
hsa-miR-548b-3p	0.833739840942501	0.291959487762661	0.744696153086439	0.392051827517326	0.695019920013073	NA	yes_vs_no	NA	0.813	0.78	0	0
hsa-miR-548b-5p	2.45486498641866	0.906257651989825	1.92375870775908	0.471086965498648	NA	NA	yes_vs_no	NA	0.779	3.316	0	0
hsa-miR-548ba	0.00924760810284976	0.899580337990025	4.59677258202327	0.195698247398194	0.844846356261406	NA	yes_vs_no	NA	0.008	0.009	0	0
hsa-miR-548ba-3p:Novel	0.548504301041505	-0.326930330830479	0.78590485629439	-0.415992251749129	0.677415672990402	NA	yes_vs_no	NA	0.546	0.494	0	0
hsa-miR-548bb-3p	0.74929616298183	0.907055740740723	0.728195419005013	1.24562132233694	0.212903450511555	NA	yes_vs_no	NA	0.473	0.88	0	0
hsa-miR-548bb-5p	0.0821752747384015	1.08062639159781	2.85410502056224	0.378621803967444	0.704968728374361	NA	yes_vs_no	NA	0.086	0.069	0	0
hsa-miR-548bc	1.64922833020654	0.981532865670228	0.520972041083077	1.88404134630654	0.0595593829782527	NA	yes_vs_no	NA	0.953	2.014	0.563	0.832
hsa-miR-548bc-5p:Novel	0.486281437956311	0.96133970051764	0.813545595824992	1.18166665206118	0.237337995351788	NA	yes_vs_no	NA	0.426	0.484	0	0
hsa-miR-548c-3p	0.127438370780539	1.01512985920832	1.90879248604951	0.53181782023318	0.594852179235591	NA	yes_vs_no	NA	0.109	0.122	0	0
hsa-miR-548c-5p, hsa-miR-548o-2-5p, hsa-miR-548am-5p	0.627985580738494	0.684015802826684	1.23011081421248	0.55606031174077	0.578169625410487	NA	yes_vs_no	NA	0.817	0.46	0	0
hsa-miR-548d-3p	0.658017779436254	0.401988821688978	0.973697236120151	0.412847861508538	0.679718082767592	NA	yes_vs_no	NA	0.817	0.506	0	0
hsa-miR-548d-5p	70.7169638369333	0.433216581637593	0.538732100324525	0.804141021811452	0.421315535663657	0.652969515306571	yes_vs_no	FALSE	69.973	68.002	19.274	20.459
hsa-miR-548e-3p	0.352084102858907	0.993805030378221	0.915435769069437	1.08560869474048	0.277652151389304	NA	yes_vs_no	NA	0.194	0.424	0	0
hsa-miR-548e-5p	0.150549037542696	0.0541191454693939	1.56500368614168	0.0345808421722109	0.972413978094231	NA	yes_vs_no	NA	0.25	0.065	0	0
hsa-miR-548f-2-5p:Novel	0.0746418829326813	1.29611217382822	3.32547473039352	0.389752525250688	0.696719552289299	NA	yes_vs_no	NA	0.076	0.07	0	0
hsa-miR-548f-3-5p:Novel	0.367154910750961	2.2368983652616	1.37452789777105	1.62739393568438	0.103653458672391	NA	yes_vs_no	NA	0.11	0.524	0	0
hsa-miR-548f-3p	2.28971832508913	0.851777226213415	0.496647781749868	1.71505291579537	0.0863355256991818	NA	yes_vs_no	NA	1.42	2.727	1.107	1.132
hsa-miR-548f-4-5p:Novel	0.197371450676866	1.00079806874462	1.32560371657053	0.754975303881758	0.450263800351544	NA	yes_vs_no	NA	0.091	0.277	0	0
hsa-miR-548f-5-5p:Novel	0.270088662118023	0.649758144809911	1.14148748152162	0.569220561178449	0.569206468801662	NA	yes_vs_no	NA	0.259	0.26	0	0
hsa-miR-548f-5p	0.35827713495989	1.06122021306907	1.15622454800511	0.917832279984059	0.358706679745745	NA	yes_vs_no	NA	0.118	0.496	0	0
hsa-miR-548g-3p	0.686840152201865	-0.404741019500105	0.719499534153419	-0.562531315571084	0.573754073683181	NA	yes_vs_no	NA	0.852	0.502	0	0
hsa-miR-548h-1-3p:Novel	0.234666963711493	1.14328978704795	1.42065152706469	0.804764409334198	0.420955643331946	NA	yes_vs_no	NA	0.078	0.326	0	0
hsa-miR-548h-2-3p:Novel	6.83345774062408	1.09383944441306	0.970842662558707	1.12669074670677	0.259873256085715	0.513824519417525	yes_vs_no	FALSE	2.143	9.249	0	0
hsa-miR-548h-3-3p:Novel	0.30704169579981	1.13395878723697	0.972492767562294	1.16603313161846	0.243601050237046	NA	yes_vs_no	NA	0.334	0.271	0	0
hsa-miR-548h-4-3p, hsa-miR-548z	1.08967510674725	0.56243630626437	0.602200524698565	0.933968475942296	0.350320154429473	NA	yes_vs_no	NA	0.69	1.35	0	0.416
hsa-miR-548h-5-3p:Novel	0.174812826974378	0.834729029508677	1.98325651040157	0.420888082368963	0.673836808080753	NA	yes_vs_no	NA	0.156	0.177	0	0
hsa-miR-548h-5p	19.9013814193078	-0.56992214636172	0.44747196352135	-1.27364883796687	0.202787895800036	0.457731671275262	yes_vs_no	FALSE	12.897	22.761	3.197	3.378
hsa-miR-548i	140.885915331286	0.620208614092168	0.406779984511743	1.52467829713058	0.127339357531856	0.368460846764096	yes_vs_no	FALSE	114.027	143.575	79.527	60.144
hsa-miR-548i-3p:Novel	6.44893399612811	0.476682303191454	0.504815157969655	0.944270978527369	0.34503119231303	0.593328516162727	yes_vs_no	FALSE	5.805	6.375	1.913	2.926
hsa-miR-548i-4-3p:Novel	0.585294172660971	0.960193654027929	0.839764275804888	1.14340855129568	0.252869003711299	NA	yes_vs_no	NA	0.458	0.635	0	0
hsa-miR-548j-3p	0.222392768784673	0.441288473466368	1.6527571577499	0.267001399084634	0.789468083871959	NA	yes_vs_no	NA	0.146	0.293	0	0
hsa-miR-548j-5p	0.324930526831421	0.521654739995933	1.02824540949694	0.507325133842465	0.611926706138427	NA	yes_vs_no	NA	0.153	0.451	0	0
hsa-miR-548k	0.643745993942251	1.30230076946142	1.00003393394284	1.30225657876111	0.192828689691848	NA	yes_vs_no	NA	0.177	0.909	0	0
hsa-miR-548k-3p:Novel	3.77096316077016	1.10759710810751	0.562374069894918	1.96950244934741	0.0488954215886587	NA	yes_vs_no	NA	2.174	4.589	0.615	2.236
