ID	Average_F	Average_M	Median_F	Median_M	log2FoldChange	pvalue	padj	comparison	treshold
hsa-let-7a-2-3p	0.893147529020558	1.2125120439911	0	0	0.547559703726545	0.0464740691288079	NA	M_vs_F	NA
hsa-let-7a-3p	644.616379293722	156.548101403668	27.7007974467475	23.129489891354	-0.161214827442738	0.44518750649629	0.752461224400893	M_vs_F	FALSE
hsa-let-7a-5p	20.4220815566276	13.1973419622868	10.587707294493	6.9712030630258	-0.328759437330831	0.0622870428347791	0.320666705018594	M_vs_F	FALSE
hsa-let-7b-3p	0.673221363143438	0.403347609733618	0	0	-0.110328091405815	0.802312352666616	NA	M_vs_F	NA
hsa-let-7b-5p	389.079024237149	85.7474244582304	16.3218259097971	11.7853178699353	-0.445899838917937	0.0506943367034191	0.291421159515035	M_vs_F	FALSE
hsa-let-7c-3p	10.2880909760836	7.13611794907904	2.84714486218364	0.9586561117445	-0.106923120079267	0.645351433901818	0.868112429553301	M_vs_F	FALSE
hsa-let-7c-5p	29.8967780778609	8.44650591735337	4.26758233092013	3.93453978338136	-0.230465226215539	0.290142308173991	0.657629724210331	M_vs_F	FALSE
hsa-let-7d-3p	6.23755046144108	4.51628852124045	2.18224930098261	1.32289445280003	0.0113829389481969	0.964170178753532	0.991309991030996	M_vs_F	FALSE
hsa-let-7d-5p	76.7149301314738	17.4234301661808	6.03965166775265	4.7524145741979	-0.386639531964576	0.0808332774667559	0.358924948800531	M_vs_F	FALSE
hsa-let-7e-3p	0.141336240740135	0.149058312235172	0	0	0.0969994652062432	0.8851076611935	NA	M_vs_F	NA
hsa-let-7e-5p	8.57691090845203	5.46476753944016	3.06442086399496	2.72824470234501	-0.175130725657891	0.401252757086525	0.732741293683718	M_vs_F	FALSE
hsa-let-7f-1-3p	0.134954746654307	0.126075400383865	0	0	0.0105780733715166	0.989588197184721	NA	M_vs_F	NA
hsa-let-7f-2-3p	0.583513577665869	0.741858161055735	0	0	0.360982335573536	0.226766647821198	NA	M_vs_F	NA
hsa-let-7f-5p	2.71396448054468	2.28512746975374	1.19264613163043	0.94868238402606	-0.0221105841204722	0.926288668800234	NA	M_vs_F	NA
hsa-let-7g-3p	6.81920431785504	5.88353757924706	2.31957454607234	0.943775204088216	0.246523979805121	0.230078285439124	0.578650342508308	M_vs_F	FALSE
hsa-let-7g-5p	432.621476577015	85.2588624348146	8.97542505092966	7.68055876933495	-0.400652014084282	0.122193979988372	0.433633297628228	M_vs_F	FALSE
hsa-let-7i-3p	0.443124124423639	0.450914927556244	0	0	0.240964837031289	0.480793334116434	NA	M_vs_F	NA
hsa-let-7i-5p	486.893117660573	79.5547392060267	10.733763427099	8.34121065426276	-0.523161355945316	0.0343388540212001	0.243614606974171	M_vs_F	FALSE
hsa-miR-1-2-5p:Novel	10.5322329725679	8.72763311451609	4.29848572671217	4.34098327080562	0.120862247093301	0.561627943404589	0.829565083952986	M_vs_F	FALSE
hsa-miR-1-3p	2.57511250855389	2.28720996939056	1.65990080861519	1.55597889965489	0.110837228366846	0.548579819999895	NA	M_vs_F	NA
hsa-miR-1-5p	12.7675113049824	16.5779258172349	6.60942464332434	7.35999188705127	0.407694704446128	0.0326174781353803	0.238604757451299	M_vs_F	FALSE
hsa-miR-100-3p	0.32893151461528	0.286308352925176	0	0	-0.00887006779983782	0.982962780162529	NA	M_vs_F	NA
hsa-miR-100-5p	9.48278094373205	5.44084620511559	1.07349976942445	0.746895228370343	-0.592104353905693	0.0837602936511712	0.360325978269327	M_vs_F	FALSE
hsa-miR-101-2-5p	1.60583336042575	1.20072686911185	0.721092255978903	0.10096444172833	-0.483537055807623	0.0518345817226532	NA	M_vs_F	NA
hsa-miR-101-3p	3.86904212186349	3.42447718187103	2.87851131392044	2.15126617999106	-0.187212730013373	0.276711403457759	NA	M_vs_F	NA
hsa-miR-101-5p	18.60925451359	7.4690896098134	2.32777218050189	1.95935440737827	-0.27593317342567	0.253136009091355	0.616283161668634	M_vs_F	FALSE
hsa-miR-10226	4.54548250249558	3.74110843338121	2.28451856293866	1.69862067487366	0.121459658881765	0.559018896138027	0.829565083952986	M_vs_F	FALSE
hsa-miR-10226-3p:Novel	16.4223080717641	11.498481703551	7.17842649599851	6.80263373143536	-0.404788660406326	0.040499183168817	0.255985403048183	M_vs_F	FALSE
hsa-miR-10392-3p	1.50299327405164	1.76459447507028	0.634295195157604	0.500307401337077	0.241512019430191	0.362419847078178	NA	M_vs_F	NA
hsa-miR-10392-5p	139.717928017936	162.794952202946	80.137284475105	115.210117369141	0.345120964864818	0.0173754630345538	0.178551537318268	M_vs_F	FALSE
hsa-miR-10393-3p	0.265967119398003	0.354378675351319	0	0	-0.0408613025046486	0.933625645258785	NA	M_vs_F	NA
hsa-miR-10393-5p	0.0956515105552878	0.225375412635881	0	0	-0.057519467233145	0.94673093437693	NA	M_vs_F	NA
hsa-miR-10394-3p	2.92339715170664	2.44202400188503	1.10103044337056	1.10161962030093	-0.448396071719582	0.0750018535539733	NA	M_vs_F	NA
hsa-miR-10394-5p	0.854281424404871	1.15671483553884	0	0	0.145956010483771	0.676855969792397	NA	M_vs_F	NA
hsa-miR-10395-3p	1.61404159304159	1.23048359711998	0	0	0.00230201567963892	0.994202836514225	NA	M_vs_F	NA
hsa-miR-10395-5p	7.96535407995277	3.63963142080421	3.19424779312831	1.92151972384358	-0.293244385687024	0.172885904721309	0.515273826349098	M_vs_F	FALSE
hsa-miR-10396a-3p	1.45657468438106	1.36234371049058	0.745028013445929	0.934265221038538	-0.189387435456508	0.338534069612314	NA	M_vs_F	NA
hsa-miR-10396a-5p	6.13599524306136	5.31651777259697	3.01982583387632	3.13942492683016	0.0885227455611759	0.663767783291391	0.869617873993077	M_vs_F	FALSE
hsa-miR-10396b-3p	1.63727284585494	1.19405072574386	0.869707562521273	0.78513844503787	-0.0661132289509836	0.743864838495915	NA	M_vs_F	NA
hsa-miR-10396b-5p	4.83336486984605	4.10724640128394	1.84540974539156	1.86853044207708	0.149674939168617	0.531051811410452	0.810232913239183	M_vs_F	FALSE
hsa-miR-10397-3p	26.7948815095873	21.0945268942071	13.9138978186102	16.0597729888423	-0.216197052815073	0.196214860341718	0.53702596580454	M_vs_F	FALSE
hsa-miR-10397-5p	3.76522148506389	2.61641369703118	1.31698571952344	1.02657802622899	-0.118034563302067	0.646757945318292	NA	M_vs_F	NA
hsa-miR-10398-3p	2.26199237515419	1.7078211258098	1.63828822506885	0.892153276656547	-0.251517310064906	0.17479779132656	NA	M_vs_F	NA
hsa-miR-10398-5p	0.779528063364782	0.554678969778469	0	0	-0.0407013397868568	0.891403067842188	NA	M_vs_F	NA
hsa-miR-10399-3p	0.509608444924871	0.282123168255604	0	0	-0.249790967634715	0.504310814157219	NA	M_vs_F	NA
hsa-miR-10399-5p	0.542642797997952	1.03966493168115	0	0	-0.0168212160691603	0.965915700790079	NA	M_vs_F	NA
hsa-miR-103a-1-5p	0.623044587783494	0.955437327106457	0	0	0.275518527358821	0.454863091857934	NA	M_vs_F	NA
hsa-miR-103a-2-5p	0.33130521267484	0.390139903641191	0	0	0.136879163454722	0.718258667447165	NA	M_vs_F	NA
hsa-miR-103a-3p	1.7992960130228	2.52045002824985	1.18674582444454	1.44387417690418	0.376824592063993	0.0554028081875957	NA	M_vs_F	NA
hsa-miR-103b-3p:Novel	20.1243593501531	4.85419044531875	1.02147362133165	0.871164627660172	-0.268338657031881	0.345516285600855	0.690620260598368	M_vs_F	FALSE
hsa-miR-103b-5p	0.342127935275438	0.193430888007518	0	0	-0.299637451975463	0.492129879139005	NA	M_vs_F	NA
hsa-miR-10400-3p	5.36255789950761	2.86626190282497	2.04311671246548	1.40566401883663	-0.482625476499487	0.033587938326685	0.240426481611955	M_vs_F	FALSE
hsa-miR-10400-5p	90.2667522012305	91.7084823268015	39.0407536070004	36.473866145708	0.0326606115419311	0.864991032682217	0.949138055198257	M_vs_F	FALSE
hsa-miR-10401-3p	1.29641146328497	0.96643604578821	0.387962030083648	0	-0.302614280130683	0.298999907224417	NA	M_vs_F	NA
hsa-miR-10401-5p	89.3100942732506	93.1984507470194	47.1400411352591	39.5961121877292	-0.116197912849441	0.534064211277309	0.811758215870683	M_vs_F	FALSE
hsa-miR-105-3p	9.08241195614476	11.4319707289047	5.01251873331818	3.76131940223129	0.182123088654884	0.404382659514981	0.732741293683718	M_vs_F	FALSE
hsa-miR-105-5p	4.26016572683573	3.86466752417141	2.14650177679158	2.01117700370333	-0.193361773056457	0.369540182913941	0.714757282194978	M_vs_F	FALSE
hsa-miR-10522-3p:Novel	8.67298322246817	15.9055414665556	3.75724919298557	5.66155726346242	0.525525806874757	0.014975172708919	0.171804207448215	M_vs_F	FALSE
hsa-miR-10522-5p	0.978793792162654	0.630310177727842	0	0	0.165016230555294	0.540020002357301	NA	M_vs_F	NA
hsa-miR-10523-3p:Novel	19.1980761603597	17.1150793639871	13.4603150710672	11.6274061647071	0.0931227729710692	0.575707608800183	0.837529905963531	M_vs_F	FALSE
hsa-miR-10523-5p	2.59868655144375	2.48214410912813	0.979674529555481	1.19263256254823	-0.13103809833431	0.609322266214428	NA	M_vs_F	NA
hsa-miR-10524-3p:Novel	5.31920081128708	4.40914803622397	1.14225928146933	0.573763315849368	-0.534106580577959	0.101233739442668	0.389579088713716	M_vs_F	FALSE
hsa-miR-10524-5p	3.83683102586308	3.56128817357193	0	0	-0.739660374330874	0.0816656942639957	NA	M_vs_F	NA
hsa-miR-10525-3p	0.785214480081238	0.418238377083799	0	0	-0.594581003046321	0.0331294969145723	NA	M_vs_F	NA
hsa-miR-10525-5p:Novel	0.767700214370519	0.301032006571762	0	0	-0.851430987482813	0.00691898054212586	NA	M_vs_F	NA
hsa-miR-10526-3p	5.33473461929521	4.38049431560308	3.33044810801338	3.35251247479342	-0.054526339257636	0.748435822148324	0.907685240284897	M_vs_F	FALSE
hsa-miR-10526-5p:Novel	5.05151684786202	4.16876649579488	3.02230241362501	2.93950951878998	-0.0433196012882111	0.80291288393327	0.92704972539312	M_vs_F	FALSE
hsa-miR-10527-3p:Novel	11.951942561379	12.6901823029107	4.74698329777816	6.79953152091992	-0.0458642344273467	0.817736958736024	0.932409398150334	M_vs_F	FALSE
hsa-miR-10527-5p	11.0388403252381	11.638866186717	3.72048127495465	5.11238747300892	-0.0873574403148887	0.685791025179724	0.884976862231154	M_vs_F	FALSE
hsa-miR-106a-3p	1.55863221698412	1.12452446091246	0	0	0.120301849183031	0.816885670634949	NA	M_vs_F	NA
hsa-miR-106a-5p	1.64340829989325	0.937052169531922	0	0	-0.124646483089334	0.701005226162433	NA	M_vs_F	NA
hsa-miR-106b-3p	9.03220700572908	1.86317418577715	0.491321642537372	0	-0.211681117889051	0.53577916563232	0.812706958177858	M_vs_F	FALSE
hsa-miR-106b-5p	67.7653904018962	33.5578776194244	30.4685593343845	6.04084736579541	-0.510340011931906	0.0163839072046818	0.173690155492671	M_vs_F	FALSE
hsa-miR-107	17.3338972122139	10.8132755943644	4.09305219101631	4.927243701443	0.187754816970019	0.407323173969938	0.732741293683718	M_vs_F	FALSE
hsa-miR-107-5p:Novel	2.29420547584009	1.52679177966128	0.256031096005051	0	0.0377689060155351	0.906218178493357	NA	M_vs_F	NA
hsa-miR-10a-3p	3.04014593788488	1.9830588501614	1.02880783548694	1.09550646237356	-0.105138054372646	0.687205559033787	NA	M_vs_F	NA
hsa-miR-10a-5p	65.1304157699412	28.8012136431464	5.12560609175531	5.6783893180594	-0.343127303143539	0.141180576469385	0.472010909353731	M_vs_F	FALSE
hsa-miR-10b-3p	5.32047819754195	3.86164660501695	2.99990908598329	1.26288791391008	0.0050457138076634	0.979936470992836	0.992978577684816	M_vs_F	FALSE
hsa-miR-10b-5p	42.3796436086068	24.141799184402	4.22994067452374	3.72118262276535	0.240721463052443	0.347396641312622	0.692651320223888	M_vs_F	FALSE
hsa-miR-11181-3p	1.75561316981224	1.81304128718656	1.05451218285364	0.871164627660172	0.0835909046108136	0.703873518212696	NA	M_vs_F	NA
hsa-miR-11181-5p	0.202969895237954	0.193166121182317	0	0	0.135349981439869	0.821101510576383	NA	M_vs_F	NA
hsa-miR-11399	5.26828611819123	6.05994860927425	3.63275356891156	3.5839182170566	0.262736346953368	0.153145747605452	0.484525822270608	M_vs_F	FALSE
hsa-miR-11399-3p:Novel	219.250687720877	187.035261082564	150.662020909219	151.065283484535	-0.124066091755565	0.395039119228212	0.732741293683718	M_vs_F	FALSE
