ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averagec.drinker	Averagec.no_drinker	Medianc.drinker	Medianc.no_drinker
has-miR-548o	0.287925216163174	-0.0349172985874125	1.26279864472251	-0.0276507254211421	0.977940724076902	0.999100347104392	c.no_drinker_vs_c.drinker	FALSE	0.268465814984594	0.443657275046656	0	0
has-miR-548x	1.36713054679273	-0.437740200197829	0.752611358187651	-0.581628479872989	0.560816955241023	0.999100347104392	c.no_drinker_vs_c.drinker	FALSE	1.59095427073092	1.28830648163251	0	0
hsa-let-7a-2-3p	0.638897923688425	-0.445664983632833	0.66722662688526	-0.667936448689527	0.504174159919432	0.999100347104392	c.no_drinker_vs_c.drinker	FALSE	0.782976949037577	0.472723100622391	0	0
hsa-let-7a-3p	137.524839917561	-0.457092260466975	0.404092641653588	-1.1311570995119	0.257988974904938	0.999100347104392	c.no_drinker_vs_c.drinker	FALSE	209.967918658138	33.7921699882557	17.3580892990923	13.2075923453746
hsa-let-7a-5p	8.92447060168507	-0.527492476598047	0.368639938306526	-1.43091516079691	0.152454531426085	0.92165732940993	c.no_drinker_vs_c.drinker	FALSE	10.5516531768578	7.28475352027436	4.35224684351315	3.68039716000373
hsa-let-7b-3p	0.294680240946625	-0.312302501040118	1.32924526217572	-0.234947236546052	0.814249686059785	0.999100347104392	c.no_drinker_vs_c.drinker	FALSE	0.368069734447928	0.135047198169451	0	0
hsa-let-7b-5p	73.1459732231244	-0.966162464329837	0.428034622957332	-2.25720633918473	0.0239951844996964	0.705876605068064	c.no_drinker_vs_c.drinker	FALSE	109.748461134468	25.8569445202397	9.60543154660642	9.00851330251101
hsa-let-7c-3p	2.40175442813894	-0.753983913365281	0.500021355812417	-1.50790342172533	0.131579246785348	0.89994024953971	c.no_drinker_vs_c.drinker	FALSE	2.46107805217879	2.19562464933458	0.453385718287157	0.199667848910863
hsa-let-7c-5p	6.4291207821317	-0.385920640898091	0.44145070703948	-0.87421004144768	0.382003878590113	0.999100347104392	c.no_drinker_vs_c.drinker	FALSE	8.36531801310538	4.44506018868896	2.52159510388576	3.88753090126807
hsa-let-7d-3p	2.77160257766232	-1.78663776508824	0.640426381324722	-2.78976290981733	0.00527466517035087	0.541278147223078	c.no_drinker_vs_c.drinker	FALSE	4.65605553198903	2.1478762496137	1.39517746393075	0.542558255711826
hsa-let-7d-5p	14.2466789840754	-0.620197006395521	0.460719566005266	-1.34614861655003	0.1782545924047	0.957234497097066	c.no_drinker_vs_c.drinker	FALSE	20.129442535678	6.93511537426207	3.31057137114488	3.95657840988255
hsa-let-7e-3p	0.0485034830290293	-0.1116667257371	3.57753472678248	-0.0312133170647177	0.975099419607822	0.999100347104392	c.no_drinker_vs_c.drinker	FALSE	0.0418687231424299	0.109770098003405	0	0
hsa-let-7e-5p	4.19330498161414	-0.630217452436175	0.438904049242231	-1.43588889991844	0.151033957533478	0.92165732940993	c.no_drinker_vs_c.drinker	FALSE	4.19439383802644	5.46975769739403	2.35777754014989	1.87014972087734
hsa-let-7f-1-3p	0.0924076546196397	-0.979052005259414	3.53567657466219	-0.276906550863736	0.781851862353728	0.999100347104392	c.no_drinker_vs_c.drinker	FALSE	0.115810607314758	0.0544768396864712	0	0
hsa-let-7f-2-3p	0.586428844638111	-0.192391253266884	0.766167635927843	-0.251108561945317	0.80173017647426	0.999100347104392	c.no_drinker_vs_c.drinker	FALSE	0.412795131205214	0.736975141289008	0	0
hsa-let-7f-5p	1.71469356427272	-0.683836607124864	0.524546590603731	-1.30367181747916	0.19234550239532	0.966561486689708	c.no_drinker_vs_c.drinker	FALSE	1.79188915606358	1.49835924094582	0.51878839290166	0.640644299447531
hsa-let-7g-3p	2.59430250875676	-0.626938475612423	0.495820763928539	-1.26444578610423	0.206070067854257	0.975358941263793	c.no_drinker_vs_c.drinker	FALSE	2.64213883072463	5.08591341112483	0.329720097088103	0
hsa-let-7g-5p	73.6452310998158	-0.968414798990616	0.476876167484037	-2.03074690039534	0.0422806760349239	0.768535782959255	c.no_drinker_vs_c.drinker	FALSE	113.15043904061	21.6465896391956	5.3617137786463	6.69887873638286
hsa-let-7i-3p	0.318675899686391	0.0872494204252872	0.946050354499576	0.0922249222890877	0.926519337299975	0.999100347104392	c.no_drinker_vs_c.drinker	FALSE	0.344160417601566	0.255792893403964	0	0
hsa-let-7i-5p	69.8407741425435	-1.30729747921059	0.469320136689954	-2.78551329254859	0.00534430487363082	0.541278147223078	c.no_drinker_vs_c.drinker	FALSE	102.919833302066	25.0155812586751	7.16512008145835	6.46388409884906
hsa-miR-1-2-5p:Novel	6.95114167052812	-0.325640174948006	0.38325469406214	-0.849670414983116	0.395508351218237	0.999100347104392	c.no_drinker_vs_c.drinker	FALSE	7.76942818979592	6.62227941690171	4.05842846416725	3.74165486413029
hsa-miR-1-3p	1.50732516730025	-0.64336081411343	0.3947707385586	-1.62970745112085	0.103163341830266	0.898265431332709	c.no_drinker_vs_c.drinker	FALSE	1.7566400059978	1.37686481596785	1.08757365539863	0.963798837883693
hsa-miR-1-5p	12.4579438851916	-0.133546404455019	0.390648735565167	-0.341858023069785	0.732457741139063	0.999100347104392	c.no_drinker_vs_c.drinker	FALSE	14.3834993891767	9.62484178896355	7.34212095118726	6.02253960679167
hsa-miR-100-3p	0.190235440183834	-0.534223271986193	1.42550916855814	-0.374759618366079	0.7078392489808	0.999100347104392	c.no_drinker_vs_c.drinker	FALSE	0.185075270859776	0.25321720918691	0	0
