ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averageabstemious	Averageall	Averagenowine	Medianabstemious	Medianall	Mediannowine
has-miR-548o	0.581102944228438	0.413562311505909	0.808656036339336	0.511419309225766	0.609057476929065	NA	nowine_vs_all	NA	1.20037687898266	0.554381092198915	0.349242854976361	0	0	0
has-miR-548x	1.91458455148291	0.996065659946539	0.632323636651979	1.57524660191496	0.115199534197868	NA	nowine_vs_all	NA	2.10335383147435	1.13404458563904	4.10532744697975	0	0	0.454938180378302
hsa-let-7a-2-3p	0.510410667426444	0.321797468217466	0.715776511698288	0.449578133618765	0.65301465785217	NA	nowine_vs_all	NA	0.329590982228212	0.514831239896316	0.466708080785978	0	0	0
hsa-let-7a-3p	721.349463558236	0.144313634427879	0.421775570145356	0.342157404655145	NA	NA	nowine_vs_all	NA	4236.50970629053	523.84123209524	31.1498557877144	44.4134993683841	15.3914985086323	15.1357120494502
hsa-let-7a-5p	17.9512808805938	0.98558941040191	0.35543686259044	2.77289587584948	0.00555598951034958	0.0999897484295824	nowine_vs_all	FALSE	10.5852654502723	18.2949288729477	19.8980688458933	6.48239738112973	6.9299468054582	8.21453328035354
hsa-let-7b-3p	0.606591480187684	-0.0943522623873423	0.965812941046526	-0.0976920668355354	0.922176815172364	NA	nowine_vs_all	NA	0.786546107368133	0.640695664374501	0.367187520682863	0	0	0
hsa-let-7b-5p	438.698457124774	0.300569871570897	0.461843022955229	0.650805266360025	NA	NA	nowine_vs_all	NA	2275.20531437432	358.326528421872	25.3082140991124	25.3362465757159	11.8530413965532	12.5708958150822
hsa-let-7c-3p	5.50667541683246	-0.0826413485942267	0.525196521173647	-0.157353191162709	0.874966501849801	0.950019782410013	nowine_vs_all	FALSE	9.0545127133878	5.22461261210841	3.65060039488646	0.523971304420287	0.377277105977878	0
hsa-let-7c-5p	32.6764061115394	0.616557444512961	0.441039285787759	1.39796490784648	0.162123605407825	0.479391190365111	nowine_vs_all	FALSE	184.437246534493	22.1319450786222	5.77724125461192	4.54735461940635	2.35828998763951	3.81469689108054
hsa-let-7d-3p	5.58240542391933	0.158179501823328	0.463233671875736	0.341468056894104	0.732751248239614	0.88501668492527	nowine_vs_all	FALSE	21.4922571936763	4.19514365322206	2.60214486171922	0.905011703545244	1.63921138043521	1.24347844518682
hsa-let-7d-5p	84.7263620575351	0.0435643980981084	0.444035943542425	0.0981100713391822	NA	NA	nowine_vs_all	NA	486.285041117862	61.7545096226617	5.07771087724934	6.87225697252386	3.27842276087043	4.09366505559171
hsa-let-7e-3p	0.0926959525265536	0.28712881342856	1.9337576543194	0.148482315137683	0.881962141722761	NA	nowine_vs_all	NA	0.183579681984403	0.0807078381063999	0.0616447777416546	0	0	0
hsa-let-7e-5p	8.28688404330971	-0.0317373285904817	0.442069328219069	-0.0717926500767186	0.942766922117206	0.976499013002419	nowine_vs_all	FALSE	37.4975883288681	5.86205755301342	3.32401262642855	2.69461330129862	2.04405761019497	2.35089460645534
hsa-let-7f-1-3p	0.148231312069842	-0.107789539232982	2.11205584111748	-0.0510353642808759	0.959297340633297	NA	nowine_vs_all	NA	0.0585607308657198	0.163231529513999	0.123663675736568	0	0	0
hsa-let-7f-2-3p	0.575557015736163	0.343250910200756	0.591988432589512	0.579827056247175	0.562031249975707	NA	nowine_vs_all	NA	1.68751202012165	0.41079565408285	0.410178699017429	0	0	0
hsa-let-7f-5p	2.21317899747824	0.628991087100982	0.458966035092247	1.37045236250339	0.170545736192345	NA	nowine_vs_all	NA	2.09324876967146	2.08463805764184	2.27895893520536	0.913118762673353	1.10889572805104	0.85155511207625
hsa-let-7g-3p	2.96451879005013	0.761386938994167	0.455353376263923	1.67207926564898	0.0945086926499746	NA	nowine_vs_all	NA	2.28848716169938	2.77657122265222	3.43863606995304	0.503193646613315	0.277161881536096	0.576373615513978
hsa-let-7g-5p	494.25023297281	0.385815297253723	0.501041689204732	0.770026338259597	NA	NA	nowine_vs_all	NA	2652.9203016924	393.003540119319	23.7432136121908	17.0798176670212	8.12386610499567	7.92687236244003
hsa-let-7i-3p	0.309460606375863	0.313835939536449	0.927232487467733	0.338465211021168	0.735012639265868	NA	nowine_vs_all	NA	0.397009647753652	0.300302715513022	0.276716109358007	0	0	0
hsa-let-7i-5p	545.492827463399	0.452134935767698	0.465793195331168	0.970677417144836	NA	NA	nowine_vs_all	NA	2828.31622373117	457.952282961411	16.8404370497099	16.6954155302456	8.40129216853481	6.36152818705922
hsa-miR-1-2-5p:Novel	9.96620767359249	0.625365774022296	0.398018152601443	1.57119912731344	0.116136402738031	0.410586008736578	nowine_vs_all	FALSE	8.96628420673815	7.51485354420739	16.1357439285552	3.09357258478815	3.46547533716125	3.92398071409862
hsa-miR-1-3p	1.95760720065832	0.0870746115268268	0.412091619105188	0.21129915652228	0.832653841063866	NA	nowine_vs_all	NA	1.80996465024061	1.8459635597903	2.08375349390594	1.3240022859899	1.13183131793363	0.532578913004684
hsa-miR-1-5p	12.2163827187717	0.811543339877319	0.343277999998111	2.36409947588189	0.0180739588029772	0.163351174485074	nowine_vs_all	FALSE	7.97663590549689	9.69013004411105	18.2990762442204	5.20374789479001	5.99576294561127	8.22294104199353
hsa-miR-100-3p	0.264208039986053	0.56267773171122	0.946285982117314	0.594616999875904	0.552099513979953	NA	nowine_vs_all	NA	0.348694154158877	0.204681071600006	0.365275511154267	0	0	0
