ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	never.x	former.x	current.x	never.y	former.y	current.y
hsa-miR-6846-3p	9.83750238466126	-0.213137814705995	0.403689796587556	-0.527974242865876	0.597517213304896	0.845707982359292	current_vs_former	FALSE	10.342	10.092	7.408	4.663	3.168	1.797
hsa-miR-6846-5p	28.8107086052074	0.660172885253248	0.418667046349191	1.57684463348622	0.114831278770473	0.468390742353243	current_vs_former	FALSE	26.075	26.293	38.418	4.306	5.517	5.384
hsa-miR-6847-3p	1.57819822187812	-0.351311162510365	0.461047661272876	-0.761984480173812	0.44606926700178	NA	current_vs_former	NA	1.437	1.648	1.743	0	0	0.195
hsa-miR-6847-5p	8.58248685409397	-0.301212933677337	0.277654846390638	-1.084846663377	0.277989574211174	0.647292774052288	current_vs_former	FALSE	9.57	6.156	9.286	6.224	4.23	2.891
hsa-miR-6848-3p	0.866889147865802	-0.328470871473448	0.670625994017327	-0.489797404818402	0.6242772673128	NA	current_vs_former	NA	1.197	0.423	0.63	0	0	0
hsa-miR-6848-5p	3.06632056689127	0.0537005914750599	0.300382584504464	0.178773984396095	0.858115173615047	NA	current_vs_former	NA	3.092	2.503	3.708	1.64	1.872	1.913
hsa-miR-6849-3p	2.72330664963148	-0.440297066861292	0.455458441413665	-0.966711837626031	0.3336881077393	NA	current_vs_former	NA	3.816	1.723	1.196	0.998	0.714	0.504
hsa-miR-6849-5p	74.4653382400247	0.0633809153844505	0.22105931614563	0.286714518481076	0.77433091997593	0.934421828171645	current_vs_former	FALSE	72.655	68.426	84.329	58.816	41.264	46.58
hsa-miR-6850-3p	1.98760423077798	-0.306912800994732	0.365716063621843	-0.83921061042614	0.401351134211621	NA	current_vs_former	NA	1.587	2.584	1.974	0.86	0.86	1.077
hsa-miR-6850-5p	4.27830302332636	0.183067840061599	0.309303763505635	0.591870716303987	0.553937164520175	0.834525256465215	current_vs_former	FALSE	4.015	3.942	5.26	2.954	2.037	3.061
hsa-miR-6851-3p	0.120173554328895	-0.141515579289433	1.4026681294883	-0.100890279257331	0.919637559762389	NA	current_vs_former	NA	0.167	0.07	0.065	0	0	0
hsa-miR-6851-5p	0.851446770088992	-0.0601024080953422	0.407902698699577	-0.147344963117315	0.882859744314967	NA	current_vs_former	NA	0.821	0.823	0.924	0.082	0	0.195
hsa-miR-6852-3p	0.760495421346752	-1.33200896964727	0.636557679613208	-2.0925188907573	0.0363921236873362	NA	current_vs_former	NA	0.772	0.99	0.306	0	0	0
hsa-miR-6852-5p	1.64182675357386	0.513133218785621	0.462039928117006	1.1105819812518	0.266748322264336	NA	current_vs_former	NA	1.613	0.991	2.665	0.247	0	0.522
hsa-miR-6853-3p	0.404280003114805	0.187661265449144	0.573737144280985	0.327085787140944	0.743603001331455	NA	current_vs_former	NA	0.475	0.2	0.52	0	0	0
hsa-miR-6853-5p	1.61464292974287	0.260902355537949	0.347113275666571	0.751634621398247	0.452270817040897	NA	current_vs_former	NA	1.62	1.341	1.94	0.471	0.806	1.287
hsa-miR-6854-3p	0.487703234338614	0.246552136699117	0.677173619226413	0.364089990659667	0.715790810932889	NA	current_vs_former	NA	0.477	0.459	0.531	0	0	0
hsa-miR-6854-5p	1.29543854203661	-0.554398463793765	0.498035869800208	-1.11316974822751	0.265635532597032	NA	current_vs_former	NA	1.793	0.828	0.617	0.165	0	0
hsa-miR-6855-3p	3.70746399140393	-0.588062053838775	0.345758223969771	-1.70078978046286	0.0889824689679718	NA	current_vs_former	NA	3.976	3.828	2.528	1.954	1.677	1.126
hsa-miR-6855-5p	13.0405059509706	-0.216943272844274	0.385764924420689	-0.562371690920481	0.573862802615496	0.842419972444713	current_vs_former	FALSE	12.899	10.593	16.511	2.158	2.069	2.205
hsa-miR-6856-3p	0.205580432950009	-0.205857381495098	0.915223612221362	-0.224925776330723	0.822037016422903	NA	current_vs_former	NA	0.227	0.212	0.123	0	0	0
hsa-miR-6856-5p	7.09338741844463	0.575049400459633	0.229803498452924	2.50235268101209	0.0123370958055589	0.189123611524777	current_vs_former	FALSE	6.518	5.832	10.239	5.141	4.089	4.94
hsa-miR-6857-3p	0.668161995032849	-0.428891974339129	0.587419942254797	-0.730128385993907	0.465311711721773	NA	current_vs_former	NA	0.662	0.731	0.54	0	0	0
hsa-miR-6857-5p	1.63728192862546	0.601550805059297	0.405849309236527	1.48220236272157	0.138286458100338	NA	current_vs_former	NA	1.454	0.903	3.226	0.687	0.107	0.735
hsa-miR-6858-3p	2.41251446950266	-0.628168607178444	0.457875152328645	-1.37192115358024	0.170087984395707	NA	current_vs_former	NA	3.179	1.848	1.083	0.666	0.156	0.612
hsa-miR-6858-5p	7.13661688136905	-0.495036671073152	0.348192589176755	-1.4217323586455	0.15510396256189	0.520120259071722	current_vs_former	FALSE	9.061	4.508	5.709	2.512	2.572	3.4
hsa-miR-6859-3p	12.2594087554413	0.0402983292189307	0.31547329874711	0.127739271053918	0.898355310849228	0.972985759809529	current_vs_former	FALSE	15.149	8.726	9.338	6.883	5.249	6.12
hsa-miR-6859-5p	0.847322905941414	-0.731178104184444	0.350655004816115	-2.08517800727777	0.0370531454459589	NA	current_vs_former	NA	0.841	0.909	0.71	0.519	0.656	0.099
hsa-miR-6860	30.6162051792593	0.418797616896028	0.271859007418927	1.54049564468052	0.123439583619983	0.481000612150494	current_vs_former	FALSE	7.091	6.443	131.671	5.304	4.236	6.123
hsa-miR-6860-5p:Novel	1.41191946073829	-0.395419878931674	0.346554579185129	-1.1410031858804	0.253868597223454	NA	current_vs_former	NA	1.305	1.244	1.881	0.534	0.827	0.698
hsa-miR-6861-3p	0.837343501942469	-0.687697102673159	0.516318089017359	-1.33192525557639	0.182884751019799	NA	current_vs_former	NA	0.761	1.117	0.534	0	0	0
hsa-miR-6861-5p	12.6466550839252	0.408463343586573	0.274718565458046	1.48684288193457	0.137056312817274	0.499199886109916	current_vs_former	FALSE	9.382	10.829	23.619	4.123	3.674	4.491
hsa-miR-6862-3p	14.2742093385966	-0.244537986774794	0.437530127059778	-0.558905482504942	0.576226227555013	0.842419972444713	current_vs_former	FALSE	8.388	26.201	9.868	2.597	2.262	3.164
hsa-miR-6862-5p	3.48403339158276	-0.283517072959482	0.351540431725135	-0.806499188637171	0.419955075662894	NA	current_vs_former	NA	3.4	2.914	4.405	1.648	1.662	1.868
hsa-miR-6863	1.43616706327787	0.252437550607158	0.434018898616767	0.581628015304599	0.560817268231173	NA	current_vs_former	NA	1.191	1.487	1.925	0.634	0.34	0.289
hsa-miR-6863-5p:Novel	4.1742091887809	-0.0390441565476881	0.378987851550131	-0.103022184980311	0.917945363567904	0.977801591422084	current_vs_former	FALSE	4.31	3.831	4.082	1.425	1.064	1.248
hsa-miR-6864-3p	4.92777011584377	-0.451923921650374	0.593620549774907	-0.761301005872754	0.446477299923486	0.782457077127214	current_vs_former	FALSE	4.848	4.765	5.092	0.419	0.375	0.735
hsa-miR-6864-5p	1.09820338646255	-0.565694930407446	0.489836493315005	-1.15486481331569	0.248145790540121	NA	current_vs_former	NA	1.019	1.085	1.264	0	0	0
hsa-miR-6865-3p	0.689098612532815	0.00834268783466834	0.528077991029614	0.0157982115831078	0.987395375209428	NA	current_vs_former	NA	0.691	0.672	0.665	0	0	0
hsa-miR-6865-5p	2.89940110862457	-0.0382950985268691	0.307312821398129	-0.124612758923121	0.900830126976318	NA	current_vs_former	NA	3.365	2.197	2.591	2.153	1.657	1.743
