miRNA	age	age.p	age.fdr	bmi	bmi.p	bmi.fdr
hsa-miR-3191-5p	0.044	0.586	0.851572783505155	0.023	0.783	0.967635734072022
hsa-miR-3192-3p	-0.042	0.601	0.857806399351964	-0.044	0.591	0.93101654000894
hsa-miR-3192-5p	-0.088	0.214	0.624801988400994	-0.064	0.382	0.88853982883476
hsa-miR-3193	0.064	0.413	0.758282744282744	0.046	0.562	0.922991207774179
hsa-miR-3193-3p:Novel	-0.083	0.238	0.643677666922487	0.065	0.367	0.879212981744422
hsa-miR-3194-3p	-0.032	0.671	0.887614114114114	-0.066	0.394	0.896943374197315
hsa-miR-3194-5p	-0.15	0.04	0.380483290488432	-0.148	0.049	0.7048
hsa-miR-3195	0.116	0.093	0.479140350877193	0.04	0.575	0.926860273972603
hsa-miR-3195-3p:Novel	0.13	0.06	0.424497131931166	0.092	0.195	0.824257627118644
hsa-miR-3196	0.019	0.782	0.935279620853081	0.135	0.062	0.733181208053691
hsa-miR-3196-3p:Novel	0.073	0.294	0.681615789473684	0.136	0.055	0.723208955223881
hsa-miR-3197	-0.089	0.205	0.611701947502117	-0.068	0.344	0.872848398576512
hsa-miR-3197-3p:Novel	-0.015	0.832	0.948549983824005	-0.005	0.941	0.994515994020927
hsa-miR-3198	-0.091	0.196	0.607479331574318	-0.037	0.611	0.935344917463076
hsa-miR-3198-5p:Novel	-0.035	0.613	0.863739304278289	0.057	0.423	0.896943374197315
hsa-miR-3199	0.012	0.869	0.960889865076875	-0.019	0.793	0.967635734072022
hsa-miR-3199-3p:Novel	-0.016	0.82	0.948063760572544	-0.117	0.113	0.808864429530201
hsa-miR-32-3p	-0.074	0.365	0.727934352009055	-0.12	0.153	0.808864429530201
hsa-miR-32-5p	0.103	0.174	0.588447817836812	0.02	0.798	0.968705477092663
hsa-miR-3200-3p	-0.191	0.013	0.288125786163522	-0.224	0.005	0.515707317073171
hsa-miR-3200-5p	0.081	0.248	0.653076352853966	0.044	0.54	0.917019721019721
