miRNA	min	max	mean	median	sd	mad	mm_ratio
hsa-miR-647	0	280	19.79	10	33.3040635391038	11.8608	1.18608
hsa-miR-6743-3p	0	351	23.55	10	42.4012839041513	11.8608	1.18608
hsa-miR-6746-5p	0	1231	51.17	5	152.878883956177	5.9304	1.18608
hsa-miR-6763-5p	0	591	26.74	5	70.6240358506944	5.9304	1.18608
hsa-miR-6880-5p	0	297	21.36	10	33.5743791811294	11.8608	1.18608
hsa-miR-8074-5p:Novel	0	328	16.26	5	39.7930286172772	5.9304	1.18608
hsa-miR-8075	0	1128	38.85	10	103.666138492481	11.8608	1.18608
hsa-miR-8075-5p:Novel	0	1127	38.45	10	104.619624700286	11.8608	1.18608
hsa-miR-941	0	410	16.69	5	35.6927592792945	5.9304	1.18608
hsa-miR-1260b	0	643	68.18	31	103.609229992258	37.065	1.19564516129032
hsa-miR-6805-5p	0	979	74.3	31	126.10136464785	37.065	1.19564516129032
hsa-miR-12121	0	6731	197.87	57	636.242704976594	68.1996	1.19648421052632
hsa-miR-548i	0	4583	194.38	73	447.06909037667	87.4734	1.19826575342466
hsa-miR-12127	0	2479	87.04	21	245.845739154478	25.2042	1.2002
hsa-miR-21-5p	0	2741	128.48	42	283.563577659592	50.4084	1.2002
hsa-miR-4634	0	630	44.58	21	71.8129435439115	25.2042	1.2002
hsa-miR-6130	0	890	53.25	21	102.937115935924	25.2042	1.2002
hsa-miR-6131-5p:Novel	0	827	50.78	21	102.233965881129	25.2042	1.2002
hsa-miR-6838-5p	0	192	34.52	21	35.8236894369899	25.2042	1.2002
hsa-miR-7113-5p	0	3860	184.65	63	379.245480172365	75.6126	1.2002
hsa-miR-9901-3p:Novel	0	2296	99.94	42	196.161869721797	50.4084	1.2002
hsa-miR-1284	0	591	35.43	16	64.6190834310271	19.2738	1.2046125
hsa-miR-1291-3p:Novel	0	641	37.12	16	67.5605689696493	19.2738	1.2046125
hsa-miR-3621-3p:Novel	0	463	37.83	16	68.2410304862353	19.2738	1.2046125
hsa-miR-6068-3p:Novel	0	226	29.79	16	37.203001783723	19.2738	1.2046125
hsa-miR-6768-5p	0	438	41.44	16	68.3962676629399	19.2738	1.2046125
hsa-miR-6849-5p	0	1707	112.74	48	180.79306886655	57.8214	1.2046125
hsa-miR-3665-3p:Novel	0	1630	129.7	54	222.790362326022	65.2344	1.20804444444444
hsa-miR-550a-3p	0	1654	93.27	27	204.541227829258	32.6172	1.20804444444444
hsa-miR-7161-3p	0	764	53.66	27	83.0325604650398	32.6172	1.20804444444444
hsa-miR-1587-3p:Novel	0	263	20.48	11	27.4618952440495	13.3434	1.21303636363636
hsa-miR-3130-3p	0	364	23.25	11	42.0350614241254	13.3434	1.21303636363636
hsa-miR-3136-5p	0	1605	38.57	11	118.053012983577	13.3434	1.21303636363636
hsa-miR-3155b	0	396	24.78	11	43.8698307127611	13.3434	1.21303636363636
hsa-miR-3195-3p:Novel	0	130	16.78	11	20.3525389047599	13.3434	1.21303636363636
hsa-miR-320d	0	2694	47.05	11	196.419682636689	13.3434	1.21303636363636
hsa-miR-4259-5p:Novel	0	459	27.65	11	53.1950356459564	13.3434	1.21303636363636
hsa-miR-4277	0	297	26.76	11	44.3381411840022	13.3434	1.21303636363636
hsa-miR-4330	0	368	30.18	11	57.0846718502317	13.3434	1.21303636363636
hsa-miR-4497	0	217	21.03	11	28.9260941213784	13.3434	1.21303636363636
hsa-miR-4651-3p:Novel	0	248	21.62	11	32.6974614081373	13.3434	1.21303636363636
hsa-miR-4690-5p	0	656	24.53	11	51.9164642623762	13.3434	1.21303636363636
hsa-miR-4771-5p:Novel	0	1005	34.46	11	96.1368443649863	13.3434	1.21303636363636
hsa-miR-6077	0	178	21.79	11	29.2760858686516	13.3434	1.21303636363636
hsa-miR-654-5p	0	799	25.56	11	60.5863357916036	13.3434	1.21303636363636
hsa-miR-6829-5p	0	902	31.38	11	76.3685134371856	13.3434	1.21303636363636
hsa-miR-6895-3p	0	1468	34.61	11	107.567053542633	13.3434	1.21303636363636
hsa-miR-7108-5p	0	555	31.92	11	68.3016714417767	13.3434	1.21303636363636
hsa-miR-718	0	437	24.65	11	41.3479319016924	13.3434	1.21303636363636
hsa-miR-760	0	351	29.52	11	46.6140666283958	13.3434	1.21303636363636
hsa-miR-7844-3p:Novel	0	545	25.73	11	52.7355758243477	13.3434	1.21303636363636
hsa-miR-8053	0	431	28.01	11	52.3217401151606	13.3434	1.21303636363636
hsa-miR-8077	0	149	18.46	11	21.9717628263865	13.3434	1.21303636363636
hsa-miR-148a-3p	0	2234	63.52	17	198.04410123814	20.7564	1.22096470588235
hsa-miR-3195	0	316	31.52	17	45.761474921017	20.7564	1.22096470588235
hsa-miR-320d-1-5p:Novel	0	470	35.55	17	52.9111884729576	20.7564	1.22096470588235
hsa-miR-4281	0	405	40.63	17	64.1349015179618	20.7564	1.22096470588235
hsa-miR-7845-3p:Novel	0	427	34.98	17	51.862421312673	20.7564	1.22096470588235
hsa-miR-6777-5p	1	7694	504.2	229	870.555666084577	280.2114	1.22363056768559
hsa-miR-5189-3p	0	2143	87.74	23	209.454983943923	28.1694	1.22475652173913
hsa-miR-4326-5p:Novel	0	3517	86.54	29	253.136888310985	35.5824	1.22697931034483
hsa-miR-4488-3p:Novel	0	4783	195.22	70	472.811454716167	85.9908	1.22844
hsa-miR-1202-3p:Novel	0	2368	44.67	12	189.480045733691	14.826	1.2355
hsa-miR-1272-3p:Novel	0	992	29	12	74.7069849625209	14.826	1.2355
hsa-miR-1915-3p	0	176	15.84	6	27.0493741134423	7.413	1.2355
hsa-miR-202-3p	0	301	16.05	6	28.7287013076116	7.413	1.2355
hsa-miR-2114-5p	0	798	53.78	18	99.7460654061487	22.239	1.2355
hsa-miR-22-3p	0	468	18.45	6	44.7272277265604	7.413	1.2355
hsa-miR-2909-3p:Novel	0	334	17.32	6	33.5676657309594	7.413	1.2355
hsa-miR-3191-3p	0	1519	22.73	6	105.690350026844	7.413	1.2355
hsa-miR-320c	0	3746	59.15	12	262.785305041595	14.826	1.2355
hsa-miR-3680-3p	0	1343	25.12	6	102.615365506943	7.413	1.2355
hsa-miR-371a-3p	0	1991	45.85	12	150.417060180979	14.826	1.2355
hsa-miR-378a-3p	0	953	40.64	12	103.723557426704	14.826	1.2355
hsa-miR-379-5p	0	974	20.46	6	70.5821830818198	7.413	1.2355
hsa-miR-3911	0	860	16.58	6	60.9049901564582	7.413	1.2355
hsa-miR-4270-3p:Novel	0	267	15.98	6	33.8994412609376	7.413	1.2355
hsa-miR-4288	0	1749	34.75	6	136.361012387247	7.413	1.2355
hsa-miR-4296-3p:Novel	0	551	20.73	6	58.8757612367823	7.413	1.2355
hsa-miR-4493	0	488	20.84	6	50.1441510179231	7.413	1.2355
hsa-miR-4513	0	346	15.52	6	31.4302813691966	7.413	1.2355
hsa-miR-4685-5p	0	745	21.61	6	57.86531902422	7.413	1.2355
hsa-miR-4698	0	1331	59.24	24	124.26262755462	29.652	1.2355
hsa-miR-4758-5p	0	5362	130.26	18	536.025222282122	22.239	1.2355
hsa-miR-4784-3p:Novel	0	3235	32.91	6	216.380841494647	7.413	1.2355
hsa-miR-486-3p	0	1477	58.55	6	196.578729538349	7.413	1.2355
hsa-miR-521	0	233	17.19	6	32.0222383000494	7.413	1.2355
hsa-miR-548l-3p:Novel	0	460	15.41	6	43.4620547120452	7.413	1.2355
hsa-miR-5684	0	861	16.4	6	60.2273021078888	7.413	1.2355
hsa-miR-575	0	211	16.04	6	29.3790309644724	7.413	1.2355
hsa-miR-599-5p:Novel	0	220	17.62	6	33.3018304837904	7.413	1.2355
hsa-miR-6085	0	503	27.16	12	53.6721289394477	14.826	1.2355
hsa-miR-611	0	477	19.33	6	46.7999941814057	7.413	1.2355
hsa-miR-6125	0	2378	117.56	36	257.223415802522	44.478	1.2355
hsa-miR-6131	0	693	32.15	12	65.1017685577766	14.826	1.2355
hsa-miR-640-5p:Novel	0	196	15.13	6	26.9037346256291	7.413	1.2355
hsa-miR-6515-5p	0	438	23.6	6	56.883875958725	7.413	1.2355
hsa-miR-661	0	1050	17.5	6	70.4603779869568	7.413	1.2355
hsa-miR-663a	0	351	15.1	6	30.6952152775531	7.413	1.2355
hsa-miR-6749-5p	0	848	20.18	6	69.0075516047452	7.413	1.2355
hsa-miR-6788-3p	0	1503	87.24	30	175.675666297782	37.065	1.2355
hsa-miR-6826-5p	0	344	19.17	6	39.9092976000173	7.413	1.2355
hsa-miR-6846-5p	0	1421	46.41	6	147.737393214634	7.413	1.2355
hsa-miR-6889-5p	0	742	21.33	6	60.1244833048423	7.413	1.2355
hsa-miR-9899-5p:Novel	0	718	39.42	6	91.9107696288925	7.413	1.2355
hsa-miR-9903	0	1556	33.44	6	135.508039394588	7.413	1.2355
hsa-miR-192-5p	0	9735	257.7	62	850.060065237085	77.0952	1.24347096774194
hsa-miR-10401-5p	0	1972	124.65	38	243.180675892883	47.4432	1.24850526315789
hsa-miR-4309	0	467	43.89	19	70.9571360897138	23.7216	1.24850526315789
hsa-miR-4309-3p:Novel	0	2095	67.26	19	204.433837940329	23.7216	1.24850526315789
hsa-miR-6760-5p	0	1877	88.79	38	182.370847904642	47.4432	1.24850526315789
hsa-miR-6070-3p:Novel	0	10522	444.79	127	1060.23427411031	158.6382	1.24911968503937
hsa-miR-2278-3p:Novel	0	7137	228.2	71	586.002261523436	88.956	1.2529014084507
hsa-let-7b-5p	0	2707	66.94	13	267.416689885472	16.3086	1.25450769230769
hsa-miR-1469-3p:Novel	0	495	31.44	13	52.8039423411949	16.3086	1.25450769230769
hsa-miR-3176-5p:Novel	0	966	40.18	13	93.5700555637821	16.3086	1.25450769230769
hsa-miR-422a	0	1372	45.71	13	119.167481290034	16.3086	1.25450769230769
hsa-miR-4327-3p:Novel	0	386	30.39	13	49.0988287332866	16.3086	1.25450769230769
hsa-miR-4528-5p:Novel	0	3932	91.94	13	388.287721454379	16.3086	1.25450769230769
hsa-miR-550b-3p	0	1127	55.18	13	138.415090746838	16.3086	1.25450769230769
hsa-miR-636	0	853	55.38	26	89.6652482356309	32.6172	1.25450769230769
hsa-miR-8083-3p:Novel	0	215	24.44	13	32.189990120584	16.3086	1.25450769230769
hsa-miR-4466-3p:Novel	0	1119	90.86	33	145.6820108938	41.5128	1.25796363636364
hsa-miR-200b-3p	0	1056	55.82	20	130.114976164726	25.2042	1.26021
hsa-miR-1246-3p:Novel	2	30269	2103.34	781	3853.8949110027	984.4464	1.2604947503201
hsa-miR-1290-5p:Novel	0	1807	87.52	34	179.672068619803	42.9954	1.26457058823529
hsa-miR-10400-5p	0	1854	102.29	41	233.937433924057	51.891	1.26563414634146
hsa-miR-378h	0	2707	117.48	48	235.318750838258	60.7866	1.2663875
hsa-let-7a-5p	0	274	17.05	7	30.9964180832943	8.8956	1.2708
hsa-miR-12123	0	399	42.08	14	69.0782480310797	17.7912	1.2708
hsa-miR-124-3p	0	279	16.09	7	28.8014238225732	8.8956	1.2708
hsa-miR-1281-5p:Novel	0	24744	572.88	7	2356.60929883934	8.8956	1.2708
hsa-miR-1538	0	590	20.7	7	52.1297521824317	8.8956	1.2708
hsa-miR-182-3p	0	555	23.67	7	56.2812828835581	8.8956	1.2708
hsa-miR-1913	0	316	17.16	7	34.8336641364405	8.8956	1.2708
hsa-miR-200c-3p	0	1475	46.7	14	128.187621194934	17.7912	1.2708
hsa-miR-2110	0	5812	248.38	63	656.353632225602	80.0604	1.2708
hsa-miR-3154	0	4615	111.91	14	433.566331019278	17.7912	1.2708
hsa-miR-3164-3p:Novel	0	203	16.04	7	28.9409812913396	8.8956	1.2708
hsa-miR-3174-3p:Novel	0	247	17.71	7	29.9990053359847	8.8956	1.2708
hsa-miR-324-3p	0	5314	64.83	7	361.998863668959	8.8956	1.2708
hsa-miR-3689d-3p:Novel	0	910	41.22	14	92.1443394254125	17.7912	1.2708
hsa-miR-378c	0	862	24	7	74.0088531516844	8.8956	1.2708
hsa-miR-3920	0	451	46.17	21	67.8329951325442	26.6868	1.2708
hsa-miR-3936	0	485	24.81	7	54.6652702499149	8.8956	1.2708
hsa-miR-4522	0	574	19.34	7	54.0016974585075	8.8956	1.2708
hsa-miR-4537-3p:Novel	0	716	24.65	7	64.2824834573427	8.8956	1.2708
hsa-miR-4687-3p	0	1619	35.68	7	129.718868729817	8.8956	1.2708
hsa-miR-4725-5p	0	450	32.53	14	56.4936679616157	17.7912	1.2708
hsa-miR-4738-3p	0	242	19.48	7	32.6685393244844	8.8956	1.2708
hsa-miR-6070	0	313	17.77	7	37.9435540944875	8.8956	1.2708
hsa-miR-6133-5p:Novel	0	523	15.44	7	39.2987818870601	8.8956	1.2708
hsa-miR-631-3p:Novel	0	318	19.41	7	36.3174726609997	8.8956	1.2708
hsa-miR-639	0	665	30.48	14	57.957259721433	17.7912	1.2708
hsa-miR-650-3p:Novel	0	5098	47.04	7	342.844281106978	8.8956	1.2708
hsa-miR-663b-5p:Novel	0	382	15.68	7	33.5765015489639	8.8956	1.2708
hsa-miR-6741-5p	0	487	24.06	7	55.6550784155487	8.8956	1.2708
hsa-miR-6859-3p	0	379	18.14	7	36.3909759430455	8.8956	1.2708
hsa-miR-6871-3p	0	429	18.76	7	37.8899868376898	8.8956	1.2708
hsa-miR-7110-5p	0	425	16.38	7	41.1195043465877	8.8956	1.2708
hsa-miR-766-5p	0	707	27.54	7	75.7561839589437	8.8956	1.2708
hsa-miR-7847-3p	0	603	15.02	7	42.3728285645693	8.8956	1.2708
hsa-miR-8079-3p:Novel	0	1869	82.45	21	238.577788377292	26.6868	1.2708
hsa-miR-92a-1-5p	0	2501	55.02	7	228.112380910595	8.8956	1.2708
hsa-miR-6728-5p	0	6042	346.03	121	721.947980996594	154.1904	1.27430082644628
hsa-miR-551a	0	2767	162.87	57	308.456335543309	72.6474	1.27451578947368
hsa-miR-550a-3-5p	0	2237	108.18	22	279.150850528698	28.1694	1.28042727272727
hsa-miR-4326	0	1394	64.18	15	152.894041927179	19.2738	1.28492
hsa-miR-4534	0	1218	55.17	15	129.615553426659	19.2738	1.28492
hsa-miR-4700-5p	0	16398	181.96	30	1109.17111536351	38.5476	1.28492
hsa-miR-6757-5p	0	1668	88.21	31	190.329712731923	40.0302	1.29129677419355
hsa-miR-12117-3p:Novel	0	861	25.57	8	75.8868605137836	10.3782	1.297275
hsa-miR-1288-3p	0	210	18.49	8	29.0389321886158	10.3782	1.297275
hsa-miR-194-1-3p:Novel	0	1490	51.07	16	113.601878924038	20.7564	1.297275
hsa-miR-206-5p:Novel	0	986	32.15	8	95.2697563566049	10.3782	1.297275
hsa-miR-2113-5p:Novel	0	2474	38.7	8	172.55324723565	10.3782	1.297275
hsa-miR-338-3p	0	975	25.55	8	83.9706890780439	10.3782	1.297275
hsa-miR-3682-3p	0	234	17.26	8	28.8825676784845	10.3782	1.297275
hsa-miR-375-3p	0	1078	27.24	8	88.0712520313204	10.3782	1.297275
hsa-miR-4258	0	428	21.45	8	45.1484945716218	10.3782	1.297275
hsa-miR-4302-3p:Novel	0	528	23.37	8	54.2999537618659	10.3782	1.297275
hsa-miR-4527-3p:Novel	0	471	20.34	8	43.8918406224638	10.3782	1.297275
hsa-miR-4534-5p:Novel	0	531	24.72	8	60.072560461073	10.3782	1.297275
hsa-miR-5090-3p:Novel	0	801	27.5	8	74.4267821455931	10.3782	1.297275
hsa-miR-6090-5p:Novel	0	273	22.47	8	37.038311285558	10.3782	1.297275
hsa-miR-657	0	236	19.63	8	31.9609309933244	10.3782	1.297275
hsa-miR-658	0	280	17.15	8	26.8701409903043	10.3782	1.297275
hsa-miR-6793-5p	0	290	19.63	8	32.7526331543095	10.3782	1.297275
hsa-miR-6794-5p	0	300	17.34	8	30.982512600189	10.3782	1.297275
hsa-miR-6891-5p	0	688	20.44	8	51.6376361190488	10.3782	1.297275
hsa-miR-8076	0	196	15.76	8	24.7811577451892	10.3782	1.297275
hsa-miR-8085-3p:Novel	0	683	25.92	8	63.7114132931407	10.3782	1.297275
hsa-miR-885-3p	0	1522	39.74	8	130.249272771751	10.3782	1.297275
hsa-miR-940-5p:Novel	0	302	19.55	8	37.91470022456	10.3782	1.297275
hsa-miR-9500-3p:Novel	0	365	18.16	8	36.7946962810093	10.3782	1.297275
hsa-miR-300	0	2003	69.91	17	210.497689020628	22.239	1.30817647058824
hsa-miR-1306-3p	0	803	76.69	26	125.957774654859	34.0998	1.31153076923077
hsa-miR-645	0	58066	873.85	26	4887.52675644752	34.0998	1.31153076923077
hsa-miR-302c-5p	0	363	23.81	9	42.5025510904161	11.8608	1.31786666666667
hsa-miR-3185-3p:Novel	0	1393	45.8	9	156.751141437208	11.8608	1.31786666666667
hsa-miR-3196-3p:Novel	0	313	20.5	9	31.2004261221342	11.8608	1.31786666666667
hsa-miR-378j-3p:Novel	0	1397	35.22	9	112.82726034224	11.8608	1.31786666666667
hsa-miR-4443-3p:Novel	0	535	29.15	9	58.5185292872461	11.8608	1.31786666666667
hsa-miR-4672	0	289	22.3	9	41.0658935654137	11.8608	1.31786666666667
hsa-miR-4739	0	2433	52.6	9	184.988768063374	11.8608	1.31786666666667
hsa-miR-4802-3p	0	263	22.06	9	38.8561823664563	11.8608	1.31786666666667
hsa-miR-6076-3p:Novel	0	255	22.96	9	37.1801051509018	11.8608	1.31786666666667
hsa-miR-622	0	453	28.92	9	54.9000443849052	11.8608	1.31786666666667
hsa-miR-92a-3p	0	3026	93.26	18	283.064594721183	23.7216	1.31786666666667
hsa-miR-6773-5p	0	3030	133.56	55	251.275790815928	72.6474	1.32086181818182
hsa-miR-4276-3p:Novel	0	1288	48.94	19	112.375662300957	25.2042	1.32653684210526
hsa-miR-548aa, hsa-miR-548t-3p	0	1868	97.04	19	212.478452972655	25.2042	1.32653684210526
hsa-miR-3137-3p:Novel	0	1266	80.27	29	152.056965570315	38.5476	1.3292275862069
hsa-miR-6081	0	5583	254.86	89	510.003474997375	118.608	1.33267415730337
hsa-miR-1193-3p:Novel	0	500	25.26	10	52.4918938469445	13.3434	1.33434
hsa-miR-1257-3p:Novel	0	235	22.5	10	34.7323664592254	13.3434	1.33434
hsa-miR-2681-3p	0	1397	59.51	10	166.552780289521	13.3434	1.33434
hsa-miR-324-5p	0	6336	76.49	10	430.299986693205	13.3434	1.33434
hsa-miR-4506	0	813	30.58	10	71.5487215126601	13.3434	1.33434
hsa-miR-4767	0	324	26.33	10	42.3113232606741	13.3434	1.33434
hsa-miR-4800-3p	0	520	29.42	10	61.4473750043383	13.3434	1.33434
hsa-miR-6832-5p	0	351	27.13	10	53.6199966454172	13.3434	1.33434
hsa-miR-646	0	5490	136.71	31	433.203741456214	41.5128	1.33912258064516
hsa-miR-922	1	23810	672.32	119	1973.56915705104	160.1208	1.34555294117647
hsa-miR-4452	0	1136	45.3	11	125.409690166853	14.826	1.34781818181818
hsa-miR-5691-3p:Novel	0	849	35.75	11	81.6080323782276	14.826	1.34781818181818
hsa-miR-8074	0	3612	53.67	11	251.185149550572	14.826	1.34781818181818
hsa-miR-4739-3p:Novel	0	1622	89.86	23	195.607611336691	31.1346	1.35367826086957
hsa-miR-4713-3p	0	7198	283.68	93	629.018291281432	126.021	1.35506451612903
hsa-miR-12126-5p:Novel	0	7673	201.14	36	649.638598486027	48.9258	1.35905
hsa-miR-3156-3p	0	1640	53.69	12	145.133382896018	16.3086	1.35905
hsa-miR-1203	0	4347	277.93	66	589.909292266166	90.4386	1.37028181818182
hsa-miR-4254-5p:Novel	0	5979	211.45	28	691.923473701128	38.5476	1.3767
hsa-miR-378i	0	4314	179.9	45	435.201413584867	62.2692	1.38376
hsa-miR-3619-3p	0	22788	247.52	16	1528.77838897171	22.239	1.3899375
hsa-miR-617-3p:Novel	0	1130	53.28	16	112.393107588576	22.239	1.3899375
hsa-miR-548d-5p	0	1905	98.14	19	218.480531822082	26.6868	1.40456842105263
hsa-miR-6509-5p	0	474	46.4	19	71.9974819910608	26.6868	1.40456842105263
hsa-miR-10400-3p	0	3802	19.42	1	248.944258907922	1.4826	1.4826
hsa-miR-106b-5p	0	3559	50.44	4	245.568528847886	5.9304	1.4826
hsa-miR-10b-5p	0	338	16.44	4	40.0915626410069	5.9304	1.4826
hsa-miR-1204	0	1257	29.84	4	114.028539277324	5.9304	1.4826
hsa-miR-12114-3p:Novel	0	750	28.5	2	84.050688958156	2.9652	1.4826
hsa-miR-12118	0	662	21.94	4	64.3784618866529	5.9304	1.4826
hsa-miR-12119	0	260	17	7	29.0447039507413	10.3782	1.4826
hsa-miR-12119-3p:Novel	0	731	22.78	2	78.388246690305	2.9652	1.4826
hsa-miR-1281	0	4115	98.54	7	388.412085312586	10.3782	1.4826
hsa-miR-1283	0	792	20.44	4	70.3447590026131	5.9304	1.4826
hsa-miR-1286	0	891	35.37	5	102.099818362107	7.413	1.4826
hsa-miR-1292-5p	0	524	18.3	4	43.3497884498908	5.9304	1.4826
hsa-miR-1302-4-5p:Novel	0	483	16.39	2	52.5030063199793	2.9652	1.4826
hsa-miR-146b-3p	0	488	19.06	2	56.5150374663191	2.9652	1.4826
hsa-miR-1471-3p:Novel	0	553	19.45	5	60.2721477687275	7.413	1.4826
hsa-miR-1827	0	2490	21.93	3	165.592573615438	4.4478	1.4826
hsa-miR-23c	0	3703	110.31	12	400.76145062412	17.7912	1.4826
hsa-miR-3059-3p	0	912	19.11	2	78.5337703990369	2.9652	1.4826
hsa-miR-3145-3p	0	2453	19.7	1	164.685475695301	1.4826	1.4826
hsa-miR-3167-5p:Novel	0	5446	30.99	1	358.948764370688	1.4826	1.4826
hsa-miR-3168	0	1905	31.85	2	162.988625350017	2.9652	1.4826
hsa-miR-3605-5p	0	1033	26.45	3	100.69567879353	4.4478	1.4826
hsa-miR-3668	0	3837	51.9	3	278.880139944084	4.4478	1.4826
hsa-miR-378b-5p:Novel	0	489	15.79	1	52.7923181813517	1.4826	1.4826
hsa-miR-3920-5p:Novel	0	10068	147.45	1	844.731756486842	1.4826	1.4826
hsa-miR-3929-5p:Novel	0	2324	21.55	1	171.194582989449	1.4826	1.4826
hsa-miR-3972-5p:Novel	0	1336	35.41	5	115.109435675106	7.413	1.4826
hsa-miR-411-5p	0	8370	207.8	7	819.460685026246	10.3782	1.4826
hsa-miR-4260-3p:Novel	0	526	21.52	5	54.4569650990787	7.413	1.4826
hsa-miR-4270	0	1657	23.12	4	117.474550347217	5.9304	1.4826
hsa-miR-4271-5p:Novel	0	334	15.67	5	37.8976362678459	7.413	1.4826
hsa-miR-4280-3p:Novel	0	3282	35.21	3	226.414569319072	4.4478	1.4826
hsa-miR-429	0	541	18.87	2	62.4173984275334	2.9652	1.4826
hsa-miR-4305-3p:Novel	0	599	15.32	3	53.8442236621981	4.4478	1.4826
hsa-miR-4324-5p:Novel	0	700	22.06	4	71.775760564741	5.9304	1.4826
hsa-miR-4327	0	474	18.77	2	54.7641292183619	2.9652	1.4826
hsa-miR-4421	0	466	21.52	5	47.6600824757509	7.413	1.4826
hsa-miR-4447-5p:Novel	0	399	15.74	4	42.3672647988449	5.9304	1.4826
hsa-miR-4476-5p:Novel	0	3549	81.39	1	294.792515134677	1.4826	1.4826
hsa-miR-4519	0	1289	40.08	1	127.614645053322	1.4826	1.4826
hsa-miR-451a-3p:Novel	0	4712	57.13	1	411.199633417897	1.4826	1.4826
hsa-miR-451b-3p:Novel	0	4191	52.39	1	373.229228560607	1.4826	1.4826
hsa-miR-4530-5p:Novel	0	779	18.17	3	61.3700313336497	4.4478	1.4826
hsa-miR-4636-3p:Novel	0	1323	25.18	1	114.66288266584	1.4826	1.4826
hsa-miR-4645-3p	0	664	22.7	4	64.4389769646983	5.9304	1.4826
hsa-miR-4659b-5p	0	3826	77.32	4	331.046424092669	5.9304	1.4826
hsa-miR-4660-3p:Novel	0	527	17.69	3	51.4418717429482	4.4478	1.4826
hsa-miR-4664-3p	0	464	21.22	4	51.4030051973427	5.9304	1.4826
hsa-miR-4666a-5p	0	908	39.55	10	88.7944080835688	14.826	1.4826
hsa-miR-4667-5p	0	960	18.65	2	74.2016370184263	2.9652	1.4826
hsa-miR-4728-3p	0	638	17.27	4	57.6245840042552	5.9304	1.4826
hsa-miR-4741-5p:Novel	0	1022	16.12	4	71.981637840336	5.9304	1.4826
hsa-miR-4751-3p:Novel	0	373	15.08	3	38.9302786735786	4.4478	1.4826
hsa-miR-486-5p	0	1446	17.67	2	104.387193904688	2.9652	1.4826
hsa-miR-491-5p	0	595	17.34	2	62.981326412603	2.9652	1.4826
hsa-miR-507	0	728	15.21	2	62.2531425043342	2.9652	1.4826
hsa-miR-5092-5p:Novel	0	1237	23.79	3	97.7822896308838	4.4478	1.4826
hsa-miR-5190-5p:Novel	0	7409	61.6	4	529.716629179734	5.9304	1.4826
hsa-miR-5192-5p:Novel	0	1143	19.51	3	84.697489662143	4.4478	1.4826
hsa-miR-519a-5p, hsa-miR-519c-5p, hsa-miR-519b-5p, hsa-miR-523-5p, hsa-miR-518e-5p, hsa-miR-522-5p	0	378	22.2	5	46.2178835047733	7.413	1.4826
hsa-miR-548h-5p	0	1386	36.13	3	134.796688177799	4.4478	1.4826
hsa-miR-5694-3p:Novel	0	271	17.39	4	39.6690877773248	5.9304	1.4826
hsa-miR-5696-3p:Novel	0	2419	31.33	1	172.092291218285	1.4826	1.4826
hsa-miR-572-5p:Novel	0	646	24.84	3	76.1464617154944	4.4478	1.4826
hsa-miR-588-3p:Novel	0	341	15.34	5	32.198504207925	7.413	1.4826
hsa-miR-615-5p	0	2939	42.4	5	202.129312455363	7.413	1.4826
hsa-miR-633-5p:Novel	0	1500	41.4	3	141.625110399998	4.4478	1.4826
hsa-miR-639-5p:Novel	0	1026	26.97	3	97.5666846557452	4.4478	1.4826
hsa-miR-6516-5p	0	4021	27.88	1	271.0408309614	1.4826	1.4826
hsa-miR-6784-5p	0	962	23.63	4	80.6050999902785	5.9304	1.4826
hsa-miR-6791-5p	0	1504	28.37	3	141.414380357971	4.4478	1.4826
hsa-miR-6806-3p	0	857	25.6	3	88.1505833451351	4.4478	1.4826
hsa-miR-6811-5p	0	472	19.06	6	48.9208173902535	8.8956	1.4826
hsa-miR-6818-5p	0	298	21.12	3	49.2135842611821	4.4478	1.4826
hsa-miR-6846-3p	0	643	16.41	4	50.9171176628905	5.9304	1.4826
hsa-miR-6855-5p	0	573	19.93	3	72.5595997491816	4.4478	1.4826
hsa-miR-6861-5p	0	440	18.84	4	50.1055405284994	5.9304	1.4826
hsa-miR-6862-3p	0	841	15.32	3	61.3950905866476	4.4478	1.4826
hsa-miR-7158-3p	0	10542	113.95	1	788.839056893688	1.4826	1.4826
hsa-miR-769-3p	0	2452	54.47	3	237.272959252716	4.4478	1.4826
hsa-miR-7843-5p	0	1339	26.85	3	109.68569985509	4.4478	1.4826
hsa-miR-7852-3p	0	428	25.79	3	63.9930380907074	4.4478	1.4826
hsa-miR-7978-3p:Novel	0	787	17.54	4	59.3497764085548	5.9304	1.4826
hsa-miR-8071-5p:Novel	0	1367	37.63	1	149.352341125324	1.4826	1.4826
hsa-miR-8088-3p:Novel	0	775	16.71	3	65.2211805329676	4.4478	1.4826
hsa-miR-874-3p	0	609	19.55	6	50.1458081929601	8.8956	1.4826
hsa-miR-890-3p:Novel	0	1884	48.48	4	200.864104431369	5.9304	1.4826
hsa-miR-92a-2-5p	0	1183	30.84	3	113.98589224895	4.4478	1.4826
hsa-miR-939-5p	0	1723	21.2	3	121.576868660696	4.4478	1.4826
hsa-miR-942-3p	0	1267	29.65	3	115.519942322291	4.4478	1.4826
hsa-miR-9902	0	1338	17.88	3	94.4992563042698	4.4478	1.4826
hsa-miR-99b-3p	0	793	32.35	8	78.2497422500685	11.8608	1.4826
