miRNA	age	age.p	age.fdr	bmi	bmi.p	bmi.fdr
hsa-miR-5000-3p	0.058	0.243	0.6424096024006	-0.01	0.841	0.977468337730871
hsa-miR-5000-5p	-0.064	0.184	0.580497761862131	0.003	0.949	0.990766498964191
hsa-miR-5001-3p	-0.088	0.076	0.456258943781942	0.006	0.9	0.988057545148454
hsa-miR-5001-5p	0.037	0.405	0.774820846905538	-0.093	0.039	0.580423529411765
hsa-miR-5002-3p	-0.067	0.135	0.52977728285078	-0.118	0.01	0.355959595959596
hsa-miR-5002-5p	-0.009	0.849	0.948898192197907	0.009	0.849	0.978888888888889
hsa-miR-5003-3p	0.087	0.053	0.400798283261803	0.066	0.148	0.746907539118065
hsa-miR-5003-5p	-0.084	0.092	0.479597633136095	-0.017	0.74	0.964051756007394
hsa-miR-5004-3p	-0.037	0.441	0.790230303030303	0.035	0.474	0.90633532284319
hsa-miR-5004-5p	0.029	0.535	0.836019366197183	-0.026	0.582	0.932682128240109
hsa-miR-5006-3p	-0.059	0.235	0.634590038314176	-0.106	0.035	0.571018518518518
hsa-miR-5006-5p	-0.058	0.195	0.584859309182814	-0.022	0.623	0.938739957716702
hsa-miR-5007-3p	-0.028	0.6	0.86231647634584	-0.032	0.558	0.924166122258516
hsa-miR-5007-5p	-0.049	0.313	0.707966623876765	0.042	0.399	0.89046114971573
hsa-miR-5008-3p	0.053	0.307	0.70069170984456	-0.006	0.912	0.988057545148454
hsa-miR-5008-5p	-0.074	0.12	0.508880866425993	-0.022	0.647	0.940217731958763
hsa-miR-5009-3p	-0.087	0.088	0.474903522205207	-0.057	0.27	0.83277845351868
hsa-miR-5009-5p	-0.032	0.497	0.818331344653511	0.009	0.847	0.978888888888889
hsa-miR-500a-3p	-0.031	0.506	0.818331344653511	-0.056	0.238	0.816662122687439
hsa-miR-500a-5p	0.032	0.479	0.813884281581485	0.014	0.769	0.972520461699895
hsa-miR-500b-3p	0.038	0.448	0.792148519819368	0.012	0.809	0.976617064846417
hsa-miR-500b-5p	0.041	0.373	0.759798843930636	0.008	0.866	0.983362729320888
hsa-miR-501-3p	-0.086	0.054	0.403169491525424	-0.043	0.343	0.868341954022989
hsa-miR-501-5p	-0.043	0.381	0.764603644646925	-0.065	0.196	0.773082405345212
hsa-miR-5010-3p	-0.01	0.845	0.948251908396947	0.012	0.81	0.976617064846417
hsa-miR-5010-5p	-0.01	0.823	0.948151140065146	-0.02	0.652	0.940880748880749
hsa-miR-5011-3p	-0.033	0.499	0.818331344653511	-0.021	0.669	0.944678316123908
hsa-miR-5011-5p	-0.129	0.011	0.253359477124183	0.044	0.397	0.89046114971573
hsa-miR-502-3p	-0.027	0.563	0.847868376068376	0.044	0.363	0.870804628999319
hsa-miR-502-5p	-0.121	0.016	0.273708737864078	-0.005	0.917	0.98822874617737
hsa-miR-503-3p	0.032	0.506	0.818331344653511	0.02	0.68	0.945293885601578
hsa-miR-503-5p	0.008	0.859	0.951624017604527	-0.067	0.149	0.746907539118065
hsa-miR-504-3p	-0.048	0.303	0.696070404172099	-0.077	0.1	0.68828125
hsa-miR-504-5p	-0.089	0.046	0.387808612440191	-0.085	0.06	0.646605504587156
hsa-miR-5047	-0.013	0.786	0.935858633456749	0.116	0.014	0.407735537190083
hsa-miR-5047-5p:Novel	-0.095	0.046	0.387808612440191	-0.014	0.771	0.972520461699895
hsa-miR-505-3p	-0.068	0.168	0.566537799043062	-0.064	0.2	0.774505494505495
hsa-miR-505-5p	-0.026	0.586	0.855807708246995	-0.045	0.352	0.870804628999319
hsa-miR-506-3p	-0.089	0.079	0.464767946577629	-0.065	0.205	0.777631862217438
hsa-miR-506-5p	0.03	0.539	0.836019366197183	0.022	0.666	0.944678316123908
hsa-miR-507	-0.105	0.021	0.300829268292683	-0.114	0.014	0.407735537190083
hsa-miR-507-5p:Novel	-0.035	0.473	0.809544439048081	0.023	0.639	0.940217731958763
hsa-miR-508-3p	-0.084	0.092	0.479597633136095	0.065	0.197	0.773082405345212
hsa-miR-508-5p	-0.001	0.987	0.99698038100654	0.079	0.132	0.73578021978022
hsa-miR-5087	0.014	0.772	0.931299829059829	0.047	0.341	0.867015873015873
hsa-miR-5087-3p:Novel	-0.026	0.582	0.8549696213067	0.061	0.199	0.774505494505495
hsa-miR-5088-3p	-0.129	0.013	0.261782857142857	-0.067	0.205	0.777631862217438
hsa-miR-5088-5p	0.016	0.726	0.914981428571429	0.026	0.581	0.932351548269581
hsa-miR-5089-3p	-0.097	0.051	0.394131578947368	-0.1	0.047	0.600101449275362
hsa-miR-5089-5p	-0.064	0.182	0.580423529411765	0.025	0.611	0.938739957716702
hsa-miR-509-3-5p	0.028	0.584	0.855012879102617	0.035	0.502	0.913159897172237
hsa-miR-509-3p	-0.027	0.552	0.844291666666667	0.02	0.671	0.944678316123908
hsa-miR-509-5p	-0.064	0.151	0.544650972364381	-0.065	0.154	0.748546206896552
hsa-miR-5090	-0.054	0.231	0.630065015479876	0.066	0.146	0.746907539118065
hsa-miR-5090-3p:Novel	0.105	0.019	0.288603448275862	0.062	0.171	0.761467336683417
hsa-miR-5091	-0.059	0.183	0.580497761862131	-0.144	0.001	0.195777777777778
hsa-miR-5091-3p:Novel	-0.041	0.356	0.746752380952381	0.033	0.459	0.905897826086956
hsa-miR-5092	-0.034	0.444	0.790230303030303	0.022	0.621	0.938739957716702
hsa-miR-5092-5p:Novel	-0.009	0.841	0.948251908396947	-0.015	0.753	0.967750547045952
hsa-miR-5093	-0.077	0.084	0.469866666666667	-0.005	0.905	0.988057545148454
hsa-miR-5093-5p:Novel	-0.12	0.009	0.234933333333333	-0.095	0.042	0.580423529411765
hsa-miR-5094	0.061	0.176	0.572690674053555	-0.018	0.695	0.950031031807603
hsa-miR-5094-3p:Novel	0.017	0.721	0.91391091954023	0.006	0.898	0.988057545148454
hsa-miR-510-3p	-0.048	0.31	0.7048	-0.021	0.667	0.944678316123908
hsa-miR-510-5p	-0.112	0.027	0.326969072164948	-0.056	0.28	0.836154351395731
hsa-miR-5100	-0.073	0.1	0.484731774415406	-0.019	0.677	0.944850693069307
hsa-miR-5100-5p:Novel	0.023	0.615	0.87073523503415	-0.066	0.149	0.746907539118065
hsa-miR-511-3p	-0.067	0.138	0.5355859030837	-0.079	0.084	0.662228187919463
hsa-miR-511-5p	-0.042	0.416	0.778950053134963	0.046	0.38	0.882160737812912
hsa-miR-512-3p	-0.034	0.453	0.795402092675635	-0.028	0.547	0.922434204275535
hsa-miR-512-5p	-0.073	0.111	0.500209718670077	-0.093	0.045	0.589516728624535
hsa-miR-513a-3p	0.022	0.622	0.872943141153081	-0.014	0.767	0.972520461699895
hsa-miR-513a-5p	0.015	0.741	0.91624	-0.027	0.558	0.924166122258516
hsa-miR-513b-3p	0.032	0.526	0.832055555555556	0.038	0.451	0.905597720797721
hsa-miR-513b-5p	-0.002	0.974	0.995757470263998	-0.042	0.413	0.896741836105976
hsa-miR-513c-3p	-0.042	0.426	0.783111111111111	0.001	0.985	0.999
hsa-miR-513c-5p	-0.002	0.961	0.989644652250146	0.007	0.882	0.986093908629442
hsa-miR-514a-3p	-0.095	0.047	0.387887587822014	-0.043	0.38	0.882160737812912
hsa-miR-514a-5p	-0.035	0.438	0.789520204603581	-0.077	0.094	0.681167652859961
hsa-miR-514b-3p	-0.064	0.207	0.601375103050289	-0.034	0.505	0.913562628336756
hsa-miR-514b-5p	0.034	0.49	0.818331344653511	0.063	0.211	0.787673728813559
hsa-miR-515-3p	0.007	0.888	0.967030902348578	0.059	0.21	0.78643995749203
hsa-miR-515-5p	-0.039	0.394	0.771849557522124	-0.021	0.655	0.940880748880749
hsa-miR-516a-3p, hsa-miR-516b-3p	-0.005	0.916	0.977880642229627	0.035	0.449	0.905192219679634
hsa-miR-516a-5p	-0.098	0.044	0.387808612440191	-0.034	0.49	0.907865404837014
hsa-miR-516b-5p	-0.021	0.667	0.890681318681319	0.015	0.767	0.972520461699895
hsa-miR-517-5p	0.038	0.418	0.779794600317628	0.049	0.304	0.84498427672956
hsa-miR-517a-3p, hsa-miR-517b-3p	-0.036	0.473	0.809544439048081	0.11	0.032	0.547417475728155
hsa-miR-517c-3p	-0.015	0.773	0.931299829059829	0.034	0.521	0.918920920920921
hsa-miR-5186	-0.025	0.583	0.8549696213067	-0.054	0.234	0.811629921259843
hsa-miR-5186-5p:Novel	-0.182	0	0	-0.039	0.399	0.89046114971573
hsa-miR-5187-3p	-0.025	0.628	0.876811410459588	0.022	0.679	0.945293885601578
hsa-miR-5187-5p	-0.05	0.261	0.655744318181818	-0.053	0.241	0.8173536121673
hsa-miR-5188	-0.025	0.595	0.858984022941417	-0.024	0.613	0.938739957716702
hsa-miR-5188-5p:Novel	0.004	0.93	0.982704647676162	0.027	0.551	0.922434204275535
hsa-miR-5189-3p	0.043	0.34	0.733181208053691	0.062	0.167	0.761467336683417
hsa-miR-5189-5p	-0.111	0.014	0.26969387755102	-0.063	0.169	0.761467336683417
hsa-miR-518a-3p	-0.03	0.496	0.818331344653511	0.012	0.787	0.972520461699895
hsa-miR-518a-5p	-0.034	0.469	0.807153996101365	0.02	0.679	0.945293885601578
hsa-miR-518b	0.013	0.787	0.935858633456749	-0.076	0.118	0.719307032590051
hsa-miR-518b-5p:Novel	0.027	0.554	0.845882149046794	0.071	0.129	0.734403877221325
hsa-miR-518c-3p	-0.085	0.086	0.472798751950078	0.051	0.314	0.848570552147239
hsa-miR-518c-5p	-0.097	0.046	0.387808612440191	-0.087	0.079	0.662228187919463
hsa-miR-518d-3p	-0.059	0.243	0.6424096024006	-0.012	0.821	0.977468337730871
hsa-miR-518e-3p	-0.001	0.983	0.99698038100654	0.089	0.074	0.662228187919463
hsa-miR-518f-3p	0.027	0.6	0.86231647634584	0.062	0.232	0.811079365079365
hsa-miR-518f-5p	-0.087	0.105	0.494679144385027	-0.049	0.362	0.870804628999319
hsa-miR-5190	-0.018	0.685	0.900694485842027	-0.008	0.868	0.983863621743326
hsa-miR-5190-5p:Novel	-0.008	0.853	0.950354726525451	0.01	0.824	0.977468337730871
hsa-miR-5191	0.027	0.549	0.841529360591562	0.046	0.307	0.846746500777605
hsa-miR-5191-5p:Novel	-0.111	0.014	0.26969387755102	-0.021	0.643	0.940217731958763
hsa-miR-5192	-0.009	0.84	0.948251908396947	0.011	0.814	0.976689138576779
hsa-miR-5192-5p:Novel	-0.073	0.108	0.496208604954368	-0.003	0.956	0.992032979976443
hsa-miR-5193	0.009	0.838	0.948251908396947	-0.085	0.06	0.646605504587156
hsa-miR-5193-5p:Novel	0.058	0.195	0.584859309182814	0.066	0.144	0.745162995594714
hsa-miR-5194	-0.016	0.721	0.91391091954023	-0.067	0.14	0.743012048192771
