ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averagea.drinker	Averagea.no_drinker	Mediana.drinker	Mediana.no_drinker
has-miR-548o	0.547419712096707	-1.59556583938108	1.50252169623414	-1.06192532419342	0.288269587480301	NA	a.no_drinker_vs_a.drinker	NA	0.509560973141886	1.20037687898266	0	0
has-miR-548x	1.42652213207004	1.72937585931359	1.1509523689507	1.50256075400429	0.132952350187433	NA	a.no_drinker_vs_a.drinker	NA	1.78323243769667	2.10335383147435	0.215342728690665	0
hsa-let-7a-2-3p	0.482209274524469	0.20159882177248	1.45091078975032	0.138946393669849	0.889492509662747	NA	a.no_drinker_vs_a.drinker	NA	0.504316936225149	0.329590982228212	0	0
hsa-let-7a-3p	317.00347251487	0.701711596587055	0.768103577816107	0.913563765165865	NA	NA	a.no_drinker_vs_a.drinker	NA	416.194376767545	4236.50970629053	15.3914985086323	44.4134993683841
hsa-let-7a-5p	17.6439699956773	-1.56842030804035	0.752208759772318	-2.08508647056315	0.0370614521305746	0.409647327273053	a.no_drinker_vs_a.drinker	FALSE	18.6451947493896	10.5852654502723	7.21253007391495	6.48239738112973
hsa-let-7b-3p	0.505538675299228	-2.31596426555361	2.09308716442811	-1.1064824747451	0.268517745361395	NA	a.no_drinker_vs_a.drinker	NA	0.580937582559521	0.786546107368133	0	0
hsa-let-7b-5p	199.399532649692	-0.217187250116271	0.819264736192746	-0.265100205735175	NA	NA	a.no_drinker_vs_a.drinker	NA	285.566224452193	2275.20531437432	11.8530413965532	25.3362465757159
hsa-let-7c-3p	4.7249905275718	-0.261744072428097	0.950169376228487	-0.275470962310993	0.782954431848118	NA	a.no_drinker_vs_a.drinker	NA	4.88071078313555	9.0545127133878	0.277223932012761	0.523971304420287
hsa-let-7c-5p	15.8108760380756	-0.299406702818259	0.788762185383042	-0.379590589364854	0.704249347475836	0.967436745319532	a.no_drinker_vs_a.drinker	FALSE	18.5586484448049	184.437246534493	2.63671075002485	4.54735461940635
hsa-let-7d-3p	2.77430868041043	-0.381306615796029	0.90338820502666	-0.422085005841732	0.672962971905288	NA	a.no_drinker_vs_a.drinker	NA	3.84709349709539	21.4922571936763	1.43176868179089	0.905011703545244
hsa-let-7d-5p	34.7725808042191	0.416240442833429	0.794598649868913	0.52383733964574	NA	NA	a.no_drinker_vs_a.drinker	NA	49.3713435102186	486.285041117862	3.30717649995738	6.87225697252386
hsa-let-7e-3p	0.08332330472642	-0.388172328376217	4.40859319492413	-0.0880490240794145	0.929837711834189	NA	a.no_drinker_vs_a.drinker	NA	0.0765427997073799	0.183579681984403	0	0
hsa-let-7e-5p	4.22887809481502	-1.5933002034581	0.77640826024844	-2.05214226204686	0.0401558387575098	NA	a.no_drinker_vs_a.drinker	NA	5.30752672871756	37.4975883288681	2.10490282203767	2.69461330129862
hsa-let-7f-1-3p	0.0789497411829645	-1.68947127647779	6.23435033811356	-0.270993958448123	0.786395678924649	NA	a.no_drinker_vs_a.drinker	NA	0.154586452218089	0.0585607308657198	0	0
hsa-let-7f-2-3p	0.480033123319133	1.3464932838435	1.07793365264674	1.24914300665661	0.211612773136402	NA	a.no_drinker_vs_a.drinker	NA	0.4106608571778	1.68751202012165	0	0
hsa-let-7f-5p	2.19057776032185	0.38562370842331	0.923805002331704	0.417429768674111	0.676364084561265	NA	a.no_drinker_vs_a.drinker	NA	2.12709471996664	2.09324876967146	1.0369563149322	0.913118762673353
hsa-let-7g-3p	2.95924040264874	0.0652693057522531	0.866423116548562	0.0753319071313061	0.939950635380106	NA	a.no_drinker_vs_a.drinker	NA	2.92122404643223	2.28848716169938	0.343570426910072	0.503193646613315
hsa-let-7g-5p	210.641036207227	0.189156523476274	0.92845495333422	0.203732580452056	NA	NA	a.no_drinker_vs_a.drinker	NA	312.324813319443	2652.9203016924	8.12386610499567	17.0798176670212
hsa-let-7i-3p	0.321038812264859	-1.04076836106893	1.78615927987057	-0.582685078983747	0.560105319627386	NA	a.no_drinker_vs_a.drinker	NA	0.295149339378313	0.397009647753652	0	0
hsa-let-7i-5p	252.294507858521	-0.031158184435086	0.840100094679704	-0.0370886572116925	NA	NA	a.no_drinker_vs_a.drinker	NA	361.574904863056	2828.31622373117	8.18028245806141	16.6954155302456
hsa-miR-1-2-5p:Novel	9.77731447266721	-1.82097546109932	0.835104626290497	-2.18053571225922	0.0292177746218684	0.363784920642037	a.no_drinker_vs_a.drinker	FALSE	9.39840942650187	8.96628420673815	3.88858618099575	3.09357258478815
hsa-miR-1-3p	1.92911089471694	0.270372607828078	0.708659451467673	0.381526849417053	0.702812352158245	NA	a.no_drinker_vs_a.drinker	NA	1.89791766304245	1.80996465024061	1.02438428907358	1.3240022859899
hsa-miR-1-5p	12.316696507583	-0.464041400764172	0.72822951957027	-0.637218607998759	0.523982458594689	0.898379165808386	a.no_drinker_vs_a.drinker	FALSE	11.5710762727064	7.97663590549689	6.47462178312189	5.20374789479001
hsa-miR-100-3p	0.28725345502285	0.42185340102059	1.72088780645126	0.245137073689027	0.806350297829826	NA	a.no_drinker_vs_a.drinker	NA	0.239768932342954	0.348694154158877	0	0
hsa-miR-100-5p	6.58136508172042	2.5271198811214	1.45799717129527	1.73328174489964	0.0830456037978713	0.586447388831384	a.no_drinker_vs_a.drinker	FALSE	5.7571429066622	51.6864446160645	0.420980564407533	1.79735280841163
