ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_normal	Average_obese	Average_overweight	Average_underweight	Median_normal	Median_obese	Median_overweight	Median_underweight
hsa-let-7a-2-3p	0.543289303699942	0.488351614227519	0.770801727073024	0.633563207080429	0.526365918777671	1	overweight_vs_obese	FALSE	0.473880150078238	0.334010184063845	0.852725344921445	0.605124064758086	0	0	0	0
hsa-let-7a-3p	551.785317606359	-0.00693725226641574	0.566789152126794	-0.0122395642901504	NA	NA	overweight_vs_obese	NA	325.319922916661	63.1740862596951	286.399883775354	3503.73581844909	19.0478308731826	21.646945040897	9.96867399846004	27.1526716714026
hsa-let-7a-5p	14.3431122989646	0.637717322421947	0.479548814080463	1.32982775412504	0.183575029274121	1	overweight_vs_obese	FALSE	16.0322730471635	10.8841247096337	10.8048780439267	15.6486387626056	6.98381464410546	5.5820907600448	4.80355000571998	7.22920623593095
hsa-let-7b-3p	0.46642858175946	-0.309797955766196	1.2320278321242	-0.251453699087349	0.801463355108977	1	overweight_vs_obese	FALSE	0.563303186399199	0.317049291286999	0.262494205961676	0.443418439822794	0	0	0	0
hsa-let-7b-5p	328.961407011101	-0.0129287520258969	0.599172005218863	-0.0215776970774433	NA	NA	overweight_vs_obese	NA	208.321699252985	40.7541733880309	140.59166179005	2049.70202073616	13.2719507923825	17.1627949323962	6.71191876640335	18.9477273964172
hsa-let-7c-3p	4.05906894253878	1.00496162848901	0.665092442348529	1.51101044681902	0.130785789244968	1	overweight_vs_obese	FALSE	4.34203201422416	2.17118648791691	3.11570458830549	6.76040966433454	0.147737948075273	0	0.607226352401894	0.124227710317512
hsa-let-7c-5p	24.1723732282617	0.171973331081881	0.600717560348993	0.286279846691965	NA	NA	overweight_vs_obese	NA	16.0620113230508	6.34382781320675	9.59480643929772	143.9818370322	3.32379946175436	3.51669098860905	1.65617603338945	2.96512840631963
hsa-let-7d-3p	4.73081634582292	-0.771350249661851	0.659257883944891	-1.17002810045474	0.241989660643831	1	overweight_vs_obese	FALSE	3.57514170027924	4.84830700908303	2.2557951392241	20.9295958806488	1.60265120801844	0.420980564407533	0.492524762018449	1.21765805088205
hsa-let-7d-5p	63.2055409525673	0.441403028549746	0.6063830854739	0.72792767332021	NA	NA	overweight_vs_obese	NA	35.4149165319887	10.2397289122657	26.5647002024021	429.689613925656	3.41967372259746	3.86172769961729	2.43927550354403	4.62666385282025
hsa-let-7e-3p	0.0638322911088615	0.195494786077285	2.83149620748567	0.0690429270434663	0.944955450163408	1	overweight_vs_obese	FALSE	0.0760724789339442	0	0.0621570776939014	0.0407678270087092	0	0	0	0
hsa-let-7e-5p	6.81325203810909	0.435862734045235	0.586232462726095	0.743498120213931	0.457180159179195	1	overweight_vs_obese	FALSE	5.63249100390152	2.79902740580084	2.87010147943779	30.9995359798919	2.43322060432665	2.89399099033747	1.18472253904363	2.98244263327788
hsa-let-7f-1-3p	0.105175000192724	-0.0183526345147015	2.56847346187916	-0.00714534714377553	0.994298886345109	1	overweight_vs_obese	FALSE	0.0866550957133164	0.14902070414606	0.0916762898149596	0.268517932238833	0	0	0	0
hsa-let-7f-2-3p	0.509993447484165	0.767358959669923	0.784690560185376	0.977912821442177	0.328117443254267	1	overweight_vs_obese	FALSE	0.422882529411748	0.262531293707878	0.698775328708787	1.03228763423355	0	0	0	0
hsa-let-7f-5p	1.87508521118299	1.17151999007949	0.611863692280247	1.91467479580878	0.0555339898086573	0.885748613376973	overweight_vs_obese	FALSE	1.80421246241105	0.920165073325018	2.63058903475543	1.72495669344188	0.677835633661835	0	0.785280145866317	0.124227710317512
hsa-let-7g-3p	2.81679778345055	0.406218185848213	0.630531943334804	0.644246798504412	0.519415408457561	1	overweight_vs_obese	FALSE	3.19412822578869	1.79746278950009	2.7954693516311	1.38684339648114	0.439064526856523	0	0.3034409893121	0.349677195711012
hsa-let-7g-5p	367.417184633969	0.433261814176771	0.664500978468508	0.652010799405172	NA	NA	overweight_vs_obese	NA	219.181619318618	42.9751389657003	150.106720580607	2415.31482404491	7.95187941014571	5.79365031823568	5.08965075053042	15.3237280301225
hsa-let-7i-3p	0.309678724576388	0.186785695869073	0.988857720978442	0.188890365020617	0.850178745240965	1	overweight_vs_obese	FALSE	0.369634163507656	0.110146926982719	0.250778662187692	0.213563526880427	0	0	0	0
hsa-let-7i-5p	402.525991091372	-0.984393397713009	0.645162604371003	-1.52580665873022	NA	NA	overweight_vs_obese	NA	264.311347572368	68.5147748949268	124.670723455837	2535.39208537446	8.29078731329811	13.1541867027751	5.04184379743718	9.52743308322373
hsa-miR-1-2-5p:Novel	8.54696021852827	-0.290235144937258	0.482873471924854	-0.601058376183534	0.547801105576386	1	overweight_vs_obese	FALSE	9.4258345417129	8.14161447945796	5.21247216912447	12.2384719906881	4.06150524811607	3.7968053302752	3.42948961553764	1.90491943098717
hsa-miR-1-3p	1.67889800431618	-0.295373863391632	0.486819890770455	-0.606741567038613	0.544022431971855	1	overweight_vs_obese	FALSE	1.80715652024009	2.09927170053288	1.67965394450649	0.62116573370073	1.20371874764162	1.34568034046068	0.856909138848815	0
hsa-miR-1-5p	11.9304913696082	-0.394922034906565	0.458683376186933	-0.860990511994525	0.389243268722507	1	overweight_vs_obese	FALSE	13.3939935114748	11.6305993438743	8.8196097763877	11.1589082899724	7.30661747279074	7.19722814204556	4.16102133189077	7.78784286696498
