ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averageabstemious	Averageall	Averagenowine	Medianabstemious	Medianall	Mediannowine
has-miR-548o	0.33500521171989	-0.513581306979915	2.5307606350786	-0.202935552205617	0.839185405759769	NA	nowine_vs_abstemious	NA	0.819544209917442	0.33155995655568	0.0235485005196479	1.30347504090334	0	0
has-miR-548x	1.34253497827163	2.55625616771279	1.82425670621473	1.40125902182754	0.161136630350786	NA	nowine_vs_abstemious	NA	0.295243993802183	1.57407435086216	1.41212781097795	0.146758758346356	0	0
hsa-let-7a-2-3p	0.651958530811686	2.71227834101302	1.55595112618164	1.74316422628842	0.081304932343359	NA	nowine_vs_abstemious	NA	0.117407006677085	0.745416303848938	0.438459024873792	0	0	0
hsa-let-7a-3p	107.079579117193	-0.415858480031924	0.969134946212645	-0.429102759793246	NA	NA	nowine_vs_abstemious	NA	25.8561155565589	177.005442731581	15.1462222483779	18.7851210683336	18.4272391148687	9.54147425237484
hsa-let-7a-5p	8.88540308861354	-0.771170078729679	0.874226045997015	-0.882117482384312	0.377713279111867	0.718138091097754	nowine_vs_abstemious	FALSE	7.71202519428746	10.1987040378359	4.48216103485997	7.31958632117258	4.6801926482395	2.72729794940187
hsa-let-7b-3p	0.306565999064634	0.29841259689696	3.12817277616072	0.0953951773927297	0.924000946493909	NA	nowine_vs_abstemious	NA	0.0587035033385424	0.335924940742237	0.0470970010392958	0	0	0
hsa-let-7b-5p	59.8544926669154	-0.978087223498025	1.02813647949024	-0.951320416121184	NA	NA	nowine_vs_abstemious	NA	13.6428759588243	94.6578439113314	16.1095852311044	9.12432528632336	9.51161725236062	11.3204694272689
hsa-let-7c-3p	2.47103870395693	-1.40307187945987	1.20670760109495	-1.16272730708479	0.244940158724436	0.610607614310464	nowine_vs_abstemious	FALSE	10.8660711284322	2.10931995546788	0.363898637322223	1.32665842522031	0.531952781092528	0
hsa-let-7c-5p	5.84057718586428	-0.687636754850695	1.01272660946341	-0.678995444994813	0.497140748078553	0.788425704237745	nowine_vs_abstemious	FALSE	4.41994397788905	7.86778949184406	1.97241957117604	4.18262075495576	3.01008289971418	1.56601030985309
hsa-let-7d-3p	3.14167103099851	0.53849594470506	1.56147996249016	0.344862539155672	0.730197714290846	0.894527015536211	nowine_vs_abstemious	FALSE	2.50610861117754	4.11412663788597	2.2570579992594	2.60695008180667	0.520512846735144	1.78244267100542
hsa-let-7d-5p	11.7133277948065	-0.524494100310902	1.07804076399829	-0.486525294614678	0.62659477574025	0.848346991538672	nowine_vs_abstemious	FALSE	6.32935409935656	18.1613878732871	1.33929900139121	4.64330448827109	3.70970488918893	0.824571383776465
hsa-let-7e-3p	0.0608586128850125	-1.30741446004944	9.05228030956098	-0.144429294646185	0.885161485533722	NA	nowine_vs_abstemious	NA	0.521390016361334	0.0441773512481559	0	0	0	0
hsa-let-7e-5p	4.1603212682273	-0.86810157641578	1.03751375375429	-0.836713319003738	0.402753730703989	0.725791685865016	nowine_vs_abstemious	FALSE	18.1222660765872	3.96852722912791	3.20890158346998	2.09131037747788	2.15239821197981	2.48788531829507
hsa-let-7f-1-3p	0.0894118093577484	1.32657521684862	9.06413019046873	0.1463543869045	0.883641633482329	NA	nowine_vs_abstemious	NA	0.0293517516692712	0.111378700020351	0	0	0	0
hsa-let-7f-2-3p	0.572280003248808	0.959161221946425	1.66612994196125	0.575682122858539	0.564830061036182	NA	nowine_vs_abstemious	NA	0.856805658053612	0.531823930680377	0.228323984457786	1.30347504090334	0	0
hsa-let-7f-5p	1.70744674594843	-0.578574274586759	1.22191604217685	-0.473497568258475	0.635858235479158	0.849721789021038	nowine_vs_abstemious	FALSE	2.10233548994653	1.80759714359546	0.565423165477433	1.98998763783047	0.565595900642725	0.353227507794719
hsa-let-7g-3p	3.30512279180099	0.445229623041307	1.24384347003539	0.357946665932684	0.720383226923459	0.892516343625374	nowine_vs_abstemious	FALSE	7.44686901902927	3.44763718557083	1.29366621314483	0.666131998054403	0	0
