miRNA...1	baseMean...2	log2FoldChange...3	pvalue...6	padj...7	comparison...8	size...9	sig...10	miRNA...11	baseMean...12	log2FoldChange...13	pvalue...16	padj...17	comparison...18	size...19	sig...20	miRNA...21	baseMean...22	log2FoldChange...23	pvalue...26	padj...27	comparison...28	size...29	sig...30
hsa-miR-629-5p	8.65102501225927	-1.63710451878848	0.000898952958805522	0.0917486444223627	U16_never	29_117	FALSE	hsa-miR-103b-3p:Novel	17.0447278777303	4.29377493624913	8.41817338795569e-11	1.30797369015361e-08	O16_never	14_117	TRUE	hsa-miR-103b-3p:Novel	17.0447278777303	4.50816202476345	6.96976919103542e-09	1.02368484993333e-06	O16_U16	14_29	TRUE
hsa-miR-6717-5p	60.3762765819935	-0.891657644106727	0.000925832285556762	0.0917486444223627	U16_never	29_117	FALSE	hsa-miR-140-3p	12.1839794727003	4.21435421622271	3.63444117666696e-10	5.3148357442318e-08	O16_never	14_117	FALSE	hsa-miR-7113-5p	396.384001156768	3.03620636965838	8.47808991290801e-09	1.1719712526667e-06	O16_U16	14_29	TRUE
hsa-miR-1255a	2.99676258960693	1.26151183703232	0.0012003547081532	0.0941861238227531	U16_never	29_117	FALSE	hsa-miR-25-3p	35.1183007707387	4.04274715956497	5.61857164026765e-10	7.75987172094744e-08	O16_never	14_117	TRUE	hsa-miR-192-5p	1184.04457696101	3.94896983373229	1.19131872673156e-08	1.55533278212176e-06	O16_U16	14_29	TRUE
hsa-miR-3145-3p	17.4995592201602	-2.05200598268177	0.00134802858108348	0.0941861238227531	U16_never	29_117	FALSE	hsa-miR-101-5p	15.7321033637468	3.67407796363983	7.14568878971173e-10	9.3495696480123e-08	O16_never	14_117	TRUE	hsa-miR-378a-3p	141.81750761029	3.64832833222764	1.82522841765691e-08	2.25751935868092e-06	O16_U16	14_29	TRUE
hsa-miR-3170	47.0833516153032	-0.885286917286534	0.00141081671394178	0.0941861238227531	U16_never	29_117	FALSE	hsa-miR-1184-5p:Novel	4.90315719023085	2.62707198849309	1.39065440461899e-09	1.72858342494141e-07	O16_never	14_117	FALSE	hsa-miR-194-3p	133.934807949941	3.05090548920351	2.26864997061601e-08	2.53872734807029e-06	O16_U16	14_29	TRUE
hsa-miR-3191-3p	17.1328864842279	1.16323597049242	0.00132267712498355	0.0941861238227531	U16_never	29_117	FALSE	hsa-miR-15b-5p	5.37997091102175	4.80943217650557	1.70619814724211e-09	2.01981361621137e-07	O16_never	14_117	FALSE	hsa-miR-25-3p	35.1183007707387	4.28418685167542	2.23238258874541e-08	2.53872734807029e-06	O16_U16	14_29	TRUE
hsa-miR-4296	15.0872779271524	-1.28660709304821	0.00134847069561975	0.0941861238227531	U16_never	29_117	FALSE	hsa-miR-200c-3p	182.671200990766	3.52995510645114	2.99818726181818e-09	3.38795160585454e-07	O16_never	14_117	TRUE	hsa-miR-1184-5p:Novel	4.90315719023085	2.85588660611126	3.04379221899652e-08	3.17980900786969e-06	O16_U16	14_29	FALSE
hsa-miR-4739	48.5204329991056	1.19488324021121	0.00126701277921816	0.0941861238227531	U16_never	29_117	FALSE	hsa-miR-192-5p	1184.04457696101	3.51693786953231	3.802721574404e-09	4.11024601476885e-07	O16_never	14_117	TRUE	hsa-miR-146b-5p	28.8731802808404	3.17465436958553	3.11215349706395e-08	3.17980900786969e-06	O16_U16	14_29	TRUE
hsa-miR-5187-5p	29.9493230134042	-1.14545428953323	0.00134465545429491	0.0941861238227531	U16_never	29_117	FALSE	hsa-miR-185-5p	36.303235093042	3.95304403788258	4.63173963738975e-09	4.79771030772954e-07	O16_never	14_117	TRUE	hsa-miR-21-5p	326.424043399384	3.58858894245443	3.62060132036431e-08	3.54517212619005e-06	O16_U16	14_29	TRUE
hsa-miR-922-5p:Novel	68.5507713287897	0.638268037163574	0.00135958504091654	0.0941861238227531	U16_never	29_117	FALSE	hsa-miR-148a-3p	264.086741943925	3.40811840107005	5.70322021639753e-09	5.45315594537087e-07	O16_never	14_117	TRUE	hsa-miR-186-5p	8.26289971154936	4.06993560459588	4.59935975097049e-08	4.32339816591227e-06	O16_U16	14_29	FALSE
