miRNA	baseMean	log2FoldChange	pvalue	padj	comparison	size	sig
hsa-miR-455-5p	4.52304556788153	-1.50130759441772	0.000318493008072073	0.0199350623623887	All_NoWine	177_36	FALSE
hsa-miR-12136-3p:Novel	23.6801099274635	0.815625933019272	0.000336824603434478	0.0206608211746709	All_NoWine	177_36	TRUE
hsa-miR-4689	3.4642631779269	-1.5999708264196	0.000355408973123689	0.0213733200111834	All_NoWine	177_36	FALSE
hsa-miR-325-3p:Novel	4.79677565149161	-1.34787355333544	0.000402366953354564	0.0235864421787479	All_NoWine	177_36	FALSE
hsa-miR-4658	9.06387579321036	-1.05145928599639	0.000407590947334084	0.0235864421787479	All_NoWine	177_36	FALSE
hsa-miR-4420-5p:Novel	3.40270269717083	-1.06118013530131	0.000428721056444167	0.0239070450929865	All_NoWine	177_36	FALSE
hsa-miR-7515	2.28766363972191	-1.41367833238979	0.000428185548432977	0.0239070450929865	All_NoWine	177_36	FALSE
hsa-miR-6879-3p	2.56311626942985	-1.22401333342855	0.000454417034989187	0.0248874472555685	All_NoWine	177_36	FALSE
hsa-miR-4471	9.545245324478	-0.919432688763437	0.000472845951801266	0.0254424304241137	All_NoWine	177_36	FALSE
hsa-miR-4681-3p:Novel	1.91703639904462	-1.15356420164385	0.000496325957396662	0.0258005374802638	All_NoWine	177_36	FALSE
hsa-miR-4687-3p	25.3564188156722	1.37737026081034	0.000496054490790756	0.0258005374802638	All_NoWine	177_36	TRUE
hsa-miR-563	2.75405545960315	-1.00159139638719	0.000517100945242813	0.0264324766509951	All_NoWine	177_36	FALSE
hsa-miR-10523-5p	2.07644314377219	-1.42080641670921	0.00053524349375104	0.0264810853340225	All_NoWine	177_36	FALSE
hsa-miR-4509	6.70495083301309	-1.00581206839805	0.000535320277375089	0.0264810853340225	All_NoWine	177_36	FALSE
hsa-miR-5707-3p:Novel	5.62351732925002	-1.48459756395426	0.000660126557998759	0.0321366373552729	All_NoWine	177_36	FALSE
hsa-miR-6840-5p	1.59607715857397	-1.43038853321369	0.000747548455331485	0.0358239236328385	All_NoWine	177_36	FALSE
hsa-miR-623	7.19818219333134	-0.985188516848278	0.0007740766733463	0.0365245101100477	All_NoWine	177_36	FALSE
hsa-miR-602-3p:Novel	4.94751820322223	-0.884218037888037	0.000809938294348728	0.0370758320711574	All_NoWine	177_36	FALSE
hsa-miR-640-5p:Novel	8.91183499311735	-0.81157818823881	0.000806858855326114	0.0370758320711574	All_NoWine	177_36	FALSE
hsa-miR-202-3p	10.1557850522785	-0.892961860949006	0.0008229659383671	0.0371181843084102	All_NoWine	177_36	FALSE
hsa-miR-1231	21.950850872219	-0.809187633389554	0.000912480833576246	0.0373143828877113	All_NoWine	177_36	TRUE
hsa-miR-4303-3p:Novel	9.84586808437417	-1.05998743795989	0.000866411285012334	0.0373143828877113	All_NoWine	177_36	FALSE
hsa-miR-4749-5p	3.09659126313848	-1.15066970298273	0.000854262319646735	0.0373143828877113	All_NoWine	177_36	FALSE
hsa-miR-575	9.27442214885854	-0.751192425218968	0.000875780784135255	0.0373143828877113	All_NoWine	177_36	FALSE
hsa-miR-6826-5p	11.6053639871059	-0.808761309662119	0.000908147464214054	0.0373143828877113	All_NoWine	177_36	FALSE
hsa-miR-6892-3p	1.01657967405877	-1.3863475462479	0.000903294750817461	0.0373143828877113	All_NoWine	177_36	FALSE
hsa-miR-7703-5p:Novel	3.59469181257018	-1.04045750437541	0.000911666173184499	0.0373143828877113	All_NoWine	177_36	FALSE
hsa-miR-1293	21.7440635636081	-0.750445002952392	0.000938764655423239	0.0373338841465965	All_NoWine	177_36	TRUE
hsa-miR-2110-3p:Novel	39.7206202856866	0.865934607046402	0.000925209222018398	0.0373338841465965	All_NoWine	177_36	TRUE
hsa-miR-6515-3p	1.6473315135945	-1.32984235680661	0.000949476023291336	0.0373338841465965	All_NoWine	177_36	FALSE
hsa-miR-615-5p	38.1958728914201	1.42012750597028	0.000989218498303328	0.0384042168898267	All_NoWine	177_36	TRUE
hsa-miR-4499	2.74870318096068	-1.17258245197442	0.00108209727162045	0.0413093313462063	All_NoWine	177_36	FALSE
hsa-miR-572	25.9646405935901	-0.857688075597351	0.00110445554952361	0.0413093313462063	All_NoWine	177_36	TRUE
hsa-miR-578-5p:Novel	1.28368930942731	-1.31909172934182	0.0010911179227368	0.0413093313462063	All_NoWine	177_36	FALSE
hsa-miR-4658-5p:Novel	2.74697868100397	-1.12508627116145	0.00112417779164832	0.0414157518478734	All_NoWine	177_36	FALSE
hsa-miR-5003-3p	5.39974133289351	-0.92734011202039	0.00113430816929291	0.0414157518478734	All_NoWine	177_36	FALSE
hsa-miR-222-5p	5.91861184386636	-1.41028513543148	0.00119542426254733	0.0431337201556785	All_NoWine	177_36	FALSE
hsa-miR-607-5p:Novel	23.930359000491	-0.884781272077482	0.00122371220824904	0.0436409923569746	All_NoWine	177_36	TRUE
hsa-miR-92a-3p	65.6153017350154	-1.06901264638224	0.00124724460345418	0.0439689563079768	All_NoWine	177_36	TRUE
hsa-miR-11400-3p:Novel	5.26209994583544	-1.05790664504643	0.00133887741500085	0.0455654266731689	All_NoWine	177_36	FALSE
hsa-miR-3650-3p:Novel	2.63589217816111	-1.04949606461525	0.00132313318458191	0.0455654266731689	All_NoWine	177_36	FALSE
hsa-miR-633-5p:Novel	31.3432140370065	1.76062439018078	0.00134502093483698	0.0455654266731689	All_NoWine	177_36	TRUE
hsa-miR-6724-5p	25.9422336444274	-0.826724114262573	0.00135195755698023	0.0455654266731689	All_NoWine	177_36	TRUE
hsa-miR-874-3p	13.3188101065985	-1.02068017929214	0.00138929046222362	0.0463147157352155	All_NoWine	177_36	FALSE
hsa-miR-1250-5p	16.1591768707265	0.809014549744801	0.0015656991574117	0.0516344012449642	All_NoWine	177_36	FALSE
hsa-miR-1539	2.74311703818729	-1.13098616844974	0.00168108093602161	0.0548497364976412	All_NoWine	177_36	FALSE
hsa-miR-4301	3.02198441756142	1.35561131792859	0.00174167242273237	0.0557799580914959	All_NoWine	177_36	FALSE
hsa-miR-7114-3p	1.25377298810894	-1.35614316074177	0.00174596543096955	0.0557799580914959	All_NoWine	177_36	FALSE
hsa-miR-3157-3p	10.0482547360805	-1.25799065847176	0.00182817279125209	0.0578041850594863	All_NoWine	177_36	FALSE
hsa-miR-4493	12.7488537067423	1.02486398216134	0.00190181989114337	0.0595192000626196	All_NoWine	177_36	FALSE
hsa-miR-4750-5p	13.0343312104737	-1.0815612273476	0.00197746863193895	0.061261578728856	All_NoWine	177_36	FALSE
hsa-miR-1288-3p	12.7007714798627	-0.848757056053367	0.0020889505906312	0.064068114614659	All_NoWine	177_36	FALSE
hsa-miR-6886-3p	5.46685449273486	-0.953898562501723	0.00213137821935803	0.0647221485026839	All_NoWine	177_36	FALSE
hsa-miR-3159	11.7288910663473	1.05209106478133	0.00217097593482794	0.0652782665893854	All_NoWine	177_36	FALSE
hsa-miR-583-3p:Novel	9.51846085815877	1.03967569516216	0.00226703281342168	0.0675047537744106	All_NoWine	177_36	FALSE
hsa-miR-3686	2.41077663528017	-0.907095506761447	0.00228968745358352	0.0675237636551985	All_NoWine	177_36	FALSE
hsa-miR-12119	12.0951771272694	-0.892561687708204	0.0023972939536906	0.0693632127921611	All_NoWine	177_36	FALSE
hsa-miR-620-5p:Novel	1.56717313631776	-1.50991795217976	0.00239261169379907	0.0693632127921611	All_NoWine	177_36	FALSE
hsa-miR-3189-5p	3.50401986399058	-2.01542941648959	0.00252668573533504	0.0699780525817285	All_NoWine	177_36	FALSE
hsa-miR-3680-3p	21.9316203772294	-1.01853208054348	0.0024863384388457	0.0699780525817285	All_NoWine	177_36	FALSE
hsa-miR-4522	11.776815687046	-0.880230216298552	0.00257825886590653	0.0699780525817285	All_NoWine	177_36	FALSE
hsa-miR-550a-3p	56.6807468062434	-0.933048723994141	0.00256652088300672	0.0699780525817285	All_NoWine	177_36	FALSE
hsa-miR-573-3p:Novel	2.39657905264294	-0.854913154881621	0.00249796149567065	0.0699780525817285	All_NoWine	177_36	FALSE
hsa-miR-9985-3p:Novel	9.0160638746293	-0.893764340011173	0.00257205892065728	0.0699780525817285	All_NoWine	177_36	FALSE
hsa-miR-9986	11.1682128007263	-0.717342033074037	0.00251282055754091	0.0699780525817285	All_NoWine	177_36	FALSE
hsa-miR-31-3p	1.12670567114521	-1.43688349950112	0.0027834743605674	0.0711350649089932	All_NoWine	177_36	FALSE
hsa-miR-4479	6.03139509900012	-0.903801151799397	0.00275290094542647	0.0711350649089932	All_NoWine	177_36	FALSE
hsa-miR-4500-5p:Novel	1.30919629911495	-1.43394354779196	0.00274264468429571	0.0711350649089932	All_NoWine	177_36	FALSE
hsa-miR-4712-5p	1.6666691534425	-1.16182024773473	0.00273396438578091	0.0711350649089932	All_NoWine	177_36	FALSE
hsa-miR-4739	48.5204329991056	1.05616428632964	0.00268506644322445	0.0711350649089932	All_NoWine	177_36	FALSE
hsa-miR-5693-5p:Novel	3.85824247370134	-1.35100315915372	0.00268214233554171	0.0711350649089932	All_NoWine	177_36	FALSE
hsa-miR-6748-3p	7.12659878410311	-1.06687299289245	0.00280643718747577	0.0711350649089932	All_NoWine	177_36	FALSE
hsa-miR-6783-5p	5.86835571614249	-1.10222124710275	0.00278655308991715	0.0711350649089932	All_NoWine	177_36	FALSE
hsa-miR-1271-3p	5.05746786955575	-1.5487021015063	0.00306424913306747	0.071754068661404	All_NoWine	177_36	FALSE
hsa-miR-148a-5p	5.6766530669992	-1.16728235333155	0.00292651401921145	0.071754068661404	All_NoWine	177_36	FALSE
hsa-miR-3658-3p:Novel	1.11715146626901	-1.10030692829112	0.00293005323164317	0.071754068661404	All_NoWine	177_36	FALSE
hsa-miR-3682-3p	12.3762820853093	0.916799480738654	0.00307502554484227	0.071754068661404	All_NoWine	177_36	FALSE
hsa-miR-4320	3.43473426114983	-1.02353198995337	0.00292349419680964	0.071754068661404	All_NoWine	177_36	FALSE
hsa-miR-4530-5p:Novel	16.361262469332	1.25250182207525	0.00307658396134369	0.071754068661404	All_NoWine	177_36	FALSE
hsa-miR-4751	5.03122718693399	-1.04176176611272	0.00308820901966264	0.071754068661404	All_NoWine	177_36	FALSE
hsa-miR-5189-3p	70.7190363068229	-0.915147178322038	0.00306593358966604	0.071754068661404	All_NoWine	177_36	FALSE
hsa-miR-5581-3p	7.55967061829231	-1.05355742524063	0.0029624222121497	0.071754068661404	All_NoWine	177_36	FALSE
hsa-miR-6865-3p	0.689098612532815	-1.42832884225287	0.00305069964447929	0.071754068661404	All_NoWine	177_36	FALSE
hsa-miR-8088	5.34417618723077	-0.797912611927314	0.00304647467457913	0.071754068661404	All_NoWine	177_36	FALSE
hsa-miR-5586-3p	0.716504237836989	-1.3162622092724	0.00316927958159226	0.0720496126544827	All_NoWine	177_36	FALSE
hsa-miR-6082-3p:Novel	8.91573574105757	-0.740045000887621	0.00315802063737045	0.0720496126544827	All_NoWine	177_36	FALSE
hsa-miR-7113-5p	396.384001156768	-0.890385227186787	0.00317140453484029	0.0720496126544827	All_NoWine	177_36	FALSE
hsa-miR-3116	1.64256698432305	-0.999517710563196	0.00331614322159709	0.0726825748968513	All_NoWine	177_36	FALSE
hsa-miR-3618-5p:Novel	1.57974147558662	-1.28753804145089	0.00334145518762831	0.0726825748968513	All_NoWine	177_36	FALSE
hsa-miR-6078-3p:Novel	11.2074497393492	-0.759064990209392	0.0033275869805997	0.0726825748968513	All_NoWine	177_36	FALSE
hsa-miR-6812-3p	0.804266007822383	-1.27453806298112	0.00327686168691838	0.0726825748968513	All_NoWine	177_36	FALSE
hsa-miR-6814-3p	2.85316535367163	-1.35225256500308	0.00333466074709207	0.0726825748968513	All_NoWine	177_36	FALSE
hsa-miR-766-5p	18.1654469933295	1.0319990407386	0.0033015664618251	0.0726825748968513	All_NoWine	177_36	FALSE
hsa-miR-3199	3.53055737305251	-0.888672848107743	0.00348362566923329	0.0747059680279754	All_NoWine	177_36	FALSE
hsa-miR-4673	1.4095454775205	-0.951805282363988	0.00350755115618795	0.0747059680279754	All_NoWine	177_36	FALSE
hsa-miR-4793-3p	2.18949942270186	-0.970829098980058	0.00349827166152262	0.0747059680279754	All_NoWine	177_36	FALSE
hsa-miR-3655-3p:Novel	2.73466028355885	-0.891497797547984	0.00357239133798247	0.075300274701668	All_NoWine	177_36	FALSE
hsa-miR-6715b-5p	6.36400009759135	1.99412836889832	0.00358455823490171	0.075300274701668	All_NoWine	177_36	FALSE
hsa-miR-324-5p	37.59272396691	1.19045232976809	0.00373686582025933	0.0779657651070433	All_NoWine	177_36	FALSE
hsa-miR-1276-3p:Novel	11.0794957255901	1.06072185980705	0.00378688896427962	0.0783035603534998	All_NoWine	177_36	FALSE
hsa-miR-599	14.9254141913287	-0.632830434497773	0.00380411819128512	0.0783035603534998	All_NoWine	177_36	FALSE
hsa-miR-101-3p	3.01246083249487	-0.74388418845065	0.00395107579037777	0.0807863296605908	All_NoWine	177_36	FALSE
hsa-miR-6877-5p	3.57596424063233	-0.808515419723789	0.00398922152719053	0.0810261087675056	All_NoWine	177_36	FALSE
hsa-miR-3169	96.4518422702874	-0.757976147428982	0.00404294508454381	0.0810438730346135	All_NoWine	177_36	FALSE
hsa-miR-3672-3p:Novel	1.56429511649566	-1.25496865641458	0.00403269646016711	0.0810438730346135	All_NoWine	177_36	FALSE
hsa-miR-5186-5p:Novel	4.03836748142494	-1.01374799085738	0.00419572896881481	0.0835603944633443	All_NoWine	177_36	FALSE
hsa-miR-12131	2.42011419768416	-0.97834313756719	0.00422730051672061	0.083646004417949	All_NoWine	177_36	FALSE
hsa-miR-1281	64.6913485758975	1.36795594459289	0.00431613107972294	0.0848562437276298	All_NoWine	177_36	FALSE
hsa-miR-4322	8.00991184636088	-0.883546349644904	0.00441420114373156	0.0862315599224504	All_NoWine	177_36	FALSE
hsa-miR-650	21.9239138985095	0.64475024596416	0.00447225548231268	0.086812706102867	All_NoWine	177_36	FALSE
hsa-miR-4492	4.58761085363252	0.881940753458374	0.00472560002577365	0.0905838454940486	All_NoWine	177_36	FALSE
hsa-miR-491-5p	8.8711187605097	-1.29464034141734	0.00471457250845883	0.0905838454940486	All_NoWine	177_36	FALSE
hsa-miR-1182-5p:Novel	7.66038449266646	-0.887654232073349	0.00483434906950755	0.090962874823188	All_NoWine	177_36	FALSE
hsa-miR-324-3p	32.2894560320622	1.16089747970434	0.00480671711726758	0.090962874823188	All_NoWine	177_36	FALSE
hsa-miR-6767-5p	5.02945386826517	-0.912605253189326	0.00479540077653438	0.090962874823188	All_NoWine	177_36	FALSE
hsa-miR-455-3p	1.26578925381308	-1.56798390407335	0.00487870030233604	0.0912376452881989	All_NoWine	177_36	FALSE
hsa-miR-3142	1.84983467600044	-1.10818477806664	0.00493754525099004	0.0917784926350694	All_NoWine	177_36	FALSE
hsa-miR-194-5p	64.1972427211865	-0.587648916261294	0.00517870225686418	0.0950317344985861	All_NoWine	177_36	FALSE
hsa-miR-216b-5p	1.09710973653561	-0.943473251056518	0.00522731930609286	0.0950317344985861	All_NoWine	177_36	FALSE
hsa-miR-6070	11.1359875964744	-0.749039717914859	0.00523650574837335	0.0950317344985861	All_NoWine	177_36	FALSE
hsa-miR-938-3p:Novel	10.5186942423385	-0.844193757501637	0.00518769418672625	0.0950317344985861	All_NoWine	177_36	FALSE
hsa-miR-12114	1.64032934215207	-1.06488223173672	0.00573251111712644	0.0991319784933758	All_NoWine	177_36	FALSE
hsa-miR-1269b-3p:Novel	4.99550282766313	-0.952847251782012	0.00565991030945461	0.0991319784933758	All_NoWine	177_36	FALSE
hsa-miR-1289-2-5p:Novel	3.06456081992309	-0.766912376959174	0.00568538660916743	0.0991319784933758	All_NoWine	177_36	FALSE
hsa-miR-4256-3p:Novel	2.64442790473921	-0.759920003320886	0.00556540123767815	0.0991319784933758	All_NoWine	177_36	FALSE
hsa-miR-4439-3p:Novel	1.16119671252531	-1.11437052716254	0.00554153763462403	0.0991319784933758	All_NoWine	177_36	FALSE
hsa-miR-4686	1.46788114163232	-0.942350054129148	0.00575333947565077	0.0991319784933758	All_NoWine	177_36	FALSE
hsa-miR-4803	2.99134756476074	-0.971046410011863	0.00574995311591938	0.0991319784933758	All_NoWine	177_36	FALSE
hsa-miR-483-3p	0.823819166563736	-1.33859886638379	0.00574862725359733	0.0991319784933758	All_NoWine	177_36	FALSE
hsa-miR-596-3p:Novel	8.01923037840363	-0.845329115746781	0.00561408729748805	0.0991319784933758	All_NoWine	177_36	FALSE
hsa-miR-6892-5p	4.95928193709164	1.14188304032367	0.0058282394417142	0.0998615104342874	All_NoWine	177_36	FALSE
hsa-miR-11401-3p:Novel	4.39984684204864	-0.75635730067488	0.00586605774336013	0.0999511061049196	All_NoWine	177_36	FALSE
hsa-miR-3714-3p:Novel	111.375933579799	-0.617625577950922	0.00610577543692978	0.103460846768307	All_NoWine	177_36	FALSE
hsa-miR-4453-3p:Novel	15.8186571769069	-0.551702662220466	0.00621362995920837	0.104138458466187	All_NoWine	177_36	FALSE
hsa-miR-4663	3.0464296825888	-0.939195421931794	0.00621367391565448	0.104138458466187	All_NoWine	177_36	FALSE
