miRNA...1	baseMean...2	log2FoldChange...3	pvalue...6	padj...7	comparison...8	size...9	sig...10	miRNA...11	baseMean...12	log2FoldChange...13	pvalue...16	padj...17	comparison...18	size...19	sig...20	miRNA...21	baseMean...22	log2FoldChange...23	pvalue...26	padj...27	comparison...28	size...29	sig...30
hsa-miR-938-3p:Novel	9.05811520305442	-0.928623405165935	0.0003948719606996	0.0559789073697668	light_no	82_76	FALSE	hsa-miR-105-5p	3.50365760881103	-1.21414917157954	7.85803020727283e-05	0.0107456721515023	heavy_no	74_76	FALSE	hsa-miR-6889-5p	16.6684805643467	1.04183518344297	0.000507070099031466	0.0637715218664279	heavy_light	74_82	FALSE
hsa-miR-6501-3p	5.79170561109856	1.25948104490387	0.000450284737905064	0.0571150641237475	light_no	82_76	FALSE	hsa-miR-1304-3p	2.23300436576538	-1.34860416687326	9.30385899378175e-05	0.0107456721515023	heavy_no	74_76	FALSE	hsa-miR-6846-3p	9.71137730284416	-1.09695282815184	0.000563342001824449	0.0669125111055929	heavy_light	74_82	FALSE
hsa-miR-769-5p	6.70145511271621	-1.33891282614928	0.000446416456769871	0.0571150641237475	light_no	82_76	FALSE	hsa-miR-3680-3p	21.0232551808379	-1.19801528817369	8.9749377996994e-05	0.0107456721515023	heavy_no	74_76	TRUE	hsa-miR-320d	25.7567427848077	-0.923562640279564	0.000626526416826998	0.0705007094303222	heavy_light	74_82	FALSE
hsa-miR-2113-5p:Novel	25.7431646547704	-1.08439239735528	0.000551369319198568	0.0664400029634275	light_no	82_76	FALSE	hsa-miR-4296	14.8035426396797	-1.27814441100845	9.55494081740367e-05	0.0107456721515023	heavy_no	74_76	FALSE	hsa-miR-4323-5p:Novel	2.91247640379023	-0.862798117444587	0.000738252645465654	0.0711662254480387	heavy_light	74_82	FALSE
hsa-miR-1281-5p:Novel	385.501214109259	1.74975082741235	0.000869462169296078	0.0948045979210436	light_no	82_76	FALSE	hsa-miR-4689	3.28010587011115	-1.60887767672745	9.63120423310062e-05	0.0107456721515023	heavy_no	74_76	FALSE	hsa-miR-618-3p:Novel	5.55971949907722	-0.816769069725426	0.000673937575397872	0.0711662254480387	heavy_light	74_82	FALSE
hsa-miR-6804-5p	2.70446505190962	0.896170404034416	0.000904774171030707	0.0948045979210436	light_no	82_76	FALSE	hsa-miR-6515-3p	1.63731146356455	-1.4177155166329	0.000137345041066537	0.0146272468735862	heavy_no	74_76	FALSE	hsa-miR-6717-5p	56.3236333917055	-0.667473638092169	0.000765586148412016	0.0711662254480387	heavy_light	74_82	FALSE
hsa-miR-7113-5p	329.941662258819	-0.866435103055674	0.000852713331002664	0.0948045979210436	light_no	82_76	FALSE	hsa-miR-3115-3p:Novel	5.28225282247323	-1.27208633637982	0.000149270454935107	0.0152061163440416	heavy_no	74_76	FALSE	hsa-miR-6802-5p	18.9028733684242	-0.622887054153095	0.000702667242655647	0.0711662254480387	heavy_light	74_82	FALSE
hsa-miR-5692c	8.38777188063523	1.08413589488686	0.000990599277877443	0.0994726774868599	light_no	82_76	FALSE	hsa-miR-320e	15.8122231683556	-0.922196328331082	0.000158375913072102	0.0154614485136639	heavy_no	74_76	TRUE	hsa-miR-5704-3p:Novel	7.33034283041737	-1.35911905685124	0.000819905693323859	0.0730399321802671	heavy_light	74_82	FALSE
hsa-miR-4752-3p:Novel	2.70842793525946	-1.16260625861145	0.00109417113484915	0.105478097399458	light_no	82_76	FALSE	hsa-miR-548av-3p	2.02713267073811	-1.65012832882197	0.000168326100287429	0.0157755221189378	heavy_no	74_76	FALSE	hsa-miR-3938	2.17291285487718	-0.94314662369134	0.000902670803647224	0.0742273145460679	heavy_light	74_82	FALSE
hsa-miR-4431	18.7133093078345	0.795766705575375	0.0012835682385688	0.118976902113493	light_no	82_76	FALSE	hsa-miR-1200	4.58423820010247	-1.21408285490849	0.000214938375798168	0.0178891227622895	heavy_no	74_76	FALSE	hsa-miR-651-3p	2.28386803542256	1.00639664481033	0.000885761819709399	0.0742273145460679	heavy_light	74_82	FALSE
