ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Average_inactive	Average_active	Median_inactive	Median_active
hsa-let-7a-2-3p	0.575757565630245	0.0829862871415631	0.341294390000762	0.243151629715853	0.807887936354301	NA	active_vs_inactive	NA	0.54662499419345	0.596621052735411	0	0
hsa-let-7a-3p	419.160768549069	0.287584134605829	0.251251647048133	1.14460596770033	NA	NA	active_vs_inactive	NA	862.556215221412	221.916269028681	17.4997247989749	17.3580892990923
hsa-let-7a-5p	13.402423763252	0.137579048699176	0.211064997082511	0.651832613654044	0.514509159932491	0.894065512088602	active_vs_inactive	FALSE	17.3145338670188	11.3277815901867	5.67195105063011	6.12000428752752
hsa-let-7b-3p	0.428298391543707	-0.353985342864238	0.526683358087108	-0.672102768065234	0.50151827443916	NA	active_vs_inactive	NA	0.704307442680814	0.251221311850787	0	0
hsa-let-7b-5p	255.053724432648	0.0357320807847455	0.264099872265444	0.135297607220467	NA	NA	active_vs_inactive	NA	501.757122804074	146.015081465486	13.2719507923825	11.168634958163
hsa-let-7c-3p	3.69177898327377	-0.132293359837839	0.283047550966694	-0.467389169720834	0.640221469754929	NA	active_vs_inactive	NA	4.49506760959546	3.68376593004057	0.512340372135194	0.197953459473891
hsa-let-7c-5p	18.915674866265	-0.131861297287123	0.263145367166206	-0.501096784287439	0.616303009886934	0.937951402263099	active_vs_inactive	FALSE	38.7834585294855	9.24982641686714	3.45388493156657	2.66452799221761
hsa-let-7d-3p	4.18920666919366	-0.235999081897677	0.290981653535152	-0.811044541917029	0.417340092030124	NA	active_vs_inactive	NA	6.51249202115014	3.12905026963379	0.875440700966501	1.41901947950851
hsa-let-7d-5p	49.5892207880441	0.248005110414429	0.272195021269113	0.911130222948611	NA	NA	active_vs_inactive	NA	95.0744017438371	29.4246755803872	3.31059015288217	3.78022683994481
hsa-let-7e-3p	0.076249048163414	0.00332741457160669	1.06840320004652	0.00311438094856119	0.997515087541699	NA	active_vs_inactive	NA	0.0561992297534238	0.102564992103728	0	0
hsa-let-7e-5p	5.98875101633309	-0.273096059882986	0.250901217639974	-1.08846048039057	0.276391873865622	NA	active_vs_inactive	NA	9.98669497215407	4.03948642152047	2.21120575882687	2.03821964866418
hsa-let-7f-1-3p	0.122573394758183	0.0256378358276644	1.02655085710358	0.0249747352021133	0.980075115709538	NA	active_vs_inactive	NA	0.103669776557342	0.149556221934439	0	0
hsa-let-7f-2-3p	0.568186098581197	-0.0761666517740977	0.31975889555866	-0.238200259107803	0.811725776163734	NA	active_vs_inactive	NA	0.681580391246016	0.393012737948256	0	0
hsa-let-7f-5p	1.9567384125721	-0.193324449491955	0.256327554516949	-0.754208613491735	0.450723966299583	NA	active_vs_inactive	NA	2.3691402253821	1.57304373939948	0.848650304836737	0.61240340838379
hsa-let-7g-3p	2.97957986578997	-0.0567327576880766	0.25900037945839	-0.219045075558243	0.82661493504979	NA	active_vs_inactive	NA	3.45839634754436	2.80136419459093	0.276522979710526	0.0989767297369456
hsa-let-7g-5p	282.959960343325	0.18480522201586	0.293190580438659	0.630324554558889	NA	NA	active_vs_inactive	NA	558.498580125875	162.257584797689	6.00361341214809	8.12386610499567
hsa-let-7i-3p	0.300956785390324	-0.290471140335963	0.407665685938773	-0.712522908733576	0.476141030624092	NA	active_vs_inactive	NA	0.358761242440246	0.274568543226674	0	0
hsa-let-7i-5p	308.098415726135	0.0718911622254515	0.283885124950979	0.253240328241452	NA	NA	active_vs_inactive	NA	626.551559274109	162.693211028154	6.81691501614279	9.36223102759285
hsa-miR-1-2-5p:Novel	8.18508201446038	-0.149145248744851	0.219973570738236	-0.678014400749674	0.497762562519116	NA	active_vs_inactive	NA	8.17095447110568	8.58039534303376	4.06150524811607	3.51498996074278
hsa-miR-1-3p	1.71348455227903	-0.299799914977569	0.215538199699138	-1.39093634166031	0.164244731339593	NA	active_vs_inactive	NA	2.02072911936222	1.51906357978792	1.20412326597075	0.832277254105627
