miRNA...1	baseMean...2	log2FoldChange...3	pvalue...6	padj...7	comparison...8	size...9	sig...10	miRNA...11	baseMean...12	log2FoldChange...13	pvalue...16	padj...17	comparison...18	size...19	sig...20	miRNA...21	baseMean...22	log2FoldChange...23	pvalue...26	padj...27	comparison...28	size...29	sig...30
hsa-miR-4500	4.77203811347267	1.14698791257217	0.000209541767857425	0.031056735701478	4060_40	101_87	FALSE	hsa-miR-8074	35.3356605014496	-1.54837875778742	0.000293045550166636	0.0567666277237169	60_40	44_87	FALSE	hsa-miR-298-3p:Novel	7.97880457189783	0.882089428241432	0.000974457852989732	0.1306346733508	60_4060	44_101	FALSE
hsa-miR-455-5p	4.44362345708581	-1.35129977530453	0.000214262156255658	0.031056735701478	4060_40	101_87	FALSE	hsa-miR-617	7.69282092430911	1.48919371931164	0.000550628888849714	0.063444684193017	60_40	44_87	FALSE	hsa-miR-8075	36.5747269226558	-1.24004502605108	0.00114419319952668	0.14486757231785	60_4060	44_101	FALSE
hsa-miR-922	387.564110876199	-1.06492232620269	0.000196158708294806	0.031056735701478	4060_40	101_87	TRUE	hsa-miR-4712-3p	2.74216062544006	-1.39661403162202	0.000636221562656428	0.0694486063657596	60_40	44_87	FALSE	hsa-miR-6778-3p	5.05175231040554	1.26994208117985	0.00121446404842943	0.145671766651088	60_4060	44_101	FALSE
hsa-miR-328-5p	10.7375276850748	-0.884187725772907	0.000228595144914638	0.0314775514547457	4060_40	101_87	FALSE	hsa-miR-1181	8.10648819136617	-1.39386981360457	0.00067514324110047	0.0700123541021188	60_40	44_87	FALSE	hsa-miR-8075-5p:Novel	35.5089665583504	-1.24200966112229	0.00134613964033128	0.15339261201575	60_4060	44_101	FALSE
hsa-miR-1197-5p:Novel	2.7890950053583	-1.28006253084563	0.000254651094174197	0.033395672064559	4060_40	101_87	FALSE	hsa-miR-197-5p	56.0772923277956	-0.84927882737359	0.000936110696059294	0.0703658995944323	60_40	44_87	FALSE	hsa-miR-5701-3p:Novel	3.48017777591102	-1.62073132982789	0.00151856308055491	0.16480025050403	60_4060	44_101	FALSE
hsa-miR-3135a-3p:Novel	6.07493526537179	-0.753069021906247	0.000280014681983536	0.0350527470083026	4060_40	101_87	FALSE	hsa-miR-3118	3.89847177756347	-2.06184606249741	0.0010299541418537	0.0703658995944323	60_40	44_87	FALSE	hsa-miR-106b-5p	25.3761407761108	-1.23383880738503	0.00179278350472224	0.165699640806407	60_4060	44_101	FALSE
hsa-miR-148a-3p	259.093641831937	-1.16102267317839	0.000333013634733014	0.0352738288482585	4060_40	101_87	TRUE	hsa-miR-3154	55.9576358365102	1.26944120298101	0.00107513053684084	0.0703658995944323	60_40	44_87	FALSE	hsa-miR-3927-3p	1.81431204736906	-1.27638335749577	0.00181767925412908	0.165699640806407	60_4060	44_101	FALSE
hsa-miR-199a-3p, hsa-miR-199b-3p	36.5834305116472	-0.727294239089534	0.000321393520265495	0.0352738288482585	4060_40	101_87	TRUE	hsa-miR-3663-3p	8.64462336937887	-1.26477456729353	0.000804495749449124	0.0703658995944323	60_40	44_87	FALSE	hsa-miR-5572	10.9517016457194	0.781904944545084	0.00168576164699027	0.165699640806407	60_4060	44_101	FALSE
hsa-miR-375-3p	113.772651655228	-1.17528533229196	0.000310292705802592	0.0352738288482585	4060_40	101_87	TRUE	hsa-miR-3907-5p:Novel	36.7885835102924	-0.923932555584593	0.000869530453331822	0.0703658995944323	60_40	44_87	FALSE	hsa-miR-675-5p	6.1161610828703	1.04911952711303	0.00170603419041281	0.165699640806407	60_4060	44_101	FALSE
hsa-miR-548av-5p	3.08454543489754	-1.35937214820463	0.00031228677135702	0.0352738288482585	4060_40	101_87	FALSE	hsa-miR-3927-3p	1.81431204736906	-1.52283939610268	0.000804457193519893	0.0703658995944323	60_40	44_87	FALSE	hsa-miR-3666	2.70324040261881	1.11879091401217	0.00198267860724434	0.173789405611918	60_4060	44_101	FALSE
