miRNA...1	baseMean...2	log2FoldChange...3	pvalue...6	padj...7	comparison...8	size...9	sig...10	miRNA...11	baseMean...12	log2FoldChange...13	pvalue...16	padj...17	comparison...18	size...19	sig...20	miRNA...21	baseMean...22	log2FoldChange...23	pvalue...26	padj...27	comparison...28	size...29	sig...30
hsa-miR-4526	3.18626862497295	-1.29938525602421	0.00148772104098471	0.326876776307314	Light_Abst	144_19	FALSE	hsa-miR-592-3p:Novel	3.59449348241981	-1.58742246840369	0.000963706313371972	0.122822341592864	Heavy_Abst	69_19	FALSE	hsa-miR-2392-5p:Novel	11.1015909956385	0.820933008648263	0.000403518796094914	0.0428204651856015	Heavy_Light	69_144	FALSE
hsa-miR-3648	38.0192333128113	-1.03686536626656	0.00236198905853294	0.376737254836004	Light_Abst	144_19	FALSE	hsa-miR-6765-5p	4.19366919911323	-1.4845719687222	0.000597516652127661	0.122822341592864	Heavy_Abst	69_19	FALSE	hsa-miR-8052-3p:Novel	5.24693768383266	-0.770700017798068	0.000399950078080446	0.0428204651856015	Heavy_Light	69_144	FALSE
hsa-miR-4517	3.71297036317343	-1.43375179344357	0.00218403064860161	0.376737254836004	Light_Abst	144_19	FALSE	hsa-miR-9985-3p:Novel	9.0160638746293	-1.38421846817016	0.000934962403218078	0.122822341592864	Heavy_Abst	69_19	FALSE	hsa-miR-1915-3p	11.4802258369031	0.855090989180325	0.000545965521714818	0.0511900422353226	Heavy_Light	69_144	FALSE
hsa-miR-484-3p:Novel	27.256091572232	-0.90566075791901	0.00232445054736179	0.376737254836004	Light_Abst	144_19	FALSE	hsa-miR-6083-5p:Novel	3.02716705749608	-1.30933209407344	0.00111214267165987	0.129535354335962	Heavy_Abst	69_19	FALSE	hsa-miR-4438	2.89833112562359	-0.93507385179931	0.000624268807747836	0.0511900422353226	Heavy_Light	69_144	FALSE
hsa-miR-5090	7.85668533331273	-1.1547460844253	0.00219727369154457	0.376737254836004	Light_Abst	144_19	FALSE	hsa-miR-143-3p	74.3081405351174	-1.29972575148136	0.00118484541078578	0.131103144703446	Heavy_Abst	69_19	FALSE	hsa-miR-4690-3p	5.62795498550961	0.83511636870116	0.000576112380394161	0.0511900422353226	Heavy_Light	69_144	FALSE
hsa-miR-6895-3p	19.0067013089219	1.28321442908519	0.00222942609097861	0.376737254836004	Light_Abst	144_19	FALSE	hsa-miR-3170-3p:Novel	12.2130124858281	-1.00447525673994	0.0013739922860861	0.144792615671836	Heavy_Abst	69_19	FALSE	hsa-miR-5703	9.92079478915957	0.720701868181055	0.000624108188490084	0.0511900422353226	Heavy_Light	69_144	FALSE
hsa-miR-760	27.1251352274623	-1.22832076582155	0.00220855899166455	0.376737254836004	Light_Abst	144_19	FALSE	hsa-miR-203a-5p	11.1354940865956	-0.984516584711714	0.00160499325466597	0.144997138265881	Heavy_Abst	69_19	FALSE	hsa-miR-7158-3p	55.7205097724014	-2.09561712578712	0.00059110226278292	0.0511900422353226	Heavy_Light	69_144	FALSE
hsa-miR-6880-5p	15.2995502614898	-1.15854910074662	0.00250727103218142	0.382522350083678	Light_Abst	144_19	FALSE	hsa-miR-4539-5p:Novel	8.17123426441792	-1.5950104723924	0.0016380155701071	0.144997138265881	Heavy_Abst	69_19	FALSE	hsa-miR-10400-5p	90.4504653690116	0.877616178660899	0.000656310398425845	0.0514775634243576	Heavy_Light	69_144	FALSE
hsa-miR-3911-3p:Novel	29.9075103505216	-1.01602770549739	0.00294998655825224	0.431312618037796	Light_Abst	144_19	FALSE	hsa-miR-6784-5p	18.8471052197329	-1.36778271301254	0.00149834198102396	0.144997138265881	Heavy_Abst	69_19	FALSE	hsa-miR-3198	2.71360101605225	-0.758561824055176	0.000822960593836406	0.0618592046367032	Heavy_Light	69_144	FALSE
hsa-let-7a-5p	14.4832834314234	1.25555890407174	0.00320606049979132	0.45000265175071	Light_Abst	144_19	FALSE	hsa-miR-8059-3p:Novel	10.140672772498	-1.49142835603616	0.00159147216669494	0.144997138265881	Heavy_Abst	69_19	FALSE	hsa-miR-1261	3.43987875320864	-1.05876677473939	0.000862185360321946	0.0620700908604896	Heavy_Light	69_144	FALSE
hsa-miR-101-2-5p	1.17779876591377	1.62549359690411	0.00418044307103628	0.481852604681988	Light_Abst	144_19	FALSE	hsa-miR-4517	3.71297036317343	-1.45762767926054	0.00183379445093767	0.156084119997118	Heavy_Abst	69_19	FALSE	hsa-miR-425-3p	38.1168836869918	-0.833528421359474	0.000894580023488209	0.0620700908604896	Heavy_Light	69_144	FALSE
