ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averageheavy_drinker	Averagelight_drinker	Averageno_coffee	Medianheavy_drinker	Medianlight_drinker	Medianno_coffee
has-miR-548o	0.554551669023745	0.701679639925132	0.846162898511611	0.829248884770743	0.406963588280884	NA	no_coffee_vs_heavy_drinker	NA	0.403142273540067	0.211451701961012	1.1450258194821	0	0	0
has-miR-548x	1.93982083112857	0.426899299110821	0.708215487228836	0.602781648818819	0.546653956390726	NA	no_coffee_vs_heavy_drinker	NA	1.03014449673688	1.20807071388506	3.22236698927605	0	0	0.364360688239181
hsa-let-7a-2-3p	0.503414213967094	0.102731720099534	0.796852216748428	0.128921922961742	0.897419429416175	NA	no_coffee_vs_heavy_drinker	NA	0.414315383379677	0.533797310222271	0.505857986509935	0	0	0
hsa-let-7a-3p	555.158999280154	1.25171657280506	0.427130045031218	2.93052803792713	0.00338386455398783	0.0516638458937412	no_coffee_vs_heavy_drinker	FALSE	30.6377204961464	137.78040446166	2299.61241220079	12.4750769405743	20.7102136678155	28.5180089663819
hsa-let-7a-5p	17.2370052169446	-0.0358992603295155	0.413538024901961	-0.0868100589734796	0.930822491906759	0.97210230807241	no_coffee_vs_heavy_drinker	FALSE	12.8213882685071	13.8840072182637	26.7497241794372	5.56721377575361	6.20198639234671	9.2577218088521
hsa-let-7b-3p	0.547829478708137	-0.257739404565653	1.09986006134431	-0.234338361419025	0.814722306782426	NA	no_coffee_vs_heavy_drinker	NA	0.464082847569057	0.550237614359242	0.792652843675961	0	0	0
hsa-let-7b-5p	351.707712983451	1.67938837424517	0.464701849696293	3.613905077724	0.000301619524838787	0.0131270062766794	no_coffee_vs_heavy_drinker	TRUE	26.5282217879366	90.5218908038204	1375.69396811806	11.168634958163	14.505516662047	17.3060533324557
hsa-let-7c-3p	4.86939804721584	0.137345870075313	0.571762489897861	0.240214901295551	0.810163662276353	0.90967338860194	no_coffee_vs_heavy_drinker	FALSE	2.79990636872011	3.56886481813421	9.61372740207775	0	0.398203372957625	0.962687572363338
hsa-let-7c-5p	25.1465659692899	1.16071114880896	0.451696581489756	2.56966998727505	0.0101795436253043	0.0998295130536528	no_coffee_vs_heavy_drinker	FALSE	7.32453738965494	8.4020729395957	92.9352307599571	1.80001718883742	2.75285699092304	3.99828211800739
hsa-let-7d-3p	4.57734484893286	0.583917631706787	0.505838206664512	1.15435651956211	0.248354033461802	0.554297408016195	no_coffee_vs_heavy_drinker	FALSE	1.92404064499727	3.74833768600643	11.4440555812418	0.68265705673659	2.24481780946646	1.15101354408652
