ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	Averageheavy_drinker	Averagelight_drinker	Averageno_coffee	Medianheavy_drinker	Medianlight_drinker	Medianno_coffee
has-miR-548o	0.554551669023745	0.987223066190623	0.842205581022419	1.17218775134707	0.241121684963521	NA	no_coffee_vs_light_drinker	NA	0.403142273540067	0.211451701961012	1.1450258194821	0	0	0
has-miR-548x	1.93982083112857	0.630283488843953	0.702456913485957	0.897255727352953	0.369582474795879	NA	no_coffee_vs_light_drinker	NA	1.03014449673688	1.20807071388506	3.22236698927605	0	0	0.364360688239181
hsa-let-7a-2-3p	0.503414213967094	-0.389736323330216	0.776134009698308	-0.502150812179601	0.615561439867076	NA	no_coffee_vs_light_drinker	NA	0.414315383379677	0.533797310222271	0.505857986509935	0	0	0
hsa-let-7a-3p	555.158999280154	0.412520663534722	0.417598998424468	0.987839207208576	0.323231402475615	0.738015791682258	no_coffee_vs_light_drinker	FALSE	30.6377204961464	137.78040446166	2299.61241220079	12.4750769405743	20.7102136678155	28.5180089663819
hsa-let-7a-5p	17.2370052169446	0.138775600389127	0.40633668555302	0.341528602568223	0.732705676120028	0.924019578860343	no_coffee_vs_light_drinker	FALSE	12.8213882685071	13.8840072182637	26.7497241794372	5.56721377575361	6.20198639234671	9.2577218088521
hsa-let-7b-3p	0.547829478708137	-0.209360524108067	1.07639032588719	-0.194502420797499	0.845782500402166	NA	no_coffee_vs_light_drinker	NA	0.464082847569057	0.550237614359242	0.792652843675961	0	0	0
hsa-let-7b-5p	351.707712983451	0.791227678165085	0.45386923365941	1.74329436649771	0.0812822089063063	0.435327503837412	no_coffee_vs_light_drinker	FALSE	26.5282217879366	90.5218908038204	1375.69396811806	11.168634958163	14.505516662047	17.3060533324557
hsa-let-7c-3p	4.86939804721584	0.041043294676741	0.5444276063219	0.0753879748200601	0.939906026685987	0.974950994123943	no_coffee_vs_light_drinker	FALSE	2.79990636872011	3.56886481813421	9.61372740207775	0	0.398203372957625	0.962687572363338
hsa-let-7c-5p	25.1465659692899	0.971944876669681	0.438087628688856	2.21860836284877	0.0265133801122723	0.285158545014084	no_coffee_vs_light_drinker	FALSE	7.32453738965494	8.4020729395957	92.9352307599571	1.80001718883742	2.75285699092304	3.99828211800739
hsa-let-7d-3p	4.57734484893286	0.060314698021777	0.485858220796154	0.124140532032044	0.901204006432114	0.970485751074144	no_coffee_vs_light_drinker	FALSE	1.92404064499727	3.74833768600643	11.4440555812418	0.68265705673659	2.24481780946646	1.15101354408652
hsa-let-7d-5p	68.1617650586211	0.172370418741382	0.442691809616446	0.389368890494555	0.697003281645775	0.916381441180788	no_coffee_vs_light_drinker	FALSE	4.32085911893662	17.3758776082776	265.865753210705	2.44788326837968	3.1328914631443	6.17387442472602
hsa-let-7e-3p	0.0909110404776231	0.745970219876557	2.0986718014698	0.35544872683481	0.722253450209794	NA	no_coffee_vs_light_drinker	NA	0.0781187627178324	0.0612341166810382	0.125064376108302	0	0	0
