ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	abstemious.x	all.x	nowine.x	abstemious.y	all.y	nowine.y
hsa-miR-4472-1-5p:Novel	3.07406694536175	-0.0704692082442935	0.485036272917551	-0.145286470680662	0.884484696219428	0.985000161238366	all_vs_abstemious	FALSE	5.602	3.135	1.062	2.055	1.18	0.48
hsa-miR-4472-2-3p:Novel	6.19705356055164	0.190104920517406	0.339595139733069	0.5597987081524	0.575616744909671	0.961796610034926	all_vs_abstemious	FALSE	11.407	6.025	4.269	4.643	3.782	2.927
hsa-miR-4473	6.63417125810205	0.359979392018257	0.392952107608664	0.916089734723487	0.359619831424915	0.923925757299044	all_vs_abstemious	FALSE	8.506	6.658	4.62	1.797	1.721	1.92
hsa-miR-4473-5p:Novel	1.29097606469366	-0.90464367307186	0.429271864306242	-2.10739102254903	0.0350836991461037	NA	all_vs_abstemious	NA	3.682	1.043	1.073	1.006	0.393	0.444
hsa-miR-4474-3p	2.91387084289162	0.575683545360011	0.589908791677594	0.975885685180027	0.329121116637404	0.922009401000393	all_vs_abstemious	FALSE	3.389	2.763	3.037	0.791	0.951	0
hsa-miR-4474-5p	0.51282971129884	-0.36482731855779	0.68692549475199	-0.531101729874662	0.595348285548262	NA	all_vs_abstemious	NA	0.888	0.482	0.397	0	0	0
hsa-miR-4475	1.77545921317369	-0.0498532664302251	0.537952191862786	-0.0926722991082097	0.926163904393442	NA	all_vs_abstemious	NA	3.251	1.554	1.847	0.663	0.597	0.626
hsa-miR-4475-5p:Novel	0.412711484744274	-1.03314332767808	0.736473018271461	-1.40282576828533	0.160668800933921	NA	all_vs_abstemious	NA	0.877	0.354	0.401	0	0	0
hsa-miR-4476	3.76307651287009	-0.506705788545608	0.34595989768181	-1.46463735230851	0.14301988546021	0.772218056250229	all_vs_abstemious	FALSE	6.762	3.491	3.01	3.91	2.326	2.1
hsa-miR-4476-5p:Novel	85.8268259999016	-0.294669557799124	0.993368106278371	-0.29663682167439	0.766743795846582	0.97860721311998	all_vs_abstemious	FALSE	16.325	98.478	51.784	0.999	1.038	1.403
