ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	treshold	abstemious.x	all.x	nowine.x	abstemious.y	all.y	nowine.y
hsa-miR-6732-3p	1.05532363296244	0.334356965618986	1.00568986240098	0.332465283900489	0.739537949671222	0.999770134585052	nowine_vs_abstemious	FALSE	1.377	1.055	0.744	0	0	0
hsa-miR-6732-5p	3.55651757882667	0.13801516111186	0.677734622263662	0.203641892531451	0.83863335353915	0.999770134585052	nowine_vs_abstemious	FALSE	5.809	3.565	1.886	1.006	0.738	0.501
hsa-miR-6733-3p	1.39679880585877	0.139792741909217	0.639962991614005	0.218438790587961	0.827087244667217	0.999770134585052	nowine_vs_abstemious	FALSE	3.657	1.184	1.063	0	0	0
hsa-miR-6733-5p	0.507898469631219	0.32532342212174	0.790813901863749	0.411377975722272	0.680795400903242	0.999770134585052	nowine_vs_abstemious	FALSE	0.465	0.512	0.474	0	0	0
hsa-miR-6734-3p	1.11076107179603	0.173001479401439	0.943809513682464	0.18330126672112	0.854561640537742	0.999770134585052	nowine_vs_abstemious	FALSE	3.491	0.774	1.359	0	0	0
hsa-miR-6734-5p	4.93348269829903	0.363545623438534	0.488569321720012	0.744102438030018	0.456814504474583	0.999770134585052	nowine_vs_abstemious	FALSE	6.149	4.646	5.067	3.317	2.498	3.043
hsa-miR-6735-3p	0.673668132881634	0.748799634844814	0.77995907735932	0.960049900797357	0.337030101028686	0.999770134585052	nowine_vs_abstemious	FALSE	0.406	0.706	0.695	0	0	0
hsa-miR-6735-5p	6.64729559331939	0.855027518384448	0.393386907503942	2.17350273248705	0.0297425003833058	0.723179537291987	nowine_vs_abstemious	FALSE	7.177	6.547	6.505	4.98	3.6	3.98
hsa-miR-6736-3p	0.199649557009456	0.370545743059716	1.21172463048465	0.305800289717235	0.759756707867791	0.999770134585052	nowine_vs_abstemious	FALSE	0.307	0.178	0.224	0	0	0
hsa-miR-6736-5p	5.84823469271064	0.600921795574465	0.506552412549982	1.18629737157785	0.235504884278619	0.983013784677983	nowine_vs_abstemious	FALSE	10.444	5.952	2.267	1.577	1.132	1.549
hsa-miR-6737-3p	0.138862419278094	0.621795855438522	2.66374374169122	0.233429306921146	0.815428058031444	0.999770134585052	nowine_vs_abstemious	FALSE	0.062	0.152	0.094	0	0	0
